Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_docks_n,0,1.05700000,5.83095189,2
lt_0_lowtown_docks_n,1,0.49140000,6.40312424,2
lt_0_lowtown_docks_n,2,0.42860000,7.28010989,2
lt_0_lowtown_docks_n,3,1.19460000,5.38516481,2
lt_0_lowtown_docks_n,4,0.60980000,7.21110255,2
lt_0_lowtown_docks_n,5,0.45020000,7.28010989,2
lt_0_lowtown_docks_n,6,0.97400000,6.40312424,2
lt_0_lowtown_docks_n,7,1.05060000,5.09901951,2
lt_0_lowtown_docks_n,8,1.21420000,7.00000000,2
lt_0_lowtown_docks_n,9,0.36880000,7.07106781,2
lt_0_lowtown_docks_n,10,0.48160000,10.63014581,2
lt_0_lowtown_docks_n,11,0.86140000,10.00000000,2
lt_0_lowtown_docks_n,12,0.90580000,7.81024968,2
lt_0_lowtown_docks_n,13,0.39400000,9.00000000,2
lt_0_lowtown_docks_n,14,1.00480000,7.81024968,2
lt_0_lowtown_docks_n,15,0.98700000,8.06225775,2
lt_0_lowtown_docks_n,16,0.40460000,10.04987562,2
lt_0_lowtown_docks_n,17,1.04460000,7.83095189,3
lt_0_lowtown_docks_n,18,1.19920000,11.04536102,2
lt_0_lowtown_docks_n,19,0.39780000,7.81024968,2
lt_0_lowtown_docks_n,20,1.08140000,12.04159458,2
lt_0_lowtown_docks_n,21,0.78880000,13.41640786,2
lt_0_lowtown_docks_n,22,0.87700000,14.14213562,2
lt_0_lowtown_docks_n,23,1.53600000,13.08276253,4
lt_0_lowtown_docks_n,24,0.73940000,14.21267040,2
lt_0_lowtown_docks_n,25,1.03260000,14.76482306,2
lt_0_lowtown_docks_n,26,1.04000000,13.60147051,2
lt_0_lowtown_docks_n,27,0.46000000,12.52996409,2
lt_0_lowtown_docks_n,28,1.06160000,13.45362405,2
lt_0_lowtown_docks_n,29,0.44060000,14.86606875,2
lt_0_lowtown_docks_n,30,0.70020000,17.08800749,2
lt_0_lowtown_docks_n,31,0.62900000,18.02775638,2
lt_0_lowtown_docks_n,32,1.15460000,18.02775638,2
lt_0_lowtown_docks_n,33,1.21360000,15.26433752,2
lt_0_lowtown_docks_n,34,0.45340000,18.02775638,2
lt_0_lowtown_docks_n,35,0.76200000,18.35755975,2
lt_0_lowtown_docks_n,36,0.44140000,14.86606875,2
lt_0_lowtown_docks_n,37,0.77660000,15.65247584,2
lt_0_lowtown_docks_n,38,1.53060000,18.11077028,2
lt_0_lowtown_docks_n,39,1.22480000,15.26433752,2
lt_0_lowtown_docks_n,40,0.47180000,18.97366596,2
lt_0_lowtown_docks_n,41,0.54220000,19.41648784,2
lt_0_lowtown_docks_n,42,0.78380000,20.61552813,2
lt_0_lowtown_docks_n,43,0.90060000,21.47091055,2
lt_0_lowtown_docks_n,44,1.14260000,21.59144202,3
lt_0_lowtown_docks_n,45,1.27320000,18.86796226,2
lt_0_lowtown_docks_n,46,1.71560000,21.08800749,4
lt_0_lowtown_docks_n,47,1.41940000,21.09502311,2
lt_0_lowtown_docks_n,48,0.77520000,19.31320792,2
lt_0_lowtown_docks_n,49,1.65300000,22.80350850,2
lt_0_lowtown_docks_n,50,1.55920000,23.70530252,3
lt_0_lowtown_docks_n,51,1.19940000,25.07987241,2
lt_0_lowtown_docks_n,52,0.93460000,25.45584412,2
lt_0_lowtown_docks_n,53,1.14920000,23.19482701,2
lt_0_lowtown_docks_n,54,1.89000000,24.83948470,2
lt_0_lowtown_docks_n,55,0.58880000,24.51530134,2
lt_0_lowtown_docks_n,56,0.83500000,25.55849663,3
lt_0_lowtown_docks_n,57,1.28760000,23.31590280,3
lt_0_lowtown_docks_n,58,0.69500000,25.70992026,2
lt_0_lowtown_docks_n,59,1.51340000,25.80697580,2
lt_0_lowtown_docks_n,60,1.71000000,28.44292531,2
lt_0_lowtown_docks_n,61,1.34140000,28.84441020,2
lt_0_lowtown_docks_n,62,1.51320000,25.31782106,3
lt_0_lowtown_docks_n,63,1.14380000,27.73084925,2
lt_0_lowtown_docks_n,64,0.49760000,30.06659276,2
lt_0_lowtown_docks_n,65,1.46100000,28.59588863,3
lt_0_lowtown_docks_n,66,1.38520000,29.06888371,2
lt_0_lowtown_docks_n,67,0.97540000,29.41311123,4
lt_0_lowtown_docks_n,68,0.76040000,29.15475947,2
lt_0_lowtown_docks_n,69,1.14060000,26.57066051,2
lt_0_lowtown_docks_n,70,1.57200000,34.13209633,2
lt_0_lowtown_docks_n,71,1.38260000,29.73213749,2
lt_0_lowtown_docks_n,72,1.97400000,33.20305543,3
lt_0_lowtown_docks_n,73,0.76100000,30.01666204,2
lt_0_lowtown_docks_n,74,0.96740000,30.87069808,2
lt_0_lowtown_docks_n,75,1.46620000,33.30165161,2
