Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_n,0,0.59600000,4.12310563,2
lt_0_lowtown_n,1,0.70940000,4.24264069,2
lt_0_lowtown_n,2,1.47420000,6.40312424,2
lt_0_lowtown_n,3,0.31700000,7.21110255,2
lt_0_lowtown_n,4,0.44480000,6.40312424,2
lt_0_lowtown_n,5,0.94260000,5.09901951,2
lt_0_lowtown_n,6,0.42480000,4.12310563,2
lt_0_lowtown_n,7,0.39940000,4.00000000,2
lt_0_lowtown_n,8,0.38180000,4.47213595,2
lt_0_lowtown_n,9,0.53860000,6.70820393,2
lt_0_lowtown_n,10,0.63900000,7.61577311,2
lt_0_lowtown_n,11,0.92480000,10.63014581,2
lt_0_lowtown_n,12,0.49280000,9.21954446,2
lt_0_lowtown_n,13,0.82180000,8.00000000,2
lt_0_lowtown_n,14,0.40180000,9.89949494,2
lt_0_lowtown_n,15,0.46760000,10.63014581,2
lt_0_lowtown_n,16,0.40900000,10.19803903,2
lt_0_lowtown_n,17,0.36800000,9.21954446,2
lt_0_lowtown_n,18,0.40800000,9.21954446,2
lt_0_lowtown_n,19,0.68440000,9.48683298,2
lt_0_lowtown_n,20,1.35240000,12.52996409,2
lt_0_lowtown_n,21,0.80460000,12.08304597,2
lt_0_lowtown_n,22,0.94220000,13.15294644,2
lt_0_lowtown_n,23,1.13320000,12.00000000,2
lt_0_lowtown_n,24,1.23160000,12.52996409,2
lt_0_lowtown_n,25,0.41340000,11.66190379,2
lt_0_lowtown_n,26,1.09680000,15.00000000,2
lt_0_lowtown_n,27,0.89720000,14.03566885,2
lt_0_lowtown_n,28,0.73940000,12.16552506,2
lt_0_lowtown_n,29,0.90240000,12.20655562,2
lt_0_lowtown_n,30,1.46360000,18.11077028,2
lt_0_lowtown_n,31,0.63120000,18.02775638,2
lt_0_lowtown_n,32,1.20700000,15.29563014,3
lt_0_lowtown_n,33,0.82320000,16.27882060,2
lt_0_lowtown_n,34,1.38600000,18.43908891,2
lt_0_lowtown_n,35,0.40520000,17.88854382,2
lt_0_lowtown_n,36,1.22300000,18.11077028,2
lt_0_lowtown_n,37,1.56120000,19.02629759,2
lt_0_lowtown_n,38,0.97100000,16.12451550,2
lt_0_lowtown_n,39,1.33080000,17.28010989,3
lt_0_lowtown_n,40,1.86100000,19.11878435,5
lt_0_lowtown_n,41,1.04100000,21.02379604,2
lt_0_lowtown_n,42,1.15840000,18.78829423,2
lt_0_lowtown_n,43,1.41100000,20.54525986,3
lt_0_lowtown_n,44,0.35720000,21.84032967,2
lt_0_lowtown_n,45,1.44900000,22.31782106,3
lt_0_lowtown_n,46,1.30580000,23.02172887,2
lt_0_lowtown_n,47,1.12000000,23.02172887,2
lt_0_lowtown_n,48,0.81140000,19.84943324,2
lt_0_lowtown_n,49,1.05640000,19.92485885,2
lt_0_lowtown_n,50,0.80780000,25.63201124,2
lt_0_lowtown_n,51,1.32760000,25.96150997,2
lt_0_lowtown_n,52,0.68120000,24.35159132,2
lt_0_lowtown_n,53,1.02780000,24.04163056,2
lt_0_lowtown_n,54,0.86340000,23.76972865,2
lt_0_lowtown_n,55,1.43080000,26.09901951,3
lt_0_lowtown_n,56,2.27720000,22.51488857,4
lt_0_lowtown_n,57,1.27980000,23.08679276,2
lt_0_lowtown_n,58,2.07080000,24.33328633,3
lt_0_lowtown_n,59,1.50760000,24.66190379,3
lt_0_lowtown_n,60,0.76280000,26.57066051,2
lt_0_lowtown_n,61,1.61060000,28.28247661,3
lt_0_lowtown_n,62,1.26940000,27.60432077,3
lt_0_lowtown_n,63,0.76420000,27.65863337,2
lt_0_lowtown_n,64,0.39160000,28.01785145,2
lt_0_lowtown_n,65,2.63320000,29.10583900,5
lt_0_lowtown_n,66,1.65220000,29.26240552,4
lt_0_lowtown_n,67,0.78280000,26.92582404,2
lt_0_lowtown_n,68,1.91340000,27.16227766,5
lt_0_lowtown_n,69,1.54220000,30.18033989,3
lt_0_lowtown_n,70,2.33560000,33.17849076,4
lt_0_lowtown_n,71,1.13940000,29.73213749,2
lt_0_lowtown_n,72,1.89320000,30.41381265,2
lt_0_lowtown_n,73,1.23480000,33.54101966,2
lt_0_lowtown_n,74,2.13500000,32.41421356,3
lt_0_lowtown_n,75,0.90040000,31.83516978,3
lt_0_lowtown_n,76,2.00860000,32.75667871,2
lt_0_lowtown_n,77,2.06640000,30.50958476,5
lt_0_lowtown_n,78,1.66440000,31.67091327,4
lt_0_lowtown_n,79,0.46560000,34.05877273,2
lt_0_lowtown_n,80,2.80500000,36.67121278,4
lt_0_lowtown_n,81,0.82340000,37.05401463,2
lt_0_lowtown_n,82,0.95760000,38.21589048,3
lt_0_lowtown_n,83,1.29600000,38.41874542,2
lt_0_lowtown_n,84,2.22900000,34.56291460,3
lt_0_lowtown_n,85,0.62820000,34.20526275,2
lt_0_lowtown_n,86,1.26580000,34.72970118,3
lt_0_lowtown_n,87,1.56800000,34.27400883,4
lt_0_lowtown_n,88,2.29420000,35.59746436,4
lt_0_lowtown_n,89,1.72300000,36.01388621,2
lt_0_lowtown_n,90,2.18480000,39.05877273,3
lt_0_lowtown_n,91,1.40140000,38.27531842,2
lt_0_lowtown_n,92,1.14780000,37.36308338,2
lt_0_lowtown_n,93,3.05440000,36.91298758,5
lt_0_lowtown_n,94,1.43020000,40.67723671,3
lt_0_lowtown_n,95,0.93500000,40.01428280,3
lt_0_lowtown_n,96,1.62800000,37.01333977,4
lt_0_lowtown_n,97,1.25360000,37.94733192,2
lt_0_lowtown_n,98,1.63420000,39.37931346,4
lt_0_lowtown_n,99,2.24800000,40.56015611,5
lt_0_lowtown_n,100,2.07760000,44.88616292,3
lt_0_lowtown_n,101,1.99220000,42.30417057,4
lt_0_lowtown_n,102,1.53000000,42.54409477,2
lt_0_lowtown_n,103,1.71700000,43.93176527,2
lt_0_lowtown_n,104,1.50060000,44.55333882,2
lt_0_lowtown_n,105,2.42540000,42.62323631,4
lt_0_lowtown_n,106,5.79820000,42.30996524,6
lt_0_lowtown_n,107,1.60100000,44.02492795,3
lt_0_lowtown_n,108,2.36880000,44.57541472,6
lt_0_lowtown_n,109,1.82580000,46.01086828,2
lt_0_lowtown_n,110,2.25140000,46.32598858,3
lt_0_lowtown_n,111,3.73400000,48.25249247,6
lt_0_lowtown_n,112,2.11260000,47.30861008,5
lt_0_lowtown_n,113,3.70500000,48.02379604,4
lt_0_lowtown_n,114,1.56700000,48.50773134,2
lt_0_lowtown_n,115,2.00020000,45.65863058,3
lt_0_lowtown_n,116,3.41880000,45.63935817,4
lt_0_lowtown_n,117,2.63520000,45.90377256,5
lt_0_lowtown_n,118,1.84780000,49.04079934,2
lt_0_lowtown_n,119,1.44540000,48.37354649,2
lt_0_lowtown_n,120,2.13860000,53.13802654,3
lt_0_lowtown_n,121,1.10080000,53.15566409,3
lt_0_lowtown_n,122,2.32160000,48.83661876,3
lt_0_lowtown_n,123,2.38240000,49.70452252,5
lt_0_lowtown_n,124,1.13240000,55.00909016,2
lt_0_lowtown_n,125,2.11940000,50.11985634,2
lt_0_lowtown_n,126,2.22140000,52.54667677,4
lt_0_lowtown_n,127,1.93300000,51.83372539,3
lt_0_lowtown_n,128,3.57520000,52.07192670,6
lt_0_lowtown_n,129,2.14240000,50.65384967,3
lt_0_lowtown_n,130,1.22820000,56.00892786,2
lt_0_lowtown_n,131,2.30440000,52.32658425,5
lt_0_lowtown_n,132,1.66360000,52.61773728,4
lt_0_lowtown_n,133,2.24560000,55.78530272,2
lt_0_lowtown_n,134,3.54140000,55.67768657,4
lt_0_lowtown_n,135,2.00520000,57.41271442,3
lt_0_lowtown_n,136,1.53320000,55.90169944,2
lt_0_lowtown_n,137,2.00040000,56.35917809,3
lt_0_lowtown_n,138,1.30880000,55.16217126,3
lt_0_lowtown_n,139,1.44980000,54.79898987,3
lt_0_lowtown_n,140,1.59260000,56.08029957,2
lt_0_lowtown_n,141,2.68160000,57.27597184,4
lt_0_lowtown_n,142,2.90040000,57.75868772,5
lt_0_lowtown_n,143,2.43600000,57.61154012,3
lt_0_lowtown_n,144,3.25580000,59.87217167,4
lt_0_lowtown_n,145,2.67380000,59.35342991,4
lt_0_lowtown_n,146,4.82140000,56.84354605,5
lt_0_lowtown_n,147,2.11360000,58.06543098,3
lt_0_lowtown_n,148,1.64700000,57.48912941,2
lt_0_lowtown_n,149,2.36620000,60.87507569,4
lt_0_lowtown_n,150,2.88860000,63.49442703,6
lt_0_lowtown_n,151,2.49140000,61.05929451,5
lt_0_lowtown_n,152,3.45000000,63.59936702,6
lt_0_lowtown_n,153,2.85460000,62.14254982,4
lt_0_lowtown_n,154,1.41320000,60.41522987,2
lt_0_lowtown_n,155,3.24920000,62.01189420,6
lt_0_lowtown_n,156,2.45320000,64.17827620,4
lt_0_lowtown_n,157,3.03960000,61.00837080,4
lt_0_lowtown_n,158,2.36600000,60.74537019,3
lt_0_lowtown_n,159,3.97800000,59.95742264,4
lt_0_lowtown_n,160,2.86040000,67.22187020,5
lt_0_lowtown_n,161,2.84940000,66.80158344,3
lt_0_lowtown_n,162,2.11660000,67.92183036,5
lt_0_lowtown_n,163,3.01900000,66.81714988,4
lt_0_lowtown_n,164,3.22780000,66.54418806,5
lt_0_lowtown_n,165,2.69340000,65.11398454,4
lt_0_lowtown_n,166,2.95860000,67.30421163,5
lt_0_lowtown_n,167,3.72120000,65.49274270,5
lt_0_lowtown_n,168,5.26080000,63.94617504,5
lt_0_lowtown_n,169,2.68360000,65.50306446,4
lt_0_lowtown_n,170,3.36060000,69.37681948,4
lt_0_lowtown_n,171,3.03780000,68.57856342,4
lt_0_lowtown_n,172,3.15900000,69.21155405,4
lt_0_lowtown_n,173,3.45940000,70.87068273,4
lt_0_lowtown_n,174,1.83840000,72.56152513,3
lt_0_lowtown_n,175,2.48440000,72.64991735,4
lt_0_lowtown_n,176,2.49760000,70.43768829,3
lt_0_lowtown_n,177,3.31600000,71.03628771,3
lt_0_lowtown_n,178,4.41480000,67.37628778,5
lt_0_lowtown_n,179,4.01840000,71.44223152,4
lt_0_lowtown_n,180,2.92200000,76.59344565,3
lt_0_lowtown_n,181,3.50980000,74.83231943,4
lt_0_lowtown_n,182,3.83040000,73.71888280,4
lt_0_lowtown_n,183,6.43100000,74.95183719,5
lt_0_lowtown_n,184,4.56960000,73.64595133,6
lt_0_lowtown_n,185,5.17720000,73.77331203,8
lt_0_lowtown_n,186,5.29500000,72.04439768,4
lt_0_lowtown_n,187,4.45500000,75.91242953,6
lt_0_lowtown_n,188,4.61680000,73.07009871,5
lt_0_lowtown_n,189,2.64320000,75.08987141,3
lt_0_lowtown_n,190,4.01660000,79.55721577,4
lt_0_lowtown_n,191,4.56860000,78.58677534,4
lt_0_lowtown_n,192,4.49280000,82.24594177,4
lt_0_lowtown_n,193,1.86740000,79.24706656,3
lt_0_lowtown_n,194,3.19940000,80.28142609,5
lt_0_lowtown_n,195,4.38100000,77.17622410,4
lt_0_lowtown_n,196,3.75820000,78.01607757,5
lt_0_lowtown_n,197,2.69920000,76.38159035,4
lt_0_lowtown_n,198,5.96760000,76.41894797,8
lt_0_lowtown_n,199,3.63220000,79.28535441,4
lt_0_lowtown_n,200,3.31020000,80.75695023,5
