Map,Query Number,Time,Distance,Path Length
lt_backalley_g,0,1.82820000,7.38516481,3
lt_backalley_g,1,0.35420000,6.08276253,2
lt_backalley_g,2,0.43580000,5.09901951,2
lt_backalley_g,3,1.44220000,6.23606798,3
lt_backalley_g,4,0.42020000,4.12310563,2
lt_backalley_g,5,0.36820000,5.83095189,2
lt_backalley_g,6,0.77620000,5.09901951,2
lt_backalley_g,7,0.33560000,6.40312424,2
lt_backalley_g,8,0.53560000,6.70820393,2
lt_backalley_g,9,1.22080000,5.83095189,2
lt_backalley_g,10,0.31820000,7.61577311,2
lt_backalley_g,11,1.10220000,8.94427191,2
lt_backalley_g,12,0.32660000,8.06225775,2
lt_backalley_g,13,0.30960000,8.00000000,2
lt_backalley_g,14,0.37460000,10.00000000,2
lt_backalley_g,15,0.32800000,8.24621125,2
lt_backalley_g,16,1.09780000,10.00000000,2
lt_backalley_g,17,1.03520000,9.21954446,2
lt_backalley_g,18,0.65940000,8.54400375,2
lt_backalley_g,19,2.14620000,9.01976484,4
lt_backalley_g,20,0.99940000,12.20655562,2
lt_backalley_g,21,0.84660000,12.36931688,2
lt_backalley_g,22,1.27120000,14.63375802,4
lt_backalley_g,23,0.37640000,15.13274595,2
lt_backalley_g,24,0.34500000,14.31782106,2
lt_backalley_g,25,1.09260000,14.88131749,3
lt_backalley_g,26,0.63660000,13.03840481,2
lt_backalley_g,27,0.53740000,14.56021978,2
lt_backalley_g,28,0.74260000,13.03840481,2
lt_backalley_g,29,0.37720000,15.03329638,2
lt_backalley_g,30,1.41460000,18.43908891,2
lt_backalley_g,31,1.12360000,16.03121954,2
lt_backalley_g,32,0.81640000,18.83878885,3
lt_backalley_g,33,1.56980000,19.02629759,2
lt_backalley_g,34,0.41140000,17.49285568,2
lt_backalley_g,35,0.93360000,17.08800749,2
lt_backalley_g,36,0.66920000,15.26433752,2
lt_backalley_g,37,0.41120000,18.35755975,2
lt_backalley_g,38,0.50140000,18.43908891,2
lt_backalley_g,39,0.97120000,17.20465053,2
