Map,Query Number,Time,Distance,Path Length
lt_gallowscourtyard_n,0,0.44460000,7.00000000,2
lt_gallowscourtyard_n,1,0.48700000,5.09901951,2
lt_gallowscourtyard_n,2,0.36160000,4.47213595,2
lt_gallowscourtyard_n,3,0.81060000,7.07106781,2
lt_gallowscourtyard_n,4,0.30320000,5.00000000,2
lt_gallowscourtyard_n,5,0.29460000,5.65685425,2
lt_gallowscourtyard_n,6,0.40420000,5.38516481,2
lt_gallowscourtyard_n,7,0.88840000,6.70820393,2
lt_gallowscourtyard_n,8,0.40220000,6.08276253,2
lt_gallowscourtyard_n,9,0.26260000,4.24264069,2
lt_gallowscourtyard_n,10,0.44140000,8.06225775,2
lt_gallowscourtyard_n,11,0.36800000,7.81024968,2
lt_gallowscourtyard_n,12,0.37180000,10.81665383,2
lt_gallowscourtyard_n,13,0.90180000,10.19803903,2
lt_gallowscourtyard_n,14,0.30740000,7.81024968,2
lt_gallowscourtyard_n,15,0.41960000,8.24621125,2
lt_gallowscourtyard_n,16,1.16680000,9.21954446,2
lt_gallowscourtyard_n,17,0.52020000,9.48683298,2
lt_gallowscourtyard_n,18,0.98700000,10.24621125,3
lt_gallowscourtyard_n,19,0.39100000,9.05538514,2
lt_gallowscourtyard_n,20,0.56260000,14.56021978,2
lt_gallowscourtyard_n,21,0.56120000,15.03329638,2
lt_gallowscourtyard_n,22,2.43840000,14.81024968,3
lt_gallowscourtyard_n,23,0.74660000,13.34166406,2
lt_gallowscourtyard_n,24,1.50520000,13.77927174,3
lt_gallowscourtyard_n,25,0.43880000,11.18033989,2
lt_gallowscourtyard_n,26,0.34740000,12.72792206,2
lt_gallowscourtyard_n,27,0.89380000,14.56021978,2
lt_gallowscourtyard_n,28,0.68460000,15.00000000,2
lt_gallowscourtyard_n,29,1.34100000,14.21954446,3
lt_gallowscourtyard_n,30,0.89680000,16.27882060,2
lt_gallowscourtyard_n,31,0.58640000,15.62049935,2
lt_gallowscourtyard_n,32,0.22660000,16.40121947,2
lt_gallowscourtyard_n,33,0.22560000,17.46424920,2
lt_gallowscourtyard_n,34,0.26920000,17.46424920,2
lt_gallowscourtyard_n,35,0.38520000,17.69180601,2
lt_gallowscourtyard_n,36,0.31020000,18.00000000,2
lt_gallowscourtyard_n,37,0.36180000,16.15549442,2
lt_gallowscourtyard_n,38,0.39220000,16.15549442,2
lt_gallowscourtyard_n,39,0.56140000,18.43908891,2
lt_gallowscourtyard_n,40,0.68840000,19.23538406,2
lt_gallowscourtyard_n,41,0.39060000,21.93171220,2
lt_gallowscourtyard_n,42,0.41880000,19.23538406,2
lt_gallowscourtyard_n,43,0.29440000,23.02172887,2
lt_gallowscourtyard_n,44,0.41040000,21.09502311,2
lt_gallowscourtyard_n,45,0.71220000,21.95449840,2
lt_gallowscourtyard_n,46,0.34660000,21.95449840,2
lt_gallowscourtyard_n,47,0.53180000,21.18962010,2
lt_gallowscourtyard_n,48,0.37880000,20.61552813,2
lt_gallowscourtyard_n,49,0.59620000,19.72308292,2
lt_gallowscourtyard_n,50,1.74980000,21.83589087,4
lt_gallowscourtyard_n,51,1.14560000,22.56102835,2
lt_gallowscourtyard_n,52,0.43880000,24.08318916,2
lt_gallowscourtyard_n,53,0.34560000,26.30589288,2
lt_gallowscourtyard_n,54,1.09780000,23.86845941,3
lt_gallowscourtyard_n,55,0.35860000,26.01922366,2
lt_gallowscourtyard_n,56,0.33100000,26.90724809,2
lt_gallowscourtyard_n,57,1.84560000,23.66855062,3
lt_gallowscourtyard_n,58,0.56700000,26.20537004,3
lt_gallowscourtyard_n,59,1.59920000,25.71532377,4
lt_gallowscourtyard_n,60,0.88200000,27.12461180,3
lt_gallowscourtyard_n,61,0.33800000,27.89265136,2
lt_gallowscourtyard_n,62,1.16400000,26.76972865,3
lt_gallowscourtyard_n,63,0.89960000,29.16615541,3
lt_gallowscourtyard_n,64,0.69420000,29.42787794,2
lt_gallowscourtyard_n,65,0.70300000,27.20294102,2
lt_gallowscourtyard_n,66,0.58240000,29.05538514,3
lt_gallowscourtyard_n,67,0.21920000,31.06444913,2
lt_gallowscourtyard_n,68,0.18720000,26.92582404,2
lt_gallowscourtyard_n,69,2.46320000,27.22807880,4
lt_gallowscourtyard_n,70,1.34400000,34.13209633,2
lt_gallowscourtyard_n,71,1.35800000,31.62340273,3
lt_gallowscourtyard_n,72,4.50280000,32.38569484,3
lt_gallowscourtyard_n,73,1.91120000,31.14482300,2
lt_gallowscourtyard_n,74,0.33600000,30.80584360,2
lt_gallowscourtyard_n,75,1.29200000,34.05877273,2
lt_gallowscourtyard_n,76,1.35240000,35.05709629,2
lt_gallowscourtyard_n,77,0.62100000,33.24154028,2
lt_gallowscourtyard_n,78,2.25760000,31.24880950,3
lt_gallowscourtyard_n,79,0.67440000,33.01514804,2
lt_gallowscourtyard_n,80,2.19120000,36.18643690,4
lt_gallowscourtyard_n,81,1.28620000,37.33749094,4
lt_gallowscourtyard_n,82,1.91780000,35.22782991,2
lt_gallowscourtyard_n,83,0.23740000,38.00000000,2
lt_gallowscourtyard_n,84,1.15760000,39.01281841,2
lt_gallowscourtyard_n,85,2.58100000,35.86642716,4
lt_gallowscourtyard_n,86,2.07680000,32.14913062,5
lt_gallowscourtyard_n,87,1.85420000,36.25876553,4
lt_gallowscourtyard_n,88,1.03760000,34.95523322,3
lt_gallowscourtyard_n,89,0.80520000,35.84689666,2
lt_gallowscourtyard_n,90,1.72140000,41.59326869,2
lt_gallowscourtyard_n,91,0.83340000,42.52058325,2
lt_gallowscourtyard_n,92,3.26560000,40.59023195,6
lt_gallowscourtyard_n,93,1.54620000,39.11521443,2
lt_gallowscourtyard_n,94,0.42920000,39.21734310,2
lt_gallowscourtyard_n,95,0.35980000,42.52058325,2
lt_gallowscourtyard_n,96,1.65320000,38.22708440,4
lt_gallowscourtyard_n,97,4.94920000,40.66664467,5
lt_gallowscourtyard_n,98,0.22880000,41.30375286,2
lt_gallowscourtyard_n,99,0.92300000,40.00000000,2
lt_gallowscourtyard_n,100,0.84100000,43.65775991,2
lt_gallowscourtyard_n,101,1.58400000,41.44009029,3
lt_gallowscourtyard_n,102,3.38780000,43.52368837,4
lt_gallowscourtyard_n,103,1.22900000,45.31579781,4
lt_gallowscourtyard_n,104,2.48060000,44.72819594,4
lt_gallowscourtyard_n,105,1.32820000,42.78146605,4
lt_gallowscourtyard_n,106,2.58520000,45.27654748,3
lt_gallowscourtyard_n,107,0.93280000,45.00000000,2
lt_gallowscourtyard_n,108,2.97400000,42.71897440,3
