Map,Query Number,Time,Distance,Path Length
lt_gallowstemplar,0,1.14740000,6.70820393,2
lt_gallowstemplar,1,0.59900000,5.00000000,2
lt_gallowstemplar,2,0.83700000,5.83095189,2
lt_gallowstemplar,3,0.41900000,5.00000000,2
lt_gallowstemplar,4,0.42480000,7.07106781,2
lt_gallowstemplar,5,0.91800000,4.00000000,2
lt_gallowstemplar,6,0.93760000,6.08276253,2
lt_gallowstemplar,7,0.49620000,5.09901951,2
lt_gallowstemplar,8,0.52300000,6.40312424,2
lt_gallowstemplar,9,1.10700000,6.83095189,3
lt_gallowstemplar,10,0.87240000,10.77032961,2
lt_gallowstemplar,11,0.55820000,8.60232527,2
lt_gallowstemplar,12,0.54580000,8.94427191,2
lt_gallowstemplar,13,0.46600000,10.00000000,2
lt_gallowstemplar,14,0.76800000,10.81665383,2
lt_gallowstemplar,15,2.33420000,10.63014581,2
lt_gallowstemplar,16,1.12920000,7.61577311,2
lt_gallowstemplar,17,0.59180000,10.48227923,3
lt_gallowstemplar,18,0.54820000,8.60232527,2
lt_gallowstemplar,19,0.39680000,9.89949494,2
lt_gallowstemplar,20,0.99140000,13.34166406,2
lt_gallowstemplar,21,0.31280000,14.42220510,2
lt_gallowstemplar,22,0.35780000,15.13274595,2
lt_gallowstemplar,23,0.28380000,14.00000000,2
lt_gallowstemplar,24,1.59260000,13.84885780,3
lt_gallowstemplar,25,0.91540000,12.64911064,2
lt_gallowstemplar,26,0.26140000,14.86606875,2
lt_gallowstemplar,27,0.30340000,12.36931688,2
lt_gallowstemplar,28,1.01380000,13.60147051,2
lt_gallowstemplar,29,0.56480000,14.76482306,2
lt_gallowstemplar,30,1.41400000,17.51749697,4
lt_gallowstemplar,31,1.04040000,15.23154621,2
lt_gallowstemplar,32,2.50920000,19.00000000,2
lt_gallowstemplar,33,0.86700000,15.29705854,2
lt_gallowstemplar,34,0.31980000,16.27882060,2
lt_gallowstemplar,35,0.76700000,15.81138830,2
lt_gallowstemplar,36,0.31380000,19.20937271,2
lt_gallowstemplar,37,1.43000000,15.81138830,2
lt_gallowstemplar,38,0.36160000,16.40121947,2
lt_gallowstemplar,39,1.42060000,18.32455532,3
lt_gallowstemplar,40,1.08140000,20.02498439,2
lt_gallowstemplar,41,1.37340000,18.97366596,2
lt_gallowstemplar,42,1.03740000,19.41758348,3
lt_gallowstemplar,43,0.42260000,20.09975124,2
lt_gallowstemplar,44,0.46180000,21.02379604,2
lt_gallowstemplar,45,0.48940000,20.09975124,2
lt_gallowstemplar,46,2.13500000,20.83095189,3
lt_gallowstemplar,47,2.55940000,21.26042500,5
lt_gallowstemplar,48,4.67080000,19.34236764,4
lt_gallowstemplar,49,0.66220000,21.37755833,2
lt_gallowstemplar,50,0.30400000,25.00000000,2
lt_gallowstemplar,51,2.70020000,21.70688988,3
lt_gallowstemplar,52,1.67000000,24.28010989,4
lt_gallowstemplar,53,2.59020000,23.51231581,4
lt_gallowstemplar,54,1.93380000,26.00000000,2
lt_gallowstemplar,55,2.27920000,26.34265008,4
lt_gallowstemplar,56,1.62780000,24.75566021,3
lt_gallowstemplar,57,1.99020000,25.96150997,2
lt_gallowstemplar,58,1.67740000,23.40093456,3
lt_gallowstemplar,59,2.21660000,23.23990205,5
lt_gallowstemplar,60,1.99500000,27.35622587,3
lt_gallowstemplar,61,3.99900000,28.35171664,5
lt_gallowstemplar,62,2.05780000,29.83095189,3
lt_gallowstemplar,63,2.65300000,29.27456234,2
lt_gallowstemplar,64,0.61880000,28.44292531,2
lt_gallowstemplar,65,1.07860000,29.83286778,2
lt_gallowstemplar,66,5.23040000,27.69875438,6
lt_gallowstemplar,67,0.88800000,30.00000000,2
lt_gallowstemplar,68,1.41580000,28.07106781,3
lt_gallowstemplar,69,2.28680000,25.74979851,5
lt_gallowstemplar,70,1.46060000,32.80243893,2
lt_gallowstemplar,71,1.01500000,33.24154028,2
lt_gallowstemplar,72,1.12940000,33.24154028,2
lt_gallowstemplar,73,2.10040000,32.83685457,3
lt_gallowstemplar,74,0.43920000,33.10589071,2
lt_gallowstemplar,75,6.35820000,30.85451941,6
lt_gallowstemplar,76,2.32440000,31.24099870,2
lt_gallowstemplar,77,2.85280000,31.02775638,3
lt_gallowstemplar,78,1.15240000,32.75667871,2
lt_gallowstemplar,79,1.42880000,29.84084317,3
lt_gallowstemplar,80,2.18800000,35.62340273,4
lt_gallowstemplar,81,2.07720000,38.07680962,4
lt_gallowstemplar,82,2.32980000,37.48332963,2
lt_gallowstemplar,83,2.08700000,37.12425209,4
lt_gallowstemplar,84,3.86740000,37.20556908,5
lt_gallowstemplar,85,7.30780000,31.64917357,6
lt_gallowstemplar,86,2.84740000,35.68711080,3
lt_gallowstemplar,87,1.34400000,34.52535300,2
lt_gallowstemplar,88,1.43240000,37.01351105,2
lt_gallowstemplar,89,8.26220000,36.46957560,7
lt_gallowstemplar,90,3.59580000,37.31370850,6
lt_gallowstemplar,91,0.97120000,37.49242250,3
lt_gallowstemplar,92,1.78600000,40.26863134,4
lt_gallowstemplar,93,2.03160000,40.24922359,2
lt_gallowstemplar,94,2.27360000,41.75324530,4
lt_gallowstemplar,95,1.53200000,38.30150389,4
lt_gallowstemplar,96,9.56060000,40.12328436,6
lt_gallowstemplar,97,4.57720000,38.67017498,6
lt_gallowstemplar,98,2.81560000,40.01851217,3
lt_gallowstemplar,99,1.77960000,39.37344678,4
lt_gallowstemplar,100,1.91320000,41.23105626,2
lt_gallowstemplar,101,3.13000000,42.09149816,5
lt_gallowstemplar,102,1.29840000,41.14608122,2
lt_gallowstemplar,103,0.99140000,40.88029907,3
lt_gallowstemplar,104,6.70460000,41.33038234,6
lt_gallowstemplar,105,7.48600000,46.25699922,4
lt_gallowstemplar,106,2.25220000,44.12999394,3
lt_gallowstemplar,107,1.28280000,45.18178280,3
lt_gallowstemplar,108,2.60100000,44.96965558,4
lt_gallowstemplar,109,0.98900000,43.56856938,3
lt_gallowstemplar,110,1.20440000,47.67598976,2
lt_gallowstemplar,111,3.00700000,49.76021267,4
lt_gallowstemplar,112,1.27580000,45.22167622,2
lt_gallowstemplar,113,8.30980000,47.01168657,5
lt_gallowstemplar,114,3.69580000,46.53040511,3
lt_gallowstemplar,115,3.77880000,48.25175203,5
lt_gallowstemplar,116,2.34800000,48.52588875,3
lt_gallowstemplar,117,7.59660000,47.80273425,4
lt_gallowstemplar,118,3.99480000,45.63281777,4
lt_gallowstemplar,119,1.31080000,45.54119015,2
lt_gallowstemplar,120,8.01820000,52.54788030,5
lt_gallowstemplar,121,1.85280000,51.81243219,3
lt_gallowstemplar,122,2.11540000,53.13135281,5
lt_gallowstemplar,123,4.99240000,50.99776587,4
lt_gallowstemplar,124,1.70340000,49.96179477,3
lt_gallowstemplar,125,2.73380000,49.28894810,4
lt_gallowstemplar,126,5.42640000,48.87103386,5
lt_gallowstemplar,127,2.44340000,50.82509573,5
lt_gallowstemplar,128,4.45080000,51.18512140,5
lt_gallowstemplar,129,9.48300000,50.21461643,4
lt_gallowstemplar,130,4.62140000,52.25538112,4
lt_gallowstemplar,131,4.59600000,55.46851556,7
lt_gallowstemplar,132,1.88260000,56.60147051,3
lt_gallowstemplar,133,2.54040000,52.42104077,4
lt_gallowstemplar,134,1.64580000,54.39548976,4
lt_gallowstemplar,135,7.91500000,50.99582517,6
lt_gallowstemplar,136,10.73420000,53.53658995,5
lt_gallowstemplar,137,3.81820000,57.02629759,5
lt_gallowstemplar,138,15.49140000,54.09381731,8
lt_gallowstemplar,139,5.76900000,52.58165456,5
lt_gallowstemplar,140,3.50700000,58.24215007,6
lt_gallowstemplar,141,7.64980000,55.01423137,6
lt_gallowstemplar,142,3.26580000,59.17039563,5
lt_gallowstemplar,143,7.48520000,57.94605512,6
lt_gallowstemplar,144,3.29680000,59.16157128,5
lt_gallowstemplar,145,1.48440000,60.03332408,2
lt_gallowstemplar,146,3.01100000,55.62917623,4
lt_gallowstemplar,147,5.93360000,59.59586206,6
lt_gallowstemplar,148,3.01940000,58.30240934,5
lt_gallowstemplar,149,5.70220000,57.39560146,6
lt_gallowstemplar,150,15.39200000,62.40357720,7
lt_gallowstemplar,151,7.45080000,64.89840409,5
lt_gallowstemplar,152,18.27800000,62.80686894,5
lt_gallowstemplar,153,1.78440000,64.66106493,3
lt_gallowstemplar,154,3.14780000,61.52692798,5
lt_gallowstemplar,155,21.55160000,62.17307441,4
lt_gallowstemplar,156,4.85360000,61.42178108,6
lt_gallowstemplar,157,2.15360000,62.60756775,5
lt_gallowstemplar,158,2.62880000,64.29989243,4
lt_gallowstemplar,159,3.55480000,62.39186263,5
lt_gallowstemplar,160,5.40300000,61.50993358,5
lt_gallowstemplar,161,3.32280000,66.54400251,5
lt_gallowstemplar,162,4.62260000,68.42555426,4
lt_gallowstemplar,163,18.79640000,61.95893128,9
lt_gallowstemplar,164,15.39160000,66.39549682,10
lt_gallowstemplar,165,11.44100000,69.48132609,3
lt_gallowstemplar,166,4.96760000,62.49540968,6
lt_gallowstemplar,167,4.45840000,62.89904623,5
lt_gallowstemplar,168,3.44460000,64.13332010,6
lt_gallowstemplar,169,2.33500000,68.00000000,2
lt_gallowstemplar,170,6.28400000,69.55464171,8
lt_gallowstemplar,171,7.97200000,71.01514804,4
lt_gallowstemplar,172,6.65300000,66.35369008,4
lt_gallowstemplar,173,5.21520000,67.41236930,6
lt_gallowstemplar,174,3.67600000,70.52375634,3
lt_gallowstemplar,175,6.28780000,68.55764119,4
lt_gallowstemplar,176,4.52300000,71.60084744,3
lt_gallowstemplar,177,5.80920000,70.02189039,6
lt_gallowstemplar,178,2.56380000,73.49038003,5
lt_gallowstemplar,179,9.27240000,70.02189039,5
lt_gallowstemplar,180,1.91480000,76.49419504,3
lt_gallowstemplar,181,8.14380000,74.91507340,6
lt_gallowstemplar,182,17.62560000,72.09617910,6
lt_gallowstemplar,183,14.11660000,72.04630856,5
lt_gallowstemplar,184,8.77540000,69.70914806,6
lt_gallowstemplar,185,1.92460000,76.44788183,3
lt_gallowstemplar,186,5.78280000,74.98073044,8
lt_gallowstemplar,187,5.24760000,72.14191468,5
lt_gallowstemplar,188,5.37560000,78.76883581,4
lt_gallowstemplar,189,6.85880000,71.74483450,7
lt_gallowstemplar,190,14.01180000,75.38023555,6
lt_gallowstemplar,191,3.45700000,76.43466435,5
lt_gallowstemplar,192,13.51020000,78.77555266,5
lt_gallowstemplar,193,3.44640000,77.26485172,5
lt_gallowstemplar,194,21.22220000,79.61021544,4
lt_gallowstemplar,195,9.60740000,72.18234584,10
lt_gallowstemplar,196,8.14880000,77.43452048,10
lt_gallowstemplar,197,2.29980000,80.09993758,2
lt_gallowstemplar,198,11.12060000,77.97034936,6
lt_gallowstemplar,199,4.36660000,76.03366315,6
lt_gallowstemplar,200,4.08280000,78.67246561,4
lt_gallowstemplar,201,11.85720000,79.92190068,5
lt_gallowstemplar,202,8.09060000,80.18160156,6
lt_gallowstemplar,203,8.07040000,78.14381237,5
lt_gallowstemplar,204,7.61820000,76.33986672,7
lt_gallowstemplar,205,6.73580000,80.79635099,5
lt_gallowstemplar,206,10.17600000,78.72027776,5
lt_gallowstemplar,207,4.67620000,78.58667649,7
lt_gallowstemplar,208,5.67880000,81.97680563,4
lt_gallowstemplar,209,11.26000000,82.51866218,6
lt_gallowstemplar,210,2.06880000,87.46427842,2
lt_gallowstemplar,211,5.71100000,87.05510242,6
lt_gallowstemplar,212,5.25540000,84.32756462,5
lt_gallowstemplar,213,6.23020000,84.54214226,6
lt_gallowstemplar,214,5.22640000,83.04295368,5
lt_gallowstemplar,215,15.17700000,80.79625525,9
lt_gallowstemplar,216,4.76520000,83.60891965,4
lt_gallowstemplar,217,10.16160000,82.30911554,6
lt_gallowstemplar,218,9.10660000,83.61308295,5
lt_gallowstemplar,219,2.92260000,83.95137150,5
lt_gallowstemplar,220,3.76880000,86.15071192,6
lt_gallowstemplar,221,26.83060000,89.36342419,9
lt_gallowstemplar,222,13.88140000,88.25338736,6
lt_gallowstemplar,223,6.87600000,88.44785027,8
lt_gallowstemplar,224,10.53320000,86.68094298,7
lt_gallowstemplar,225,8.31900000,88.69947720,5
lt_gallowstemplar,226,3.32600000,93.00000000,3
lt_gallowstemplar,227,8.81300000,85.64908620,7
lt_gallowstemplar,228,3.65460000,90.49080716,3
lt_gallowstemplar,229,12.05760000,89.16103297,5
lt_gallowstemplar,230,26.45700000,95.39047122,6
lt_gallowstemplar,231,13.13980000,92.95482650,7
lt_gallowstemplar,232,3.99400000,98.04835627,4
lt_gallowstemplar,233,10.47320000,90.55677091,9
lt_gallowstemplar,234,7.22980000,97.17666898,4
lt_gallowstemplar,235,12.48820000,88.61600727,6
lt_gallowstemplar,236,9.96420000,92.00755443,7
lt_gallowstemplar,237,5.35380000,94.00916649,4
lt_gallowstemplar,238,34.08380000,93.62139069,9
lt_gallowstemplar,239,2.78780000,95.52486587,2
lt_gallowstemplar,240,2.27180000,97.36238015,5
lt_gallowstemplar,241,22.87920000,95.58180623,9
lt_gallowstemplar,242,5.53400000,99.92582404,3
lt_gallowstemplar,243,6.69720000,93.42746324,5
lt_gallowstemplar,244,16.43040000,97.95634443,6
lt_gallowstemplar,245,21.62880000,96.84448475,9
lt_gallowstemplar,246,8.62360000,92.32651274,8
lt_gallowstemplar,247,2.82640000,95.41783710,4
lt_gallowstemplar,248,20.21800000,98.83635604,4
lt_gallowstemplar,249,13.24460000,91.50898989,10
lt_gallowstemplar,250,7.69420000,101.90625068,6
lt_gallowstemplar,251,2.97600000,99.07241832,6
lt_gallowstemplar,252,4.41320000,100.56700880,5
lt_gallowstemplar,253,9.52700000,97.79980204,7
lt_gallowstemplar,254,9.16660000,95.57439592,6
lt_gallowstemplar,255,48.53200000,98.22895277,8
lt_gallowstemplar,256,20.63920000,97.14623033,8
lt_gallowstemplar,257,21.08760000,102.45004017,8
lt_gallowstemplar,258,3.14640000,100.62121377,5
lt_gallowstemplar,259,6.92980000,99.12666179,6
lt_gallowstemplar,260,13.39000000,104.12225824,6
lt_gallowstemplar,261,54.02560000,101.63383796,12
lt_gallowstemplar,262,12.38160000,104.60784074,8
lt_gallowstemplar,263,14.90120000,102.78587564,8
lt_gallowstemplar,264,3.37420000,102.70259323,6
lt_gallowstemplar,265,8.88160000,105.47604680,7
lt_gallowstemplar,266,12.92820000,104.96188667,8
lt_gallowstemplar,267,11.45640000,104.23502852,7
lt_gallowstemplar,268,27.86940000,100.82233674,9
lt_gallowstemplar,269,8.03680000,108.91194669,5
lt_gallowstemplar,270,8.62440000,102.93495923,6
lt_gallowstemplar,271,15.94360000,106.78033277,9
lt_gallowstemplar,272,26.85940000,109.64542507,6
lt_gallowstemplar,273,20.98840000,105.64397427,8
lt_gallowstemplar,274,6.75000000,109.21110255,4
lt_gallowstemplar,275,18.42480000,104.64604977,7
lt_gallowstemplar,276,6.24520000,106.87142415,6
lt_gallowstemplar,277,6.82400000,109.50064616,7
lt_gallowstemplar,278,45.62320000,106.68632518,8
lt_gallowstemplar,279,10.65560000,108.38106299,5
lt_gallowstemplar,280,15.98200000,111.53622415,6
lt_gallowstemplar,281,3.99560000,118.84885780,3
lt_gallowstemplar,282,25.38680000,112.25555819,6
lt_gallowstemplar,283,5.95100000,109.17490446,5
lt_gallowstemplar,284,11.99420000,109.21160476,9
lt_gallowstemplar,285,21.49820000,109.42285907,11
lt_gallowstemplar,286,15.28420000,108.89527476,9
lt_gallowstemplar,287,13.36260000,114.46155982,6
lt_gallowstemplar,288,12.16480000,111.70882190,7
lt_gallowstemplar,289,13.71940000,117.00972299,4
lt_gallowstemplar,290,15.66580000,114.06555612,8
lt_gallowstemplar,291,12.92180000,115.22627115,8
lt_gallowstemplar,292,15.82080000,111.28329291,8
lt_gallowstemplar,293,32.01360000,112.61502692,7
lt_gallowstemplar,294,15.95160000,114.52763706,6
lt_gallowstemplar,295,15.36120000,114.11029601,5
lt_gallowstemplar,296,25.46040000,114.91812724,9
lt_gallowstemplar,297,42.04300000,116.75811992,5
lt_gallowstemplar,298,8.67380000,117.16646762,6
lt_gallowstemplar,299,9.62380000,112.57942706,6
lt_gallowstemplar,300,34.11280000,116.42863925,8
lt_gallowstemplar,301,25.41680000,116.00078478,8
lt_gallowstemplar,302,8.97420000,120.28462734,4
lt_gallowstemplar,303,15.19580000,117.17543603,6
lt_gallowstemplar,304,13.47800000,118.63194894,9
lt_gallowstemplar,305,24.10120000,114.70708889,9
lt_gallowstemplar,306,14.49440000,124.08449805,4
lt_gallowstemplar,307,10.10900000,118.34572769,8
lt_gallowstemplar,308,28.32160000,115.78947694,9
lt_gallowstemplar,309,3.46460000,124.20677125,3
lt_gallowstemplar,310,6.66980000,123.87602893,4
lt_gallowstemplar,311,18.60440000,124.78423599,6
lt_gallowstemplar,312,25.35620000,121.37724069,8
lt_gallowstemplar,313,30.44720000,121.82822857,7
lt_gallowstemplar,314,13.02380000,120.03629719,8
lt_gallowstemplar,315,17.47880000,122.74663632,7
lt_gallowstemplar,316,12.44320000,120.82249773,9
lt_gallowstemplar,317,25.78740000,124.50286973,6
lt_gallowstemplar,318,21.18980000,123.59621328,6
lt_gallowstemplar,319,18.44260000,121.88037415,7
lt_gallowstemplar,320,20.55600000,130.27375395,4
lt_gallowstemplar,321,23.10100000,127.78360883,8
lt_gallowstemplar,322,38.34540000,127.04476110,7
lt_gallowstemplar,323,22.47840000,125.62086304,10
lt_gallowstemplar,324,16.76580000,129.50157181,4
lt_gallowstemplar,325,17.50520000,122.67746854,10
lt_gallowstemplar,326,18.77160000,127.43902560,8
lt_gallowstemplar,327,10.98540000,129.66452634,7
lt_gallowstemplar,328,31.39740000,128.31513437,7
lt_gallowstemplar,329,18.01520000,127.60340030,6
lt_gallowstemplar,330,13.16920000,135.68758765,6
lt_gallowstemplar,331,17.26880000,129.06703398,9
lt_gallowstemplar,332,17.69760000,131.51600904,6
