Map,Query Number,Time,Distance,Path Length
lt_hangedman_n,0,1.28620000,5.38516481,2
lt_hangedman_n,1,0.45740000,4.12310563,2
lt_hangedman_n,2,0.52640000,6.00000000,2
lt_hangedman_n,3,1.37320000,7.07106781,2
lt_hangedman_n,4,0.33140000,4.47213595,2
lt_hangedman_n,5,1.00640000,5.09901951,2
lt_hangedman_n,6,0.37580000,6.08276253,2
lt_hangedman_n,7,0.37660000,6.32455532,2
lt_hangedman_n,8,0.44380000,6.00000000,2
lt_hangedman_n,9,0.39140000,5.09901951,2
lt_hangedman_n,10,0.90180000,8.00000000,2
lt_hangedman_n,11,0.86840000,9.05538514,2
lt_hangedman_n,12,3.76060000,9.85730076,3
lt_hangedman_n,13,0.59340000,8.24621125,2
lt_hangedman_n,14,0.91380000,8.00000000,2
lt_hangedman_n,15,0.40880000,7.61577311,2
lt_hangedman_n,16,0.86500000,10.00000000,2
lt_hangedman_n,17,0.71360000,9.48683298,2
lt_hangedman_n,18,0.71440000,8.24621125,2
lt_hangedman_n,19,0.85100000,10.77032961,2
lt_hangedman_n,20,1.54920000,14.38681307,3
lt_hangedman_n,21,0.38840000,12.16552506,2
lt_hangedman_n,22,4.42640000,13.54400375,3
lt_hangedman_n,23,2.86420000,14.56804390,4
lt_hangedman_n,24,0.51140000,13.41640786,2
lt_hangedman_n,25,1.08120000,11.40175425,2
lt_hangedman_n,26,0.90440000,14.86606875,2
lt_hangedman_n,27,0.92240000,12.12310563,3
lt_hangedman_n,28,0.41620000,12.80624847,2
lt_hangedman_n,29,1.24040000,12.64911064,2
lt_hangedman_n,30,0.79240000,15.62049935,2
lt_hangedman_n,31,4.01500000,16.60555128,3
lt_hangedman_n,32,1.28060000,17.28180221,3
lt_hangedman_n,33,1.62820000,18.11213337,3
lt_hangedman_n,34,1.68920000,17.11724277,2
lt_hangedman_n,35,0.36300000,16.12451550,2
lt_hangedman_n,36,1.16880000,15.81138830,2
lt_hangedman_n,37,1.19680000,16.40312424,3
lt_hangedman_n,38,1.80660000,16.12899020,4
lt_hangedman_n,39,1.28720000,17.46424920,2
lt_hangedman_n,40,1.28080000,19.40175425,4
lt_hangedman_n,41,1.51240000,20.03329638,3
lt_hangedman_n,42,2.68240000,20.09035957,4
