Map,Query Number,Time,Distance,Path Length
lt_ruinedhouse_n,0,1.12220000,6.70820393,2
lt_ruinedhouse_n,1,0.53240000,7.21110255,2
lt_ruinedhouse_n,2,0.36740000,5.00000000,2
lt_ruinedhouse_n,3,0.20300000,5.83095189,2
lt_ruinedhouse_n,4,0.19220000,6.40312424,2
lt_ruinedhouse_n,5,0.28580000,6.08276253,2
lt_ruinedhouse_n,6,0.72700000,5.09901951,2
lt_ruinedhouse_n,7,0.96260000,6.40312424,2
lt_ruinedhouse_n,8,0.26320000,5.65685425,2
lt_ruinedhouse_n,9,0.43040000,5.83095189,2
lt_ruinedhouse_n,10,0.74400000,9.43398113,2
lt_ruinedhouse_n,11,0.30160000,10.63014581,2
lt_ruinedhouse_n,12,0.40080000,11.18033989,2
lt_ruinedhouse_n,13,1.34040000,7.65685425,4
lt_ruinedhouse_n,14,0.73060000,8.31883051,3
lt_ruinedhouse_n,15,0.85380000,10.04987562,2
lt_ruinedhouse_n,16,0.56980000,9.84885780,2
lt_ruinedhouse_n,17,0.31280000,7.61577311,2
lt_ruinedhouse_n,18,0.52180000,8.06225775,2
lt_ruinedhouse_n,19,0.65800000,11.00000000,2
lt_ruinedhouse_n,20,0.24860000,14.00000000,2
lt_ruinedhouse_n,21,0.31060000,14.14213562,2
lt_ruinedhouse_n,22,0.58740000,13.03840481,2
lt_ruinedhouse_n,23,0.63560000,13.03840481,2
lt_ruinedhouse_n,24,1.12200000,10.99322956,4
lt_ruinedhouse_n,25,0.75980000,13.15294644,2
lt_ruinedhouse_n,26,0.64760000,14.21267040,2
lt_ruinedhouse_n,27,0.60300000,13.15294644,2
lt_ruinedhouse_n,28,0.83660000,10.70820393,3
lt_ruinedhouse_n,29,0.62520000,11.18033989,2
lt_ruinedhouse_n,30,0.22860000,16.03121954,2
lt_ruinedhouse_n,31,0.56640000,18.60107524,2
lt_ruinedhouse_n,32,1.07940000,18.40312424,4
lt_ruinedhouse_n,33,0.53800000,18.43908891,2
lt_ruinedhouse_n,34,0.92540000,16.01533972,3
lt_ruinedhouse_n,35,1.25520000,15.65685425,3
lt_ruinedhouse_n,36,0.45920000,16.12451550,2
lt_ruinedhouse_n,37,0.79300000,16.00000000,2
lt_ruinedhouse_n,38,0.99380000,16.03121954,2
lt_ruinedhouse_n,39,1.08760000,16.15537446,3
lt_ruinedhouse_n,40,0.55820000,20.88061302,2
lt_ruinedhouse_n,41,0.91820000,19.31320792,2
lt_ruinedhouse_n,42,0.79260000,21.81665383,3
lt_ruinedhouse_n,43,1.66320000,22.46742578,7
lt_ruinedhouse_n,44,0.37700000,20.80865205,2
lt_ruinedhouse_n,45,0.39760000,19.23538406,2
lt_ruinedhouse_n,46,1.85540000,20.42989763,4
lt_ruinedhouse_n,47,0.59420000,22.02271555,2
lt_ruinedhouse_n,48,0.22800000,21.02379604,2
lt_ruinedhouse_n,49,0.80700000,20.01528880,3
lt_ruinedhouse_n,50,0.65080000,25.70992026,2
lt_ruinedhouse_n,51,1.36060000,22.87844436,4
lt_ruinedhouse_n,52,1.05900000,23.21320344,3
lt_ruinedhouse_n,53,0.82740000,23.70653918,2
lt_ruinedhouse_n,54,1.98800000,26.31218533,6
lt_ruinedhouse_n,55,1.02080000,23.44334883,3
lt_ruinedhouse_n,56,0.76380000,24.02082430,2
lt_ruinedhouse_n,57,1.42160000,26.77328308,4
lt_ruinedhouse_n,58,1.55080000,25.30698474,5
lt_ruinedhouse_n,59,0.94220000,23.53720459,2
lt_ruinedhouse_n,60,1.06200000,26.25284084,4
lt_ruinedhouse_n,61,1.35640000,28.43043514,5
lt_ruinedhouse_n,62,1.13740000,28.44503597,3
lt_ruinedhouse_n,63,1.59800000,29.72792206,4
lt_ruinedhouse_n,64,1.62180000,26.42683078,6
lt_ruinedhouse_n,65,1.42380000,28.48512981,5
lt_ruinedhouse_n,66,1.10900000,27.88007734,4
lt_ruinedhouse_n,67,0.91220000,29.17950052,4
lt_ruinedhouse_n,68,0.91560000,26.92582404,2
lt_ruinedhouse_n,69,1.27160000,29.78653056,3
lt_ruinedhouse_n,70,1.45480000,30.73213749,3
lt_ruinedhouse_n,71,1.41380000,32.58144760,4
lt_ruinedhouse_n,72,1.38920000,30.95777464,3
lt_ruinedhouse_n,73,1.68080000,32.51352401,7
lt_ruinedhouse_n,74,1.04940000,31.67480754,5
lt_ruinedhouse_n,75,1.15700000,33.06055051,2
lt_ruinedhouse_n,76,1.26800000,34.11077028,3
lt_ruinedhouse_n,77,1.40560000,34.76652526,6
lt_ruinedhouse_n,78,1.92160000,31.17785780,6
lt_ruinedhouse_n,79,1.05500000,34.05877273,2
lt_ruinedhouse_n,80,1.60600000,35.83516978,4
lt_ruinedhouse_n,81,1.49980000,33.88341648,5
lt_ruinedhouse_n,82,1.00760000,35.62637991,4
lt_ruinedhouse_n,83,1.32080000,34.52417470,4
lt_ruinedhouse_n,84,1.46800000,34.94746652,4
lt_ruinedhouse_n,85,1.25920000,34.99160048,7
lt_ruinedhouse_n,86,0.85220000,33.83784863,2
lt_ruinedhouse_n,87,1.19620000,35.23876812,3
lt_ruinedhouse_n,88,1.69980000,34.75475761,4
lt_ruinedhouse_n,89,1.38980000,36.84885780,4
lt_ruinedhouse_n,90,0.93720000,38.82378877,4
lt_ruinedhouse_n,91,0.90720000,38.19273079,4
lt_ruinedhouse_n,92,1.92100000,39.18154611,4
lt_ruinedhouse_n,93,1.20440000,38.01315562,2
lt_ruinedhouse_n,94,1.93660000,39.25573887,5
lt_ruinedhouse_n,95,1.43120000,41.14049364,3
lt_ruinedhouse_n,96,1.54820000,38.60814451,8
lt_ruinedhouse_n,97,2.02960000,39.47238295,5
lt_ruinedhouse_n,98,1.70400000,39.85632905,5
lt_ruinedhouse_n,99,1.18740000,40.89907282,4
lt_ruinedhouse_n,100,2.22880000,41.56882534,8
lt_ruinedhouse_n,101,2.08220000,43.50016578,5
lt_ruinedhouse_n,102,1.52920000,43.39970530,6
lt_ruinedhouse_n,103,1.14280000,44.75900243,4
lt_ruinedhouse_n,104,1.52660000,42.76258920,5
lt_ruinedhouse_n,105,1.38860000,42.13792321,6
lt_ruinedhouse_n,106,1.15820000,43.80159372,4
lt_ruinedhouse_n,107,1.48960000,42.80948508,3
lt_ruinedhouse_n,108,2.28980000,43.53260488,9
lt_ruinedhouse_n,109,1.86880000,41.96678099,5
lt_ruinedhouse_n,110,1.72220000,49.06845867,4
lt_ruinedhouse_n,111,2.32440000,46.50504307,8
lt_ruinedhouse_n,112,1.88080000,47.52442743,5
lt_ruinedhouse_n,113,1.56940000,49.00145483,5
lt_ruinedhouse_n,114,1.46060000,49.75251380,4
lt_ruinedhouse_n,115,1.74040000,46.88028692,5
lt_ruinedhouse_n,116,2.30340000,47.09525452,6
lt_ruinedhouse_n,117,1.54460000,45.95167048,5
lt_ruinedhouse_n,118,1.47800000,46.50849753,5
lt_ruinedhouse_n,119,1.72260000,46.81405015,8
lt_ruinedhouse_n,120,1.23880000,50.06747199,4
lt_ruinedhouse_n,121,1.76380000,52.76074256,6
lt_ruinedhouse_n,122,1.39660000,51.50381570,5
lt_ruinedhouse_n,123,2.24740000,50.89539224,6
lt_ruinedhouse_n,124,1.60020000,48.85666731,5
lt_ruinedhouse_n,125,1.62520000,49.31158913,5
lt_ruinedhouse_n,126,1.42560000,50.88086850,4
lt_ruinedhouse_n,127,1.34040000,51.30748069,5
lt_ruinedhouse_n,128,1.48800000,51.22790448,4
lt_ruinedhouse_n,129,1.69180000,51.02757064,4
lt_ruinedhouse_n,130,1.48200000,53.33584005,4
lt_ruinedhouse_n,131,1.18500000,55.47075698,4
lt_ruinedhouse_n,132,2.13080000,55.80473168,6
lt_ruinedhouse_n,133,0.84560000,54.34724402,4
lt_ruinedhouse_n,134,1.59880000,56.28814184,4
lt_ruinedhouse_n,135,1.82900000,54.44481529,4
lt_ruinedhouse_n,136,1.69080000,56.83982069,4
lt_ruinedhouse_n,137,4.42740000,54.14761169,4
lt_ruinedhouse_n,138,1.15940000,54.16513975,4
lt_ruinedhouse_n,139,1.10400000,55.28764600,4
lt_ruinedhouse_n,140,0.92420000,56.26141167,4
lt_ruinedhouse_n,141,0.87440000,57.82512736,4
lt_ruinedhouse_n,142,1.54520000,56.51281004,5
lt_ruinedhouse_n,143,1.45200000,58.87427312,5
lt_ruinedhouse_n,144,1.42860000,57.15612702,4
lt_ruinedhouse_n,145,1.30300000,57.26676607,4
lt_ruinedhouse_n,146,0.84860000,58.68530534,4
lt_ruinedhouse_n,147,1.74700000,56.65374610,6
lt_ruinedhouse_n,148,1.95040000,57.38655543,6
lt_ruinedhouse_n,149,1.74400000,57.69160577,4
