Map,Query Number,Time,Distance,Path Length
lt_warehouse,0,0.45520000,5.38516481,2
lt_warehouse,1,0.75940000,7.07106781,2
lt_warehouse,2,0.45100000,5.83095189,2
lt_warehouse,3,0.83240000,5.00000000,2
lt_warehouse,4,0.88300000,6.40312424,2
lt_warehouse,5,0.37700000,7.28010989,2
lt_warehouse,6,0.70140000,5.09901951,2
lt_warehouse,7,1.64500000,5.47213595,3
lt_warehouse,8,0.94260000,4.47213595,2
lt_warehouse,9,0.74880000,5.00000000,2
lt_warehouse,10,0.39340000,10.44030651,2
lt_warehouse,11,0.86540000,8.06225775,2
lt_warehouse,12,0.81580000,7.61577311,2
lt_warehouse,13,0.87820000,8.06225775,2
lt_warehouse,14,0.65580000,11.04536102,2
lt_warehouse,15,0.64780000,8.00000000,2
lt_warehouse,16,0.41440000,8.24621125,2
lt_warehouse,17,0.83140000,10.29563014,2
lt_warehouse,18,0.31440000,8.24621125,2
lt_warehouse,19,0.50740000,11.00000000,2
lt_warehouse,20,1.31060000,14.41421356,3
lt_warehouse,21,0.89500000,12.16552506,2
lt_warehouse,22,0.63820000,11.66190379,2
lt_warehouse,23,0.25100000,12.04159458,2
lt_warehouse,24,0.54000000,14.31782106,2
lt_warehouse,25,0.55960000,15.13274595,2
lt_warehouse,26,0.32540000,11.70469991,2
lt_warehouse,27,0.29100000,13.00000000,2
lt_warehouse,28,0.33460000,12.20655562,2
lt_warehouse,29,1.18380000,13.92838828,2
lt_warehouse,30,0.93080000,19.10497317,2
lt_warehouse,31,0.51380000,18.24828759,2
lt_warehouse,32,0.67540000,17.11724277,2
lt_warehouse,33,0.65020000,17.08800749,2
lt_warehouse,34,0.69720000,16.29061227,3
lt_warehouse,35,0.47200000,18.02775638,2
lt_warehouse,36,0.63300000,17.20465053,2
lt_warehouse,37,0.84580000,16.12451550,2
lt_warehouse,38,1.26400000,19.28010989,3
lt_warehouse,39,0.49240000,16.97056275,2
lt_warehouse,40,1.15840000,20.20937271,3
lt_warehouse,41,0.84660000,19.41648784,2
lt_warehouse,42,0.89320000,19.70031717,3
lt_warehouse,43,0.89060000,19.64688270,2
lt_warehouse,44,0.64740000,22.09072203,2
lt_warehouse,45,1.04760000,21.64911064,3
lt_warehouse,46,1.51580000,20.37338021,4
lt_warehouse,47,0.84440000,22.62741700,2
lt_warehouse,48,1.35080000,21.18962010,2
lt_warehouse,49,0.61460000,21.09502311,2
lt_warehouse,50,0.97800000,23.70653918,2
lt_warehouse,51,1.32120000,23.43074903,2
lt_warehouse,52,1.20860000,21.33907241,3
lt_warehouse,53,1.56460000,25.32998551,5
lt_warehouse,54,1.91300000,22.65685425,3
lt_warehouse,55,1.78380000,24.98983178,4
lt_warehouse,56,1.40120000,21.51076159,3
lt_warehouse,57,0.64360000,25.17935662,2
lt_warehouse,58,1.06480000,26.00000000,2
lt_warehouse,59,1.52300000,24.95141815,3
lt_warehouse,60,1.20440000,29.91414105,3
lt_warehouse,61,0.96420000,28.44292531,2
lt_warehouse,62,1.78720000,27.20294102,2
lt_warehouse,63,0.95620000,27.51363298,2
lt_warehouse,64,1.64320000,25.09172149,5
lt_warehouse,65,1.74560000,26.40093456,3
lt_warehouse,66,1.33800000,30.07726343,4
lt_warehouse,67,1.48740000,29.68222335,5
lt_warehouse,68,1.61200000,26.41968963,2
lt_warehouse,69,0.95700000,27.31300057,2
lt_warehouse,70,0.82720000,31.29756038,4
lt_warehouse,71,0.63420000,32.69556545,2
lt_warehouse,72,2.04920000,34.13976767,3
lt_warehouse,73,0.98040000,31.98899193,3
lt_warehouse,74,2.02120000,31.94712798,5
lt_warehouse,75,0.71260000,30.59411708,2
lt_warehouse,76,2.32880000,32.97779874,4
lt_warehouse,77,1.68880000,31.40749281,3
lt_warehouse,78,1.88860000,33.18772524,5
lt_warehouse,79,1.19940000,32.41455874,5
lt_warehouse,80,2.13060000,35.47560222,5
lt_warehouse,81,2.92100000,35.71099050,5
lt_warehouse,82,2.25340000,37.06225775,4
lt_warehouse,83,1.13060000,36.22154055,2
lt_warehouse,84,1.32120000,34.75037428,3
lt_warehouse,85,1.90540000,35.99581292,5
lt_warehouse,86,0.81880000,39.01281841,2
