Map,Query Number,Time,Distance,Path Length
w_bonepitmining_a2,0,0.69120000,7.28010989,2
w_bonepitmining_a2,1,0.93220000,7.28010989,2
w_bonepitmining_a2,2,1.35060000,6.70820393,2
w_bonepitmining_a2,3,0.51420000,5.09901951,2
w_bonepitmining_a2,4,0.75500000,5.00000000,2
w_bonepitmining_a2,5,0.87240000,6.70820393,2
w_bonepitmining_a2,6,0.75300000,6.40312424,2
w_bonepitmining_a2,7,0.73740000,4.47213595,2
w_bonepitmining_a2,8,0.34820000,6.00000000,2
w_bonepitmining_a2,9,0.72200000,6.32455532,2
w_bonepitmining_a2,10,1.08080000,8.24621125,2
w_bonepitmining_a2,11,0.71600000,8.60232527,2
w_bonepitmining_a2,12,0.92940000,8.06225775,2
w_bonepitmining_a2,13,0.41120000,8.06225775,2
w_bonepitmining_a2,14,0.39500000,9.43398113,2
w_bonepitmining_a2,15,1.23360000,9.05538514,2
w_bonepitmining_a2,16,0.98240000,8.94427191,2
w_bonepitmining_a2,17,0.55760000,9.84885780,2
w_bonepitmining_a2,18,0.90980000,10.00000000,2
w_bonepitmining_a2,19,0.82600000,10.00000000,2
w_bonepitmining_a2,20,0.38460000,13.89244399,2
w_bonepitmining_a2,21,0.41380000,12.20655562,2
w_bonepitmining_a2,22,1.67480000,14.45261837,3
w_bonepitmining_a2,23,0.89900000,15.00000000,2
w_bonepitmining_a2,24,1.41260000,12.04159458,2
w_bonepitmining_a2,25,0.45760000,13.60147051,2
w_bonepitmining_a2,26,1.15200000,11.18033989,2
w_bonepitmining_a2,27,0.94740000,15.00000000,2
w_bonepitmining_a2,28,0.70820000,12.52996409,2
w_bonepitmining_a2,29,1.23600000,14.56021978,2
w_bonepitmining_a2,30,2.01780000,16.88634952,5
w_bonepitmining_a2,31,1.10300000,15.52417470,2
w_bonepitmining_a2,32,1.70000000,18.19557404,3
w_bonepitmining_a2,33,0.44360000,18.60107524,2
w_bonepitmining_a2,34,1.02040000,15.81138830,2
w_bonepitmining_a2,35,0.64700000,15.81138830,2
w_bonepitmining_a2,36,1.05340000,16.12451550,2
w_bonepitmining_a2,37,1.13200000,17.08800749,2
w_bonepitmining_a2,38,0.80000000,16.12451550,2
w_bonepitmining_a2,39,1.71280000,17.15549442,3
w_bonepitmining_a2,40,0.71920000,22.00000000,2
w_bonepitmining_a2,41,1.03660000,20.61552813,2
w_bonepitmining_a2,42,1.21960000,22.36067977,2
w_bonepitmining_a2,43,1.39660000,21.66183468,4
w_bonepitmining_a2,44,0.44500000,23.08679276,2
w_bonepitmining_a2,45,0.71380000,21.40093456,2
w_bonepitmining_a2,46,0.68860000,19.23538406,2
w_bonepitmining_a2,47,1.55300000,22.48446285,3
w_bonepitmining_a2,48,0.88500000,19.41648784,2
w_bonepitmining_a2,49,2.17460000,21.97533243,4
w_bonepitmining_a2,50,1.66220000,23.46575571,4
w_bonepitmining_a2,51,0.94880000,25.94224354,2
w_bonepitmining_a2,52,2.24360000,24.04163056,2
w_bonepitmining_a2,53,1.23120000,25.94224354,2
w_bonepitmining_a2,54,1.20080000,24.20743687,2
w_bonepitmining_a2,55,1.09600000,23.19482701,2
w_bonepitmining_a2,56,1.70840000,25.49509757,2
w_bonepitmining_a2,57,1.00280000,24.51530134,2
w_bonepitmining_a2,58,0.96980000,26.90724809,2
w_bonepitmining_a2,59,1.04300000,25.23885893,2
w_bonepitmining_a2,60,0.86980000,28.63564213,2
w_bonepitmining_a2,61,1.79400000,27.74719115,4
w_bonepitmining_a2,62,0.47700000,27.89265136,2
w_bonepitmining_a2,63,2.16640000,27.94434101,5
w_bonepitmining_a2,64,1.54460000,28.40594175,4
w_bonepitmining_a2,65,2.10660000,28.23387590,4
w_bonepitmining_a2,66,1.75820000,29.06888371,2
w_bonepitmining_a2,67,1.24380000,28.63564213,2
w_bonepitmining_a2,68,1.80880000,27.51363298,2
w_bonepitmining_a2,69,0.91740000,30.41381265,2
w_bonepitmining_a2,70,1.58900000,33.39311292,3
w_bonepitmining_a2,71,2.08940000,32.11269837,4
w_bonepitmining_a2,72,1.91200000,31.89043744,2
w_bonepitmining_a2,73,1.35920000,30.72865690,4
w_bonepitmining_a2,74,0.90160000,33.10589071,2
w_bonepitmining_a2,75,0.90060000,31.40063694,2
w_bonepitmining_a2,76,1.39320000,30.14513304,4
w_bonepitmining_a2,77,1.63400000,32.20367861,3
w_bonepitmining_a2,78,1.03940000,33.13608305,2
w_bonepitmining_a2,79,0.72400000,33.73425559,2
w_bonepitmining_a2,80,1.15320000,36.87817783,2
w_bonepitmining_a2,81,3.02660000,37.18650186,6
w_bonepitmining_a2,82,2.85640000,34.85014594,4
w_bonepitmining_a2,83,2.97160000,36.67091327,4
w_bonepitmining_a2,84,1.42520000,38.01315562,2
w_bonepitmining_a2,85,1.90880000,37.65634077,2
w_bonepitmining_a2,86,1.65080000,35.51056181,2
w_bonepitmining_a2,87,1.98360000,34.91855517,4
w_bonepitmining_a2,88,1.06600000,37.33630941,2
w_bonepitmining_a2,89,2.64700000,37.14168842,5
w_bonepitmining_a2,90,1.24540000,38.27531842,2
w_bonepitmining_a2,91,3.62620000,37.60019783,4
w_bonepitmining_a2,92,2.54440000,40.67663315,4
w_bonepitmining_a2,93,2.25580000,39.92582404,3
w_bonepitmining_a2,94,1.04420000,37.64306045,2
w_bonepitmining_a2,95,1.38660000,41.00000000,2
w_bonepitmining_a2,96,2.38360000,39.83765756,3
w_bonepitmining_a2,97,1.22040000,41.10960958,2
w_bonepitmining_a2,98,1.84080000,42.01851217,3
w_bonepitmining_a2,99,1.62160000,40.79215611,2
w_bonepitmining_a2,100,1.65480000,41.88078318,2
w_bonepitmining_a2,101,2.36180000,43.04720346,3
w_bonepitmining_a2,102,3.72000000,44.74987973,5
w_bonepitmining_a2,103,2.07180000,42.90114533,5
w_bonepitmining_a2,104,1.86260000,43.96589587,2
w_bonepitmining_a2,105,1.56640000,43.41658669,2
w_bonepitmining_a2,106,2.84080000,42.49977324,5
w_bonepitmining_a2,107,1.36100000,47.01063709,2
w_bonepitmining_a2,108,1.72840000,43.56604182,2
w_bonepitmining_a2,109,3.78080000,44.18266864,4
w_bonepitmining_a2,110,2.02100000,46.42177216,3
w_bonepitmining_a2,111,3.08960000,48.41306299,5
w_bonepitmining_a2,112,2.42780000,46.55585386,3
w_bonepitmining_a2,113,2.43680000,45.81786315,5
w_bonepitmining_a2,114,3.16280000,48.58061175,6
w_bonepitmining_a2,115,2.04000000,46.52956050,2
w_bonepitmining_a2,116,2.91700000,46.79525482,6
w_bonepitmining_a2,117,2.03000000,47.04343728,4
w_bonepitmining_a2,118,2.21080000,48.44556578,5
w_bonepitmining_a2,119,5.25280000,47.18226127,8
w_bonepitmining_a2,120,2.40220000,53.33854141,2
w_bonepitmining_a2,121,1.82300000,49.96611252,4
w_bonepitmining_a2,122,2.22220000,51.92301994,2
w_bonepitmining_a2,123,1.08440000,52.00961450,2
w_bonepitmining_a2,124,2.23640000,51.46345047,3
w_bonepitmining_a2,125,2.17180000,50.96831737,3
w_bonepitmining_a2,126,4.85180000,49.99294476,5
w_bonepitmining_a2,127,2.17560000,55.04444441,4
