Map,Query Number,Time,Distance,Path Length
w_encounter2,0,0.92540000,4.47213595,2
w_encounter2,1,0.92300000,5.00000000,2
w_encounter2,2,0.54540000,7.21110255,2
w_encounter2,3,0.71120000,4.00000000,2
w_encounter2,4,1.26640000,4.00000000,2
w_encounter2,5,0.51360000,6.40312424,2
w_encounter2,6,0.36920000,5.00000000,2
w_encounter2,7,0.34100000,5.00000000,2
w_encounter2,8,0.36980000,5.83095189,2
w_encounter2,9,1.04800000,6.83095189,3
w_encounter2,10,0.53960000,9.21954446,2
w_encounter2,11,0.44480000,9.89949494,2
w_encounter2,12,0.47600000,10.04987562,2
w_encounter2,13,0.83500000,10.81665383,2
w_encounter2,14,0.40920000,8.00000000,2
w_encounter2,15,0.72460000,9.21954446,2
w_encounter2,16,0.54960000,8.60232527,2
w_encounter2,17,0.90960000,8.54400375,2
w_encounter2,18,0.48380000,8.54400375,2
w_encounter2,19,1.03820000,10.00000000,2
w_encounter2,20,0.47280000,12.08304597,2
w_encounter2,21,0.92540000,13.45362405,2
w_encounter2,22,0.76640000,13.92838828,2
w_encounter2,23,0.46760000,15.13274595,2
w_encounter2,24,0.62020000,13.00000000,2
w_encounter2,25,0.52680000,13.03840481,2
w_encounter2,26,0.48400000,15.13274595,2
w_encounter2,27,0.49140000,14.03566885,2
w_encounter2,28,0.36120000,14.14213562,2
w_encounter2,29,1.37720000,13.15294644,2
w_encounter2,30,0.94960000,18.24828759,2
w_encounter2,31,0.52740000,16.12451550,2
w_encounter2,32,1.46800000,17.72004515,2
w_encounter2,33,0.78080000,16.15549442,2
w_encounter2,34,0.94700000,17.69180601,2
w_encounter2,35,0.74160000,17.08800749,2
w_encounter2,36,0.99580000,17.11724277,2
w_encounter2,37,0.52380000,16.40121947,2
w_encounter2,38,0.88540000,16.64331698,2
w_encounter2,39,1.87820000,17.45623262,4
w_encounter2,40,1.00800000,21.00000000,2
w_encounter2,41,1.00080000,22.13594362,2
w_encounter2,42,1.31920000,20.83573538,3
w_encounter2,43,0.91920000,18.97366596,2
w_encounter2,44,0.67700000,21.40093456,2
w_encounter2,45,1.93540000,20.00000000,2
w_encounter2,46,0.81340000,20.61552813,2
w_encounter2,47,1.30760000,22.13594362,2
w_encounter2,48,0.48980000,19.92485885,2
w_encounter2,49,0.77860000,20.12461180,2
w_encounter2,50,1.93300000,24.24828759,3
w_encounter2,51,1.75620000,22.12743874,5
w_encounter2,52,0.59900000,26.17250466,2
w_encounter2,53,1.33720000,26.01922366,2
w_encounter2,54,1.09780000,25.49509757,2
w_encounter2,55,0.93780000,25.70992026,2
w_encounter2,56,1.68380000,24.08679276,3
w_encounter2,57,1.04780000,25.23885893,2
w_encounter2,58,1.30420000,24.18677324,2
w_encounter2,59,1.33520000,22.80350850,2
w_encounter2,60,1.09960000,28.08750672,3
w_encounter2,61,0.42860000,26.40075756,2
w_encounter2,62,1.09980000,29.27456234,2
w_encounter2,63,1.83960000,27.40075756,3
w_encounter2,64,0.52980000,28.07133770,2
w_encounter2,65,1.17160000,27.20294102,2
w_encounter2,66,1.16780000,30.01666204,2
w_encounter2,67,1.01080000,28.28427125,2
w_encounter2,68,1.55580000,25.58171309,3
w_encounter2,69,0.53920000,29.00000000,2
w_encounter2,70,0.73460000,32.57299495,2
w_encounter2,71,1.47100000,33.97057550,2
w_encounter2,72,1.03320000,30.41381265,2
w_encounter2,73,1.90080000,30.80584360,2
w_encounter2,74,0.53700000,31.38470965,2
w_encounter2,75,1.30100000,31.57530681,2
w_encounter2,76,0.96700000,32.01562119,2
w_encounter2,77,1.13780000,30.39949866,4
w_encounter2,78,2.30780000,32.62719290,3
w_encounter2,79,1.61860000,33.11417812,4
w_encounter2,80,1.93780000,34.94538459,4
w_encounter2,81,0.57740000,33.52610923,2
w_encounter2,82,1.52160000,36.23534186,2
w_encounter2,83,1.02120000,36.79673899,2
w_encounter2,84,2.01700000,37.48332963,2
w_encounter2,85,1.58440000,35.87222530,4
w_encounter2,86,1.30000000,36.67424164,2
w_encounter2,87,1.91040000,36.24871422,3
w_encounter2,88,1.06320000,34.52535300,2
w_encounter2,89,2.62320000,35.47064679,5
w_encounter2,90,1.23680000,37.33630941,2
w_encounter2,91,1.39860000,41.03656906,2
w_encounter2,92,1.08820000,41.04875150,2
w_encounter2,93,1.81780000,38.10616392,3
w_encounter2,94,1.26180000,39.20459157,2
w_encounter2,95,1.70560000,40.80441153,2
w_encounter2,96,4.56840000,40.54651335,5
w_encounter2,97,2.02160000,38.58756276,2
w_encounter2,98,1.36740000,38.01315562,2
w_encounter2,99,1.67140000,37.94076241,4
w_encounter2,100,1.42420000,45.09988914,2
w_encounter2,101,0.79560000,45.09988914,2
w_encounter2,102,1.57700000,44.70447028,3
w_encounter2,103,0.87140000,44.18144407,2
w_encounter2,104,2.48600000,43.78713965,4
w_encounter2,105,1.55940000,42.49509757,3
w_encounter2,106,1.07560000,44.40720662,2
w_encounter2,107,1.68880000,41.18252056,2
w_encounter2,108,0.40560000,44.28317965,2
w_encounter2,109,1.97720000,44.69364286,5
w_encounter2,110,1.38640000,47.13594362,3
w_encounter2,111,3.15240000,46.92094099,5
w_encounter2,112,1.43380000,46.22769733,2
w_encounter2,113,1.20280000,46.38965402,2
w_encounter2,114,2.30960000,49.57822102,2
w_encounter2,115,1.97920000,47.88527958,2
w_encounter2,116,2.03200000,49.70469991,4
w_encounter2,117,3.04700000,47.53318029,4
w_encounter2,118,2.36600000,47.43340634,5
w_encounter2,119,2.08160000,45.29762948,3
w_encounter2,120,1.62320000,51.07837116,2
w_encounter2,121,1.89840000,51.47815070,2
w_encounter2,122,2.56500000,51.08815910,2
w_encounter2,123,1.34300000,53.81449619,2
w_encounter2,124,2.43860000,53.03772242,2
w_encounter2,125,2.38020000,53.46026562,2
w_encounter2,126,1.46000000,50.00000000,2
w_encounter2,127,1.60700000,50.99019514,2
w_encounter2,128,2.05960000,50.35871325,2
w_encounter2,129,1.49760000,52.03844733,2
w_encounter2,130,1.89320000,54.42738194,5
w_encounter2,131,1.38700000,54.23098745,2
w_encounter2,132,2.10220000,58.00862005,2
w_encounter2,133,1.54380000,55.78530272,2
w_encounter2,134,1.57900000,57.14017851,2
w_encounter2,135,1.44440000,53.82378656,2
w_encounter2,136,2.00600000,57.21887800,2
w_encounter2,137,1.82120000,59.01785145,3
w_encounter2,138,1.58980000,53.53503526,2
w_encounter2,139,1.31120000,55.03635162,2
w_encounter2,140,1.28360000,57.80138407,2
w_encounter2,141,2.58560000,59.75989112,5
w_encounter2,142,2.78940000,59.57174305,5
w_encounter2,143,3.52180000,56.61147918,5
w_encounter2,144,2.74020000,57.05374559,4
w_encounter2,145,1.78460000,62.36986452,2
w_encounter2,146,2.00480000,55.94640292,2
w_encounter2,147,1.70200000,57.94078314,4
w_encounter2,148,2.09260000,57.98976915,3
w_encounter2,149,1.83200000,59.42489729,3
w_encounter2,150,1.58820000,66.06814664,2
w_encounter2,151,2.36240000,67.17886572,2
w_encounter2,152,2.19120000,63.38769597,2
w_encounter2,153,2.75440000,63.15294644,4
w_encounter2,154,1.75680000,61.43259037,4
w_encounter2,155,2.97320000,62.44736051,5
w_encounter2,156,2.49600000,63.66263886,4
w_encounter2,157,3.28740000,65.71733682,6
w_encounter2,158,1.90980000,60.74537019,2
w_encounter2,159,3.47900000,60.07580171,8
w_encounter2,160,1.88200000,68.18357573,2
w_encounter2,161,3.75960000,67.28698387,7
w_encounter2,162,1.65400000,67.06713055,2
w_encounter2,163,1.95760000,68.06614430,2
w_encounter2,164,1.77100000,65.65807228,3
w_encounter2,165,1.92300000,65.73431372,2
w_encounter2,166,2.82420000,68.99470886,3
w_encounter2,167,1.19520000,66.48308055,2
w_encounter2,168,1.21760000,68.62215386,2
w_encounter2,169,3.55540000,66.97823409,6
w_encounter2,170,3.36420000,66.57199660,7
w_encounter2,171,2.25500000,69.30726208,6
w_encounter2,172,2.14100000,71.58910532,2
w_encounter2,173,2.41880000,70.27692569,3
w_encounter2,174,2.22400000,70.25667228,2
w_encounter2,175,2.36240000,69.27596209,3
w_encounter2,176,2.73900000,70.94287536,3
w_encounter2,177,2.84260000,71.05242886,5
w_encounter2,178,1.39220000,70.85901495,2
w_encounter2,179,1.88400000,69.85699679,2
w_encounter2,180,3.52860000,78.10249676,2
w_encounter2,181,5.31080000,74.68603407,6
w_encounter2,182,4.34240000,73.12821726,5
w_encounter2,183,2.44480000,71.97350601,4
w_encounter2,184,2.31500000,72.19326805,3
w_encounter2,185,1.93220000,70.76955262,3
w_encounter2,186,1.73480000,71.19691005,2
w_encounter2,187,2.58500000,76.38062582,2
w_encounter2,188,3.76060000,72.24536310,6
w_encounter2,189,2.60220000,72.34214980,4
w_encounter2,190,1.59740000,81.56592426,2
w_encounter2,191,1.81060000,75.67424164,3
w_encounter2,192,1.82920000,77.49193506,2
w_encounter2,193,3.33580000,78.20377103,8
w_encounter2,194,2.54600000,79.29361892,4
w_encounter2,195,2.09180000,79.90619500,2
w_encounter2,196,1.44260000,79.40403012,2
w_encounter2,197,3.69760000,81.05213820,5
w_encounter2,198,1.92960000,76.48529270,2
w_encounter2,199,2.83360000,78.00309465,3
w_encounter2,200,2.29960000,81.19156672,5
w_encounter2,201,2.65740000,83.67327749,4
w_encounter2,202,3.86420000,81.82992662,7
w_encounter2,203,2.72860000,81.72991710,4
w_encounter2,204,2.48940000,87.00000000,2
w_encounter2,205,2.21660000,82.00467650,4
w_encounter2,206,3.47700000,80.03445900,4
w_encounter2,207,3.10340000,80.70542893,6
w_encounter2,208,3.32520000,80.17750640,7
w_encounter2,209,3.24340000,81.73148494,4
w_encounter2,210,2.95000000,88.55404844,5
w_encounter2,211,2.04100000,83.35180107,4
w_encounter2,212,4.28700000,86.86362562,6
w_encounter2,213,2.66900000,85.33837978,3
w_encounter2,214,3.17480000,83.42486437,4
w_encounter2,215,3.30880000,82.92438513,5
w_encounter2,216,2.26620000,85.90195910,3
w_encounter2,217,3.20260000,88.39117603,2
w_encounter2,218,2.29120000,85.73300248,4
w_encounter2,219,2.86660000,84.88769600,3
w_encounter2,220,4.23660000,87.20175598,6
w_encounter2,221,5.51760000,90.16026452,5
w_encounter2,222,3.08540000,90.89418993,4
w_encounter2,223,2.55540000,91.26883367,2
w_encounter2,224,5.33180000,89.31643760,6
w_encounter2,225,2.75000000,90.92324475,4
w_encounter2,226,3.18400000,84.25686844,5
w_encounter2,227,4.03760000,89.13467754,6
w_encounter2,228,3.57300000,89.84238633,4
w_encounter2,229,2.47520000,90.92326023,3
w_encounter2,230,3.35860000,95.70545285,4
w_encounter2,231,2.85400000,90.48801035,3
w_encounter2,232,2.31680000,94.59305991,4
w_encounter2,233,3.35380000,93.83307175,4
w_encounter2,234,2.42020000,95.25754563,2
w_encounter2,235,4.16440000,94.50162143,6
w_encounter2,236,2.87560000,99.70456359,2
w_encounter2,237,2.84300000,90.73588044,2
w_encounter2,238,2.63180000,96.18731725,2
w_encounter2,239,2.34600000,97.63910804,3
w_encounter2,240,2.08900000,93.63759929,2
w_encounter2,241,4.19560000,95.73298504,5
w_encounter2,242,2.19440000,94.58161560,3
w_encounter2,243,2.08160000,97.00515450,2
w_encounter2,244,4.75720000,95.75720785,5
w_encounter2,245,2.35420000,99.31281504,5
w_encounter2,246,2.31240000,95.90099061,2
w_encounter2,247,4.57700000,94.00114099,5
w_encounter2,248,2.71400000,98.77073455,5
w_encounter2,249,2.45500000,100.04498988,2
w_encounter2,250,2.35400000,106.15083608,2
w_encounter2,251,3.55040000,97.92524124,4
w_encounter2,252,7.45540000,100.32207812,8
w_encounter2,253,3.26800000,96.86637062,3
w_encounter2,254,3.92380000,101.44554205,4
w_encounter2,255,2.09200000,96.46242792,2
w_encounter2,256,2.92100000,101.27697521,3
w_encounter2,257,7.89720000,98.08468481,4
w_encounter2,258,2.69960000,100.55548134,3
w_encounter2,259,4.17340000,102.01229560,5
w_encounter2,260,4.21740000,100.58703614,5
w_encounter2,261,5.02660000,102.81179811,4
w_encounter2,262,3.35700000,103.46496992,2
w_encounter2,263,3.16460000,105.36581762,4
w_encounter2,264,2.79500000,102.33847318,5
w_encounter2,265,9.30860000,107.00902093,6
w_encounter2,266,2.01520000,102.83968106,2
w_encounter2,267,4.03360000,105.13904005,4
w_encounter2,268,6.10340000,109.54048126,5
w_encounter2,269,2.47340000,107.37783756,2
w_encounter2,270,5.63000000,107.57446164,4
w_encounter2,271,4.47200000,108.15848629,4
w_encounter2,272,4.72500000,108.19019127,8
w_encounter2,273,2.16700000,110.76551810,2
w_encounter2,274,4.27060000,106.16854234,5
w_encounter2,275,3.66300000,107.93107799,5
w_encounter2,276,2.54740000,107.93516572,2
w_encounter2,277,5.44120000,106.70736127,4
w_encounter2,278,3.98360000,105.99875729,3
w_encounter2,279,2.63860000,107.07474025,2
w_encounter2,280,3.28380000,111.46299834,2
w_encounter2,281,4.23020000,111.85839926,4
w_encounter2,282,3.87560000,111.26205207,4
w_encounter2,283,2.85120000,111.36712184,3
w_encounter2,284,4.35480000,110.77376943,4
w_encounter2,285,3.79520000,107.47368623,6
w_encounter2,286,4.28440000,111.80469098,5
w_encounter2,287,6.28380000,115.71442639,8
w_encounter2,288,4.35860000,113.19203934,6
w_encounter2,289,7.66400000,110.81888967,6
w_encounter2,290,2.85400000,112.37882363,2
w_encounter2,291,6.50800000,113.87607100,6
w_encounter2,292,6.53440000,117.05241299,7
w_encounter2,293,2.78300000,114.23659659,2
w_encounter2,294,4.38880000,114.67071686,6
w_encounter2,295,4.21480000,114.94085010,5
w_encounter2,296,6.95160000,115.71643185,8
w_encounter2,297,4.06780000,115.90342827,6
w_encounter2,298,5.55640000,114.84503233,8
w_encounter2,299,3.49160000,119.10499570,2
w_encounter2,300,3.05920000,119.05435830,4
w_encounter2,301,2.74180000,117.98418349,4
w_encounter2,302,3.42680000,116.27095050,4
w_encounter2,303,3.13100000,126.00396819,2
w_encounter2,304,4.38900000,120.81010238,6
w_encounter2,305,2.74760000,119.64113005,2
w_encounter2,306,3.07300000,120.20815280,2
w_encounter2,307,6.04580000,119.17213129,9
w_encounter2,308,2.63880000,118.84864324,2
w_encounter2,309,3.98160000,117.55082716,3
w_encounter2,310,6.76860000,125.33411744,8
w_encounter2,311,5.64780000,126.36422890,6
w_encounter2,312,3.32360000,122.31279322,3
w_encounter2,313,3.73960000,122.11088086,5
w_encounter2,314,8.86440000,125.79980898,10
w_encounter2,315,5.35380000,123.91422995,4
w_encounter2,316,8.91060000,125.22699251,4
w_encounter2,317,6.74600000,123.35422039,6
w_encounter2,318,3.49780000,126.66885963,2
w_encounter2,319,14.61780000,122.47532821,6
w_encounter2,320,7.93460000,127.22856486,8
w_encounter2,321,4.61480000,126.03345887,5
w_encounter2,322,7.24260000,128.60279796,7
w_encounter2,323,6.36600000,125.31412163,9
w_encounter2,324,3.79100000,128.22636234,2
w_encounter2,325,5.70860000,130.01827370,6
w_encounter2,326,4.53620000,128.05977752,3
w_encounter2,327,4.21400000,125.06507805,6
w_encounter2,328,4.83400000,125.38704674,5
w_encounter2,329,6.85680000,126.13482269,7
w_encounter2,330,6.12320000,129.72914417,7
w_encounter2,331,3.99260000,137.93114224,2
w_encounter2,332,5.83240000,128.82390216,7
w_encounter2,333,6.94960000,131.35095546,8
w_encounter2,334,10.09380000,137.32824023,6
w_encounter2,335,4.45340000,132.06785682,5
w_encounter2,336,7.47760000,132.83873635,5
w_encounter2,337,5.97840000,128.13755479,10
w_encounter2,338,3.08080000,132.46170643,4
w_encounter2,339,3.17160000,126.20966469,4
w_encounter2,340,3.89500000,131.06105447,2
w_encounter2,341,6.23900000,136.08142255,4
w_encounter2,342,21.83840000,133.72743705,8
w_encounter2,343,6.56840000,134.35957982,7
w_encounter2,344,3.00640000,138.21007033,3
w_encounter2,345,2.99540000,131.15011533,4
w_encounter2,346,5.67160000,135.03463111,6
w_encounter2,347,14.56240000,133.59544788,7
w_encounter2,348,6.01620000,137.21645825,5
w_encounter2,349,6.86560000,131.87755937,9
w_encounter2,350,6.27440000,136.54884352,8
w_encounter2,351,13.81800000,137.62197980,10
w_encounter2,352,5.11500000,137.33759696,9
w_encounter2,353,5.17960000,136.88366750,7
w_encounter2,354,6.05800000,135.03012102,5
w_encounter2,355,4.05240000,141.04315438,6
w_encounter2,356,3.28020000,139.63575290,4
w_encounter2,357,3.29540000,137.93114224,2
w_encounter2,358,6.70120000,141.05017951,4
w_encounter2,359,6.99860000,139.19754811,7
w_encounter2,360,5.71520000,139.71564683,6
w_encounter2,361,7.48040000,140.00466130,7
w_encounter2,362,6.27720000,144.18900934,6
w_encounter2,363,4.97760000,141.62918337,6
w_encounter2,364,5.91240000,139.95984458,9
w_encounter2,365,4.66700000,140.15986965,6
w_encounter2,366,4.45960000,140.98101766,4
w_encounter2,367,7.83000000,141.53748550,7
w_encounter2,368,4.95980000,140.53632248,7
w_encounter2,369,15.00320000,143.14192760,10
w_encounter2,370,3.46220000,151.65906403,4
w_encounter2,371,7.04540000,144.17435519,5
w_encounter2,372,6.63340000,146.18132687,7
w_encounter2,373,8.87520000,145.70133328,9
w_encounter2,374,20.20140000,144.60751731,7
w_encounter2,375,4.81580000,147.60630981,5
w_encounter2,376,6.14360000,145.09327085,8
w_encounter2,377,9.38160000,143.93683906,9
w_encounter2,378,5.07800000,143.65079355,4
w_encounter2,379,6.71780000,146.37786550,8
w_encounter2,380,5.62940000,150.88417050,6
w_encounter2,381,4.83540000,153.13870917,6
w_encounter2,382,6.22480000,151.92331761,8
w_encounter2,383,9.28860000,151.22205609,8
w_encounter2,384,7.46580000,152.93735413,7
w_encounter2,385,8.36800000,148.72870578,5
w_encounter2,386,5.21800000,147.66871459,7
w_encounter2,387,7.15220000,150.52115849,7
w_encounter2,388,6.84960000,153.51496438,6
w_encounter2,389,4.38840000,157.15987817,3
w_encounter2,390,4.62000000,159.55731302,3
w_encounter2,391,3.21860000,153.79181204,3
w_encounter2,392,12.87020000,151.59558590,10
w_encounter2,393,8.26320000,151.71524514,6
w_encounter2,394,6.11840000,150.50033701,8
w_encounter2,395,7.04720000,156.22187149,6
w_encounter2,396,7.74000000,152.06931647,7
w_encounter2,397,5.58860000,156.08384444,5
w_encounter2,398,6.63340000,152.03690660,5
w_encounter2,399,6.37040000,156.97479399,6
w_encounter2,400,9.07520000,160.13221680,7
w_encounter2,401,19.78580000,157.96514993,8
w_encounter2,402,6.51700000,158.56733887,4
w_encounter2,403,9.64580000,160.09931022,8
w_encounter2,404,6.19700000,156.59847226,5
