Map,Query Number,Time,Distance,Path Length
w_woundedcoast,0,1.94680000,5.09901951,2
w_woundedcoast,1,2.53540000,4.47213595,2
w_woundedcoast,2,1.03200000,6.08276253,2
w_woundedcoast,3,1.12860000,5.38516481,2
w_woundedcoast,4,1.38740000,6.00000000,2
w_woundedcoast,5,1.77320000,6.47213595,3
w_woundedcoast,6,0.93900000,5.83095189,2
w_woundedcoast,7,0.66540000,4.12310563,2
w_woundedcoast,8,1.36960000,5.00000000,2
w_woundedcoast,9,0.96440000,5.65685425,2
w_woundedcoast,10,1.58300000,8.60232527,2
w_woundedcoast,11,1.35380000,10.19803903,2
w_woundedcoast,12,0.90660000,10.44030651,2
w_woundedcoast,13,1.52600000,8.60232527,2
w_woundedcoast,14,1.06140000,9.48683298,2
w_woundedcoast,15,1.00400000,11.04536102,2
w_woundedcoast,16,0.90720000,8.06225775,2
w_woundedcoast,17,0.74880000,10.29563014,2
w_woundedcoast,18,1.02280000,9.05538514,2
w_woundedcoast,19,1.10080000,7.81024968,2
w_woundedcoast,20,0.97360000,15.00000000,2
w_woundedcoast,21,1.05080000,13.15294644,2
w_woundedcoast,22,0.62940000,13.60147051,2
w_woundedcoast,23,1.30340000,13.00000000,2
w_woundedcoast,24,0.90160000,13.41640786,2
w_woundedcoast,25,1.12900000,12.64911064,2
w_woundedcoast,26,0.53620000,13.03840481,2
w_woundedcoast,27,0.97260000,12.52996409,2
w_woundedcoast,28,0.53960000,14.31782106,2
w_woundedcoast,29,0.70480000,13.60147051,2
w_woundedcoast,30,2.13100000,17.66780902,4
w_woundedcoast,31,0.94900000,15.55634919,2
w_woundedcoast,32,0.38960000,17.00000000,2
w_woundedcoast,33,1.92620000,16.12451550,2
w_woundedcoast,34,1.31360000,19.10497317,2
w_woundedcoast,35,0.71780000,17.69180601,2
w_woundedcoast,36,0.59680000,16.64331698,2
w_woundedcoast,37,1.02200000,16.03121954,2
w_woundedcoast,38,0.91460000,17.08800749,2
w_woundedcoast,39,1.04260000,18.35755975,2
w_woundedcoast,40,2.72680000,20.37975521,6
w_woundedcoast,41,1.52880000,19.64728032,3
w_woundedcoast,42,0.48120000,21.09502311,2
w_woundedcoast,43,1.33460000,20.19166403,3
w_woundedcoast,44,2.23440000,20.36794062,4
w_woundedcoast,45,0.83540000,19.64688270,2
w_woundedcoast,46,0.70060000,21.09502311,2
w_woundedcoast,47,0.91980000,20.00000000,2
w_woundedcoast,48,1.12740000,20.80865205,2
w_woundedcoast,49,4.82320000,19.84969027,3
w_woundedcoast,50,1.79600000,23.70653918,2
w_woundedcoast,51,1.52460000,24.49003382,4
w_woundedcoast,52,1.62340000,23.76972865,2
w_woundedcoast,53,0.85760000,24.35159132,2
w_woundedcoast,54,1.31700000,24.08318916,2
w_woundedcoast,55,1.78520000,24.58886133,4
w_woundedcoast,56,0.97320000,22.56102835,2
w_woundedcoast,57,1.39520000,25.70992026,2
w_woundedcoast,58,3.01860000,24.88245611,4
w_woundedcoast,59,1.42260000,23.76972865,2
w_woundedcoast,60,2.29180000,29.06888371,2
w_woundedcoast,61,2.30080000,27.74437149,4
w_woundedcoast,62,1.23380000,27.29468813,2
w_woundedcoast,63,1.96920000,28.56970798,4
w_woundedcoast,64,3.04780000,26.78609937,3
w_woundedcoast,65,2.74780000,27.90466132,3
w_woundedcoast,66,5.07380000,28.71687668,5
w_woundedcoast,67,1.12180000,27.80287755,2
w_woundedcoast,68,1.56020000,30.61045573,2
w_woundedcoast,69,2.08480000,30.01666204,2
w_woundedcoast,70,1.23840000,32.24903099,2
w_woundedcoast,71,2.75980000,30.51686973,5
w_woundedcoast,72,1.64660000,32.75667871,2
w_woundedcoast,73,2.63980000,32.94427191,4
w_woundedcoast,74,1.83120000,30.79111296,4
w_woundedcoast,75,0.84640000,30.36445290,2
w_woundedcoast,76,1.64200000,32.52208068,3
w_woundedcoast,77,2.15500000,30.94008397,3
w_woundedcoast,78,2.57460000,31.12451550,3
w_woundedcoast,79,3.35960000,30.95877120,6
w_woundedcoast,80,1.95920000,34.48187930,2
w_woundedcoast,81,1.95720000,37.65634077,2
w_woundedcoast,82,1.97180000,36.12478374,2
w_woundedcoast,83,1.74900000,34.94570636,5
w_woundedcoast,84,1.25460000,39.00000000,2
w_woundedcoast,85,2.04840000,36.34179158,4
w_woundedcoast,86,2.95800000,35.72709967,5
w_woundedcoast,87,1.70080000,36.13608305,3
w_woundedcoast,88,1.93100000,33.49354780,4
w_woundedcoast,89,1.93320000,36.23534186,2
w_woundedcoast,90,1.56860000,38.27531842,2
w_woundedcoast,91,1.92540000,40.00000000,2
w_woundedcoast,92,2.51760000,40.24301821,4
w_woundedcoast,93,1.81560000,38.62641583,2
w_woundedcoast,94,2.49500000,38.98091884,3
w_woundedcoast,95,2.80640000,39.13970344,6
w_woundedcoast,96,5.40300000,40.40519602,9
w_woundedcoast,97,2.24080000,38.63201124,4
w_woundedcoast,98,2.41940000,40.29231787,4
w_woundedcoast,99,1.58260000,41.59326869,2
w_woundedcoast,100,3.28480000,40.80763085,4
w_woundedcoast,101,3.24960000,43.35549395,7
w_woundedcoast,102,3.83040000,43.60892763,8
w_woundedcoast,103,5.22640000,45.98053598,3
w_woundedcoast,104,1.86440000,43.73785546,2
w_woundedcoast,105,2.02440000,42.52623434,3
w_woundedcoast,106,2.26680000,42.95370292,3
w_woundedcoast,107,1.88340000,43.99902830,4
w_woundedcoast,108,2.31340000,47.38143096,2
w_woundedcoast,109,3.78440000,43.29906803,7
w_woundedcoast,110,1.65620000,44.59820624,2
w_woundedcoast,111,1.76040000,45.89117562,2
w_woundedcoast,112,4.19840000,45.95026611,5
w_woundedcoast,113,4.49920000,44.04656568,7
w_woundedcoast,114,2.28720000,45.60736573,3
w_woundedcoast,115,4.95840000,48.10802197,5
w_woundedcoast,116,3.73220000,46.03569536,5
w_woundedcoast,117,2.18960000,48.66528116,4
w_woundedcoast,118,1.51080000,44.77722635,2
w_woundedcoast,119,3.82620000,44.63840004,4
w_woundedcoast,120,1.95620000,51.24937811,3
w_woundedcoast,121,2.45600000,51.67758315,4
w_woundedcoast,122,7.13720000,51.05115838,8
w_woundedcoast,123,5.39700000,49.11302133,8
w_woundedcoast,124,4.68780000,48.92268811,7
w_woundedcoast,125,5.04500000,49.01237746,5
w_woundedcoast,126,1.77760000,53.75872022,3
w_woundedcoast,127,2.15940000,50.96076922,2
w_woundedcoast,128,1.83900000,52.03844733,2
w_woundedcoast,129,2.07220000,51.24451190,2
w_woundedcoast,130,5.23780000,53.49034834,3
w_woundedcoast,131,4.84620000,55.65853403,5
w_woundedcoast,132,4.66720000,54.09230488,9
w_woundedcoast,133,5.40440000,55.14115561,7
w_woundedcoast,134,4.27000000,54.28631521,5
w_woundedcoast,135,1.34520000,57.14017851,2
w_woundedcoast,136,2.98680000,53.34308093,5
w_woundedcoast,137,2.42180000,55.08326986,4
w_woundedcoast,138,4.76160000,52.64003631,7
w_woundedcoast,139,3.89600000,55.16382519,6
w_woundedcoast,140,3.77400000,60.96097874,3
w_woundedcoast,141,3.34540000,55.95265210,5
w_woundedcoast,142,2.50760000,57.23462514,4
w_woundedcoast,143,3.22780000,57.39563736,7
w_woundedcoast,144,5.37540000,58.23935497,7
w_woundedcoast,145,2.63080000,55.99495050,4
w_woundedcoast,146,4.21020000,59.86633568,7
w_woundedcoast,147,1.81400000,58.31190262,3
w_woundedcoast,148,2.41080000,63.00793601,2
w_woundedcoast,149,6.35680000,57.48852260,8
w_woundedcoast,150,6.90460000,61.35216167,9
w_woundedcoast,151,2.69160000,61.66641392,4
w_woundedcoast,152,7.04420000,63.66141479,5
w_woundedcoast,153,4.48480000,61.82160522,6
w_woundedcoast,154,3.25360000,62.47019306,5
w_woundedcoast,155,2.63220000,64.22956444,6
w_woundedcoast,156,2.96260000,62.87722064,4
w_woundedcoast,157,5.95280000,64.82883740,8
w_woundedcoast,158,5.84820000,60.76192986,6
w_woundedcoast,159,4.02000000,64.89449412,4
w_woundedcoast,160,4.37740000,64.80547958,6
w_woundedcoast,161,5.76680000,64.82798985,8
w_woundedcoast,162,4.59860000,64.44457816,5
w_woundedcoast,163,4.25660000,65.42021625,7
w_woundedcoast,164,5.75280000,66.58081775,5
w_woundedcoast,165,2.32440000,70.06425622,2
w_woundedcoast,166,5.91140000,66.79996327,10
w_woundedcoast,167,4.07200000,66.38045337,6
w_woundedcoast,168,5.62080000,63.83864654,6
w_woundedcoast,169,3.71140000,65.87999108,4
w_woundedcoast,170,3.55860000,69.58281017,4
w_woundedcoast,171,3.11300000,71.80138139,3
w_woundedcoast,172,8.65840000,68.69108088,5
w_woundedcoast,173,7.70420000,70.31527643,6
w_woundedcoast,174,3.16720000,69.91795875,5
w_woundedcoast,175,6.33220000,68.24702824,9
w_woundedcoast,176,6.12740000,69.14874922,7
w_woundedcoast,177,4.31460000,66.69259578,9
w_woundedcoast,178,2.86840000,71.39478345,4
w_woundedcoast,179,7.62440000,70.65430434,10
w_woundedcoast,180,3.46020000,72.64244485,7
w_woundedcoast,181,6.11860000,72.19930799,10
w_woundedcoast,182,6.92180000,74.95528182,7
w_woundedcoast,183,6.00660000,71.78957534,7
w_woundedcoast,184,2.97620000,73.08443631,3
w_woundedcoast,185,6.96160000,74.38399106,7
w_woundedcoast,186,3.69760000,73.45539568,4
w_woundedcoast,187,6.01380000,72.28211142,10
w_woundedcoast,188,8.40360000,74.80033044,9
w_woundedcoast,189,5.19160000,72.89722322,6
w_woundedcoast,190,4.65680000,77.08144607,6
w_woundedcoast,191,4.65420000,76.22291546,6
w_woundedcoast,192,7.61600000,74.54856206,11
w_woundedcoast,193,10.19400000,74.83574315,11
w_woundedcoast,194,3.00120000,77.10382610,2
w_woundedcoast,195,9.44860000,75.74722874,12
w_woundedcoast,196,3.00520000,75.59844420,4
w_woundedcoast,197,8.61620000,77.64411708,12
w_woundedcoast,198,6.08920000,79.65170688,4
w_woundedcoast,199,7.30720000,77.76850864,11
w_woundedcoast,200,5.57720000,80.28694168,7
w_woundedcoast,201,5.69700000,83.30932807,6
w_woundedcoast,202,4.06660000,82.19308764,4
w_woundedcoast,203,7.78460000,79.33484716,10
w_woundedcoast,204,3.41560000,81.16925817,6
w_woundedcoast,205,4.97040000,80.04597035,6
w_woundedcoast,206,6.29680000,82.15359604,6
w_woundedcoast,207,8.40300000,80.55619824,11
w_woundedcoast,208,4.83440000,82.23528836,5
w_woundedcoast,209,7.35440000,83.03740445,6
w_woundedcoast,210,9.31740000,86.41556299,11
w_woundedcoast,211,8.62520000,84.55816118,9
w_woundedcoast,212,4.09240000,83.21191014,8
w_woundedcoast,213,3.38200000,85.08121133,5
w_woundedcoast,214,5.31000000,83.24212199,8
w_woundedcoast,215,9.79100000,83.64061408,6
w_woundedcoast,216,3.04080000,86.25699922,3
w_woundedcoast,217,3.31380000,88.07462454,5
w_woundedcoast,218,11.13980000,85.80438721,7
w_woundedcoast,219,3.16000000,83.26167574,5
w_woundedcoast,220,8.14680000,89.84902049,6
w_woundedcoast,221,6.35080000,87.68266013,10
w_woundedcoast,222,2.59360000,89.54923612,4
w_woundedcoast,223,5.96680000,90.37540720,10
w_woundedcoast,224,2.93540000,90.52017309,3
w_woundedcoast,225,4.36300000,89.76627228,6
w_woundedcoast,226,3.63660000,86.98436963,5
w_woundedcoast,227,4.40800000,90.48951914,6
w_woundedcoast,228,6.41640000,89.93334117,7
w_woundedcoast,229,8.76460000,90.59299711,10
w_woundedcoast,230,4.82540000,93.36390942,7
w_woundedcoast,231,6.53020000,96.18804823,3
w_woundedcoast,232,7.68000000,92.59688403,9
w_woundedcoast,233,13.74160000,92.07865271,8
w_woundedcoast,234,6.73420000,93.10864078,8
w_woundedcoast,235,5.41720000,91.12697695,8
w_woundedcoast,236,5.71040000,92.52532551,6
w_woundedcoast,237,4.40320000,91.70977485,7
w_woundedcoast,238,12.37220000,90.22555460,10
w_woundedcoast,239,4.91140000,91.77449499,7
w_woundedcoast,240,2.91200000,100.32168739,3
w_woundedcoast,241,5.06500000,97.20932619,9
w_woundedcoast,242,3.04120000,102.07840124,2
w_woundedcoast,243,28.88500000,92.94609123,14
w_woundedcoast,244,5.69680000,94.86969883,7
w_woundedcoast,245,9.99560000,97.12573282,12
w_woundedcoast,246,4.84520000,100.30010190,5
w_woundedcoast,247,8.30740000,94.88166844,7
w_woundedcoast,248,11.44460000,96.47145023,6
w_woundedcoast,249,8.49440000,98.35237560,8
w_woundedcoast,250,7.08940000,101.33418708,7
w_woundedcoast,251,11.62200000,101.27709002,9
w_woundedcoast,252,6.34920000,103.02687968,9
w_woundedcoast,253,12.78540000,99.44843298,10
w_woundedcoast,254,8.88820000,98.55088485,8
w_woundedcoast,255,7.56740000,101.80492963,9
w_woundedcoast,256,9.94480000,99.31653742,11
w_woundedcoast,257,13.30660000,97.99950424,17
w_woundedcoast,258,5.30760000,100.70164748,5
w_woundedcoast,259,7.40900000,98.92893102,6
w_woundedcoast,260,6.51340000,102.98228432,8
w_woundedcoast,261,4.93880000,104.34564510,3
w_woundedcoast,262,6.01900000,104.23229452,7
w_woundedcoast,263,12.39360000,104.70029628,9
w_woundedcoast,264,6.18980000,106.08670672,4
w_woundedcoast,265,4.24240000,109.32719511,3
w_woundedcoast,266,8.84100000,104.90014246,12
w_woundedcoast,267,4.25500000,109.02067359,6
w_woundedcoast,268,4.54980000,111.01801656,2
w_woundedcoast,269,7.68540000,104.05894190,9
w_woundedcoast,270,11.91360000,107.31362967,14
w_woundedcoast,271,7.99100000,106.65102978,12
w_woundedcoast,272,8.03600000,104.64454910,10
w_woundedcoast,273,11.19760000,107.33498142,10
w_woundedcoast,274,6.01480000,106.53900985,5
w_woundedcoast,275,7.08260000,106.93885890,10
w_woundedcoast,276,4.00740000,112.31170663,3
w_woundedcoast,277,5.45600000,104.92673766,5
w_woundedcoast,278,6.13740000,105.19048792,7
w_woundedcoast,279,10.04080000,105.84018785,11
w_woundedcoast,280,2.91680000,119.00420161,2
w_woundedcoast,281,5.98920000,113.72692892,3
w_woundedcoast,282,7.82760000,110.64547246,8
w_woundedcoast,283,7.36140000,112.13774514,11
w_woundedcoast,284,6.95520000,111.01240642,9
w_woundedcoast,285,10.11520000,112.22073844,8
w_woundedcoast,286,10.79340000,110.45762005,8
w_woundedcoast,287,4.53760000,112.87836693,4
w_woundedcoast,288,14.30300000,110.17840166,10
w_woundedcoast,289,10.44500000,117.27872731,8
w_woundedcoast,290,9.15140000,117.19455214,11
w_woundedcoast,291,11.90600000,115.28204371,10
w_woundedcoast,292,8.11800000,116.54184914,10
w_woundedcoast,293,10.85340000,118.65406668,8
w_woundedcoast,294,11.59620000,113.90764447,10
w_woundedcoast,295,4.73520000,114.52307932,5
w_woundedcoast,296,20.28180000,113.60319305,10
w_woundedcoast,297,12.72780000,118.54966716,8
w_woundedcoast,298,13.64480000,115.38704955,8
w_woundedcoast,299,4.11280000,112.72024379,6
w_woundedcoast,300,8.26660000,121.23918584,7
w_woundedcoast,301,10.23300000,119.62882032,6
w_woundedcoast,302,18.83880000,119.93037327,10
w_woundedcoast,303,23.09280000,119.02354763,10
w_woundedcoast,304,7.20920000,117.57417251,7
w_woundedcoast,305,10.40920000,117.58555808,11
w_woundedcoast,306,9.88700000,119.20787760,7
w_woundedcoast,307,7.10560000,117.01431676,6
w_woundedcoast,308,9.23120000,122.23891954,6
w_woundedcoast,309,14.27020000,115.03185259,14
w_woundedcoast,310,12.45800000,119.31903948,8
w_woundedcoast,311,4.22540000,120.75829188,7
w_woundedcoast,312,14.58780000,125.59947438,8
w_woundedcoast,313,9.79240000,120.61191411,14
w_woundedcoast,314,8.39920000,119.34949811,13
w_woundedcoast,315,8.52140000,125.23651388,11
w_woundedcoast,316,12.69740000,121.26284450,9
w_woundedcoast,317,13.91180000,121.34966011,8
w_woundedcoast,318,7.07960000,119.48462692,6
w_woundedcoast,319,12.80460000,121.00787627,13
w_woundedcoast,320,3.76580000,129.36727085,3
w_woundedcoast,321,6.81560000,128.39794767,6
w_woundedcoast,322,5.50620000,126.97344939,5
w_woundedcoast,323,7.75380000,126.57642579,13
w_woundedcoast,324,14.23200000,125.84546715,14
w_woundedcoast,325,15.02260000,126.94290686,10
w_woundedcoast,326,7.03680000,125.16108261,11
w_woundedcoast,327,6.37200000,129.84567314,5
w_woundedcoast,328,3.28060000,133.21384406,3
w_woundedcoast,329,10.27360000,127.84127445,7
w_woundedcoast,330,10.96060000,132.47059374,8
w_woundedcoast,331,7.57960000,130.03709278,8
w_woundedcoast,332,12.31100000,131.63969579,10
w_woundedcoast,333,7.25020000,131.94168962,7
w_woundedcoast,334,9.70520000,130.70204326,13
w_woundedcoast,335,6.47660000,132.51076118,7
w_woundedcoast,336,7.44920000,134.51400878,6
w_woundedcoast,337,13.31880000,127.56995749,11
w_woundedcoast,338,13.41360000,132.87296686,9
w_woundedcoast,339,7.89760000,135.75360598,7
w_woundedcoast,340,4.92020000,138.37722305,4
w_woundedcoast,341,12.63380000,131.13887155,10
w_woundedcoast,342,3.31820000,141.16590080,3
w_woundedcoast,343,12.27200000,135.44147001,16
w_woundedcoast,344,14.36120000,135.80637268,6
w_woundedcoast,345,16.65200000,137.28717259,12
w_woundedcoast,346,12.59340000,134.53742097,10
w_woundedcoast,347,14.05840000,132.01482554,12
w_woundedcoast,348,8.37880000,133.23786499,8
w_woundedcoast,349,9.44500000,132.76774596,11
w_woundedcoast,350,5.38220000,142.75037428,5
w_woundedcoast,351,4.47780000,139.87842910,5
w_woundedcoast,352,16.28100000,139.34002167,15
w_woundedcoast,353,4.48500000,140.62786679,4
w_woundedcoast,354,6.03760000,141.43258785,5
w_woundedcoast,355,20.31540000,139.03722690,15
w_woundedcoast,356,15.13480000,135.63345523,12
w_woundedcoast,357,12.26920000,137.97098129,13
w_woundedcoast,358,8.93620000,139.01632844,7
w_woundedcoast,359,4.02880000,139.93933831,6
w_woundedcoast,360,10.51100000,143.11370994,11
w_woundedcoast,361,8.67100000,145.89378922,8
w_woundedcoast,362,8.24880000,141.64648379,5
w_woundedcoast,363,15.60900000,140.36828478,9
w_woundedcoast,364,7.75020000,139.51865877,11
w_woundedcoast,365,6.82200000,143.97625565,8
w_woundedcoast,366,9.51320000,140.86392530,12
w_woundedcoast,367,20.80900000,140.09024564,11
w_woundedcoast,368,14.78600000,142.99952154,16
w_woundedcoast,369,7.77460000,140.95636489,10
w_woundedcoast,370,10.90600000,142.48842927,11
w_woundedcoast,371,21.63580000,146.93906805,10
w_woundedcoast,372,8.41140000,143.56410582,7
w_woundedcoast,373,13.16520000,143.86444555,9
w_woundedcoast,374,15.65540000,146.32560113,13
w_woundedcoast,375,11.94160000,144.23150907,16
w_woundedcoast,376,27.01600000,147.47980656,11
w_woundedcoast,377,18.86640000,145.27250367,11
w_woundedcoast,378,12.81420000,148.38873035,12
w_woundedcoast,379,8.94820000,149.87309286,7
w_woundedcoast,380,9.15480000,152.77655071,6
w_woundedcoast,381,10.69000000,149.30070442,7
w_woundedcoast,382,14.47840000,150.32053202,7
w_woundedcoast,383,15.34040000,149.50504029,11
w_woundedcoast,384,4.16360000,156.02884349,2
w_woundedcoast,385,16.48840000,151.14874221,11
w_woundedcoast,386,3.89580000,154.08114745,2
w_woundedcoast,387,10.91580000,151.94693767,8
w_woundedcoast,388,16.34640000,149.85938899,11
w_woundedcoast,389,14.72080000,145.77812947,13
w_woundedcoast,390,9.64740000,154.73407201,11
w_woundedcoast,391,20.87920000,150.16480020,11
w_woundedcoast,392,20.10680000,152.59647420,15
w_woundedcoast,393,12.14700000,152.34579983,11
