Map,Query Number,Time,Distance,Path Length
brc501d,0,1.26560000,2.82842712,2
brc501d,1,0.76340000,3.60555128,2
brc501d,2,0.74180000,2.23606798,2
brc501d,3,1.75460000,3.16227766,2
brc501d,4,0.59980000,1.00000000,2
brc501d,5,0.56620000,1.00000000,2
brc501d,6,0.67520000,3.16227766,2
brc501d,7,0.52660000,2.23606798,2
brc501d,8,0.45100000,2.23606798,2
brc501d,9,0.49120000,2.00000000,2
brc501d,10,0.65460000,7.21110255,2
brc501d,11,0.40180000,5.83095189,2
brc501d,12,0.32900000,5.38516481,2
brc501d,13,0.40720000,6.70820393,2
brc501d,14,0.35980000,7.28010989,2
brc501d,15,0.35700000,7.28010989,2
brc501d,16,1.15480000,6.70820393,2
brc501d,17,0.35600000,5.38516481,2
brc501d,18,0.34080000,6.70820393,2
brc501d,19,0.26820000,4.12310563,2
brc501d,20,0.98860000,8.60232527,2
brc501d,21,0.41400000,11.04536102,2
brc501d,22,0.44600000,8.00000000,2
brc501d,23,0.26900000,11.40175425,2
brc501d,24,0.46820000,10.63014581,2
brc501d,25,0.63560000,9.21954446,2
brc501d,26,0.34520000,9.05538514,2
brc501d,27,0.41120000,10.77032961,2
brc501d,28,0.30340000,10.04987562,2
brc501d,29,2.24080000,9.48683298,2
brc501d,30,1.34480000,12.52996409,2
brc501d,31,0.46480000,14.14213562,2
brc501d,32,0.46160000,14.76482306,2
brc501d,33,0.36000000,11.66190379,2
brc501d,34,0.50700000,13.15294644,2
brc501d,35,1.24600000,13.89244399,2
brc501d,36,0.45360000,13.45362405,2
brc501d,37,0.68320000,13.92838828,2
brc501d,38,0.37480000,12.36931688,2
brc501d,39,1.32000000,13.92838828,2
brc501d,40,0.44980000,15.81138830,2
brc501d,41,0.45300000,15.81138830,2
brc501d,42,0.39240000,17.80449381,2
brc501d,43,0.39960000,16.12451550,2
brc501d,44,1.45780000,17.69180601,2
brc501d,45,1.00520000,17.00000000,2
brc501d,46,1.37200000,17.46424920,2
brc501d,47,0.56320000,15.81138830,2
brc501d,48,0.42820000,17.46424920,2
brc501d,49,0.38740000,15.52417470,2
brc501d,50,0.39500000,22.80350850,2
brc501d,51,0.36240000,19.72308292,2
brc501d,52,0.58040000,22.20360331,2
brc501d,53,0.89380000,21.84032967,2
brc501d,54,0.50580000,19.69771560,2
brc501d,55,0.34200000,23.34523506,2
brc501d,56,2.29600000,18.86796226,2
brc501d,57,0.45860000,21.21320344,2
brc501d,58,2.07740000,21.02436221,3
brc501d,59,1.92380000,20.64796550,4
brc501d,60,1.29320000,23.85372088,2
brc501d,61,1.90400000,25.96150997,2
brc501d,62,0.72620000,25.00000000,2
brc501d,63,1.91220000,24.51530134,2
brc501d,64,0.39820000,23.53720459,2
brc501d,65,1.40620000,25.31797780,2
brc501d,66,1.47520000,25.74104316,3
brc501d,67,1.56920000,23.63014581,3
brc501d,68,1.03880000,25.07987241,2
brc501d,69,0.79020000,24.02082430,2
brc501d,70,1.56720000,27.80287755,2
brc501d,71,0.39500000,27.45906044,2
brc501d,72,1.80380000,30.26549190,2
brc501d,73,0.51980000,30.01666204,2
brc501d,74,2.17060000,27.68874043,3
brc501d,75,1.94660000,28.65309756,2
brc501d,76,0.47860000,27.29468813,2
brc501d,77,1.15920000,28.44292531,2
brc501d,78,1.71120000,26.87005769,2
brc501d,79,1.08260000,26.92582404,2
brc501d,80,1.67240000,31.01612484,2
brc501d,81,1.27260000,32.38826948,2
brc501d,82,0.49620000,30.01666204,2
brc501d,83,0.44480000,32.01562119,2
brc501d,84,1.61700000,32.24903099,2
brc501d,85,1.89120000,32.04834939,3
brc501d,86,0.41760000,34.05877273,2
brc501d,87,0.38620000,31.62277660,2
brc501d,88,0.86740000,32.24903099,2
brc501d,89,1.49660000,33.13608305,2
brc501d,90,1.47080000,33.95585369,2
brc501d,91,1.75120000,35.34119409,2
brc501d,92,1.15260000,34.17601498,2
brc501d,93,1.73520000,35.60898763,2
brc501d,94,0.74980000,36.05551275,2
brc501d,95,0.36660000,37.12142239,2
brc501d,96,0.94820000,38.41874542,2
brc501d,97,2.85920000,37.38984809,4
brc501d,98,2.20860000,36.40093456,3
brc501d,99,0.55920000,36.34556369,2
brc501d,100,1.86540000,40.02499219,2
brc501d,101,2.13580000,39.12373439,3
brc501d,102,2.23320000,40.19950248,2
brc501d,103,8.46660000,41.55697139,6
brc501d,104,0.41460000,39.62322551,2
brc501d,105,1.69780000,40.60788101,2
brc501d,106,2.08520000,38.32753579,2
brc501d,107,3.42140000,39.35785937,3
brc501d,108,5.03860000,37.77689780,3
brc501d,109,2.31720000,41.23534186,3
brc501d,110,2.48220000,43.93176527,2
brc501d,111,1.20680000,47.04253395,2
brc501d,112,2.44280000,44.55333882,2
brc501d,113,0.65180000,41.76122604,2
brc501d,114,2.11000000,44.06259727,4
brc501d,115,1.10660000,46.04345773,2
brc501d,116,2.25240000,44.69428364,3
brc501d,117,1.59260000,43.82921400,2
brc501d,118,2.12320000,42.23105626,3
brc501d,119,1.95420000,44.59820624,2
brc501d,120,3.11360000,48.01063709,3
brc501d,121,1.94920000,46.40043103,2
brc501d,122,1.83420000,47.67691507,3
brc501d,123,0.53700000,47.88527958,2
brc501d,124,1.92720000,48.04164860,2
brc501d,125,1.52300000,47.01063709,2
brc501d,126,2.60140000,48.60041152,2
brc501d,127,1.68440000,47.42362281,2
brc501d,128,2.03040000,50.15974482,2
brc501d,129,1.93520000,50.22812556,3
