Map,Query Number,Time,Distance,Path Length
combat,0,0.41680000,2.82842712,2
combat,1,0.26400000,2.82842712,2
combat,2,0.91180000,2.23606798,2
combat,3,0.23580000,1.41421356,2
combat,4,0.22800000,3.60555128,2
combat,5,0.23380000,3.60555128,2
combat,6,0.66000000,3.60555128,2
combat,7,0.66880000,1.41421356,2
combat,8,0.48140000,3.60555128,2
combat,9,0.22840000,3.00000000,2
combat,10,0.19600000,7.07106781,2
combat,11,0.21020000,4.47213595,2
combat,12,0.16300000,4.00000000,2
combat,13,0.15560000,7.21110255,2
combat,14,0.45360000,6.32455532,2
combat,15,0.63620000,5.38516481,2
combat,16,0.19040000,6.08276253,2
combat,17,0.17940000,5.83095189,2
combat,18,0.22480000,4.12310563,2
combat,19,0.20800000,7.21110255,2
combat,20,0.87360000,8.00000000,2
combat,21,0.19320000,8.24621125,2
combat,22,0.20020000,9.05538514,2
combat,23,0.16980000,8.06225775,2
combat,24,0.16340000,9.00000000,2
combat,25,0.15420000,9.21954446,2
combat,26,0.27520000,10.04987562,2
combat,27,0.16820000,11.04536102,2
combat,28,0.19180000,11.04536102,2
combat,29,0.16020000,10.63014581,2
combat,30,0.16800000,14.56021978,2
combat,31,0.15060000,12.16552506,2
combat,32,0.15940000,11.66190379,2
combat,33,0.16680000,14.14213562,2
combat,34,0.66440000,13.92838828,2
combat,35,0.38360000,11.70469991,2
combat,36,0.30480000,11.40175425,2
combat,37,0.41660000,13.03840481,2
combat,38,0.20760000,14.86606875,2
combat,39,0.21100000,15.00000000,2
combat,40,0.51400000,17.80449381,2
combat,41,0.42160000,16.03121954,2
combat,42,0.20520000,18.60107524,2
combat,43,0.42400000,17.80449381,2
combat,44,0.18420000,16.55294536,2
combat,45,0.49300000,18.02775638,2
combat,46,0.55040000,15.81138830,2
combat,47,0.48280000,19.02629759,2
combat,48,0.16520000,18.02775638,2
combat,49,0.18920000,16.64331698,2
combat,50,0.49220000,21.02379604,2
combat,51,0.50060000,20.12461180,2
combat,52,0.39860000,20.51828453,2
combat,53,0.72620000,22.67156810,2
combat,54,0.49220000,21.47091055,2
combat,55,0.39800000,22.67156810,2
combat,56,0.44760000,20.59126028,2
combat,57,0.41320000,20.00000000,2
combat,58,0.49860000,21.54065923,2
combat,59,0.17680000,18.86796226,2
combat,60,0.44240000,23.32380758,2
combat,61,0.19240000,25.63201124,2
combat,62,0.42960000,24.04163056,2
combat,63,0.19160000,25.00000000,2
combat,64,0.16360000,24.59674775,2
combat,65,0.15860000,24.33105012,2
combat,66,0.44040000,22.56102835,2
combat,67,1.10380000,25.89532189,4
combat,68,1.29600000,22.53837497,5
combat,69,0.62940000,24.59674775,2
combat,70,0.39740000,27.01851217,2
combat,71,0.39660000,29.06888371,2
combat,72,0.64540000,27.20379578,4
combat,73,0.54040000,31.14482300,2
combat,74,0.17960000,27.16615541,2
combat,75,0.14960000,27.51363298,2
combat,76,0.43500000,27.65863337,2
combat,77,0.16440000,28.79236010,2
combat,78,0.41200000,28.01785145,2
combat,79,0.47160000,30.00000000,2
combat,80,0.45560000,31.06444913,2
combat,81,0.45040000,33.10589071,2
combat,82,0.45900000,30.01666204,2
combat,83,0.43540000,35.38361203,2
combat,84,0.45340000,34.05877273,2
combat,85,0.60660000,30.81060012,3
combat,86,0.63960000,29.96664813,2
combat,87,0.15780000,34.05877273,2
combat,88,0.38220000,30.80584360,2
combat,89,0.48260000,32.28002478,2
combat,90,0.46880000,36.89173349,2
combat,91,0.47420000,36.89173349,2
combat,92,0.40780000,35.46829570,2
combat,93,0.44860000,35.46829570,2
combat,94,0.45120000,34.01470270,2
combat,95,0.23300000,35.11409973,2
combat,96,0.40940000,34.52535300,2
combat,97,0.50620000,36.22154055,2
combat,98,0.45240000,35.60898763,2
combat,99,0.40160000,36.22154055,2
combat,100,0.44560000,38.94868419,2
combat,101,0.84580000,39.59797975,2
combat,102,0.44360000,37.64306045,2
combat,103,0.27600000,40.04996879,2
combat,104,0.64400000,39.81205847,2
combat,105,0.45720000,37.58989226,2
combat,106,0.85020000,39.75883681,3
combat,107,0.16940000,39.81205847,2
combat,108,0.41660000,41.72529209,2
combat,109,0.21180000,39.29376541,2
combat,110,2.02420000,41.26854743,4
combat,111,0.40620000,41.10960958,2
combat,112,0.53320000,46.01086828,2
combat,113,0.59000000,42.10200847,3
combat,114,0.52520000,41.43682375,3
combat,115,0.38460000,40.85339643,2
combat,116,0.19140000,43.73785546,2
combat,117,0.57920000,43.59862014,3
combat,118,0.46120000,41.67733197,2
combat,119,0.51600000,45.04442252,2
combat,120,0.42960000,46.22769733,2
combat,121,0.42040000,47.50789408,2
combat,122,0.48420000,45.54119015,2
combat,123,0.46400000,47.01063709,2
combat,124,0.25820000,45.60701700,2
