Map,Query Number,Time,Distance,Path Length
den200n,0,182.27920000,-1.00000000,0
den200n,1,170.50800000,-1.00000000,0
den200n,2,188.38240000,-1.00000000,0
den200n,3,167.38340000,-1.00000000,0
den200n,4,167.57100000,-1.00000000,0
den200n,5,176.38920000,-1.00000000,0
den200n,6,167.00360000,-1.00000000,0
den200n,7,180.22740000,-1.00000000,0
den200n,8,166.84060000,-1.00000000,0
den200n,9,172.75100000,-1.00000000,0
den200n,10,1.55900000,6.40312424,2
den200n,11,0.79060000,4.12310563,2
den200n,12,0.59200000,4.12310563,2
den200n,13,0.95680000,5.38516481,2
den200n,14,0.34640000,7.07106781,2
den200n,15,0.34680000,7.21110255,2
den200n,16,0.47440000,6.32455532,2
den200n,17,1.05280000,5.38516481,2
den200n,18,0.59040000,6.40312424,2
den200n,19,0.32480000,5.83095189,2
den200n,20,0.71140000,8.48528137,2
den200n,21,1.06400000,9.89949494,2
den200n,22,2.31440000,10.72134935,4
den200n,23,0.33120000,8.60232527,2
den200n,24,1.53460000,9.43398113,2
den200n,25,0.90620000,9.43398113,2
den200n,26,0.34780000,7.61577311,2
den200n,27,0.49060000,9.43398113,2
den200n,28,1.10400000,11.18033989,2
den200n,29,0.47700000,10.04987562,2
den200n,30,0.88320000,15.13274595,2
den200n,31,1.96620000,11.48528137,3
den200n,32,1.69460000,9.57649122,5
den200n,33,1.01940000,12.29832573,4
den200n,34,1.05920000,12.00000000,2
den200n,35,1.41920000,13.60147051,2
den200n,36,0.88040000,11.70469991,2
den200n,37,0.80700000,13.45362405,2
den200n,38,0.61440000,12.20655562,2
den200n,39,0.26460000,11.18033989,2
den200n,40,0.94600000,17.46424920,2
den200n,41,1.46380000,17.65140906,3
den200n,42,1.65380000,18.63720037,3
den200n,43,0.29580000,16.55294536,2
den200n,44,0.41180000,19.02629759,2
den200n,45,1.73500000,18.25566639,4
den200n,46,1.10580000,18.26267650,3
den200n,47,0.61820000,18.02775638,2
den200n,48,1.17920000,17.04706860,3
den200n,49,0.80840000,17.80449381,2
den200n,50,0.82580000,21.95449840,2
den200n,51,0.92820000,23.34523506,2
den200n,52,1.16920000,19.84943324,2
den200n,53,2.27960000,21.34104115,3
den200n,54,1.05560000,20.61552813,2
den200n,55,1.42780000,21.10066256,3
den200n,56,0.27900000,20.51828453,2
den200n,57,1.60160000,21.17726818,4
den200n,58,0.89040000,18.78829423,2
den200n,59,2.18800000,19.87938495,4
den200n,60,1.18520000,25.00000000,2
den200n,61,1.58380000,25.09964637,3
den200n,62,1.74960000,24.99042048,3
den200n,63,0.39060000,26.07680962,2
den200n,64,1.54940000,27.58622845,2
den200n,65,1.72560000,22.56102835,2
den200n,66,0.35780000,25.00000000,2
den200n,67,1.44460000,25.50718912,3
den200n,68,1.80380000,23.85372088,2
den200n,69,0.98480000,24.41311123,2
den200n,70,1.86840000,28.46049894,2
den200n,71,0.83620000,29.15475947,2
den200n,72,0.73100000,26.62705391,2
