Map,Query Number,Time,Distance,Path Length
den401d,0,0.77100000,3.60555128,2
den401d,1,1.60960000,3.60555128,2
den401d,2,0.32160000,3.00000000,2
den401d,3,0.33080000,2.23606798,2
den401d,4,0.31680000,3.60555128,2
den401d,5,0.41440000,1.41421356,2
den401d,6,0.26300000,1.00000000,2
den401d,7,0.29860000,3.60555128,2
den401d,8,0.48940000,2.82842712,2
den401d,9,0.37500000,3.00000000,2
den401d,10,1.08580000,7.07106781,2
den401d,11,0.63500000,6.70820393,2
den401d,12,0.73260000,4.12310563,2
den401d,13,0.30660000,5.00000000,2
den401d,14,0.23200000,7.00000000,2
den401d,15,1.59220000,6.00000000,2
den401d,16,0.35740000,6.32455532,2
den401d,17,0.34580000,7.07106781,2
den401d,18,0.30480000,5.00000000,2
den401d,19,0.35280000,5.00000000,2
den401d,20,1.99980000,10.44030651,2
den401d,21,0.42080000,9.43398113,2
den401d,22,0.63080000,10.29563014,2
den401d,23,1.16840000,10.77032961,2
den401d,24,1.57140000,10.72865690,4
den401d,25,1.20080000,9.48683298,3
den401d,26,0.34160000,10.00000000,2
den401d,27,1.59360000,8.54400375,2
den401d,28,1.59760000,10.48227923,3
den401d,29,0.42280000,8.54400375,2
den401d,30,0.95500000,14.56021978,2
den401d,31,1.48920000,12.40175425,3
den401d,32,0.70420000,12.16552506,2
den401d,33,1.51500000,13.58430089,3
den401d,34,1.56900000,13.48418432,4
den401d,35,1.13160000,12.04159458,2
den401d,36,0.84840000,15.13274595,2
den401d,37,0.29440000,13.41640786,2
den401d,38,0.24840000,15.55634919,2
den401d,39,0.32400000,12.16552506,2
den401d,40,2.14600000,18.13742432,3
den401d,41,1.81500000,17.77046168,5
den401d,42,1.04040000,17.46424920,2
den401d,43,0.83140000,17.49285568,2
den401d,44,0.77020000,18.43908891,2
den401d,45,0.35920000,14.86606875,2
den401d,46,0.82140000,17.00000000,2
den401d,47,0.96820000,15.29705854,2
den401d,48,0.79360000,15.29705854,2
den401d,49,0.31560000,16.27882060,2
den401d,50,1.17940000,19.23538406,2
den401d,51,1.01820000,19.38457842,3
den401d,52,1.78540000,22.03840481,3
den401d,53,2.94640000,21.50968030,3
den401d,54,1.10620000,18.97366596,2
den401d,55,0.67960000,20.88061302,2
den401d,56,0.27640000,22.02271555,2
den401d,57,0.84400000,19.64688270,2
den401d,58,0.91900000,20.12461180,2
den401d,59,0.90840000,19.92485885,2
den401d,60,1.10960000,25.60558080,3
den401d,61,1.10020000,24.00000000,2
den401d,62,0.97300000,24.18607370,3
den401d,63,1.51980000,24.75883681,2
den401d,64,0.80700000,24.69817807,2
den401d,65,0.73820000,24.59674775,2
den401d,66,1.08760000,25.49509757,2
den401d,67,1.08360000,25.08766408,3
den401d,68,1.42080000,24.74435909,3
den401d,69,0.94040000,25.71919880,3
den401d,70,1.17820000,27.88634952,4
den401d,71,3.73720000,29.58595639,6
den401d,72,2.08420000,28.32286074,4
den401d,73,0.76940000,30.26549190,2
den401d,74,1.11140000,28.34523506,3
den401d,75,0.82920000,29.01723626,2
den401d,76,0.28780000,27.73084925,2
den401d,77,1.53580000,26.94434101,3
den401d,78,1.13840000,26.83281573,2
den401d,79,1.26480000,29.27456234,2
den401d,80,1.69420000,32.98484500,2
den401d,81,0.51580000,30.46309242,2
den401d,82,1.82580000,32.28010989,3
den401d,83,1.47240000,29.21182209,3
den401d,84,2.66860000,31.90858369,7
den401d,85,0.34920000,33.24154028,2
den401d,86,1.54420000,32.24099870,3
den401d,87,1.97180000,30.46309242,2
den401d,88,1.93300000,31.85372088,3
den401d,89,3.15800000,32.87013864,7
den401d,90,4.13100000,37.16790322,4
den401d,91,2.13620000,34.67728493,5
den401d,92,2.54960000,37.08679276,4
den401d,93,1.73920000,35.46829570,2
den401d,94,2.47820000,34.09989840,7
den401d,95,1.47460000,33.52891939,3
