Map,Query Number,Time,Distance,Path Length
hrt001d,0,0.63820000,1.00000000,2
hrt001d,1,0.37620000,2.23606798,2
hrt001d,2,0.23880000,2.23606798,2
hrt001d,3,0.62240000,2.23606798,2
hrt001d,4,0.36360000,2.82842712,2
hrt001d,5,0.24540000,2.23606798,2
hrt001d,6,0.30100000,1.00000000,2
hrt001d,7,0.21720000,2.23606798,2
hrt001d,8,0.50460000,3.60555128,2
hrt001d,9,0.32740000,3.00000000,2
hrt001d,10,1.45480000,7.23606798,4
hrt001d,11,0.70580000,4.23606798,3
hrt001d,12,0.60700000,6.65685425,3
hrt001d,13,1.92540000,4.82842712,3
hrt001d,14,0.46100000,4.12310563,2
hrt001d,15,0.28620000,6.00000000,2
hrt001d,16,0.84360000,7.07106781,2
hrt001d,17,0.24480000,4.47213595,2
hrt001d,18,0.23040000,6.00000000,2
hrt001d,19,0.70960000,7.21110255,2
hrt001d,20,2.30200000,10.16227766,5
hrt001d,21,1.05580000,7.61577311,2
hrt001d,22,1.62180000,10.69432345,4
hrt001d,23,0.30680000,10.04987562,2
hrt001d,24,0.76060000,7.81024968,2
hrt001d,25,0.98960000,7.81024968,2
hrt001d,26,2.09160000,6.00000000,4
hrt001d,27,0.66380000,10.44030651,2
hrt001d,28,0.69240000,8.94427191,2
hrt001d,29,0.59140000,10.04987562,2
hrt001d,30,1.59100000,14.16227766,4
hrt001d,31,1.58840000,13.60993861,3
hrt001d,32,1.07560000,12.04159458,2
hrt001d,33,0.78200000,12.80624847,2
hrt001d,34,1.01080000,15.19803903,3
hrt001d,35,0.41320000,12.04159458,2
hrt001d,36,1.05820000,13.32455532,3
hrt001d,37,1.47020000,13.37338021,4
hrt001d,38,0.65580000,12.36931688,2
hrt001d,39,0.54600000,12.08304597,2
hrt001d,40,2.41780000,18.76782894,5
hrt001d,41,1.88280000,16.94427191,5
hrt001d,42,1.14920000,17.26267650,2
hrt001d,43,2.84540000,14.54400375,4
hrt001d,44,1.53080000,17.37495564,4
hrt001d,45,0.97320000,17.08800749,2
hrt001d,46,1.18840000,15.92916855,4
hrt001d,47,2.34660000,13.85452007,4
hrt001d,48,0.83100000,15.39562313,4
hrt001d,49,1.32040000,15.19774400,3
hrt001d,50,1.83640000,20.55996646,5
hrt001d,51,0.98680000,22.94390102,5
hrt001d,52,1.83620000,22.00876701,5
hrt001d,53,1.14140000,22.34261755,5
hrt001d,54,1.37060000,19.23538406,2
hrt001d,55,0.98180000,21.21320344,2
hrt001d,56,1.89280000,20.65352559,4
hrt001d,57,1.25060000,20.26029678,4
hrt001d,58,1.26180000,20.26029678,4
hrt001d,59,1.33480000,22.18033989,4
hrt001d,60,2.02680000,24.13714581,5
hrt001d,61,2.43800000,24.23816802,5
hrt001d,62,1.60020000,25.97143802,3
hrt001d,63,2.61480000,23.53312652,4
hrt001d,64,1.32700000,23.23021551,4
hrt001d,65,1.13820000,23.47597003,4
hrt001d,66,0.71380000,22.84731932,2
hrt001d,67,0.62740000,23.73759030,3
hrt001d,68,1.02540000,25.81317711,3
hrt001d,69,0.64280000,26.07680962,2
hrt001d,70,3.13500000,28.42810863,4
hrt001d,71,1.34440000,28.70992026,3
hrt001d,72,1.14580000,28.44292531,2
hrt001d,73,1.26460000,26.69659773,3
hrt001d,74,1.31460000,28.30880930,3
hrt001d,75,0.63200000,31.00000000,2
hrt001d,76,1.17820000,28.23118843,2
hrt001d,77,0.55300000,26.00000000,2
hrt001d,78,0.89480000,27.45906044,2
hrt001d,79,0.89180000,26.68332813,2
hrt001d,80,2.21380000,31.79281333,5
hrt001d,81,2.53440000,30.56204280,5
hrt001d,82,4.00820000,30.76661672,8
hrt001d,83,1.76360000,31.43620705,5
hrt001d,84,1.24160000,32.15475947,3
