Map,Query Number,Time,Distance,Path Length
hrt201n,0,0.67320000,3.00000000,2
hrt201n,1,0.33340000,2.00000000,2
hrt201n,2,0.27640000,1.00000000,2
hrt201n,3,0.73740000,2.00000000,2
hrt201n,4,0.40700000,3.60555128,2
hrt201n,5,0.46280000,1.41421356,2
hrt201n,6,0.41180000,2.23606798,2
hrt201n,7,1.40320000,3.00000000,2
hrt201n,8,0.36300000,3.16227766,2
hrt201n,9,0.29620000,2.23606798,2
hrt201n,10,0.39860000,7.21110255,2
hrt201n,11,0.28420000,4.47213595,2
hrt201n,12,0.56160000,3.60555128,2
hrt201n,13,0.42920000,6.08276253,2
hrt201n,14,0.25600000,4.12310563,2
hrt201n,15,0.58060000,6.08276253,2
hrt201n,16,0.43340000,5.00000000,2
hrt201n,17,0.28840000,5.65685425,2
hrt201n,18,0.38360000,4.47213595,2
hrt201n,19,1.27300000,5.38516481,2
hrt201n,20,0.71480000,8.60232527,2
hrt201n,21,0.96160000,9.21954446,2
hrt201n,22,1.16940000,11.04536102,2
hrt201n,23,0.68600000,10.04987562,2
hrt201n,24,0.29060000,9.48683298,2
hrt201n,25,0.31000000,9.21954446,2
hrt201n,26,0.34620000,11.18033989,2
hrt201n,27,0.32060000,8.00000000,2
hrt201n,28,0.91020000,8.54400375,2
hrt201n,29,0.84860000,10.44030651,2
hrt201n,30,0.94980000,15.00000000,2
hrt201n,31,1.17120000,12.37912940,3
hrt201n,32,0.52260000,14.46538199,3
hrt201n,33,0.83180000,14.03566885,2
hrt201n,34,0.43780000,12.08304597,2
hrt201n,35,0.75660000,14.02260056,3
hrt201n,36,0.77040000,13.44030651,3
hrt201n,37,1.00200000,12.04159458,2
hrt201n,38,0.94560000,13.92838828,2
hrt201n,39,0.88080000,13.89244399,2
hrt201n,40,0.66060000,16.49242250,2
hrt201n,41,1.11700000,17.00000000,2
hrt201n,42,1.08460000,18.09676372,3
hrt201n,43,0.73900000,15.81665383,3
hrt201n,44,0.97000000,15.94427191,3
hrt201n,45,0.86240000,17.20702178,3
hrt201n,46,1.28560000,19.02629759,2
hrt201n,47,1.54660000,16.45857294,4
hrt201n,48,0.78840000,18.43908891,2
hrt201n,49,0.87140000,19.10497317,2
hrt201n,50,1.36120000,20.39607805,3
hrt201n,51,1.22740000,18.04745628,3
hrt201n,52,1.03340000,20.61552813,2
hrt201n,53,1.40860000,20.12461180,3
hrt201n,54,1.40160000,20.59938888,4
hrt201n,55,1.11280000,20.49623888,4
hrt201n,56,1.34400000,23.00000000,3
hrt201n,57,0.93740000,19.17776176,4
hrt201n,58,1.58320000,21.35512659,3
hrt201n,59,0.89420000,21.02379604,2
hrt201n,60,2.22380000,25.59665145,4
hrt201n,61,2.18800000,23.25063223,5
hrt201n,62,1.44560000,22.66562126,4
hrt201n,63,1.58740000,22.56120852,3
hrt201n,64,0.88100000,22.56102835,2
hrt201n,65,1.88800000,25.29705854,4
hrt201n,66,1.02960000,23.26209297,3
hrt201n,67,0.81080000,22.47220505,2
hrt201n,68,1.80560000,22.85893238,5
hrt201n,69,2.17100000,25.67574919,5
hrt201n,70,2.62300000,28.84865449,5
hrt201n,71,1.26100000,28.59588863,3
hrt201n,72,1.68120000,28.94081876,3
hrt201n,73,1.06640000,27.89265136,2
hrt201n,74,1.85600000,27.41798504,3
hrt201n,75,1.28740000,29.15475947,2
hrt201n,76,0.92280000,26.78564023,3
hrt201n,77,2.06240000,27.91929157,3
hrt201n,78,1.05820000,28.44292531,2
hrt201n,79,0.73080000,29.01723626,2
hrt201n,80,1.39420000,30.03136814,3
hrt201n,81,1.79120000,33.73203463,4
hrt201n,82,1.37820000,34.00000000,2
hrt201n,83,3.31940000,30.96448121,5
hrt201n,84,1.70940000,28.82329114,5
hrt201n,85,1.76680000,31.66555699,3
hrt201n,86,1.64040000,33.86000779,5
hrt201n,87,1.41300000,32.04055942,3
hrt201n,88,1.73760000,33.24357247,3
hrt201n,89,2.03340000,30.31348871,4
hrt201n,90,2.47580000,36.58437582,4
hrt201n,91,8.30520000,37.84377874,6
hrt201n,92,1.92740000,36.40054945,2
hrt201n,93,2.11800000,31.57689650,5
hrt201n,94,1.14840000,33.04191158,3
hrt201n,95,2.03200000,37.09140991,3
hrt201n,96,2.05900000,39.00000000,2
hrt201n,97,1.59280000,33.12324335,4
hrt201n,98,1.62420000,34.83610559,3
hrt201n,99,1.09160000,34.20526275,2
hrt201n,100,3.31660000,39.90946817,5
hrt201n,101,2.34620000,39.31788284,3
hrt201n,102,1.43360000,39.28634358,4
hrt201n,103,3.25260000,38.96075889,5
hrt201n,104,2.90540000,41.36323924,4
hrt201n,105,2.39140000,38.47318574,3
hrt201n,106,1.62480000,42.01190308,2
hrt201n,107,1.82920000,39.05205485,3
hrt201n,108,1.58160000,40.11065594,4
hrt201n,109,1.97300000,37.80353410,6
hrt201n,110,3.32360000,45.36259046,5
hrt201n,111,4.18900000,42.74048040,5
hrt201n,112,2.15420000,43.09502311,4
hrt201n,113,2.27540000,43.44344231,4
hrt201n,114,1.90920000,45.21452962,4
hrt201n,115,3.70980000,43.08314775,3
hrt201n,116,2.33580000,45.04442252,2
hrt201n,117,3.95520000,43.33562264,3
hrt201n,118,2.38080000,43.68065934,2
hrt201n,119,2.74080000,45.81907732,4
hrt201n,120,3.13920000,44.79113655,3
hrt201n,121,2.37920000,46.32537183,5
hrt201n,122,2.09320000,45.53310032,4
hrt201n,123,4.41520000,48.06434611,6
hrt201n,124,1.27400000,45.80051925,4
hrt201n,125,3.18120000,46.23743617,3
hrt201n,126,2.13460000,47.94656583,4
hrt201n,127,3.94360000,47.20104745,6
hrt201n,128,2.27700000,44.64670778,5
hrt201n,129,3.09760000,48.31021111,4
hrt201n,130,3.05380000,51.37500838,4
hrt201n,131,3.64460000,52.27605206,4
hrt201n,132,2.12000000,49.35260182,6
hrt201n,133,6.64740000,50.27965568,7
hrt201n,134,2.00440000,48.72804694,6
hrt201n,135,2.00900000,49.46612680,7
hrt201n,136,2.22860000,51.59578755,6
hrt201n,137,2.82320000,51.62603287,5
hrt201n,138,6.11900000,49.97364031,6
hrt201n,139,5.09900000,50.13066168,7
hrt201n,140,2.71840000,53.25509122,7
hrt201n,141,1.70960000,55.22845103,3
hrt201n,142,1.41280000,57.42821606,2
