Map,Query Number,Time,Distance,Path Length
lak100c,0,0.69660000,2.23606798,2
lak100c,1,3.86020000,3.16227766,2
lak100c,2,0.48200000,3.60555128,2
lak100c,3,0.41320000,2.00000000,2
lak100c,4,0.98260000,2.23606798,2
lak100c,5,0.41680000,2.00000000,2
lak100c,6,0.89820000,3.00000000,2
lak100c,7,0.48040000,2.23606798,2
lak100c,8,0.44920000,1.41421356,2
lak100c,9,0.39440000,3.60555128,2
lak100c,10,0.44040000,5.83095189,2
lak100c,11,0.49500000,6.08276253,2
lak100c,12,0.52380000,5.38516481,2
lak100c,13,0.42320000,6.70820393,2
lak100c,14,0.73820000,7.07106781,2
lak100c,15,1.35000000,4.12310563,2
lak100c,16,0.72520000,5.00000000,2
lak100c,17,0.54560000,5.65685425,2
lak100c,18,1.13900000,5.83095189,2
lak100c,19,0.77460000,4.12310563,2
lak100c,20,1.59120000,10.00000000,3
lak100c,21,1.01740000,10.44030651,2
lak100c,22,0.92480000,9.84885780,2
lak100c,23,1.24220000,9.48683298,2
lak100c,24,1.01280000,11.40175425,2
lak100c,25,0.57300000,8.06225775,2
lak100c,26,1.53340000,9.41421356,4
lak100c,27,0.41080000,7.81024968,2
lak100c,28,0.75580000,8.06225775,2
lak100c,29,1.52980000,9.48683298,2
lak100c,30,0.87360000,14.76482306,2
lak100c,31,0.71780000,14.03566885,2
lak100c,32,1.96220000,14.22446324,4
lak100c,33,0.84020000,14.56021978,2
lak100c,34,3.91600000,13.64911064,3
lak100c,35,0.83960000,12.52996409,2
lak100c,36,1.24140000,12.08304597,2
lak100c,37,1.31040000,14.76482306,2
lak100c,38,0.60460000,15.03329638,2
lak100c,39,1.05500000,12.64911064,2
lak100c,40,1.03700000,18.02775638,2
lak100c,41,1.89600000,16.04536102,4
lak100c,42,3.91140000,18.24828759,2
lak100c,43,0.39940000,18.00000000,2
lak100c,44,1.57100000,18.65247584,3
lak100c,45,1.73740000,16.12451550,2
lak100c,46,0.97300000,16.63766102,3
lak100c,47,0.73660000,16.76694287,3
lak100c,48,1.44840000,18.02775638,2
lak100c,49,1.50420000,17.61431829,4
lak100c,50,1.86740000,22.12936363,4
lak100c,51,0.76480000,22.09072203,2
lak100c,52,1.74660000,18.68154169,2
lak100c,53,1.90820000,22.09072203,2
lak100c,54,1.48800000,19.65985097,3
lak100c,55,2.64440000,22.71052445,3
lak100c,56,4.53500000,22.02271555,2
lak100c,57,0.63080000,22.09072203,2
lak100c,58,0.50600000,20.59126028,2
lak100c,59,1.53600000,20.59126028,2
lak100c,60,1.21760000,23.76972865,2
lak100c,61,3.34820000,23.41437349,8
lak100c,62,1.08800000,22.82542442,2
lak100c,63,2.22600000,26.19010721,4
lak100c,64,1.63620000,25.49509757,2
lak100c,65,1.58020000,24.71837919,3
lak100c,66,2.10800000,24.86821401,3
lak100c,67,1.36900000,25.17935662,2
lak100c,68,3.35480000,24.45842692,5
lak100c,69,2.00140000,23.31003581,4
lak100c,70,2.73020000,29.21499946,6
lak100c,71,1.84340000,25.45106744,5
lak100c,72,1.53240000,28.02179272,4
lak100c,73,2.65400000,28.31960452,2
lak100c,74,2.01800000,27.66232809,3
lak100c,75,0.94000000,27.78488798,2
lak100c,76,1.91240000,29.08800749,3
lak100c,77,1.94740000,28.16025568,2
lak100c,78,1.03960000,29.41088234,2
lak100c,79,0.80620000,27.29468813,2
lak100c,80,1.34740000,33.87938495,4
lak100c,81,0.57260000,34.05877273,2
lak100c,82,2.73920000,32.87594330,5
lak100c,83,2.08580000,31.04834939,2
lak100c,84,1.46800000,32.01562119,2
lak100c,85,2.21580000,35.04536102,4
lak100c,86,2.12760000,32.57336482,3
lak100c,87,1.22080000,32.01562119,2
lak100c,88,3.55340000,31.12880635,6
lak100c,89,0.82840000,33.30165161,2
lak100c,90,3.25040000,36.26787029,7
lak100c,91,3.10900000,36.28973551,6
lak100c,92,2.16880000,35.10064090,6
lak100c,93,1.68240000,36.25121602,4
lak100c,94,1.06920000,38.05259518,2
lak100c,95,2.89000000,34.58946463,4
lak100c,96,2.89160000,35.92357512,4
lak100c,97,1.45580000,36.73317744,3
lak100c,98,3.12680000,37.21069431,7
lak100c,99,4.53700000,36.49285568,5
lak100c,100,3.46540000,38.01485823,7
lak100c,101,1.10900000,40.01351105,3
lak100c,102,1.26480000,42.01190308,2
lak100c,103,8.92000000,40.34672974,9
lak100c,104,3.67160000,38.37968388,5
lak100c,105,2.17080000,41.03607537,4
lak100c,106,1.68240000,42.14140510,3
lak100c,107,1.35680000,40.01249805,2
lak100c,108,0.84580000,40.01249805,2
lak100c,109,1.48060000,37.36308338,2
lak100c,110,5.00900000,42.10707463,10
lak100c,111,4.67100000,39.94865227,9
lak100c,112,1.88840000,45.24903099,3
lak100c,113,3.91460000,42.62031609,7
lak100c,114,1.48120000,42.80186912,2
lak100c,115,2.62700000,45.51423799,3
lak100c,116,2.82400000,46.01086828,2
lak100c,117,5.87960000,44.87851000,6
lak100c,118,2.58740000,42.63801121,2
lak100c,119,1.68460000,41.51189199,3
lak100c,120,5.64860000,45.96586134,12
lak100c,121,0.95640000,47.16990566,2
lak100c,122,6.47120000,46.07070176,12
lak100c,123,2.74200000,46.32493929,2
lak100c,124,1.72420000,49.01562119,3
lak100c,125,3.27280000,44.58458992,5
lak100c,126,7.23440000,49.25880627,7
lak100c,127,6.15180000,47.73742392,4
lak100c,128,1.52940000,46.52956050,2
lak100c,129,1.37240000,44.94441011,2
lak100c,130,1.36060000,53.65141183,4
lak100c,131,5.24800000,49.63647598,8
lak100c,132,4.15660000,49.00933505,12
lak100c,133,1.80220000,54.08326913,2
lak100c,134,4.03200000,52.69493801,7
lak100c,135,6.27460000,51.67193075,8
lak100c,136,2.22180000,49.34987578,3
lak100c,137,6.63000000,52.49617243,6
lak100c,138,1.60180000,50.60632372,2
lak100c,139,2.42580000,52.14337076,4
lak100c,140,1.47340000,53.84482888,3
lak100c,141,3.23000000,54.60069342,5
