Map,Query Number,Time,Distance,Path Length
lak107d,0,0.80380000,1.00000000,2
lak107d,1,0.24740000,1.00000000,2
lak107d,2,0.46700000,2.23606798,2
lak107d,3,0.22420000,2.00000000,2
lak107d,4,0.20880000,2.82842712,2
lak107d,5,0.19480000,3.00000000,2
lak107d,6,0.17980000,3.60555128,2
lak107d,7,0.58140000,3.00000000,2
lak107d,8,0.56660000,3.16227766,2
lak107d,9,0.47360000,3.16227766,2
lak107d,10,0.58580000,7.00000000,2
lak107d,11,0.43040000,5.00000000,2
lak107d,12,0.43040000,6.08276253,2
lak107d,13,0.37860000,5.09901951,2
lak107d,14,0.36540000,4.12310563,2
lak107d,15,0.38920000,6.32455532,2
lak107d,16,0.36800000,5.38516481,2
lak107d,17,0.37480000,4.47213595,2
lak107d,18,0.37480000,5.83095189,2
lak107d,19,0.18740000,5.00000000,2
lak107d,20,0.39700000,7.61577311,2
lak107d,21,0.23100000,8.60232527,2
lak107d,22,0.48380000,10.00000000,2
lak107d,23,0.19500000,9.21954446,2
lak107d,24,0.17920000,7.81024968,2
lak107d,25,0.42700000,11.40175425,2
lak107d,26,0.19220000,8.06225775,2
lak107d,27,0.19440000,8.00000000,2
lak107d,28,0.18020000,10.63014581,2
lak107d,29,0.16040000,10.00000000,2
lak107d,30,0.39260000,12.72792206,2
lak107d,31,0.21780000,12.04159458,2
lak107d,32,0.80320000,11.26240552,4
lak107d,33,0.76240000,14.45362405,3
lak107d,34,0.44840000,13.45362405,2
lak107d,35,0.91600000,11.04987562,3
lak107d,36,0.21980000,12.20655562,2
lak107d,37,0.61760000,12.28594360,3
lak107d,38,0.89120000,13.28594360,4
lak107d,39,0.79100000,14.28594360,4
lak107d,40,0.67060000,13.12899020,4
lak107d,41,0.65080000,13.65685425,4
lak107d,42,0.58020000,13.65685425,4
lak107d,43,0.57760000,14.73961678,4
lak107d,44,0.63040000,14.98140957,4
lak107d,45,0.60900000,15.36505818,4
lak107d,46,0.61700000,15.93696414,4
lak107d,47,0.78900000,15.28594360,4
lak107d,48,0.74240000,15.44822126,4
lak107d,49,0.71960000,16.40904922,4
lak107d,50,2.88540000,18.61049892,4
lak107d,51,0.73760000,18.99414753,3
lak107d,52,0.66680000,18.65220089,3
lak107d,53,0.71420000,20.34550576,3
lak107d,54,0.87780000,21.34550576,4
lak107d,55,0.62560000,19.26942008,3
lak107d,56,0.58160000,20.04987562,3
lak107d,57,0.61620000,19.94937056,3
lak107d,58,0.61380000,21.45162987,3
lak107d,59,0.44500000,18.99414753,3
lak107d,60,0.88300000,23.21267040,5
lak107d,61,0.66560000,23.44873838,5
lak107d,62,0.44480000,21.86606875,4
lak107d,63,0.62680000,24.02938637,4
lak107d,64,0.41600000,21.87278650,5
lak107d,65,0.58860000,24.69180601,4
lak107d,66,0.40840000,23.28423527,5
lak107d,67,0.40400000,22.64439494,5
lak107d,68,0.39560000,22.05929451,5
lak107d,69,0.39220000,21.53827083,5
lak107d,70,0.67700000,27.10870943,6
lak107d,71,0.44280000,24.84411120,5
lak107d,72,0.59440000,24.47870866,6
lak107d,73,0.82640000,25.47870866,7
lak107d,74,0.76260000,26.47870866,7
lak107d,75,0.44380000,26.24264069,5
lak107d,76,0.41840000,25.66484579,5
lak107d,77,0.55800000,25.07106781,6
lak107d,78,0.52100000,27.05402899,5
lak107d,79,0.43540000,26.50697821,5
lak107d,80,0.82100000,28.47870866,7
lak107d,81,0.70300000,27.64098632,7
lak107d,82,0.67740000,28.60181429,7
lak107d,83,0.64300000,29.57772818,7
lak107d,84,0.77800000,30.56147119,7
lak107d,85,0.58980000,28.07359258,6
lak107d,86,0.69020000,29.86387347,7
lak107d,87,0.69500000,30.80326398,7
lak107d,88,0.68480000,29.27039706,5
lak107d,89,0.58040000,29.45374324,6
lak107d,90,0.78780000,31.56147119,8
lak107d,91,0.57580000,32.14213562,6
lak107d,92,0.57500000,33.64439494,6
lak107d,93,0.76040000,33.55634919,6
lak107d,94,0.69400000,33.64439494,6
lak107d,95,0.55100000,32.29251631,6
lak107d,96,0.52220000,32.44067971,6
lak107d,97,0.57840000,32.82967383,5
lak107d,98,0.53280000,32.62019901,5
lak107d,99,0.55500000,32.45584412,5
lak107d,100,0.91500000,34.89744443,7
lak107d,101,0.84020000,35.24647476,7
lak107d,102,0.87760000,35.97056275,6
lak107d,103,0.77720000,35.77433881,7
lak107d,104,0.76940000,35.87335832,7
lak107d,105,0.73060000,36.06958226,6
lak107d,106,0.90140000,34.92343564,7
lak107d,107,0.85540000,36.15950361,7
lak107d,108,0.76140000,36.35572756,6
lak107d,109,0.84040000,35.36922272,7
