Map,Query Number,Time,Distance,Path Length
lgt300d,0,0.92060000,1.00000000,2
lgt300d,1,0.34800000,3.60555128,2
lgt300d,2,0.45360000,2.00000000,2
lgt300d,3,0.38700000,2.00000000,2
lgt300d,4,0.30160000,1.00000000,2
lgt300d,5,0.28380000,2.00000000,2
lgt300d,6,0.73340000,3.16227766,2
lgt300d,7,0.37960000,3.60555128,2
lgt300d,8,0.39400000,3.60555128,2
lgt300d,9,0.26020000,3.60555128,2
lgt300d,10,0.49200000,4.00000000,2
lgt300d,11,0.38200000,6.70820393,2
lgt300d,12,0.38680000,6.40312424,2
lgt300d,13,0.32640000,6.70820393,2
lgt300d,14,0.87260000,4.47213595,2
lgt300d,15,0.33160000,7.07106781,2
lgt300d,16,0.31880000,5.00000000,2
lgt300d,17,0.31160000,5.83095189,2
lgt300d,18,0.42040000,7.07106781,2
lgt300d,19,0.96920000,5.09901951,2
lgt300d,20,0.35500000,9.48683298,2
lgt300d,21,1.81900000,9.43398113,2
lgt300d,22,1.01500000,8.06225775,2
lgt300d,23,0.41440000,10.04987562,2
lgt300d,24,0.34580000,10.81665383,2
lgt300d,25,0.25900000,9.43398113,2
lgt300d,26,0.67180000,9.89949494,2
lgt300d,27,0.29580000,10.29563014,2
lgt300d,28,0.29620000,10.29563014,2
lgt300d,29,1.19440000,11.00000000,2
lgt300d,30,0.32480000,13.03840481,2
lgt300d,31,0.26980000,11.40175425,2
lgt300d,32,0.48280000,14.56021978,2
lgt300d,33,0.25240000,13.92838828,2
lgt300d,34,0.27860000,13.92838828,2
lgt300d,35,0.31340000,12.52996409,2
lgt300d,36,0.26600000,12.72792206,2
lgt300d,37,0.30420000,14.14213562,2
lgt300d,38,0.32340000,13.60147051,2
lgt300d,39,1.33460000,11.66190379,2
lgt300d,40,0.30280000,15.81138830,2
lgt300d,41,2.27100000,15.06701987,5
lgt300d,42,0.56220000,16.12451550,2
lgt300d,43,0.30980000,15.29705854,2
lgt300d,44,1.95680000,16.76092330,3
lgt300d,45,4.56360000,14.79315200,7
lgt300d,46,1.07500000,15.26433752,2
lgt300d,47,1.69800000,17.26170429,4
lgt300d,48,0.40740000,17.49285568,2
lgt300d,49,0.34420000,16.12451550,2
lgt300d,50,0.31460000,19.41648784,2
lgt300d,51,0.86940000,20.02498439,2
lgt300d,52,1.29400000,19.84943324,2
