Map,Query Number,Time,Distance,Path Length
orz900d,0,1.53660000,3.16227766,2
orz900d,1,1.57140000,2.82842712,2
orz900d,2,0.68080000,2.23606798,2
orz900d,3,0.80800000,2.23606798,2
orz900d,4,0.83140000,1.41421356,2
orz900d,5,0.67260000,3.16227766,2
orz900d,6,0.64860000,1.00000000,2
orz900d,7,0.50740000,3.16227766,2
orz900d,8,0.56780000,1.00000000,2
orz900d,9,0.40140000,1.00000000,2
orz900d,10,2.74600000,3.16227766,2
orz900d,11,0.70240000,4.47213595,2
orz900d,12,0.60340000,5.09901951,2
orz900d,13,0.76160000,4.47213595,2
orz900d,14,1.73500000,7.09901951,4
orz900d,15,1.28700000,7.07106781,2
orz900d,16,1.19220000,6.70820393,2
orz900d,17,0.65080000,6.70820393,2
orz900d,18,0.74300000,5.09901951,2
orz900d,19,0.92680000,5.00000000,2
orz900d,20,1.24300000,10.00000000,2
orz900d,21,0.51700000,9.48683298,2
orz900d,22,0.96180000,9.05538514,2
orz900d,23,0.42540000,8.54400375,2
orz900d,24,0.43600000,7.61577311,2
orz900d,25,0.28540000,10.19803903,2
orz900d,26,0.60680000,8.94427191,2
orz900d,27,0.80160000,8.00000000,2
orz900d,28,0.35400000,10.81665383,2
orz900d,29,0.56840000,9.48683298,2
orz900d,30,1.23800000,11.18033989,2
orz900d,31,0.64360000,12.20655562,2
orz900d,32,0.47300000,15.00000000,2
orz900d,33,1.82240000,13.00639759,3
orz900d,34,0.49680000,13.00000000,2
orz900d,35,0.40280000,12.20655562,2
orz900d,36,0.32440000,11.18033989,2
orz900d,37,0.43640000,13.15294644,2
orz900d,38,0.98080000,15.13274595,2
orz900d,39,0.82120000,14.21267040,2
orz900d,40,0.95360000,16.15549442,2
orz900d,41,1.34380000,15.23154621,2
orz900d,42,0.38980000,18.24828759,2
orz900d,43,0.72100000,16.40121947,2
orz900d,44,0.93840000,16.03121954,2
orz900d,45,0.42520000,17.11724277,2
orz900d,46,0.82280000,18.24828759,2
orz900d,47,0.63980000,18.24828759,2
orz900d,48,0.62080000,15.62049935,2
orz900d,49,0.74740000,18.60107524,2
orz900d,50,0.83420000,19.23538406,2
orz900d,51,1.45260000,19.00000000,2
orz900d,52,0.40800000,21.26029163,2
orz900d,53,0.37360000,21.21320344,2
orz900d,54,1.86320000,21.01524546,3
orz900d,55,0.39760000,19.84943324,2
orz900d,56,0.83100000,20.51828453,2
orz900d,57,0.80100000,21.54065923,2
orz900d,58,1.11860000,20.39607805,2
orz900d,59,1.59280000,19.28283893,3
orz900d,60,0.42380000,23.60084744,2
orz900d,61,0.46980000,23.85372088,2
orz900d,62,1.21000000,25.49509757,2
orz900d,63,0.99380000,26.07680962,2
orz900d,64,0.97840000,22.84731932,2
orz900d,65,0.49040000,24.69817807,2
orz900d,66,1.07840000,22.66841635,3
orz900d,67,0.34960000,26.90724809,2
orz900d,68,0.71340000,24.75883681,2
orz900d,69,0.71160000,23.43074903,2
orz900d,70,0.59220000,29.15475947,2
orz900d,71,1.75580000,27.54063195,3
orz900d,72,0.66240000,30.47950131,2
orz900d,73,2.32920000,27.73558195,4
orz900d,74,1.19820000,28.46995967,3
orz900d,75,1.53320000,29.15475947,2
orz900d,76,1.47060000,29.83286778,2
orz900d,77,0.89600000,29.20616373,2
orz900d,78,1.59220000,26.11051891,4
orz900d,79,1.40760000,26.92582404,2
orz900d,80,0.48560000,31.24099870,2
orz900d,81,1.03420000,31.95309062,2
orz900d,82,0.43020000,30.01666204,2
orz900d,83,0.69700000,32.38826948,2
orz900d,84,2.20400000,32.11401111,3
orz900d,85,0.47620000,32.28002478,2
orz900d,86,1.55300000,32.75667871,2
orz900d,87,1.73660000,34.13906737,3
orz900d,88,0.77520000,31.01612484,2
orz900d,89,2.03380000,30.47213595,3
orz900d,90,0.38200000,35.51056181,2
orz900d,91,0.37580000,36.00000000,2
orz900d,92,0.86160000,38.28837944,2
orz900d,93,1.00920000,36.87817783,2
orz900d,94,2.39120000,35.47042350,6
orz900d,95,1.95940000,37.00000000,3
orz900d,96,3.72720000,33.07794182,5
orz900d,97,2.89740000,37.35059871,7
orz900d,98,1.51840000,36.12478374,2
orz900d,99,2.23740000,34.93334919,3
orz900d,100,0.74080000,43.04648650,2
orz900d,101,0.95160000,41.03656906,2
orz900d,102,0.71100000,40.00000000,2
orz900d,103,0.62400000,39.00000000,2
orz900d,104,1.63500000,40.49691346,2
orz900d,105,1.11460000,41.59326869,2
orz900d,106,0.90980000,39.66106403,2
orz900d,107,1.54380000,39.42220510,3
orz900d,108,1.81400000,40.19950248,2
orz900d,109,1.80780000,38.65575760,4
orz900d,110,2.14080000,44.00878953,5
orz900d,111,1.00420000,47.04253395,2
orz900d,112,0.73160000,43.93176527,2
orz900d,113,1.03240000,42.63801121,2
orz900d,114,0.96200000,45.25483400,2
orz900d,115,0.93480000,43.17406629,2
orz900d,116,0.86660000,41.14608122,2
orz900d,117,1.42500000,42.65304263,3
