Map,Query Number,Time,Distance,Path Length
ost000a,0,1.21920000,2.23606798,2
ost000a,1,1.38540000,1.41421356,2
ost000a,2,0.75180000,2.82842712,2
ost000a,3,1.64260000,3.00000000,2
ost000a,4,0.83540000,2.00000000,2
ost000a,5,0.68240000,3.60555128,2
ost000a,6,0.61820000,3.16227766,2
ost000a,7,0.51460000,3.16227766,2
ost000a,8,1.30200000,3.60555128,2
ost000a,9,1.43220000,3.60555128,2
ost000a,10,0.59420000,5.00000000,2
ost000a,11,0.71620000,7.21110255,2
ost000a,12,0.70540000,4.12310563,2
ost000a,13,0.65760000,5.83095189,2
ost000a,14,0.36040000,5.00000000,2
ost000a,15,1.19000000,7.28010989,2
ost000a,16,0.63680000,6.32455532,2
ost000a,17,0.59340000,7.21110255,2
ost000a,18,0.72420000,4.12310563,2
ost000a,19,1.11680000,4.47213595,2
ost000a,20,1.61720000,10.00000000,2
ost000a,21,0.50140000,10.04987562,2
ost000a,22,0.51080000,10.29563014,2
ost000a,23,1.06460000,10.77032961,2
ost000a,24,1.44700000,8.00000000,2
ost000a,25,0.61220000,8.60232527,2
ost000a,26,1.12480000,10.77032961,2
ost000a,27,1.13140000,11.04536102,2
ost000a,28,1.36060000,10.81665383,2
ost000a,29,1.63580000,10.00000000,2
ost000a,30,2.16540000,13.70469991,3
ost000a,31,1.31800000,14.00000000,2
ost000a,32,0.61240000,13.45362405,2
ost000a,33,1.47620000,12.80624847,2
ost000a,34,1.04320000,13.00000000,2
ost000a,35,2.14240000,14.60258417,4
ost000a,36,0.68900000,12.20655562,2
ost000a,37,0.51140000,13.45362405,2
ost000a,38,1.69540000,15.00000000,2
ost000a,39,0.58180000,13.60147051,2
ost000a,40,0.46100000,15.81138830,2
ost000a,41,1.06860000,15.23154621,2
ost000a,42,1.75680000,17.46424920,2
ost000a,43,0.47120000,15.26433752,2
ost000a,44,1.03960000,15.65247584,2
ost000a,45,1.01160000,18.35755975,2
ost000a,46,0.32440000,15.23154621,2
ost000a,47,1.00640000,14.86606875,2
ost000a,48,1.06620000,15.29705854,2
ost000a,49,1.04040000,16.64331698,2
