Map,Query Number,Time,Distance,Path Length
ost000t,0,1.31600000,3.16227766,2
ost000t,1,0.88920000,3.60555128,2
ost000t,2,0.59540000,2.00000000,2
ost000t,3,1.52400000,1.00000000,2
ost000t,4,1.66800000,2.82842712,2
ost000t,5,0.67480000,3.60555128,2
ost000t,6,0.86900000,3.16227766,2
ost000t,7,0.62440000,3.16227766,2
ost000t,8,0.42840000,1.00000000,2
ost000t,9,0.68700000,3.00000000,2
ost000t,10,0.48400000,6.00000000,2
ost000t,11,1.23900000,5.65685425,2
ost000t,12,1.29620000,6.40312424,2
ost000t,13,0.66160000,4.47213595,2
ost000t,14,1.70900000,6.40312424,2
ost000t,15,2.15220000,5.53731919,3
ost000t,16,0.47720000,6.08276253,2
ost000t,17,0.62440000,5.38516481,2
ost000t,18,0.89000000,6.08276253,2
ost000t,19,0.73640000,4.00000000,2
ost000t,20,1.85900000,11.04536102,2
ost000t,21,0.54720000,8.94427191,2
ost000t,22,0.57780000,9.05538514,2
ost000t,23,0.48140000,10.19803903,2
ost000t,24,0.47040000,10.29563014,2
ost000t,25,1.12560000,9.21954446,2
ost000t,26,0.61900000,8.94427191,2
ost000t,27,1.83260000,7.63441362,3
ost000t,28,1.64440000,8.94427191,2
ost000t,29,0.86000000,9.43398113,2
ost000t,30,0.61580000,12.20655562,2
ost000t,31,0.74920000,13.15294644,2
ost000t,32,1.33160000,12.04159458,2
ost000t,33,1.64680000,13.41640786,2
ost000t,34,1.04400000,14.21267040,2
ost000t,35,0.59000000,13.60147051,2
ost000t,36,0.38440000,12.08304597,2
ost000t,37,0.84760000,12.72792206,2
ost000t,38,1.05000000,14.56021978,2
ost000t,39,1.36740000,12.04159458,2
ost000t,40,0.41640000,19.10497317,2
ost000t,41,0.46340000,16.97056275,2
ost000t,42,1.03160000,15.62049935,2
ost000t,43,0.78220000,16.55294536,2
ost000t,44,2.59080000,17.64575977,4
ost000t,45,1.29200000,17.88854382,2
ost000t,46,1.10100000,18.60107524,2
ost000t,47,1.38460000,17.69180601,2
ost000t,48,0.72740000,15.65247584,2
ost000t,49,2.51900000,14.63014581,3
ost000t,50,1.84840000,19.43908891,4
ost000t,51,1.59380000,21.18962010,2
ost000t,52,1.39280000,18.86796226,2
ost000t,53,1.35040000,19.41648784,2
ost000t,54,0.42060000,20.00000000,2
ost000t,55,0.45740000,21.09502311,2
ost000t,56,1.05560000,19.64688270,2
ost000t,57,0.89720000,20.39607805,2
ost000t,58,1.37620000,19.41648784,2
ost000t,59,1.58600000,22.21817468,3
ost000t,60,2.22480000,25.63014581,3
ost000t,61,0.51140000,23.08679276,2
ost000t,62,1.20820000,22.56102835,2
ost000t,63,3.08320000,25.71957531,3
ost000t,64,0.61380000,25.80697580,2
ost000t,65,2.64900000,25.61442465,3
ost000t,66,7.43540000,24.65247584,3
ost000t,67,1.09360000,24.59674775,2
ost000t,68,1.82340000,23.68461063,3
ost000t,69,0.79560000,27.00000000,2
ost000t,70,2.30040000,29.27456234,2
ost000t,71,1.81320000,28.42534081,2
ost000t,72,2.40460000,30.14962686,2
ost000t,73,1.24320000,27.45906044,2
ost000t,74,1.07000000,29.83286778,2
ost000t,75,1.22960000,31.11269837,2
ost000t,76,1.20140000,27.45906044,2
ost000t,77,0.83000000,29.83286778,2
ost000t,78,1.12220000,27.45906044,2
ost000t,79,1.60200000,29.42787794,2
ost000t,80,1.18760000,31.04834939,2
ost000t,81,0.79040000,34.71310992,2
ost000t,82,1.20440000,31.06444913,2
ost000t,83,1.19440000,33.42154993,2
ost000t,84,0.68360000,31.14482300,2
ost000t,85,1.67480000,32.01562119,2
ost000t,86,1.04640000,33.24154028,2
ost000t,87,2.40360000,33.97805910,3
ost000t,88,0.90020000,32.52691193,2
ost000t,89,0.94700000,33.13608305,2
ost000t,90,0.70840000,35.35533906,2
ost000t,91,2.00400000,34.87512263,3
ost000t,92,1.67980000,36.23534186,2
ost000t,93,1.80520000,36.13862200,2
ost000t,94,2.93020000,36.40737687,5
ost000t,95,1.02520000,36.00000000,2
ost000t,96,2.34980000,38.29040408,3
ost000t,97,1.46840000,34.36568055,2
ost000t,98,2.06720000,34.53983208,2
ost000t,99,1.13880000,37.21558813,2
ost000t,100,2.29920000,38.83297568,2
ost000t,101,0.94840000,38.27531842,2
