Map,Query Number,Time,Distance,Path Length
ost100d,0,0.88420000,3.16227766,2
ost100d,1,0.56880000,2.23606798,2
ost100d,2,0.54600000,0.00000000,1
ost100d,3,0.72100000,2.82842712,2
ost100d,4,0.62020000,2.00000000,2
ost100d,5,0.60100000,2.00000000,2
ost100d,6,1.38080000,1.41421356,2
ost100d,7,0.58500000,2.00000000,2
ost100d,8,0.74780000,3.16227766,2
ost100d,9,1.02340000,2.23606798,2
ost100d,10,0.59240000,5.38516481,2
ost100d,11,0.42240000,6.70820393,2
ost100d,12,0.38780000,7.07106781,2
ost100d,13,0.45960000,6.40312424,2
ost100d,14,0.91640000,6.08276253,2
ost100d,15,0.57520000,5.09901951,2
ost100d,16,0.83720000,5.00000000,2
ost100d,17,1.51280000,6.00000000,2
ost100d,18,0.85720000,7.21110255,2
ost100d,19,0.82880000,6.32455532,2
ost100d,20,0.46480000,8.00000000,2
ost100d,21,0.58220000,8.60232527,2
ost100d,22,0.96840000,8.60232527,2
ost100d,23,0.40260000,7.61577311,2
ost100d,24,1.05660000,8.94427191,2
ost100d,25,0.64080000,8.54400375,2
ost100d,26,0.35720000,10.00000000,2
ost100d,27,0.45300000,10.63014581,2
ost100d,28,1.51380000,9.00000000,2
ost100d,29,0.63900000,10.44030651,2
ost100d,30,1.29440000,13.34166406,2
ost100d,31,1.97420000,15.14213562,3
ost100d,32,0.32760000,14.56021978,2
ost100d,33,0.37700000,13.41640786,2
ost100d,34,0.50320000,13.34166406,2
ost100d,35,0.40820000,11.18033989,2
ost100d,36,0.44740000,12.64911064,2
ost100d,37,1.12700000,14.14213562,2
ost100d,38,0.39800000,15.00000000,2
ost100d,39,1.11360000,13.34166406,2
ost100d,40,0.54540000,17.46424920,2
ost100d,41,1.02640000,18.02775638,2
ost100d,42,1.35380000,18.00000000,2
ost100d,43,1.82640000,15.34260184,3
ost100d,44,0.83500000,18.11077028,2
ost100d,45,0.55880000,18.11077028,2
ost100d,46,0.52460000,17.49285568,2
ost100d,47,0.62980000,18.35755975,2
ost100d,48,0.37640000,17.80449381,2
ost100d,49,0.81120000,16.40121947,2
ost100d,50,2.05160000,21.32099376,4
ost100d,51,0.35740000,23.00000000,2
ost100d,52,1.45260000,19.32170447,3
ost100d,53,1.11060000,20.24845673,2
ost100d,54,0.97680000,22.36067977,2
ost100d,55,0.38800000,20.22374842,2
ost100d,56,0.97360000,19.41648784,2
ost100d,57,0.38460000,21.26029163,2
ost100d,58,1.07920000,22.47220505,2
ost100d,59,1.82720000,20.61552813,2
ost100d,60,1.83300000,24.85764635,3
ost100d,61,1.88560000,25.01999201,2
ost100d,62,0.68760000,26.00000000,2
ost100d,63,0.85840000,23.25940670,2
ost100d,64,1.09260000,26.91161628,3
ost100d,65,0.81620000,23.32380758,2
ost100d,66,0.40880000,26.30589288,2
ost100d,67,0.49660000,23.85372088,2
ost100d,68,1.08340000,25.49509757,2
ost100d,69,0.83400000,25.49509757,2
ost100d,70,1.68320000,28.86173938,2
ost100d,71,1.00580000,31.00000000,2
ost100d,72,1.00340000,26.40075756,2
ost100d,73,0.32360000,28.30194340,2
ost100d,74,0.53480000,27.55386468,3
ost100d,75,0.53760000,26.92582404,2
ost100d,76,0.37080000,26.57066051,2
ost100d,77,1.12700000,28.63564213,2
ost100d,78,0.34760000,29.06888371,2
ost100d,79,1.00400000,28.16025568,2
ost100d,80,1.62020000,31.62277660,2
ost100d,81,1.87260000,31.00643273,3
ost100d,82,2.27380000,30.37688148,4
ost100d,83,0.39780000,33.60059523,2
ost100d,84,0.28620000,31.62277660,2
ost100d,85,1.17760000,32.75667871,2
ost100d,86,0.36480000,33.12099032,2
ost100d,87,0.78580000,31.40063694,2
ost100d,88,0.39500000,30.80584360,2
ost100d,89,2.10060000,31.93171220,3
ost100d,90,3.22260000,37.73442780,4
ost100d,91,1.28560000,36.67424164,2
ost100d,92,0.91960000,35.51056181,2
ost100d,93,1.59940000,35.84689666,2
ost100d,94,0.38660000,35.17101079,2
