Map,Query Number,Time,Distance,Path Length
rmtst,0,49.65720000,-1.00000000,0
rmtst,1,41.80120000,-1.00000000,0
rmtst,2,0.40700000,2.82842712,2
rmtst,3,0.57560000,2.23606798,2
rmtst,4,0.65220000,2.23606798,2
rmtst,5,0.42260000,2.23606798,2
rmtst,6,0.30700000,1.00000000,2
rmtst,7,0.28100000,1.41421356,2
rmtst,8,0.21380000,1.00000000,2
rmtst,9,0.93240000,2.23606798,2
rmtst,10,0.67220000,6.23606798,3
rmtst,11,1.01720000,6.70820393,2
rmtst,12,0.60140000,5.16227766,3
rmtst,13,0.46860000,5.82842712,3
rmtst,14,1.10460000,7.23606798,3
rmtst,15,0.38480000,6.32455532,2
rmtst,16,0.63000000,6.40312424,2
rmtst,17,0.41000000,5.65685425,2
rmtst,18,0.17400000,7.00000000,2
rmtst,19,0.17960000,7.21110255,2
rmtst,20,1.21460000,9.47213595,4
rmtst,21,0.84600000,10.54400375,3
rmtst,22,0.23440000,10.04987562,2
rmtst,23,1.08520000,10.00000000,2
rmtst,24,0.81400000,10.77032961,2
rmtst,25,0.86140000,9.60555128,3
rmtst,26,1.09360000,9.43398113,2
rmtst,27,0.37980000,8.94427191,2
rmtst,28,0.21400000,7.61577311,2
rmtst,29,0.23680000,9.48683298,2
rmtst,30,1.35040000,11.99070478,4
rmtst,31,0.93880000,13.63782223,3
rmtst,32,0.66900000,13.90387700,4
rmtst,33,0.78560000,12.53915583,4
rmtst,34,1.58460000,12.72134935,4
rmtst,35,1.11880000,14.21954446,3
rmtst,36,0.78280000,11.45561243,3
rmtst,37,0.92860000,14.27766256,3
rmtst,38,0.64540000,14.14213562,2
rmtst,39,0.59980000,11.66190379,2
rmtst,40,2.92180000,16.18033989,3
rmtst,41,1.50680000,17.36931688,3
rmtst,42,1.57120000,18.47213595,3
rmtst,43,1.43040000,15.47213595,5
rmtst,44,0.61520000,16.51373053,4
rmtst,45,0.96800000,18.43908891,2
rmtst,46,0.77300000,15.70820393,4
rmtst,47,0.70420000,17.88854382,4
rmtst,48,2.07560000,17.60626149,4
rmtst,49,0.91280000,17.32455532,3
rmtst,50,1.75940000,20.12037174,4
rmtst,51,2.38820000,18.06449510,6
rmtst,52,1.93020000,20.84161925,5
rmtst,53,0.90700000,21.87758731,3
rmtst,54,0.95000000,19.33569078,3
rmtst,55,0.79160000,19.41648784,2
rmtst,56,1.72320000,18.88131749,4
rmtst,57,1.34000000,20.59362773,3
rmtst,58,1.50700000,20.02925523,4
rmtst,59,1.88220000,21.41056525,3
rmtst,60,1.70540000,24.04493295,4
rmtst,61,1.21160000,25.04231645,5
rmtst,62,3.97900000,25.88437187,4
