Map,Query Number,Time,Distance,Path Length
AcrosstheCape,0,1.46060000,5.83095189,2
AcrosstheCape,1,0.72540000,5.83095189,2
AcrosstheCape,2,1.17300000,6.08276253,2
AcrosstheCape,3,0.71500000,5.83095189,2
AcrosstheCape,4,1.13820000,6.40312424,2
AcrosstheCape,5,1.23280000,7.00000000,2
AcrosstheCape,6,0.69800000,6.40312424,2
AcrosstheCape,7,0.49640000,5.83095189,2
AcrosstheCape,8,0.69560000,4.12310563,2
AcrosstheCape,9,0.53380000,7.07106781,2
AcrosstheCape,10,0.58840000,8.06225775,2
AcrosstheCape,11,0.49660000,10.29563014,2
AcrosstheCape,12,1.23240000,7.81024968,2
AcrosstheCape,13,0.65900000,10.04987562,2
AcrosstheCape,14,0.61940000,8.94427191,2
AcrosstheCape,15,0.56460000,9.21954446,2
AcrosstheCape,16,0.58880000,8.54400375,2
AcrosstheCape,17,0.56300000,8.06225775,2
AcrosstheCape,18,0.44680000,9.84885780,2
AcrosstheCape,19,0.60900000,9.84885780,2
AcrosstheCape,20,0.76080000,12.64911064,2
AcrosstheCape,21,1.75700000,13.89244399,2
AcrosstheCape,22,1.85740000,14.31782106,2
AcrosstheCape,23,0.72780000,12.20655562,2
AcrosstheCape,24,0.54140000,13.45362405,2
AcrosstheCape,25,1.18340000,13.92838828,2
AcrosstheCape,26,0.61320000,14.31782106,2
AcrosstheCape,27,1.64020000,15.00000000,2
AcrosstheCape,28,0.58520000,11.18033989,2
AcrosstheCape,29,1.41100000,13.15294644,2
AcrosstheCape,30,0.99160000,17.11724277,2
AcrosstheCape,31,1.41500000,19.00000000,2
AcrosstheCape,32,1.28700000,19.20937271,2
AcrosstheCape,33,0.67520000,16.76305461,2
AcrosstheCape,34,1.28400000,17.26267650,2
AcrosstheCape,35,0.65500000,18.38477631,2
AcrosstheCape,36,1.36620000,18.24828759,2
AcrosstheCape,37,1.95180000,17.27882060,3
AcrosstheCape,38,1.00680000,15.26433752,2
AcrosstheCape,39,0.60040000,16.76305461,2
AcrosstheCape,40,0.93300000,20.88061302,2
AcrosstheCape,41,0.60700000,19.64688270,2
AcrosstheCape,42,0.90320000,18.78829423,2
AcrosstheCape,43,0.44140000,20.24845673,2
AcrosstheCape,44,1.65940000,19.23538406,2
AcrosstheCape,45,1.27560000,18.68154169,2
AcrosstheCape,46,1.75620000,22.47220505,2
AcrosstheCape,47,0.57880000,23.08679276,2
AcrosstheCape,48,0.56800000,21.47091055,2
AcrosstheCape,49,0.42540000,20.80865205,2
AcrosstheCape,50,0.41540000,25.23885893,2
AcrosstheCape,51,0.62040000,24.18677324,2
AcrosstheCape,52,1.11500000,25.31797780,2
AcrosstheCape,53,3.35900000,22.24074851,5
AcrosstheCape,54,0.52380000,25.23885893,2
AcrosstheCape,55,0.58600000,26.01922366,2
AcrosstheCape,56,1.67760000,25.07987241,2
AcrosstheCape,57,1.34680000,26.17250466,2
AcrosstheCape,58,0.63340000,23.85372088,2
AcrosstheCape,59,0.62060000,24.08318916,2
AcrosstheCape,60,0.52420000,27.73084925,2
AcrosstheCape,61,0.81560000,27.29468813,2
