Map,Query Number,Time,Distance,Path Length
Aftershock,0,1.70340000,7.07106781,2
Aftershock,1,2.33240000,5.38516481,2
Aftershock,2,1.29460000,7.21110255,2
Aftershock,3,0.69280000,4.47213595,2
Aftershock,4,0.89220000,4.12310563,2
Aftershock,5,1.54800000,7.21110255,2
Aftershock,6,0.92040000,4.47213595,2
Aftershock,7,0.75900000,4.47213595,2
Aftershock,8,0.65660000,6.08276253,2
Aftershock,9,0.52020000,6.40312424,2
Aftershock,10,1.11700000,8.24621125,2
Aftershock,11,0.59440000,8.54400375,2
Aftershock,12,0.99160000,9.05538514,2
Aftershock,13,0.47860000,9.05538514,2
Aftershock,14,1.00340000,8.00000000,2
Aftershock,15,0.51500000,8.06225775,2
Aftershock,16,0.83060000,8.54400375,2
Aftershock,17,0.47060000,10.00000000,2
Aftershock,18,0.48380000,8.24621125,2
Aftershock,19,1.46240000,8.60232527,2
Aftershock,20,0.58740000,14.31782106,2
Aftershock,21,1.20520000,14.86606875,2
Aftershock,22,1.36760000,14.56021978,2
Aftershock,23,0.50680000,13.60147051,2
Aftershock,24,0.58760000,14.31782106,2
Aftershock,25,0.51900000,13.60147051,2
Aftershock,26,2.04560000,12.72792206,2
Aftershock,27,1.70020000,14.04329142,3
Aftershock,28,1.46520000,14.56021978,2
Aftershock,29,0.53100000,14.14213562,2
Aftershock,30,0.41700000,15.81138830,2
Aftershock,31,0.68980000,18.11077028,2
Aftershock,32,0.95160000,17.80449381,2
Aftershock,33,0.41540000,15.23154621,2
Aftershock,34,0.44980000,18.38477631,2
Aftershock,35,1.79940000,13.70628141,4
Aftershock,36,0.39620000,16.49242250,2
Aftershock,37,0.54080000,19.10497317,2
Aftershock,38,0.58860000,15.29705854,2
Aftershock,39,0.51580000,15.23154621,2
Aftershock,40,2.29560000,22.39766172,3
Aftershock,41,1.11320000,19.31320792,2
Aftershock,42,2.23260000,21.33064818,3
Aftershock,43,0.51160000,20.09975124,2
Aftershock,44,0.41100000,20.24845673,2
Aftershock,45,0.68460000,18.78829423,2
Aftershock,46,0.49400000,20.22374842,2
Aftershock,47,0.44740000,19.23538406,2
Aftershock,48,1.51200000,21.47091055,2
Aftershock,49,1.55280000,21.18962010,2
Aftershock,50,0.48320000,27.07397274,2
Aftershock,51,0.39280000,24.02082430,2
Aftershock,52,2.11360000,24.25767223,5
Aftershock,53,2.29980000,23.48992315,3
Aftershock,54,0.57140000,24.75883681,2
Aftershock,55,1.09820000,22.36067977,2
Aftershock,56,1.40900000,24.83948470,2
Aftershock,57,0.42800000,25.07987241,2
Aftershock,58,1.33120000,24.51530134,2
Aftershock,59,0.48480000,24.75883681,2
Aftershock,60,1.00680000,29.68164416,2
Aftershock,61,0.49560000,28.28427125,2
Aftershock,62,1.01560000,29.83286778,2
Aftershock,63,1.35180000,28.16025568,2
Aftershock,64,0.34980000,27.80287755,2
Aftershock,65,0.41100000,26.41968963,2
Aftershock,66,0.51700000,26.62705391,2
Aftershock,67,0.86460000,28.28427125,2
Aftershock,68,0.53700000,29.00000000,2
Aftershock,69,0.51800000,27.65863337,2
Aftershock,70,0.54720000,33.13608305,2
Aftershock,71,0.45520000,33.54101966,2
Aftershock,72,0.46140000,30.36445290,2
Aftershock,73,2.47560000,34.52302120,3
Aftershock,74,1.31800000,35.00000000,2
Aftershock,75,0.97640000,31.04834939,2
Aftershock,76,0.85020000,33.01514804,2
Aftershock,77,1.28580000,32.89376841,2
Aftershock,78,1.64160000,33.24154028,2
Aftershock,79,1.78280000,30.87069808,2
Aftershock,80,0.44860000,37.01351105,2
Aftershock,81,0.62340000,37.00000000,2
Aftershock,82,0.97320000,34.01470270,2
Aftershock,83,0.87940000,35.90264614,2
Aftershock,84,0.60880000,34.48187930,2
Aftershock,85,0.55300000,35.22782991,2
Aftershock,86,0.55340000,34.92849839,2
Aftershock,87,0.95760000,33.83784863,2
Aftershock,88,1.08040000,36.01388621,2
Aftershock,89,0.52180000,37.00000000,2
Aftershock,90,1.64580000,37.94733192,2
Aftershock,91,0.77200000,40.44749683,2
Aftershock,92,0.50820000,42.01190308,2
Aftershock,93,0.44680000,41.01219331,2
Aftershock,94,1.59380000,39.20459157,2
Aftershock,95,1.11940000,41.23105626,2
Aftershock,96,1.47240000,37.33630941,2
Aftershock,97,0.45140000,41.10960958,2
Aftershock,98,0.48180000,40.31128874,2
Aftershock,99,0.45820000,41.00000000,2
Aftershock,100,1.30760000,44.40720662,2
Aftershock,101,1.50820000,46.69047012,2
Aftershock,102,1.13560000,44.04543109,2
Aftershock,103,0.42900000,46.17358552,2
Aftershock,104,1.28000000,43.96589587,2
Aftershock,105,0.57680000,41.78516483,2
Aftershock,106,2.19060000,45.54119015,2
Aftershock,107,2.75260000,42.07216547,3
Aftershock,108,1.60540000,42.94182111,2
Aftershock,109,1.21840000,42.20189569,2
Aftershock,110,3.25460000,48.28465822,3
Aftershock,111,0.85160000,47.42362281,2
Aftershock,112,3.32180000,45.17637041,5
Aftershock,113,1.48100000,48.05205511,2
Aftershock,114,1.08140000,44.77722635,2
Aftershock,115,0.51160000,48.05205511,2
Aftershock,116,1.08980000,47.53945730,2
Aftershock,117,1.53420000,48.04164860,2
Aftershock,118,1.44260000,48.01041554,2
Aftershock,119,2.05040000,47.42362281,2
Aftershock,120,1.25400000,48.87739764,2
Aftershock,121,2.70120000,51.11259728,3
Aftershock,122,1.34220000,50.21951812,2
Aftershock,123,0.49620000,54.48853090,2
Aftershock,124,1.86540000,49.39635614,2
Aftershock,125,3.88940000,53.52130118,3
Aftershock,126,8.52280000,48.19109386,8
Aftershock,127,2.36700000,50.56678752,2
Aftershock,128,1.34200000,52.17278984,2
Aftershock,129,0.96460000,50.00000000,2
Aftershock,130,1.38000000,56.40035461,2
Aftershock,131,1.51080000,51.42956348,2
Aftershock,132,1.02740000,53.85164807,2
Aftershock,133,0.43000000,59.03388857,2
Aftershock,134,1.94380000,58.72818744,2
Aftershock,135,1.12760000,54.23098745,2
Aftershock,136,0.87740000,55.08175742,2
Aftershock,137,7.75140000,55.55217858,9
Aftershock,138,1.30720000,52.00000000,2
Aftershock,139,2.51260000,56.07280029,3
Aftershock,140,1.18920000,57.56735186,2
Aftershock,141,1.06520000,59.54829972,2
Aftershock,142,2.49460000,57.24508713,2
Aftershock,143,2.44080000,60.44005295,2
Aftershock,144,1.42080000,55.71355311,2
Aftershock,145,2.70140000,55.90169944,2
Aftershock,146,0.81360000,59.16924877,2
Aftershock,147,1.39760000,61.07372594,2
Aftershock,148,0.48840000,56.43580424,2
Aftershock,149,0.53560000,60.82762530,2
Aftershock,150,2.88600000,61.97298516,4
