Map,Query Number,Time,Distance,Path Length
ArcticStation,0,1.59020000,6.40312424,2
ArcticStation,1,0.71960000,5.38516481,2
ArcticStation,2,0.69680000,4.00000000,2
ArcticStation,3,2.42500000,6.40312424,2
ArcticStation,4,2.35860000,6.32455532,2
ArcticStation,5,0.85760000,6.32455532,2
ArcticStation,6,0.91920000,5.38516481,2
ArcticStation,7,0.83860000,7.21110255,2
ArcticStation,8,0.64100000,7.28010989,2
ArcticStation,9,1.49520000,6.32455532,2
ArcticStation,10,0.76100000,10.00000000,2
ArcticStation,11,0.79780000,10.63014581,2
ArcticStation,12,0.92500000,10.19803903,2
ArcticStation,13,0.61920000,8.54400375,2
ArcticStation,14,1.17060000,9.21954446,2
ArcticStation,15,0.81700000,10.44030651,2
ArcticStation,16,1.39860000,10.04631765,3
ArcticStation,17,0.63520000,9.21954446,2
ArcticStation,18,0.87660000,8.60232527,2
ArcticStation,19,0.78120000,10.44030651,2
ArcticStation,20,0.91980000,12.72792206,2
ArcticStation,21,1.73360000,14.21267040,2
ArcticStation,22,1.81640000,14.14213562,2
ArcticStation,23,0.63400000,13.89244399,2
ArcticStation,24,0.81800000,11.18033989,2
ArcticStation,25,0.95420000,12.64911064,2
ArcticStation,26,1.77260000,12.16552506,2
ArcticStation,27,1.46400000,14.86606875,2
ArcticStation,28,0.55660000,13.34166406,2
ArcticStation,29,0.91960000,13.60147051,2
ArcticStation,30,1.22660000,19.02629759,2
ArcticStation,31,1.45320000,17.69180601,2
ArcticStation,32,2.25320000,17.20465053,2
ArcticStation,33,1.68580000,17.46424920,2
ArcticStation,34,1.08020000,17.49285568,2
ArcticStation,35,1.10180000,17.80449381,2
ArcticStation,36,2.38760000,17.88854382,2
ArcticStation,37,0.58140000,17.08800749,2
ArcticStation,38,0.81160000,17.02938637,2
ArcticStation,39,0.60180000,16.27882060,2
ArcticStation,40,1.72320000,19.41648784,2
ArcticStation,41,1.47960000,21.26029163,2
ArcticStation,42,1.10200000,21.00000000,2
ArcticStation,43,0.74220000,21.02379604,2
ArcticStation,44,0.96240000,21.40093456,2
ArcticStation,45,1.08740000,20.51828453,2
ArcticStation,46,0.66680000,19.31320792,2
ArcticStation,47,2.18680000,22.09072203,2
ArcticStation,48,0.66100000,20.39607805,2
ArcticStation,49,0.68020000,20.00000000,2
ArcticStation,50,0.77340000,25.31797780,2
ArcticStation,51,1.87240000,23.53720459,2
ArcticStation,52,0.82320000,24.59674775,2
ArcticStation,53,0.67040000,26.07680962,2
ArcticStation,54,1.72440000,25.55386468,2
ArcticStation,55,1.10340000,22.36067977,2
ArcticStation,56,2.13080000,23.08679276,2
ArcticStation,57,1.13260000,25.00000000,2
ArcticStation,58,1.37460000,24.00000000,2
ArcticStation,59,1.75420000,26.00000000,2
ArcticStation,60,2.75140000,26.03702244,6
ArcticStation,61,1.55200000,27.20294102,2
ArcticStation,62,1.95820000,28.16025568,2
ArcticStation,63,1.33260000,29.61418579,2
ArcticStation,64,0.89860000,31.14482300,2
ArcticStation,65,0.61820000,30.14962686,2
ArcticStation,66,0.41160000,27.29468813,2
ArcticStation,67,0.70820000,28.86173938,2
ArcticStation,68,1.45020000,28.01785145,2
ArcticStation,69,0.68680000,29.15475947,2
ArcticStation,70,0.79080000,30.87069808,2
ArcticStation,71,1.49940000,30.41381265,2
ArcticStation,72,1.54920000,34.13209633,2
ArcticStation,73,1.97200000,32.80243893,2
ArcticStation,74,1.43040000,33.60059523,2
ArcticStation,75,1.41800000,33.94112550,2
ArcticStation,76,0.51900000,30.41381265,2
ArcticStation,77,0.95120000,32.75667871,2
ArcticStation,78,1.31800000,32.69556545,2
ArcticStation,79,0.43300000,34.00000000,2
ArcticStation,80,0.73180000,35.90264614,2
ArcticStation,81,1.66860000,36.79673899,2
ArcticStation,82,0.95240000,35.34119409,2
ArcticStation,83,0.66140000,36.68787266,2
ArcticStation,84,1.77280000,35.44009029,2
ArcticStation,85,1.39060000,36.76955262,2
ArcticStation,86,2.84240000,35.89822181,4
ArcticStation,87,1.74280000,34.43835072,2
ArcticStation,88,0.71120000,34.48187930,2
ArcticStation,89,3.37340000,36.31218533,5
ArcticStation,90,3.02340000,40.84971769,3
ArcticStation,91,1.81960000,40.02499219,2
ArcticStation,92,1.94720000,40.24922359,2
ArcticStation,93,1.98400000,41.10972487,3
ArcticStation,94,1.98380000,38.89969179,3
ArcticStation,95,1.99620000,39.11521443,2
ArcticStation,96,1.11940000,39.35733731,2
ArcticStation,97,1.95720000,42.52058325,2
ArcticStation,98,0.72860000,39.29376541,2
ArcticStation,99,1.71420000,42.01190308,2
ArcticStation,100,4.48820000,43.48481100,4
ArcticStation,101,0.66760000,47.01063709,2
ArcticStation,102,1.43020000,42.48529157,2
ArcticStation,103,0.70360000,47.01063709,2
ArcticStation,104,1.89840000,44.55333882,2
ArcticStation,105,1.23280000,43.73785546,2
ArcticStation,106,1.17700000,42.72001873,2
ArcticStation,107,1.41220000,44.64302857,2
ArcticStation,108,1.75980000,43.41658669,2
ArcticStation,109,2.03700000,44.60995791,3
ArcticStation,110,2.16020000,46.32201732,3
ArcticStation,111,2.49180000,49.16299421,2
ArcticStation,112,0.74320000,46.48655720,2
ArcticStation,113,1.36820000,49.36598019,2
ArcticStation,114,2.11820000,48.96149062,3
ArcticStation,115,1.53140000,48.27007354,2
ArcticStation,116,2.64240000,46.87686229,3
ArcticStation,117,0.72780000,47.85394446,2
ArcticStation,118,2.67080000,48.01041554,2
ArcticStation,119,1.18700000,47.07440918,2
ArcticStation,120,1.46380000,49.40647731,2
ArcticStation,121,3.37900000,50.44799302,2
ArcticStation,122,2.33320000,52.77309921,2
ArcticStation,123,1.45980000,51.03920062,2
ArcticStation,124,0.96180000,50.99019514,2
ArcticStation,125,1.49980000,51.98850012,3
ArcticStation,126,3.70300000,52.17278984,2
ArcticStation,127,1.38820000,49.03060269,2
ArcticStation,128,1.38960000,52.00961450,2
ArcticStation,129,0.66760000,48.46648326,2
ArcticStation,130,0.83540000,55.22680509,2
ArcticStation,131,1.49860000,53.25410782,2
ArcticStation,132,1.70740000,55.22680509,2
ArcticStation,133,1.56920000,54.12947441,2
ArcticStation,134,2.08440000,55.23833811,3
ArcticStation,135,1.27680000,53.60037313,2
ArcticStation,136,1.98420000,52.35456045,2
ArcticStation,137,1.99800000,55.03635162,2
ArcticStation,138,1.44680000,54.70831747,2
ArcticStation,139,0.61080000,55.57877293,2
ArcticStation,140,1.77740000,59.03388857,2
ArcticStation,141,1.26540000,60.10823571,2
ArcticStation,142,1.47300000,59.53990259,2
ArcticStation,143,0.62420000,61.07372594,2
ArcticStation,144,1.63080000,61.61980201,2
ArcticStation,145,1.58520000,55.65968020,2
ArcticStation,146,1.65100000,56.92099788,2
ArcticStation,147,1.13920000,59.66573556,2
ArcticStation,148,3.44860000,59.29970511,3
ArcticStation,149,0.61700000,57.00877125,2
ArcticStation,150,1.46300000,61.40032573,2
ArcticStation,151,2.93000000,62.93697871,3
ArcticStation,152,6.10560000,60.92624728,6
ArcticStation,153,1.31900000,63.06346010,2
ArcticStation,154,2.07600000,63.28506933,2
ArcticStation,155,2.63960000,63.12685641,2
ArcticStation,156,1.95640000,60.74537019,2
ArcticStation,157,0.60560000,63.28506933,2
ArcticStation,158,4.37060000,59.83310476,7
ArcticStation,159,1.92820000,62.36986452,2
ArcticStation,160,0.75880000,65.14598990,2
ArcticStation,161,2.01060000,66.18912297,2
ArcticStation,162,2.25020000,70.11419257,2
ArcticStation,163,1.31080000,70.00714249,2
ArcticStation,164,1.75360000,64.88451279,2
ArcticStation,165,0.51280000,64.84597135,2
ArcticStation,166,0.90220000,67.26812024,2
ArcticStation,167,1.84160000,64.93843238,2
ArcticStation,168,0.79940000,65.00000000,2
ArcticStation,169,2.37120000,69.80997805,3
ArcticStation,170,3.07160000,68.81860214,2
ArcticStation,171,1.15440000,69.12307864,2
ArcticStation,172,5.55720000,67.64543889,9
ArcticStation,173,1.98340000,69.72087205,2
ArcticStation,174,1.73440000,71.06335202,2
ArcticStation,175,2.00080000,73.00684899,2
ArcticStation,176,1.34160000,72.00694411,2
ArcticStation,177,2.14860000,69.07966416,2
ArcticStation,178,1.70080000,71.02112362,2
ArcticStation,179,2.47200000,72.47068373,2
ArcticStation,180,1.41100000,75.42545989,2
ArcticStation,181,1.63840000,73.16419890,2
ArcticStation,182,2.29100000,74.33500703,4
ArcticStation,183,2.38360000,75.42545989,2
ArcticStation,184,1.38640000,70.71067812,2
ArcticStation,185,3.26300000,74.63243263,2
ArcticStation,186,0.72000000,73.40980861,2
ArcticStation,187,1.47740000,78.00000000,2
ArcticStation,188,8.13380000,73.61572103,8
ArcticStation,189,2.14880000,74.00000000,2
ArcticStation,190,2.50340000,76.69419796,2
ArcticStation,191,1.72500000,81.30190650,2
ArcticStation,192,3.91280000,75.96773978,6
ArcticStation,193,2.65180000,79.93122043,2
ArcticStation,194,1.75160000,77.10382610,2
ArcticStation,195,1.56960000,76.15773106,2
ArcticStation,196,2.64660000,76.53757247,2
ArcticStation,197,1.70500000,78.40918314,2
ArcticStation,198,2.43160000,78.77182237,2
ArcticStation,199,1.52920000,80.50465825,2
ArcticStation,200,1.31100000,78.84795495,2
ArcticStation,201,1.54880000,84.48076704,2
ArcticStation,202,2.03160000,84.05355436,2
ArcticStation,203,3.75660000,80.95677859,2
ArcticStation,204,1.42460000,78.89233169,2
ArcticStation,205,1.47300000,83.05419917,2
ArcticStation,206,3.38160000,82.75217044,5
ArcticStation,207,1.40080000,78.26237921,2
ArcticStation,208,0.95300000,79.07591289,2
ArcticStation,209,2.24500000,83.09632964,2
ArcticStation,210,2.36860000,84.60885000,3
ArcticStation,211,3.77320000,84.25281300,4
ArcticStation,212,5.08740000,84.49514845,4
ArcticStation,213,2.39960000,82.00609733,2
ArcticStation,214,1.49840000,81.85963596,2
ArcticStation,215,7.21020000,82.77008396,5
ArcticStation,216,0.77460000,83.54639430,2
ArcticStation,217,4.28860000,83.88495129,5
ArcticStation,218,2.50180000,86.97700846,2
ArcticStation,219,7.18800000,85.33107619,8
ArcticStation,220,2.80940000,88.05966219,3
ArcticStation,221,1.65100000,88.28363382,2
ArcticStation,222,2.33540000,90.25519376,2
ArcticStation,223,6.02540000,88.67158443,6
ArcticStation,224,1.69700000,89.06739022,2
ArcticStation,225,1.99020000,90.00000000,2
ArcticStation,226,2.03760000,93.08598176,2
ArcticStation,227,2.72460000,85.23496935,2
ArcticStation,228,7.77640000,87.37067642,7
ArcticStation,229,2.45780000,88.81441324,2
ArcticStation,230,2.20400000,89.00000000,2
ArcticStation,231,0.56980000,98.99494937,2
ArcticStation,232,6.64380000,92.28147743,5
ArcticStation,233,2.76320000,95.67131231,2
ArcticStation,234,5.54500000,91.82113421,3
ArcticStation,235,2.11640000,88.86506625,2
ArcticStation,236,2.69200000,90.41859823,3
ArcticStation,237,4.91620000,93.53486241,7
ArcticStation,238,2.56680000,90.47651629,2
ArcticStation,239,3.10520000,91.45441961,4
ArcticStation,240,1.86980000,94.84724561,2
ArcticStation,241,5.49940000,96.27062669,3
ArcticStation,242,1.95200000,95.81202405,3
ArcticStation,243,4.08340000,100.49875621,2
ArcticStation,244,2.79040000,100.17983829,2
ArcticStation,245,1.54220000,94.84724561,2
ArcticStation,246,2.10420000,100.31948963,2
ArcticStation,247,2.21660000,92.65527508,2
ArcticStation,248,2.89220000,98.08376782,3
ArcticStation,249,3.44420000,95.80198236,3
ArcticStation,250,2.27640000,97.16995420,2
ArcticStation,251,3.20060000,102.83235049,3
ArcticStation,252,1.94040000,101.11874208,2
ArcticStation,253,1.63960000,100.28459503,2
ArcticStation,254,2.46840000,101.53324579,2
ArcticStation,255,0.74500000,97.12363255,2
ArcticStation,256,2.61720000,98.23441352,2
ArcticStation,257,5.56920000,101.49599148,3
ArcticStation,258,0.70880000,99.29753270,2
ArcticStation,259,5.06780000,101.43836917,4
ArcticStation,260,4.66740000,104.33563820,3
ArcticStation,261,3.89640000,105.40229003,3
ArcticStation,262,8.12160000,103.13391815,8
ArcticStation,263,3.69020000,101.88515573,4
ArcticStation,264,1.95120000,104.44615838,2
ArcticStation,265,3.04920000,101.51354589,2
ArcticStation,266,6.62960000,102.82521887,6
ArcticStation,267,4.05440000,107.69386646,3
ArcticStation,268,2.47640000,106.30145813,2
ArcticStation,269,5.42120000,101.46285639,6
ArcticStation,270,4.87740000,113.28557695,5
ArcticStation,271,1.70080000,106.94391053,2
ArcticStation,272,2.96400000,107.47541894,4
ArcticStation,273,3.31520000,109.49361228,3
ArcticStation,274,2.01920000,108.46207879,3
ArcticStation,275,4.30240000,107.44766168,2
ArcticStation,276,1.09080000,108.67382390,2
ArcticStation,277,2.14300000,113.15917992,2
ArcticStation,278,2.37660000,110.20889256,2
ArcticStation,279,5.27240000,110.15508064,5
ArcticStation,280,2.29560000,110.47624179,2
ArcticStation,281,1.84820000,117.51595636,2
ArcticStation,282,2.72120000,116.06894503,2
ArcticStation,283,3.13140000,110.98198052,2
ArcticStation,284,5.19260000,109.71304203,4
ArcticStation,285,2.36900000,108.16653826,2
ArcticStation,286,3.51080000,115.70815608,3
ArcticStation,287,4.11580000,109.07383266,4
ArcticStation,288,6.16100000,109.64520564,6
ArcticStation,289,2.81280000,110.77249200,3
ArcticStation,290,2.30020000,112.27199116,2
ArcticStation,291,4.93600000,113.31813624,2
ArcticStation,292,8.64480000,113.55253559,9
ArcticStation,293,2.88340000,114.54693361,2
ArcticStation,294,1.11440000,112.29425631,2
ArcticStation,295,3.48820000,113.46365057,2
ArcticStation,296,3.99980000,116.40017182,2
ArcticStation,297,2.18320000,114.98260738,2
ArcticStation,298,2.54640000,112.53888217,2
ArcticStation,299,2.04280000,112.80514173,2
ArcticStation,300,1.72980000,117.68602296,2
ArcticStation,301,1.61780000,117.21867536,3
ArcticStation,302,10.06780000,115.61007002,7
ArcticStation,303,3.44180000,114.76933388,2
ArcticStation,304,1.97400000,116.24543002,2
ArcticStation,305,8.40120000,117.33120980,6
ArcticStation,306,2.33380000,123.10158407,2
ArcticStation,307,2.95680000,125.17587627,2
ArcticStation,308,4.09940000,126.09175083,4
ArcticStation,309,8.82740000,123.48287443,7
ArcticStation,310,2.37100000,119.40686747,2
ArcticStation,311,3.94540000,122.78436383,2
ArcticStation,312,4.63800000,121.26845473,4
ArcticStation,313,2.60820000,119.36917525,2
ArcticStation,314,2.04760000,125.20782723,2
ArcticStation,315,2.55300000,121.24768039,2
ArcticStation,316,12.04400000,122.18653707,9
ArcticStation,317,11.34300000,124.31329754,8
ArcticStation,318,23.36620000,121.01413969,9
ArcticStation,319,2.84380000,122.48265183,2
ArcticStation,320,2.50500000,124.08464853,2
ArcticStation,321,11.42560000,124.07226739,10
ArcticStation,322,3.78860000,125.60254774,2
ArcticStation,323,4.12140000,126.30621997,4
ArcticStation,324,3.55440000,124.82387592,2
ArcticStation,325,8.34440000,125.98977867,6
ArcticStation,326,2.10660000,131.24404748,2
ArcticStation,327,2.25600000,131.24404748,2
ArcticStation,328,5.31020000,129.20671028,6
ArcticStation,329,1.77580000,123.16655390,2
ArcticStation,330,4.53300000,133.40539719,2
ArcticStation,331,2.01840000,130.91982279,2
ArcticStation,332,1.47900000,128.78664527,2
ArcticStation,333,4.93060000,134.93523139,5
ArcticStation,334,9.06460000,130.83392147,9
ArcticStation,335,5.61160000,133.42046924,5
ArcticStation,336,3.74400000,127.62444907,2
ArcticStation,337,5.74720000,128.11536414,5
ArcticStation,338,22.96300000,127.79192881,8
ArcticStation,339,8.49960000,130.28612023,7
ArcticStation,340,2.42560000,136.49908425,2
ArcticStation,341,8.90880000,132.65757050,7
