Map,Query Number,Time,Distance,Path Length
BlastFurnace,0,1.01040000,5.09901951,2
BlastFurnace,1,0.58660000,7.21110255,2
BlastFurnace,2,0.75340000,7.21110255,2
BlastFurnace,3,0.79060000,4.47213595,2
BlastFurnace,4,0.70220000,7.21110255,2
BlastFurnace,5,2.26700000,7.21110255,2
BlastFurnace,6,1.35200000,6.40312424,2
BlastFurnace,7,0.69720000,7.21110255,2
BlastFurnace,8,0.92160000,5.09901951,2
BlastFurnace,9,0.53900000,6.00000000,2
BlastFurnace,10,1.11880000,7.81024968,2
BlastFurnace,11,0.52400000,7.81024968,2
BlastFurnace,12,1.29400000,11.40175425,2
BlastFurnace,13,0.64300000,8.48528137,2
BlastFurnace,14,0.58320000,9.89949494,2
BlastFurnace,15,0.85620000,10.19803903,2
BlastFurnace,16,0.53460000,10.81665383,2
BlastFurnace,17,0.52960000,8.24621125,2
BlastFurnace,18,1.07180000,10.81665383,2
BlastFurnace,19,1.21420000,9.43398113,2
BlastFurnace,20,0.54280000,12.52996409,2
BlastFurnace,21,0.60980000,13.60147051,2
BlastFurnace,22,0.84520000,12.72792206,2
BlastFurnace,23,1.39020000,11.66190379,2
BlastFurnace,24,0.66000000,13.60147051,2
BlastFurnace,25,0.61780000,14.31782106,2
BlastFurnace,26,0.68800000,13.00000000,2
BlastFurnace,27,1.85200000,13.41640786,2
BlastFurnace,28,0.61660000,13.34166406,2
BlastFurnace,29,0.49620000,15.13274595,2
BlastFurnace,30,0.54260000,17.08800749,2
BlastFurnace,31,0.59840000,16.03121954,2
BlastFurnace,32,0.95360000,16.64331698,2
BlastFurnace,33,0.97500000,19.10497317,2
BlastFurnace,34,0.65880000,17.88854382,2
BlastFurnace,35,0.62440000,16.12451550,2
BlastFurnace,36,0.56460000,18.38477631,2
BlastFurnace,37,1.94220000,17.00000000,2
BlastFurnace,38,0.66900000,15.52417470,2
BlastFurnace,39,1.23500000,16.27882060,2
BlastFurnace,40,1.47220000,21.00000000,2
BlastFurnace,41,0.52960000,23.02172887,2
BlastFurnace,42,0.44160000,19.23538406,2
BlastFurnace,43,0.93140000,19.72308292,2
BlastFurnace,44,0.78560000,21.09502311,2
BlastFurnace,45,1.21440000,20.61552813,2
BlastFurnace,46,1.20280000,22.02271555,2
BlastFurnace,47,1.23840000,21.47091055,2
BlastFurnace,48,1.05040000,20.02498439,2
BlastFurnace,49,0.56760000,23.34523506,2
BlastFurnace,50,0.59440000,23.19482701,2
BlastFurnace,51,1.20840000,25.07987241,2
BlastFurnace,52,1.46200000,23.32380758,2
BlastFurnace,53,1.07260000,25.49509757,2
BlastFurnace,54,0.67500000,27.00000000,2
BlastFurnace,55,0.62140000,27.58622845,2
BlastFurnace,56,0.54260000,24.04163056,2
BlastFurnace,57,1.67520000,26.35931114,3
BlastFurnace,58,1.11120000,24.18677324,2
BlastFurnace,59,0.69180000,23.25940670,2
BlastFurnace,60,1.53620000,29.27456234,2
BlastFurnace,61,0.97980000,29.20616373,2
BlastFurnace,62,0.64300000,29.00000000,2
BlastFurnace,63,1.38420000,28.30194340,2
BlastFurnace,64,1.26560000,26.40075756,2
BlastFurnace,65,1.90780000,28.42534081,2
BlastFurnace,66,0.85860000,28.30194340,2
BlastFurnace,67,0.85180000,29.68164416,2
BlastFurnace,68,2.18540000,28.99414753,4
BlastFurnace,69,0.68260000,29.83286778,2
BlastFurnace,70,2.58060000,33.94112550,2
BlastFurnace,71,1.30280000,32.75667871,2
BlastFurnace,72,1.20880000,31.06444913,2
BlastFurnace,73,0.52360000,33.13608305,2
BlastFurnace,74,1.34000000,33.24154028,2
BlastFurnace,75,1.37980000,32.69556545,2
BlastFurnace,76,2.10000000,34.71310992,2
BlastFurnace,77,1.15540000,32.31098884,2
BlastFurnace,78,1.66160000,31.06444913,2
BlastFurnace,79,1.63180000,34.71310992,2
BlastFurnace,80,1.42680000,34.78505426,2
BlastFurnace,81,1.42240000,36.05551275,2
BlastFurnace,82,0.48140000,37.10795063,2
BlastFurnace,83,0.48640000,34.78505426,2
BlastFurnace,84,1.82720000,37.44329045,2
BlastFurnace,85,3.55440000,36.84752562,5
BlastFurnace,86,0.51880000,37.21558813,2
BlastFurnace,87,0.54060000,35.60898763,2
BlastFurnace,88,1.81100000,37.64306045,2
BlastFurnace,89,1.96140000,35.17101079,2
BlastFurnace,90,2.18420000,41.59326869,2
BlastFurnace,91,2.55200000,37.33630941,2
BlastFurnace,92,1.37680000,38.83297568,2
BlastFurnace,93,1.60140000,39.31920650,2
BlastFurnace,94,1.83940000,39.21734310,2
BlastFurnace,95,2.01960000,40.79215611,2
BlastFurnace,96,1.15680000,40.26164428,2
BlastFurnace,97,1.96740000,39.69886648,2
BlastFurnace,98,1.12960000,40.01249805,2
BlastFurnace,99,0.55880000,37.33630941,2
BlastFurnace,100,2.45920000,43.02775638,3
BlastFurnace,101,1.74600000,43.74753796,3
BlastFurnace,102,2.14760000,45.34313620,2
BlastFurnace,103,0.62600000,43.96589587,2
BlastFurnace,104,0.54000000,44.55333882,2
BlastFurnace,105,0.67540000,42.20189569,2
BlastFurnace,106,1.40340000,42.54409477,2
BlastFurnace,107,1.13880000,44.29446918,2
BlastFurnace,108,1.83700000,44.27188724,2
BlastFurnace,109,1.90400000,44.59820624,2
BlastFurnace,110,2.38660000,49.77389781,4
BlastFurnace,111,1.67060000,49.81967483,2
BlastFurnace,112,1.57140000,47.16990566,2
BlastFurnace,113,1.53680000,46.06517123,2
BlastFurnace,114,1.44820000,49.49747468,2
BlastFurnace,115,2.90840000,48.66210024,2
BlastFurnace,116,1.86980000,45.48626166,2
BlastFurnace,117,3.26560000,47.16990566,2
BlastFurnace,118,1.55360000,47.42362281,2
BlastFurnace,119,1.52540000,46.04345773,2
BlastFurnace,120,1.68820000,52.80151513,2
BlastFurnace,121,0.67500000,53.33854141,2
BlastFurnace,122,2.98080000,49.65518157,4
BlastFurnace,123,0.76720000,50.77400910,2
BlastFurnace,124,1.28240000,52.32590181,2
BlastFurnace,125,2.16740000,50.81056970,3
BlastFurnace,126,0.52520000,50.69516742,2
BlastFurnace,127,2.33220000,51.62363800,2
BlastFurnace,128,1.28580000,53.23532662,2
BlastFurnace,129,2.57360000,51.62363800,2
BlastFurnace,130,2.01980000,52.80151513,2
BlastFurnace,131,3.47660000,52.74028419,4
BlastFurnace,132,2.70760000,53.89566871,3
BlastFurnace,133,1.03720000,58.03447251,2
BlastFurnace,134,2.10420000,55.31726674,2
BlastFurnace,135,1.72060000,57.00877125,2
BlastFurnace,136,1.61240000,57.00877125,2
BlastFurnace,137,1.90760000,52.32590181,2
BlastFurnace,138,1.30960000,58.00862005,2
BlastFurnace,139,3.43580000,54.58344682,4
BlastFurnace,140,2.00240000,58.24946352,2
BlastFurnace,141,1.60800000,61.07372594,2
BlastFurnace,142,2.47000000,60.45654526,3
BlastFurnace,143,3.18200000,58.93724648,5
BlastFurnace,144,4.94500000,58.74083584,5
BlastFurnace,145,2.73880000,58.57686649,3
BlastFurnace,146,3.65660000,59.60188664,3
BlastFurnace,147,1.75760000,59.66573556,2
