Map,Query Number,Time,Distance,Path Length
BrokenSteppes,0,0.99120000,7.21110255,2
BrokenSteppes,1,0.78040000,4.12310563,2
BrokenSteppes,2,0.70240000,4.24264069,2
BrokenSteppes,3,0.51820000,7.28010989,2
BrokenSteppes,4,1.45280000,5.00000000,2
BrokenSteppes,5,1.27560000,5.09901951,2
BrokenSteppes,6,1.18160000,6.08276253,2
BrokenSteppes,7,0.63340000,5.83095189,2
BrokenSteppes,8,0.57460000,5.38516481,2
BrokenSteppes,9,0.78240000,7.07106781,2
BrokenSteppes,10,0.42880000,9.84885780,2
BrokenSteppes,11,0.68280000,9.43398113,2
BrokenSteppes,12,0.48080000,10.81665383,2
BrokenSteppes,13,0.95440000,11.18033989,2
BrokenSteppes,14,0.44700000,11.00000000,2
BrokenSteppes,15,0.73320000,10.77032961,2
BrokenSteppes,16,0.74340000,8.24621125,2
BrokenSteppes,17,1.23220000,10.81665383,2
BrokenSteppes,18,0.91460000,10.19803903,2
BrokenSteppes,19,0.67500000,9.05538514,2
BrokenSteppes,20,0.93100000,11.18033989,2
BrokenSteppes,21,0.48620000,12.08304597,2
BrokenSteppes,22,0.55900000,13.15294644,2
BrokenSteppes,23,1.20900000,13.34166406,2
BrokenSteppes,24,0.75360000,11.70469991,2
BrokenSteppes,25,0.98280000,15.55634919,2
BrokenSteppes,26,0.74380000,13.60147051,2
BrokenSteppes,27,1.51840000,13.00000000,2
BrokenSteppes,28,0.67380000,13.03840481,2
BrokenSteppes,29,0.60940000,12.08304597,2
BrokenSteppes,30,0.96360000,17.08800749,2
BrokenSteppes,31,0.65100000,15.23154621,2
BrokenSteppes,32,0.56560000,15.81138830,2
BrokenSteppes,33,1.61020000,17.46424920,2
BrokenSteppes,34,1.79980000,16.49242250,2
BrokenSteppes,35,0.75880000,19.00000000,2
BrokenSteppes,36,0.54640000,18.02775638,2
BrokenSteppes,37,0.64420000,16.27882060,2
BrokenSteppes,38,0.47220000,18.02775638,2
BrokenSteppes,39,1.46020000,19.02629759,2
BrokenSteppes,40,1.22420000,21.63330765,2
BrokenSteppes,41,0.74620000,21.02379604,2
BrokenSteppes,42,1.15960000,22.80350850,2
BrokenSteppes,43,1.45880000,21.58703314,2
BrokenSteppes,44,0.96680000,21.00000000,2
BrokenSteppes,45,1.22280000,21.09502311,2
BrokenSteppes,46,1.01240000,21.63330765,2
BrokenSteppes,47,1.70160000,18.78829423,2
BrokenSteppes,48,0.57920000,19.84943324,2
BrokenSteppes,49,0.50880000,21.02379604,2
BrokenSteppes,50,1.19780000,24.08318916,2
BrokenSteppes,51,0.61980000,24.69817807,2
BrokenSteppes,52,1.99860000,24.18677324,2
BrokenSteppes,53,0.56800000,25.07987241,2
BrokenSteppes,54,0.42280000,22.47220505,2
BrokenSteppes,55,1.71120000,25.00000000,2
BrokenSteppes,56,1.33780000,23.76972865,2
BrokenSteppes,57,1.23520000,24.73863375,2
BrokenSteppes,58,1.33580000,23.76972865,2
BrokenSteppes,59,0.99120000,24.69817807,2
BrokenSteppes,60,1.32160000,30.14962686,2
BrokenSteppes,61,0.69100000,27.45906044,2
BrokenSteppes,62,1.56440000,29.15475947,2
BrokenSteppes,63,0.49960000,29.20616373,2
BrokenSteppes,64,2.13280000,30.49145018,3
BrokenSteppes,65,0.42560000,29.83286778,2
BrokenSteppes,66,1.61660000,29.15475947,2
BrokenSteppes,67,1.23480000,26.83281573,2
BrokenSteppes,68,1.12200000,26.62705391,2
BrokenSteppes,69,1.29220000,26.92582404,2
BrokenSteppes,70,1.05140000,34.23448554,2
BrokenSteppes,71,0.73800000,32.80243893,2
BrokenSteppes,72,0.97200000,30.01666204,2
BrokenSteppes,73,1.60900000,33.10589071,2
BrokenSteppes,74,2.36920000,35.05709629,2
BrokenSteppes,75,1.12780000,30.59411708,2
BrokenSteppes,76,0.53760000,31.57530681,2
BrokenSteppes,77,0.78860000,33.13608305,2
BrokenSteppes,78,0.51520000,33.06055051,2
BrokenSteppes,79,0.86640000,31.25699922,2
BrokenSteppes,80,1.34300000,34.40930107,2
BrokenSteppes,81,0.74160000,36.23534186,2
BrokenSteppes,82,1.57360000,36.76955262,2
BrokenSteppes,83,2.01600000,36.87817783,2
BrokenSteppes,84,1.63300000,36.37363667,3
BrokenSteppes,85,0.48760000,37.01351105,2
BrokenSteppes,86,1.32740000,37.01351105,2
BrokenSteppes,87,2.75780000,34.66813299,5
BrokenSteppes,88,1.48940000,37.00000000,2
BrokenSteppes,89,1.10000000,38.00000000,2
