Map,Query Number,Time,Distance,Path Length
Caldera,0,1.65200000,4.00000000,2
Caldera,1,0.92160000,7.07106781,2
Caldera,2,0.66200000,7.28010989,2
Caldera,3,0.61940000,5.38516481,2
Caldera,4,0.63560000,6.08276253,2
Caldera,5,0.64180000,6.08276253,2
Caldera,6,0.69980000,4.12310563,2
Caldera,7,0.44100000,7.07106781,2
Caldera,8,0.58060000,5.09901951,2
Caldera,9,0.47800000,7.28010989,2
Caldera,10,1.17540000,9.89949494,2
Caldera,11,0.52000000,11.00000000,2
Caldera,12,0.96780000,8.94427191,2
Caldera,13,1.06060000,9.43398113,2
Caldera,14,0.97400000,8.00000000,2
Caldera,15,0.76040000,8.06225775,2
Caldera,16,1.01760000,11.31370850,2
Caldera,17,0.40680000,9.05538514,2
Caldera,18,1.60500000,8.60232527,2
Caldera,19,0.59740000,10.63014581,2
Caldera,20,0.51860000,12.20655562,2
Caldera,21,1.90580000,14.31782106,2
Caldera,22,0.89660000,15.55634919,2
Caldera,23,0.41740000,12.16552506,2
Caldera,24,0.43740000,13.41640786,2
Caldera,25,0.47600000,14.42220510,2
Caldera,26,0.60060000,13.41640786,2
Caldera,27,1.01020000,11.18033989,2
Caldera,28,0.40760000,12.52996409,2
Caldera,29,0.44000000,14.14213562,2
Caldera,30,0.93260000,15.81138830,2
Caldera,31,0.49780000,16.76305461,2
Caldera,32,0.51200000,16.27882060,2
Caldera,33,0.49880000,17.20465053,2
Caldera,34,0.44720000,15.52417470,2
Caldera,35,0.45980000,16.55294536,2
Caldera,36,2.03620000,19.13468836,3
Caldera,37,1.11760000,18.43908891,2
Caldera,38,1.11720000,16.55294536,2
Caldera,39,0.55120000,17.49285568,2
Caldera,40,1.24460000,22.36067977,2
Caldera,41,0.51500000,22.20360331,2
Caldera,42,0.99580000,21.47091055,2
Caldera,43,1.32700000,20.61552813,2
Caldera,44,1.68540000,21.06980047,3
Caldera,45,0.44840000,18.68154169,2
Caldera,46,1.07120000,21.47091055,2
Caldera,47,0.46980000,22.36067977,2
Caldera,48,0.98020000,20.24845673,2
Caldera,49,0.53700000,21.02379604,2
Caldera,50,1.50020000,24.33105012,2
Caldera,51,0.45540000,23.76972865,2
Caldera,52,1.28140000,23.40939982,2
Caldera,53,0.65540000,25.96150997,2
Caldera,54,0.49580000,22.80350850,2
Caldera,55,1.63720000,24.59674775,2
Caldera,56,2.14980000,26.07680962,2
Caldera,57,1.31840000,25.29822128,2
Caldera,58,1.18540000,24.41311123,2
Caldera,59,0.54760000,26.87005769,2
Caldera,60,1.46680000,28.63564213,2
Caldera,61,0.41600000,26.92582404,2
Caldera,62,1.33100000,29.06888371,2
Caldera,63,0.54360000,28.42534081,2
Caldera,64,1.35300000,27.29468813,2
Caldera,65,1.11600000,27.89265136,2
Caldera,66,0.53180000,29.61418579,2
Caldera,67,1.13680000,29.54657341,2
Caldera,68,1.51580000,29.27456234,2
Caldera,69,1.18260000,28.86173938,2
Caldera,70,0.86040000,31.30495168,2
Caldera,71,0.41020000,34.13209633,2
Caldera,72,1.81920000,31.39795999,3
Caldera,73,0.98680000,34.20526275,2
Caldera,74,0.44540000,30.01666204,2
Caldera,75,0.77700000,31.76476035,2
Caldera,76,5.10600000,33.24710880,3
Caldera,77,1.18040000,32.44996148,2
Caldera,78,0.88620000,32.01562119,2
Caldera,79,0.42000000,32.31098884,2
Caldera,80,0.45820000,36.71511950,2
Caldera,81,2.13660000,36.06937759,2
Caldera,82,1.79820000,35.36067977,3
Caldera,83,1.93260000,37.12142239,2
Caldera,84,0.50800000,36.13862200,2
Caldera,85,0.95960000,37.01351105,2
Caldera,86,0.43520000,33.61547263,2
Caldera,87,1.93960000,35.66799036,3
