Map,Query Number,Time,Distance,Path Length
CatwalkAlley,0,1.27800000,7.07106781,2
CatwalkAlley,1,0.73680000,7.21110255,2
CatwalkAlley,2,3.11420000,6.00000000,2
CatwalkAlley,3,1.17280000,5.00000000,2
CatwalkAlley,4,0.58620000,4.00000000,2
CatwalkAlley,5,0.58120000,5.83095189,2
CatwalkAlley,6,1.65120000,5.65685425,2
CatwalkAlley,7,0.88000000,7.07106781,2
CatwalkAlley,8,0.48300000,7.28010989,2
CatwalkAlley,9,0.67600000,5.00000000,2
CatwalkAlley,10,1.49120000,10.77032961,2
CatwalkAlley,11,0.75980000,9.21954446,2
CatwalkAlley,12,1.59100000,7.61577311,2
CatwalkAlley,13,1.03500000,8.06225775,2
CatwalkAlley,14,0.66740000,8.94427191,2
CatwalkAlley,15,0.62520000,9.05538514,2
CatwalkAlley,16,1.43160000,9.48683298,2
CatwalkAlley,17,0.93820000,8.06225775,2
CatwalkAlley,18,0.61080000,11.18033989,2
CatwalkAlley,19,1.74300000,11.18033989,2
CatwalkAlley,20,0.65900000,14.14213562,2
CatwalkAlley,21,0.55040000,11.18033989,2
CatwalkAlley,22,0.59040000,14.42220510,2
CatwalkAlley,23,0.48180000,13.89244399,2
CatwalkAlley,24,3.93700000,14.14213562,2
CatwalkAlley,25,1.60720000,11.66190379,2
CatwalkAlley,26,1.18680000,12.52996409,2
CatwalkAlley,27,0.53660000,12.80624847,2
CatwalkAlley,28,1.35840000,14.03566885,2
CatwalkAlley,29,0.67960000,14.14213562,2
CatwalkAlley,30,0.62680000,18.60107524,2
CatwalkAlley,31,0.63840000,15.52417470,2
CatwalkAlley,32,1.27580000,18.60107524,2
CatwalkAlley,33,0.94600000,15.52417470,2
CatwalkAlley,34,0.59760000,17.72004515,2
CatwalkAlley,35,0.51340000,18.43908891,2
CatwalkAlley,36,1.34000000,16.55294536,2
CatwalkAlley,37,1.61040000,16.03121954,2
CatwalkAlley,38,0.51380000,17.46424920,2
CatwalkAlley,39,1.53780000,16.76305461,2
CatwalkAlley,40,0.80420000,22.13594362,2
CatwalkAlley,41,1.22820000,21.95449840,2
CatwalkAlley,42,1.55020000,21.58703314,2
CatwalkAlley,43,0.68560000,21.09502311,2
CatwalkAlley,44,2.15460000,19.23538406,2
CatwalkAlley,45,6.55040000,21.63330765,2
CatwalkAlley,46,3.14760000,19.70031717,3
CatwalkAlley,47,1.32800000,18.78829423,2
CatwalkAlley,48,2.62500000,19.41648784,2
CatwalkAlley,49,1.51220000,18.68154169,2
CatwalkAlley,50,1.78420000,22.80350850,2
CatwalkAlley,51,1.53040000,24.08318916,2
CatwalkAlley,52,0.52760000,23.34523506,2
CatwalkAlley,53,1.07760000,23.32380758,2
CatwalkAlley,54,1.28920000,23.02172887,2
CatwalkAlley,55,2.12980000,23.19482701,2
CatwalkAlley,56,1.20000000,25.31797780,2
CatwalkAlley,57,0.57880000,24.16609195,2
CatwalkAlley,58,1.22120000,25.17935662,2
CatwalkAlley,59,0.55540000,27.00000000,2
CatwalkAlley,60,1.82360000,28.46049894,2
CatwalkAlley,61,1.39460000,28.20836430,3
CatwalkAlley,62,0.54980000,27.01851217,2
CatwalkAlley,63,1.52300000,28.28427125,2
CatwalkAlley,64,1.24060000,26.92582404,2
CatwalkAlley,65,1.44880000,28.23118843,2
CatwalkAlley,66,1.52560000,28.01785145,2
CatwalkAlley,67,1.01640000,28.16025568,2
CatwalkAlley,68,0.58620000,31.06444913,2
CatwalkAlley,69,1.50680000,30.41381265,2
CatwalkAlley,70,1.75100000,32.20248438,2
CatwalkAlley,71,0.71660000,33.10589071,2
CatwalkAlley,72,0.60800000,34.05877273,2
CatwalkAlley,73,2.80220000,32.46422106,4
CatwalkAlley,74,1.24400000,31.89043744,2
CatwalkAlley,75,0.76220000,30.88689042,2
CatwalkAlley,76,0.61560000,30.23243292,2
CatwalkAlley,77,3.10780000,31.10436419,5
CatwalkAlley,78,0.62120000,32.14031736,2
CatwalkAlley,79,2.41340000,32.57299495,2
CatwalkAlley,80,0.67940000,34.48187930,2
CatwalkAlley,81,0.79840000,36.12478374,2
CatwalkAlley,82,3.37460000,39.00000000,2
CatwalkAlley,83,0.58720000,36.35931793,2
CatwalkAlley,84,1.24140000,38.28837944,2
CatwalkAlley,85,1.17300000,33.52610923,2
