Map,Query Number,Time,Distance,Path Length
CrescentMoon,0,0.75920000,7.21110255,2
CrescentMoon,1,1.21740000,6.40312424,2
CrescentMoon,2,1.19080000,7.00000000,2
CrescentMoon,3,0.83620000,6.70820393,2
CrescentMoon,4,0.38760000,6.32455532,2
CrescentMoon,5,0.52240000,6.40312424,2
CrescentMoon,6,0.54160000,6.32455532,2
CrescentMoon,7,0.48900000,4.24264069,2
CrescentMoon,8,0.54160000,6.08276253,2
CrescentMoon,9,0.49100000,5.09901951,2
CrescentMoon,10,0.44880000,10.77032961,2
CrescentMoon,11,1.69720000,10.44030651,2
CrescentMoon,12,1.71400000,9.21954446,2
CrescentMoon,13,0.40740000,10.44030651,2
CrescentMoon,14,0.47340000,8.94427191,2
CrescentMoon,15,0.37220000,10.81665383,2
CrescentMoon,16,0.86660000,8.24621125,2
CrescentMoon,17,1.20780000,8.60232527,2
CrescentMoon,18,0.61000000,8.24621125,2
CrescentMoon,19,0.40160000,9.84885780,2
CrescentMoon,20,0.49740000,14.14213562,2
CrescentMoon,21,0.56960000,13.03840481,2
CrescentMoon,22,0.35640000,14.31782106,2
CrescentMoon,23,0.38860000,14.14213562,2
CrescentMoon,24,0.44620000,13.60147051,2
CrescentMoon,25,0.41920000,11.70469991,2
CrescentMoon,26,0.46840000,13.89244399,2
CrescentMoon,27,0.62000000,13.00000000,2
CrescentMoon,28,0.38640000,14.00000000,2
CrescentMoon,29,0.35320000,11.70469991,2
CrescentMoon,30,1.47380000,17.72004515,2
CrescentMoon,31,0.46020000,19.02629759,2
CrescentMoon,32,1.23020000,16.15549442,2
CrescentMoon,33,0.40180000,18.02775638,2
CrescentMoon,34,0.41820000,17.46424920,2
CrescentMoon,35,0.83160000,17.11724277,2
CrescentMoon,36,1.37780000,16.40121947,2
CrescentMoon,37,1.19060000,15.65247584,2
CrescentMoon,38,0.44480000,18.60107524,2
CrescentMoon,39,0.33160000,18.60107524,2
CrescentMoon,40,0.66980000,22.20360331,2
CrescentMoon,41,0.92940000,23.34523506,2
CrescentMoon,42,0.44220000,19.69771560,2
CrescentMoon,43,0.36760000,21.02379604,2
CrescentMoon,44,0.42000000,20.80865205,2
CrescentMoon,45,1.68160000,19.84943324,2
CrescentMoon,46,0.33620000,21.02379604,2
CrescentMoon,47,0.27500000,22.02271555,2
CrescentMoon,48,1.01760000,21.47091055,2
CrescentMoon,49,0.51540000,21.02379604,2
CrescentMoon,50,1.28120000,23.85372088,2
CrescentMoon,51,0.46340000,22.80350850,2
CrescentMoon,52,1.24460000,25.67156810,3
CrescentMoon,53,1.13340000,25.70992026,2
CrescentMoon,54,0.45760000,26.17250466,2
CrescentMoon,55,0.75740000,24.69817807,2
CrescentMoon,56,1.57340000,26.17250466,2
CrescentMoon,57,1.51400000,23.40939982,2
CrescentMoon,58,0.41800000,23.60084744,2
CrescentMoon,59,0.43360000,24.73863375,2
CrescentMoon,60,1.14300000,31.14482300,2
CrescentMoon,61,0.53280000,27.29468813,2
CrescentMoon,62,0.35260000,28.63564213,2
CrescentMoon,63,2.32060000,26.93717100,4
CrescentMoon,64,1.05780000,29.06888371,2
CrescentMoon,65,1.93320000,30.41381265,2
CrescentMoon,66,1.26460000,27.65863337,2
CrescentMoon,67,0.46880000,26.68332813,2
CrescentMoon,68,1.50200000,26.00000000,2
CrescentMoon,69,1.33180000,27.78488798,2
CrescentMoon,70,0.47320000,32.80243893,2
CrescentMoon,71,1.81900000,30.01666204,2
CrescentMoon,72,1.42840000,31.01612484,2
CrescentMoon,73,0.53920000,33.54101966,2
CrescentMoon,74,0.47340000,29.73213749,2
CrescentMoon,75,2.39560000,32.62894428,3
CrescentMoon,76,1.87980000,33.60059523,2
CrescentMoon,77,1.30980000,33.06055051,2
CrescentMoon,78,1.46860000,33.10589071,2
CrescentMoon,79,0.50160000,34.20526275,2
CrescentMoon,80,1.11820000,37.05401463,2
CrescentMoon,81,1.31480000,36.87817783,2
CrescentMoon,82,1.35660000,36.34556369,2
CrescentMoon,83,0.68860000,35.11409973,2
CrescentMoon,84,1.51860000,34.20526275,2
CrescentMoon,85,0.81160000,34.01470270,2
CrescentMoon,86,0.67000000,37.05401463,2
CrescentMoon,87,1.21900000,38.05259518,2
CrescentMoon,88,1.24000000,38.05259518,2
CrescentMoon,89,0.51000000,34.17601498,2
CrescentMoon,90,0.41500000,39.56008089,2
CrescentMoon,91,1.22200000,41.19465985,2
CrescentMoon,92,1.79400000,42.85401443,4
CrescentMoon,93,0.83960000,40.04996879,2
CrescentMoon,94,0.90220000,40.36087214,2
CrescentMoon,95,0.47060000,39.05124838,2
CrescentMoon,96,0.44680000,37.12142239,2
CrescentMoon,97,1.46460000,39.69886648,2
CrescentMoon,98,1.76400000,37.36308338,2
CrescentMoon,99,0.44260000,39.62322551,2
CrescentMoon,100,1.35960000,42.20189569,2
CrescentMoon,101,2.35220000,43.86342440,2
CrescentMoon,102,0.48700000,43.82921400,2
CrescentMoon,103,1.42140000,43.86342440,2
CrescentMoon,104,1.88300000,43.93176527,2
CrescentMoon,105,2.13760000,44.91009728,4
CrescentMoon,106,0.70260000,44.40720662,2
CrescentMoon,107,1.05980000,43.65775991,2
CrescentMoon,108,1.27380000,42.57933771,2
CrescentMoon,109,1.72380000,45.19339920,3
CrescentMoon,110,0.42460000,48.08326112,2
CrescentMoon,111,0.73120000,46.23851209,2
CrescentMoon,112,1.74880000,49.20365840,2
CrescentMoon,113,1.54440000,46.61544808,2
CrescentMoon,114,0.42380000,45.61797891,2
CrescentMoon,115,0.49620000,47.50789408,2
CrescentMoon,116,1.52240000,48.10405388,2
CrescentMoon,117,1.33420000,50.03998401,2
CrescentMoon,118,2.69360000,47.38143096,2
CrescentMoon,119,1.85040000,47.62039375,3
CrescentMoon,120,1.74180000,49.64876635,2
CrescentMoon,121,1.67240000,50.24937811,2
CrescentMoon,122,1.13560000,48.87739764,2
CrescentMoon,123,1.32160000,49.47726751,2
