Map,Query Number,Time,Distance,Path Length
Crossroads,0,0.87260000,7.00000000,2
Crossroads,1,0.64560000,5.65685425,2
Crossroads,2,0.87800000,7.28010989,2
Crossroads,3,0.68300000,5.09901951,2
Crossroads,4,1.32040000,7.21110255,2
Crossroads,5,0.50220000,6.08276253,2
Crossroads,6,1.14200000,7.21110255,2
Crossroads,7,0.73480000,6.08276253,2
Crossroads,8,0.47320000,5.00000000,2
Crossroads,9,0.94400000,7.28010989,2
Crossroads,10,1.04340000,8.48528137,2
Crossroads,11,0.55240000,11.00000000,2
Crossroads,12,0.70820000,9.21954446,2
Crossroads,13,0.71760000,10.77032961,2
Crossroads,14,0.51160000,11.40175425,2
Crossroads,15,0.51900000,9.48683298,2
Crossroads,16,0.75520000,10.77032961,2
Crossroads,17,0.92540000,11.18033989,2
Crossroads,18,0.54280000,9.21954446,2
Crossroads,19,1.06140000,10.77032961,2
Crossroads,20,0.62120000,13.15294644,2
Crossroads,21,2.46560000,10.56540190,4
Crossroads,22,0.52660000,15.00000000,2
Crossroads,23,1.69080000,14.86606875,2
Crossroads,24,1.21240000,13.15294644,2
Crossroads,25,0.69380000,13.03840481,2
Crossroads,26,1.38020000,13.41640786,2
Crossroads,27,0.51920000,13.00000000,2
Crossroads,28,0.50000000,14.21267040,2
Crossroads,29,0.45060000,12.36931688,2
Crossroads,30,1.61280000,15.29705854,2
Crossroads,31,0.62320000,17.49285568,2
Crossroads,32,0.56000000,18.38477631,2
Crossroads,33,0.56260000,16.03121954,2
Crossroads,34,0.46380000,17.72004515,2
Crossroads,35,0.99160000,15.81138830,2
Crossroads,36,1.53280000,17.20465053,2
Crossroads,37,0.53900000,17.02938637,2
Crossroads,38,0.86800000,19.10497317,2
Crossroads,39,0.81720000,18.38477631,2
Crossroads,40,0.55080000,20.00000000,2
Crossroads,41,0.59060000,21.95449840,2
Crossroads,42,1.29240000,22.09072203,2
Crossroads,43,1.26120000,19.84943324,2
Crossroads,44,1.09240000,19.23538406,2
Crossroads,45,1.07360000,20.92087434,3
Crossroads,46,0.64140000,19.69771560,2
Crossroads,47,1.03900000,21.84032967,2
Crossroads,48,0.51400000,19.92485885,2
Crossroads,49,1.40060000,21.21320344,2
Crossroads,50,1.03380000,23.76972865,2
Crossroads,51,0.46380000,25.80697580,2
Crossroads,52,1.36520000,26.17250466,2
Crossroads,53,0.79700000,26.40075756,2
Crossroads,54,0.55840000,25.00000000,2
Crossroads,55,0.81160000,25.07987241,2
Crossroads,56,0.45240000,26.90724809,2
Crossroads,57,1.06500000,25.00000000,2
Crossroads,58,0.47400000,23.43074903,2
Crossroads,59,1.13380000,23.60084744,2
Crossroads,60,1.34940000,28.31960452,2
Crossroads,61,1.72960000,28.16025568,2
Crossroads,62,1.08900000,26.00000000,2
Crossroads,63,0.87100000,28.79236010,2
Crossroads,64,0.92740000,27.16615541,2
Crossroads,65,0.56520000,28.60069929,2
Crossroads,66,2.29440000,28.02379604,3
Crossroads,67,2.33340000,29.15475947,2
Crossroads,68,0.45500000,27.51363298,2
Crossroads,69,2.72420000,29.09491550,5
Crossroads,70,1.72440000,32.20248438,2
Crossroads,71,1.07460000,31.62277660,2
Crossroads,72,1.26680000,29.73213749,2
Crossroads,73,0.57260000,33.13608305,2
Crossroads,74,1.66300000,31.82766093,2
Crossroads,75,1.62180000,31.32091953,2
Crossroads,76,1.03740000,33.01514804,2
Crossroads,77,1.26220000,32.75667871,2
Crossroads,78,1.42400000,33.60059523,2
Crossroads,79,0.85600000,30.67572330,2
Crossroads,80,2.25280000,35.73513677,2
Crossroads,81,0.60120000,33.54101966,2
Crossroads,82,0.47500000,36.67424164,2
Crossroads,83,1.32020000,35.51056181,2
Crossroads,84,0.58380000,35.69313660,2
Crossroads,85,1.03380000,35.12833614,2
Crossroads,86,0.66640000,36.05551275,2
Crossroads,87,1.41360000,36.87817783,2
Crossroads,88,2.79220000,33.17838062,5
Crossroads,89,0.51780000,36.87817783,2
Crossroads,90,1.25660000,39.05124838,2
Crossroads,91,2.03180000,39.05124838,2
Crossroads,92,1.21480000,37.64306045,2
Crossroads,93,2.38800000,38.16167572,4
Crossroads,94,1.55560000,38.62641583,2
Crossroads,95,0.59300000,39.45883931,2
Crossroads,96,0.44880000,37.36308338,2
Crossroads,97,0.47260000,40.04996879,2
Crossroads,98,1.85040000,38.60051813,2
Crossroads,99,2.08540000,40.31128874,2
Crossroads,100,1.44760000,43.18564576,2
Crossroads,101,1.48100000,42.54409477,2
Crossroads,102,0.53060000,44.20407221,2
Crossroads,103,1.75760000,45.04442252,2
Crossroads,104,0.51980000,45.09988914,2
Crossroads,105,1.21460000,44.18144407,2
Crossroads,106,0.47740000,42.37924020,2
Crossroads,107,0.43140000,43.96589587,2
Crossroads,108,0.66640000,42.63801121,2
Crossroads,109,0.53840000,44.38468204,2
Crossroads,110,2.37980000,51.62363800,2
Crossroads,111,0.37060000,48.10405388,2
Crossroads,112,1.08580000,48.41487375,2
Crossroads,113,1.44960000,47.80167361,2
Crossroads,114,0.86900000,47.53945730,2
Crossroads,115,1.11560000,45.70557953,2
Crossroads,116,0.54340000,47.16990566,2
Crossroads,117,1.85860000,45.80392996,2
Crossroads,118,0.65540000,48.66210024,2
Crossroads,119,1.84800000,48.08326112,2
Crossroads,120,0.72700000,51.24451190,2
Crossroads,121,0.44680000,51.26402247,2
Crossroads,122,0.49680000,49.39635614,2
Crossroads,123,0.43060000,50.60632372,2
Crossroads,124,3.20080000,50.70448148,3
Crossroads,125,0.46600000,48.33218389,2
Crossroads,126,2.47520000,51.11574085,4
Crossroads,127,1.04880000,52.32590181,2
Crossroads,128,1.79520000,48.18052170,3
Crossroads,129,0.45140000,51.97114584,2
Crossroads,130,1.06180000,55.00000000,2
Crossroads,131,1.58260000,54.81788029,2
Crossroads,132,2.34360000,53.16013544,2
Crossroads,133,1.31180000,55.02726597,2
Crossroads,134,1.74960000,58.14213562,3
Crossroads,135,2.42700000,53.60037313,2
Crossroads,136,1.44200000,58.00862005,2
Crossroads,137,1.39180000,55.54277631,2
Crossroads,138,0.58700000,58.05170109,2
Crossroads,139,2.37700000,56.40035461,2
Crossroads,140,0.50360000,56.85947590,2
Crossroads,141,1.89600000,62.00806399,2
Crossroads,142,1.60500000,59.05929224,2
Crossroads,143,0.66300000,56.08029957,2
Crossroads,144,2.31700000,55.68854702,3
Crossroads,145,1.71460000,55.90169944,2
Crossroads,146,0.83780000,60.40695324,2
Crossroads,147,2.37400000,58.24946352,2
Crossroads,148,1.46860000,61.00000000,2
Crossroads,149,1.80320000,55.94640292,2
Crossroads,150,3.43080000,61.78866942,4
Crossroads,151,3.31740000,63.68585085,4
Crossroads,152,3.60940000,61.87086786,6
Crossroads,153,5.22640000,63.27377310,5
Crossroads,154,2.02000000,64.38167441,2
Crossroads,155,0.66340000,65.94694838,2
Crossroads,156,0.55860000,67.00746227,2
Crossroads,157,2.68240000,64.53681120,2
Crossroads,158,1.43460000,60.46486583,2
Crossroads,159,0.59660000,59.23681288,2
Crossroads,160,0.91320000,64.19501538,2
Crossroads,161,1.90240000,63.07138812,2
Crossroads,162,1.59260000,66.73080248,2
Crossroads,163,2.03040000,68.18357573,2
Crossroads,164,1.29800000,65.39113090,2
Crossroads,165,2.69700000,66.61080993,2
Crossroads,166,2.44600000,68.20642846,4
Crossroads,167,1.47740000,68.24954212,2
Crossroads,168,0.44020000,68.24954212,2
Crossroads,169,1.25220000,66.64833081,2
Crossroads,170,0.46520000,71.06335202,2
Crossroads,171,1.66000000,68.65857558,2
Crossroads,172,2.16540000,72.83543094,2
Crossroads,173,1.96980000,69.89277502,2
Crossroads,174,1.47120000,70.83784299,2
Crossroads,175,1.39560000,68.94200461,2
Crossroads,176,1.23380000,67.44627492,2
Crossroads,177,0.41900000,69.65629907,2
Crossroads,178,1.29120000,67.91170739,2
Crossroads,179,1.41880000,70.23531875,2
Crossroads,180,1.86360000,76.69419796,2
