Map,Query Number,Time,Distance,Path Length
Desolation,0,1.30660000,6.08276253,2
Desolation,1,0.71300000,7.00000000,2
Desolation,2,0.72940000,5.38516481,2
Desolation,3,0.87660000,5.38516481,2
Desolation,4,0.62080000,6.08276253,2
Desolation,5,0.58760000,5.38516481,2
Desolation,6,2.52300000,4.00000000,2
Desolation,7,0.61640000,4.47213595,2
Desolation,8,0.84820000,5.65685425,2
Desolation,9,0.63040000,7.28010989,2
Desolation,10,0.61260000,8.94427191,2
Desolation,11,0.79160000,10.44030651,2
Desolation,12,0.67820000,8.24621125,2
Desolation,13,0.69440000,9.43398113,2
Desolation,14,0.47900000,9.05538514,2
Desolation,15,0.69540000,10.63014581,2
Desolation,16,0.57540000,9.84885780,2
Desolation,17,2.67780000,9.00000000,2
Desolation,18,0.90180000,7.81024968,2
Desolation,19,0.62320000,11.18033989,2
Desolation,20,0.57240000,13.15294644,2
Desolation,21,0.69660000,11.66190379,2
Desolation,22,0.70480000,12.04159458,2
Desolation,23,0.59520000,13.03840481,2
Desolation,24,0.66500000,13.60147051,2
Desolation,25,0.64460000,14.14213562,2
Desolation,26,1.51500000,12.04159458,2
Desolation,27,2.09240000,14.31782106,2
Desolation,28,1.75740000,12.36931688,2
Desolation,29,0.71920000,15.00000000,2
Desolation,30,2.22540000,19.10497317,2
Desolation,31,2.97940000,18.11214909,4
Desolation,32,0.60040000,16.40121947,2
Desolation,33,0.81240000,19.20937271,2
Desolation,34,0.65860000,19.00000000,2
Desolation,35,0.63920000,17.11724277,2
Desolation,36,0.57160000,18.35755975,2
Desolation,37,0.64500000,19.10497317,2
Desolation,38,2.38460000,18.02775638,2
Desolation,39,0.78800000,16.49242250,2
Desolation,40,1.85560000,20.80865205,2
Desolation,41,2.76140000,22.09502311,3
Desolation,42,1.58900000,19.84943324,2
Desolation,43,0.66800000,19.92485885,2
Desolation,44,0.60080000,20.80865205,2
Desolation,45,1.97520000,20.51828453,2
Desolation,46,0.62140000,19.31320792,2
Desolation,47,2.34580000,21.54065923,2
Desolation,48,0.65420000,20.59126028,2
Desolation,49,0.77100000,20.88061302,2
Desolation,50,0.57160000,22.84731932,2
Desolation,51,1.35500000,25.94224354,2
Desolation,52,1.30120000,25.23885893,2
Desolation,53,2.23000000,26.10178742,5
Desolation,54,0.68160000,22.84731932,2
Desolation,55,0.65760000,22.56102835,2
Desolation,56,0.63780000,23.85372088,2
Desolation,57,0.64600000,26.40075756,2
Desolation,58,1.87160000,23.60084744,2
Desolation,59,1.65980000,25.07987241,2
Desolation,60,0.93220000,27.65863337,2
Desolation,61,0.68920000,28.86173938,2
Desolation,62,0.66900000,28.01785145,2
Desolation,63,2.34460000,31.01612484,2
Desolation,64,1.38080000,28.16025568,2
Desolation,65,0.67860000,26.57066051,2
Desolation,66,1.97500000,28.07133770,2
Desolation,67,0.58400000,26.57066051,2
Desolation,68,2.49260000,28.24880950,3
Desolation,69,3.04980000,30.11080235,3
Desolation,70,1.29500000,31.57530681,2
Desolation,71,0.67680000,31.82766093,2
Desolation,72,1.96820000,33.10589071,2
Desolation,73,1.47220000,33.12099032,2
Desolation,74,1.78500000,30.52867504,2
Desolation,75,1.99680000,30.52867504,2
Desolation,76,0.53460000,34.05877273,2
Desolation,77,0.67720000,31.78049716,2
Desolation,78,1.42240000,33.24187449,3
Desolation,79,1.66720000,34.13209633,2
Desolation,80,1.89840000,34.43835072,2
Desolation,81,2.21600000,36.23534186,2
Desolation,82,0.59720000,36.40054945,2
Desolation,83,1.14540000,35.11409973,2
Desolation,84,0.96220000,34.53983208,2
Desolation,85,0.60640000,34.17601498,2
Desolation,86,2.49260000,37.44329045,2
Desolation,87,1.61100000,37.80211634,2
Desolation,88,1.26140000,35.22895400,3
Desolation,89,2.42700000,35.80584360,3
Desolation,90,3.07440000,38.91015292,2
Desolation,91,1.76500000,37.33630941,2
Desolation,92,1.69520000,38.27531842,2
Desolation,93,1.81780000,39.62322551,2
Desolation,94,1.46540000,38.32753579,2
Desolation,95,0.63840000,40.31128874,2
Desolation,96,1.44660000,38.27531842,2
Desolation,97,0.64180000,39.44616585,2
Desolation,98,0.54160000,39.11521443,2
Desolation,99,0.64480000,40.60788101,2
Desolation,100,0.77220000,47.38143096,2
Desolation,101,2.31400000,45.01110974,2
Desolation,102,2.29760000,43.65775991,2
Desolation,103,0.56860000,42.54409477,2
Desolation,104,2.88740000,41.88078318,2
Desolation,105,0.63780000,43.82921400,2
Desolation,106,1.49180000,43.32435804,2
Desolation,107,1.54760000,42.48529157,2
Desolation,108,1.66080000,41.23105626,2
Desolation,109,2.09140000,44.91102315,2
Desolation,110,1.92660000,49.51767361,2
Desolation,111,1.83880000,48.66210024,2
Desolation,112,2.06100000,47.55952847,3
Desolation,113,2.12600000,48.37354649,2
Desolation,114,1.82940000,45.88027899,2
Desolation,115,2.38280000,46.09772229,2
Desolation,116,0.67600000,45.69463864,2
Desolation,117,1.83080000,49.01020302,2
Desolation,118,1.45080000,47.01063709,2
Desolation,119,1.25220000,47.42362281,2
Desolation,120,5.58440000,54.00090832,3
Desolation,121,1.61900000,50.44799302,2
Desolation,122,1.79740000,52.39274759,2
Desolation,123,2.74980000,53.81449619,2
Desolation,124,3.14280000,49.64876635,2
Desolation,125,4.05840000,52.03421647,3
Desolation,126,2.24900000,53.33854141,2
Desolation,127,1.16800000,52.63078947,2
Desolation,128,1.49660000,51.47815070,2
Desolation,129,1.76920000,50.00999900,2
Desolation,130,2.30360000,57.42821606,2
Desolation,131,2.23500000,54.20332093,2
Desolation,132,1.82760000,54.58937626,2
Desolation,133,1.56960000,55.47071299,2
Desolation,134,1.37120000,55.75840744,2
Desolation,135,1.76200000,52.32590181,2
Desolation,136,2.51980000,55.07267925,2
Desolation,137,2.43540000,56.71860365,2
Desolation,138,1.95780000,55.07267925,2
Desolation,139,4.36820000,56.40490146,4
Desolation,140,2.06680000,59.03388857,2
Desolation,141,1.72680000,59.05929224,2
Desolation,142,2.25020000,58.03929369,3
Desolation,143,3.59600000,58.47815070,3
Desolation,144,1.60820000,59.84145720,2
Desolation,145,3.26000000,60.87692502,2
Desolation,146,1.90680000,57.98275606,2
Desolation,147,1.46940000,56.32051136,2
Desolation,148,2.53140000,60.01666435,2
Desolation,149,2.34720000,58.87274412,2
Desolation,150,1.37180000,67.17886572,2
Desolation,151,2.43400000,60.53924347,2
Desolation,152,1.02300000,65.11528238,2
Desolation,153,1.06000000,62.03224968,2
Desolation,154,1.75400000,66.12110102,2
Desolation,155,2.53220000,67.88225099,2
Desolation,156,2.49120000,59.94163828,2
Desolation,157,1.82780000,64.20280368,2
