Map,Query Number,Time,Distance,Path Length
Entanglement,0,0.83680000,6.08276253,2
Entanglement,1,0.61400000,4.47213595,2
Entanglement,2,0.28740000,7.07106781,2
Entanglement,3,0.54100000,7.21110255,2
Entanglement,4,1.99900000,6.40312424,2
Entanglement,5,0.45540000,5.38516481,2
Entanglement,6,0.70500000,4.47213595,2
Entanglement,7,0.50440000,4.00000000,2
Entanglement,8,0.86440000,5.83095189,2
Entanglement,9,1.26960000,4.12310563,2
Entanglement,10,0.47000000,9.21954446,2
Entanglement,11,0.48740000,11.18033989,2
Entanglement,12,1.00400000,8.24621125,2
Entanglement,13,0.72960000,7.81024968,2
Entanglement,14,1.25000000,10.00000000,2
Entanglement,15,0.60220000,11.00000000,2
Entanglement,16,0.95200000,11.40175425,2
Entanglement,17,1.06100000,8.06225775,2
Entanglement,18,0.52620000,11.04536102,2
Entanglement,19,1.36040000,9.84885780,2
Entanglement,20,0.52860000,13.45362405,2
Entanglement,21,1.32960000,13.03840481,2
Entanglement,22,1.10740000,13.03840481,2
Entanglement,23,0.86760000,14.31782106,2
Entanglement,24,0.52040000,14.86606875,2
Entanglement,25,0.74840000,14.42220510,2
Entanglement,26,0.44040000,11.18033989,2
Entanglement,27,0.48740000,13.03840481,2
Entanglement,28,0.46440000,14.21267040,2
Entanglement,29,1.22380000,13.41640786,2
Entanglement,30,1.06760000,18.11077028,2
Entanglement,31,0.46360000,15.29705854,2
Entanglement,32,0.98040000,17.46424920,2
Entanglement,33,0.54080000,15.26433752,2
Entanglement,34,0.59540000,15.62049935,2
Entanglement,35,1.08680000,18.43908891,2
Entanglement,36,0.44300000,18.02775638,2
Entanglement,37,0.46020000,15.62049935,2
Entanglement,38,0.73680000,16.64331698,2
Entanglement,39,1.70040000,16.40321551,4
Entanglement,40,1.52900000,20.61552813,2
Entanglement,41,0.95000000,18.97366596,2
Entanglement,42,1.67500000,19.11724277,3
Entanglement,43,0.51800000,22.62741700,2
Entanglement,44,0.98680000,21.26029163,2
Entanglement,45,0.55160000,20.88061302,2
Entanglement,46,0.64620000,22.47220505,2
Entanglement,47,0.67880000,21.02379604,2
Entanglement,48,1.32320000,20.24845673,2
Entanglement,49,1.17540000,21.00000000,2
Entanglement,50,0.80480000,24.08318916,2
Entanglement,51,1.64720000,27.04362230,4
Entanglement,52,1.58160000,22.82542442,2
Entanglement,53,0.81900000,25.49509757,2
Entanglement,54,2.14680000,21.67281843,6
Entanglement,55,0.57860000,24.51530134,2
Entanglement,56,0.50200000,25.49509757,2
Entanglement,57,1.53640000,24.73863375,2
Entanglement,58,1.24580000,22.47220505,2
Entanglement,59,0.78460000,26.90724809,2
Entanglement,60,0.46640000,28.46049894,2
Entanglement,61,1.29340000,26.92582404,2
Entanglement,62,0.50620000,30.47950131,2
Entanglement,63,0.92940000,28.01785145,2
Entanglement,64,0.37420000,29.41088234,2
Entanglement,65,1.36060000,30.06659276,2
Entanglement,66,1.56960000,29.41088234,2
Entanglement,67,1.67500000,28.14392992,3
Entanglement,68,1.05880000,30.61045573,2
Entanglement,69,0.46940000,26.92582404,2
Entanglement,70,1.72240000,33.06055051,2
Entanglement,71,1.45280000,32.28002478,2
Entanglement,72,1.28300000,31.32091953,2
Entanglement,73,0.89660000,32.69556545,2
Entanglement,74,1.62680000,32.01562119,2
Entanglement,75,0.46720000,31.57530681,2
Entanglement,76,0.79760000,33.37663854,2
Entanglement,77,1.92060000,33.83784863,2
Entanglement,78,0.42180000,32.75667871,2
Entanglement,79,1.25720000,31.06444913,2
Entanglement,80,0.77420000,36.49657518,2
Entanglement,81,1.23180000,37.12142239,2
Entanglement,82,2.72880000,37.12920936,4
Entanglement,83,0.53360000,35.51056181,2
Entanglement,84,1.02020000,37.20215048,2
Entanglement,85,0.40100000,35.51056181,2
Entanglement,86,1.59900000,35.84689666,2
Entanglement,87,1.90500000,34.16105402,3
