Map,Query Number,Time,Distance,Path Length
Eruption,0,0.91540000,6.32455532,2
Eruption,1,0.58740000,5.83095189,2
Eruption,2,0.71580000,4.00000000,2
Eruption,3,0.48980000,5.00000000,2
Eruption,4,0.59000000,5.00000000,2
Eruption,5,0.57240000,4.00000000,2
Eruption,6,0.56260000,7.07106781,2
Eruption,7,0.57540000,5.00000000,2
Eruption,8,1.52180000,6.16227766,3
Eruption,9,0.52600000,4.24264069,2
Eruption,10,0.49260000,10.63014581,2
Eruption,11,1.32140000,8.54400375,2
Eruption,12,0.44440000,10.04987562,2
Eruption,13,1.32560000,11.40175425,2
Eruption,14,0.44820000,10.19803903,2
Eruption,15,2.21680000,10.44030651,2
Eruption,16,0.64320000,10.81665383,2
Eruption,17,1.27980000,9.84885780,2
Eruption,18,0.48940000,9.84885780,2
Eruption,19,1.09860000,10.19803903,2
Eruption,20,0.59100000,13.03840481,2
Eruption,21,0.64560000,14.42220510,2
Eruption,22,0.53940000,12.20655562,2
Eruption,23,0.59060000,11.66190379,2
Eruption,24,0.49300000,11.40175425,2
Eruption,25,0.45740000,13.00000000,2
Eruption,26,0.96240000,15.00000000,2
Eruption,27,0.78380000,13.45362405,2
Eruption,28,0.44740000,14.31782106,2
Eruption,29,0.78880000,14.14213562,2
Eruption,30,1.00420000,17.08800749,2
Eruption,31,1.37020000,18.60107524,2
Eruption,32,1.83760000,18.35755975,2
Eruption,33,0.65400000,19.20937271,2
Eruption,34,0.53020000,17.02938637,2
Eruption,35,0.47780000,14.86606875,2
Eruption,36,1.45540000,17.80449381,2
Eruption,37,0.53100000,19.02629759,2
Eruption,38,1.01640000,19.79898987,2
Eruption,39,0.45020000,18.24828759,2
Eruption,40,1.10240000,22.67156810,2
Eruption,41,1.52900000,21.81569063,3
Eruption,42,0.44500000,20.88061302,2
Eruption,43,1.81180000,20.51828453,2
Eruption,44,1.51300000,21.26029163,2
Eruption,45,1.38560000,21.09502311,2
Eruption,46,0.50580000,21.63330765,2
Eruption,47,0.48400000,22.02271555,2
Eruption,48,0.50960000,21.84032967,2
Eruption,49,0.52920000,21.21320344,2
Eruption,50,0.42280000,22.36067977,2
Eruption,51,0.41300000,25.49509757,2
Eruption,52,1.17440000,24.16609195,2
Eruption,53,1.77960000,25.49509757,2
Eruption,54,2.15120000,25.58199374,4
Eruption,55,1.12540000,23.76972865,2
Eruption,56,1.31060000,25.55386468,2
Eruption,57,0.44680000,24.51530134,2
Eruption,58,2.28660000,27.01851217,2
Eruption,59,1.90820000,24.96126753,5
Eruption,60,0.52200000,29.06888371,2
Eruption,61,4.18260000,28.07262436,4
Eruption,62,1.10520000,26.00000000,2
Eruption,63,1.55400000,30.26549190,2
Eruption,64,0.52960000,26.47640459,2
Eruption,65,2.02260000,29.41088234,2
Eruption,66,2.97920000,26.43669441,4
Eruption,67,1.05520000,27.20294102,2
Eruption,68,1.39780000,26.41968963,2
Eruption,69,1.15320000,28.31960452,2
Eruption,70,2.52240000,28.28685405,7
Eruption,71,2.10120000,32.64965543,2
Eruption,72,1.22120000,32.55764119,2
Eruption,73,1.17540000,31.14482300,2
Eruption,74,0.44120000,35.38361203,2
Eruption,75,2.79860000,30.67640248,4
Eruption,76,2.32400000,31.81786484,3
Eruption,77,0.83560000,34.65544690,2
Eruption,78,1.38960000,32.01562119,2
Eruption,79,1.78200000,31.82766093,2
Eruption,80,1.16020000,35.51056181,2
Eruption,81,0.54020000,34.66987165,2
Eruption,82,0.57440000,36.24913792,2
Eruption,83,1.48200000,38.20994635,2
Eruption,84,0.51020000,36.89173349,2
Eruption,85,1.06760000,35.35533906,2
Eruption,86,1.74760000,33.61547263,2
Eruption,87,7.25760000,34.78438299,7
Eruption,88,1.86820000,33.83818830,3
Eruption,89,1.55260000,36.67424164,2
Eruption,90,1.51860000,40.11234224,2
Eruption,91,2.97940000,39.68654262,4
Eruption,92,1.63180000,40.50708575,3
Eruption,93,2.27380000,38.88305810,3
Eruption,94,1.20620000,42.01190308,2
Eruption,95,2.21120000,40.49691346,2
Eruption,96,1.81980000,37.94733192,2
Eruption,97,2.76540000,42.16711623,3
Eruption,98,2.01720000,39.35733731,2
Eruption,99,0.57100000,40.52159918,2
Eruption,100,0.79620000,42.72001873,2
Eruption,101,1.64560000,45.25483400,2
Eruption,102,0.44100000,47.01063709,2
Eruption,103,1.56100000,44.94441011,2
Eruption,104,1.40260000,46.04345773,2
Eruption,105,2.86960000,45.63882716,4
Eruption,106,2.53840000,42.20189569,2
Eruption,107,2.08360000,47.38143096,2
Eruption,108,1.44000000,44.64302857,2
Eruption,109,2.61080000,43.51296804,4
Eruption,110,4.73760000,46.53376704,6
Eruption,111,0.58120000,44.72135955,2
Eruption,112,3.55840000,51.58916968,5
Eruption,113,0.63220000,46.87216658,2
Eruption,114,1.86060000,48.25971405,2
Eruption,115,2.14700000,48.27007354,2
Eruption,116,1.60780000,46.61544808,2
Eruption,117,0.62080000,48.79549160,2
Eruption,118,1.84980000,49.00000000,2
Eruption,119,0.51160000,50.93132631,2
Eruption,120,0.40840000,50.77400910,2
Eruption,121,4.47880000,53.06094190,3
Eruption,122,1.71280000,48.33218389,2
Eruption,123,0.41260000,49.04079934,2
Eruption,124,0.45220000,51.31276644,2
Eruption,125,1.17600000,48.76474136,2
Eruption,126,2.66860000,52.34909136,4
Eruption,127,1.82140000,50.24937811,2
Eruption,128,0.61920000,51.35172831,2
Eruption,129,0.52020000,52.77309921,2
Eruption,130,3.42080000,55.83861236,4
Eruption,131,2.67840000,54.46714061,3
Eruption,132,1.92160000,53.45091206,2
Eruption,133,0.85640000,57.03507693,2
Eruption,134,2.57540000,57.14017851,2
Eruption,135,1.68700000,52.35456045,2
Eruption,136,0.89760000,53.23532662,2
Eruption,137,0.60660000,57.14017851,2
Eruption,138,3.57540000,53.79341171,6
Eruption,139,1.35240000,56.14267539,2
Eruption,140,2.00020000,58.18075283,2
Eruption,141,1.43360000,59.66573556,2
Eruption,142,1.73540000,60.95900262,2
Eruption,143,1.56640000,61.22091146,2
Eruption,144,2.80100000,60.87692502,2
Eruption,145,2.89800000,57.57253131,5
Eruption,146,2.76640000,58.69412236,2
Eruption,147,1.08380000,57.56735186,2
Eruption,148,5.57300000,61.44196994,5
Eruption,149,1.98840000,57.72347876,2
Eruption,150,4.51040000,61.30916300,4
Eruption,151,1.70660000,63.65532185,2
Eruption,152,0.48540000,61.29437168,2
Eruption,153,1.34380000,64.62971453,2
Eruption,154,1.65460000,61.61168720,2
Eruption,155,3.28360000,64.57105855,4
Eruption,156,5.89380000,63.17738299,6
Eruption,157,1.90500000,63.03173804,2
Eruption,158,3.94680000,61.44185614,4
Eruption,159,0.49400000,63.06346010,2
Eruption,160,4.13120000,70.35416354,3
Eruption,161,1.92600000,67.74215822,2
Eruption,162,1.46760000,67.18630813,2
Eruption,163,1.17200000,66.40783086,2
Eruption,164,2.24860000,65.78753681,3
Eruption,165,2.33960000,67.11929678,2
Eruption,166,4.56160000,66.81895999,6
Eruption,167,1.75640000,67.41661516,2
Eruption,168,2.65020000,64.47767366,3
Eruption,169,2.48400000,68.13305459,5
Eruption,170,4.62100000,71.26404941,5
Eruption,171,3.93480000,70.28008503,5
Eruption,172,2.41220000,68.88396040,2
Eruption,173,1.69640000,70.72481884,2
Eruption,174,1.27760000,67.74215822,2
Eruption,175,2.10560000,70.21395873,2
Eruption,176,1.85920000,70.45565982,2
Eruption,177,2.30100000,69.89378622,3
Eruption,178,3.40400000,72.28137578,5
Eruption,179,0.58820000,69.87131028,2
Eruption,180,0.95160000,78.05767099,2
Eruption,181,3.97560000,72.42256932,4
