Map,Query Number,Time,Distance,Path Length
GladiatorPits,0,1.05060000,7.07106781,2
GladiatorPits,1,0.67180000,6.32455532,2
GladiatorPits,2,1.72300000,7.28010989,2
GladiatorPits,3,0.71640000,4.12310563,2
GladiatorPits,4,0.82820000,5.00000000,2
GladiatorPits,5,1.31960000,5.00000000,2
GladiatorPits,6,0.74760000,4.12310563,2
GladiatorPits,7,0.45200000,5.09901951,2
GladiatorPits,8,0.65120000,5.83095189,2
GladiatorPits,9,1.21140000,7.07106781,2
GladiatorPits,10,0.85420000,11.31370850,2
GladiatorPits,11,0.86260000,9.43398113,2
GladiatorPits,12,0.46640000,7.61577311,2
GladiatorPits,13,1.52280000,10.00000000,2
GladiatorPits,14,0.98680000,7.61577311,2
GladiatorPits,15,0.69920000,10.63014581,2
GladiatorPits,16,1.05980000,10.63014581,2
GladiatorPits,17,0.76640000,9.48683298,2
GladiatorPits,18,0.57820000,9.89949494,2
GladiatorPits,19,0.67600000,10.63014581,2
GladiatorPits,20,0.77880000,13.41640786,2
GladiatorPits,21,0.78480000,14.42220510,2
GladiatorPits,22,1.24320000,14.21267040,2
GladiatorPits,23,0.59040000,13.00000000,2
GladiatorPits,24,0.68980000,12.36931688,2
GladiatorPits,25,0.50140000,14.31782106,2
GladiatorPits,26,0.51080000,13.00000000,2
GladiatorPits,27,0.72540000,14.03566885,2
GladiatorPits,28,0.64940000,13.41640786,2
GladiatorPits,29,0.62700000,14.03566885,2
GladiatorPits,30,0.59580000,18.43908891,2
GladiatorPits,31,0.49860000,16.00000000,2
GladiatorPits,32,1.75760000,15.29705854,2
GladiatorPits,33,1.28240000,18.02775638,2
GladiatorPits,34,0.59600000,14.86606875,2
GladiatorPits,35,0.56140000,17.11724277,2
GladiatorPits,36,0.52240000,18.43908891,2
GladiatorPits,37,0.48820000,19.10497317,2
GladiatorPits,38,0.90700000,17.02938637,2
GladiatorPits,39,0.61360000,16.12451550,2
GladiatorPits,40,0.60160000,18.86796226,2
