Map,Query Number,Time,Distance,Path Length
Hellfire,0,0.87900000,5.09901951,2
Hellfire,1,1.33680000,6.00000000,2
Hellfire,2,0.69720000,6.40312424,2
Hellfire,3,0.73500000,5.09901951,2
Hellfire,4,0.62380000,5.00000000,2
Hellfire,5,0.75440000,5.83095189,2
Hellfire,6,0.51640000,6.40312424,2
Hellfire,7,0.56880000,5.09901951,2
Hellfire,8,0.65120000,5.38516481,2
Hellfire,9,1.68740000,6.47213595,3
Hellfire,10,1.70180000,11.04536102,2
Hellfire,11,0.60080000,11.31370850,2
Hellfire,12,0.61480000,9.05538514,2
Hellfire,13,1.40600000,8.06225775,2
Hellfire,14,1.23020000,10.77032961,2
Hellfire,15,0.54660000,9.05538514,2
Hellfire,16,0.87260000,8.48528137,2
Hellfire,17,0.52600000,10.44030651,2
Hellfire,18,0.68400000,11.00000000,2
Hellfire,19,0.61000000,8.60232527,2
Hellfire,20,0.50680000,14.42220510,2
Hellfire,21,0.51480000,15.13274595,2
Hellfire,22,0.41620000,13.03840481,2
Hellfire,23,1.39980000,14.86606875,2
Hellfire,24,1.11820000,12.36931688,2
Hellfire,25,1.57640000,11.78828904,3
Hellfire,26,1.20320000,13.03840481,2
Hellfire,27,0.53540000,13.92838828,2
Hellfire,28,0.47660000,12.72792206,2
Hellfire,29,0.83060000,12.08304597,2
Hellfire,30,2.25800000,15.65247584,2
Hellfire,31,1.12920000,16.40121947,2
Hellfire,32,1.42120000,17.11724277,2
Hellfire,33,0.48200000,16.76305461,2
Hellfire,34,2.14700000,15.14368723,4
Hellfire,35,0.50020000,15.62049935,2
Hellfire,36,0.72760000,18.43908891,2
Hellfire,37,1.08040000,17.53951349,4
Hellfire,38,1.17420000,17.20465053,2
Hellfire,39,1.33060000,17.20465053,2
Hellfire,40,1.30820000,22.02271555,2
Hellfire,41,0.48040000,21.84032967,2
Hellfire,42,0.54100000,21.09502311,2
Hellfire,43,1.20220000,20.12461180,2
Hellfire,44,1.69360000,21.09502311,2
Hellfire,45,0.79060000,21.37755833,2
Hellfire,46,0.59580000,19.64688270,2
Hellfire,47,0.60580000,22.09072203,2
Hellfire,48,0.46780000,18.86796226,2
Hellfire,49,0.72460000,19.64688270,2
Hellfire,50,2.01040000,25.49509757,2
Hellfire,51,1.28440000,23.53720459,2
Hellfire,52,0.84060000,24.59674775,2
Hellfire,53,0.54660000,23.02172887,2
Hellfire,54,1.17540000,24.75883681,2
Hellfire,55,1.19340000,24.02082430,2
Hellfire,56,1.69140000,25.63308819,3
Hellfire,57,0.83500000,23.19482701,2
Hellfire,58,1.42660000,22.36067977,2
Hellfire,59,1.67380000,25.07987241,2
Hellfire,60,1.19800000,29.61418579,2
Hellfire,61,0.85700000,27.78488798,2
Hellfire,62,1.85860000,26.92582404,2
Hellfire,63,0.48860000,28.86173938,2
Hellfire,64,1.52160000,29.54657341,2
Hellfire,65,0.56640000,30.14962686,2
Hellfire,66,0.68720000,28.84441020,2
Hellfire,67,1.43040000,29.15475947,2
Hellfire,68,1.08980000,29.06888371,2
Hellfire,69,1.06860000,28.86173938,2
Hellfire,70,1.72680000,31.40063694,2
Hellfire,71,0.60160000,31.62277660,2
Hellfire,72,1.71840000,31.62277660,2
Hellfire,73,1.51880000,31.40063694,2
Hellfire,74,0.61140000,31.32091953,2
Hellfire,75,1.46320000,35.01428280,2
Hellfire,76,0.49500000,31.01612484,2
Hellfire,77,3.53240000,32.61249695,4
Hellfire,78,0.54660000,32.28002478,2
Hellfire,79,0.48480000,32.14031736,2
Hellfire,80,0.98520000,38.11823711,2
Hellfire,81,1.32260000,37.33630941,2
Hellfire,82,0.41440000,38.28837944,2
Hellfire,83,0.60700000,34.01470270,2
Hellfire,84,1.64760000,34.92849839,2
Hellfire,85,1.74740000,35.11409973,2
Hellfire,86,0.83420000,35.51056181,2
Hellfire,87,2.03760000,34.78505426,2
Hellfire,88,1.45240000,35.00000000,2
Hellfire,89,0.44680000,35.46829570,2
Hellfire,90,0.50540000,39.56008089,2
Hellfire,91,0.39700000,40.52159918,2
Hellfire,92,1.47880000,40.31128874,2
Hellfire,93,1.07700000,40.24922359,2
Hellfire,94,2.29340000,38.75177126,4
Hellfire,95,1.06160000,40.79215611,2
Hellfire,96,1.51240000,41.00000000,2
Hellfire,97,1.85000000,39.05124838,2
Hellfire,98,1.60620000,38.27531842,2
Hellfire,99,0.93620000,41.10960958,2
Hellfire,100,1.69600000,43.10452412,2
Hellfire,101,1.58220000,45.34313620,2
Hellfire,102,1.28140000,44.14748011,2
Hellfire,103,1.68880000,43.82921400,2
Hellfire,104,0.49520000,41.76122604,2
Hellfire,105,0.91200000,41.14608122,2
Hellfire,106,1.15260000,45.01110974,2
Hellfire,107,2.22760000,44.37029487,4
Hellfire,108,1.63940000,43.41658669,2
Hellfire,109,0.53580000,43.26661531,2
Hellfire,110,1.23180000,46.32493929,2
Hellfire,111,0.46980000,47.41307836,2
Hellfire,112,1.54260000,49.49747468,2
Hellfire,113,2.93760000,45.23207946,4
Hellfire,114,0.99700000,46.86149806,2
Hellfire,115,2.91580000,45.39278492,4
Hellfire,116,2.26860000,46.95742753,2
Hellfire,117,1.61060000,44.92215489,2
Hellfire,118,2.08120000,48.80175150,3
Hellfire,119,0.66220000,45.61797891,2
Hellfire,120,0.69560000,50.44799302,2
Hellfire,121,1.65720000,50.99019514,2
Hellfire,122,2.98320000,52.45624629,4
Hellfire,123,2.09680000,53.03772242,2
Hellfire,124,2.50220000,51.59065252,3
Hellfire,125,1.61960000,52.34500931,2
Hellfire,126,0.66080000,51.19570294,2
Hellfire,127,1.04700000,48.33218389,2
Hellfire,128,0.44220000,50.69516742,2
Hellfire,129,0.58020000,50.77400910,2
Hellfire,130,0.42080000,52.83937925,2
Hellfire,131,1.45840000,59.41380311,2
Hellfire,132,2.72480000,54.15794238,5
Hellfire,133,4.32420000,50.96808154,7
Hellfire,134,0.89220000,52.55473337,2
Hellfire,135,1.32480000,54.03702434,2
Hellfire,136,0.50160000,52.55473337,2
Hellfire,137,1.06660000,54.03702434,2
Hellfire,138,2.33940000,54.03702434,2
Hellfire,139,2.90220000,58.24903099,4
Hellfire,140,2.10760000,59.05929224,2
Hellfire,141,1.49180000,58.21511831,2
Hellfire,142,0.41540000,60.00000000,2
Hellfire,143,0.49400000,56.08029957,2
Hellfire,144,1.16460000,57.42821606,2
Hellfire,145,2.01180000,59.46427499,2
Hellfire,146,1.52400000,58.74034187,3
Hellfire,147,1.82080000,60.30754513,2
Hellfire,148,1.43140000,58.52349955,2
Hellfire,149,0.43040000,61.07372594,2
Hellfire,150,0.96360000,61.26989473,2
Hellfire,151,2.28500000,64.07027392,2
Hellfire,152,1.43680000,64.07027392,2
Hellfire,153,1.39400000,65.06919394,2
Hellfire,154,1.92660000,59.48108943,2
Hellfire,155,1.45840000,59.48108943,2
Hellfire,156,2.48660000,62.36925349,3
Hellfire,157,0.48600000,65.29931087,2
Hellfire,158,3.51620000,60.63199035,3
Hellfire,159,2.29820000,60.41522987,2
Hellfire,160,1.57160000,62.96824597,2
Hellfire,161,4.02660000,64.53466020,4
Hellfire,162,0.55960000,67.20119047,2
Hellfire,163,3.95260000,68.06260534,6
Hellfire,164,3.93920000,64.25148307,7
Hellfire,165,5.20880000,65.74993715,6
Hellfire,166,2.02180000,66.03029608,2
Hellfire,167,1.21220000,68.11754546,2
Hellfire,168,3.04120000,64.32782006,3
Hellfire,169,2.99400000,65.84239956,3
Hellfire,170,1.53040000,69.11584478,2
Hellfire,171,2.56440000,67.13926328,3
Hellfire,172,4.24140000,67.61790540,6
Hellfire,173,1.33200000,69.28924881,2
Hellfire,174,0.48380000,68.50547423,2
Hellfire,175,2.07240000,70.34912935,2
Hellfire,176,2.40020000,73.33484847,2
