Map,Query Number,Time,Distance,Path Length
HotZone,0,1.84380000,6.00000000,2
HotZone,1,0.62740000,5.38516481,2
HotZone,2,0.49880000,7.07106781,2
HotZone,3,2.30320000,7.28010989,2
HotZone,4,0.56280000,6.00000000,2
HotZone,5,0.51000000,5.83095189,2
HotZone,6,0.96580000,4.47213595,2
HotZone,7,0.51000000,4.47213595,2
HotZone,8,0.40440000,6.32455532,2
HotZone,9,0.35940000,5.09901951,2
HotZone,10,1.45900000,11.04536102,2
HotZone,11,0.47620000,10.81665383,2
HotZone,12,1.36320000,11.31370850,2
HotZone,13,0.69080000,11.04536102,2
HotZone,14,0.44400000,8.24621125,2
HotZone,15,0.43700000,9.84885780,2
HotZone,16,0.47960000,9.00000000,2
HotZone,17,1.64860000,10.29563014,2
HotZone,18,0.55580000,8.24621125,2
HotZone,19,1.02100000,11.18033989,2
HotZone,20,0.49160000,14.03566885,2
HotZone,21,0.51620000,11.18033989,2
HotZone,22,0.81720000,12.00000000,2
HotZone,23,1.42360000,14.42220510,2
HotZone,24,0.90560000,13.00000000,2
HotZone,25,1.06960000,15.00000000,2
HotZone,26,0.58760000,15.00000000,2
HotZone,27,1.38100000,14.03566885,2
HotZone,28,0.55940000,12.04159458,2
HotZone,29,0.49540000,12.04159458,2
HotZone,30,0.56020000,17.02938637,2
HotZone,31,0.51820000,15.62049935,2
HotZone,32,1.56300000,15.81138830,2
HotZone,33,0.52000000,15.29705854,2
HotZone,34,0.96960000,18.38477631,2
HotZone,35,0.96120000,16.27882060,2
HotZone,36,1.27520000,16.49242250,2
HotZone,37,0.51120000,16.27882060,2
HotZone,38,0.44000000,17.02938637,2
HotZone,39,0.49000000,19.02629759,2
HotZone,40,0.44680000,22.47220505,2
HotZone,41,0.83680000,20.22374842,2
HotZone,42,0.85780000,19.23538406,2
HotZone,43,0.99260000,21.02379604,2
HotZone,44,1.54180000,21.18962010,2
HotZone,45,1.34520000,22.80350850,2
HotZone,46,1.09440000,22.20360331,2
HotZone,47,0.48520000,22.67156810,2
HotZone,48,1.07520000,21.54065923,2
HotZone,49,0.88880000,20.09975124,2
HotZone,50,0.94680000,23.19482701,2
HotZone,51,1.55600000,27.01851217,2
HotZone,52,1.17320000,27.07397274,2
HotZone,53,0.93920000,24.02082430,2
HotZone,54,0.82280000,25.80697580,2
HotZone,55,0.58980000,22.56102835,2
HotZone,56,0.95200000,24.16609195,2
HotZone,57,0.83540000,25.23885893,2
HotZone,58,1.90700000,24.75883681,2
HotZone,59,1.29400000,25.49509757,2
HotZone,60,0.50720000,28.46049894,2
HotZone,61,1.75820000,29.06888371,2
HotZone,62,0.43280000,26.92582404,2
HotZone,63,1.01780000,26.68332813,2
HotZone,64,0.45980000,28.01785145,2
HotZone,65,1.76720000,30.41381265,2
HotZone,66,0.47960000,27.16615541,2
HotZone,67,0.47240000,27.01851217,2
HotZone,68,1.32880000,29.73213749,2
HotZone,69,0.85460000,28.16025568,2
HotZone,70,0.47940000,31.57530681,2
HotZone,71,0.38620000,35.01428280,2
HotZone,72,0.42880000,34.71310992,2
HotZone,73,0.40140000,30.08321791,2
HotZone,74,0.80440000,30.36445290,2
HotZone,75,1.63860000,31.76476035,2
HotZone,76,3.38080000,29.99589213,6
HotZone,77,1.88720000,31.30495168,2
HotZone,78,1.32760000,32.69556545,2
HotZone,79,1.74420000,31.38470965,2
HotZone,80,2.00260000,37.10795063,2
HotZone,81,0.45660000,36.12478374,2
HotZone,82,2.96120000,36.56066236,4
HotZone,83,1.75680000,35.90264614,2
HotZone,84,0.49220000,37.12142239,2
HotZone,85,1.72860000,35.22782991,2
HotZone,86,2.25680000,38.41874542,2
HotZone,87,0.52240000,34.43835072,2
HotZone,88,1.63340000,34.40930107,2
HotZone,89,0.76100000,36.12478374,2
HotZone,90,1.11060000,40.52159918,2
HotZone,91,1.15940000,39.81205847,2
HotZone,92,1.75940000,40.00664331,3
HotZone,93,0.43880000,38.07886553,2
HotZone,94,1.71420000,40.19950248,2
HotZone,95,1.42480000,39.05124838,2
HotZone,96,1.08680000,40.04996879,2
HotZone,97,1.20960000,40.02499219,2
HotZone,98,0.44940000,40.04996879,2
HotZone,99,0.46420000,37.57658846,2
HotZone,100,2.06320000,43.54409477,3
HotZone,101,0.42460000,41.97618372,2
HotZone,102,1.90000000,46.00000000,2
HotZone,103,1.63900000,45.45327271,2
HotZone,104,1.48800000,42.54409477,2
HotZone,105,1.48640000,45.09988914,2
HotZone,106,1.12700000,45.27692569,2
HotZone,107,1.10960000,45.22167622,2
HotZone,108,1.54480000,44.14748011,2
HotZone,109,1.08500000,46.01086828,2
