Map,Query Number,Time,Distance,Path Length
Isolation,0,0.84380000,7.07106781,2
Isolation,1,0.50220000,4.12310563,2
Isolation,2,0.58060000,4.47213595,2
Isolation,3,0.46340000,5.83095189,2
Isolation,4,0.65300000,7.28010989,2
Isolation,5,0.63140000,6.70820393,2
Isolation,6,1.27980000,4.12310563,2
Isolation,7,0.50780000,7.07106781,2
Isolation,8,0.65320000,6.32455532,2
Isolation,9,0.44200000,7.00000000,2
Isolation,10,1.31220000,9.84885780,2
Isolation,11,1.81300000,10.07359258,3
Isolation,12,0.58200000,9.21954446,2
Isolation,13,3.09220000,9.43398113,2
Isolation,14,0.66460000,9.43398113,2
Isolation,15,0.50880000,10.00000000,2
Isolation,16,0.44760000,9.05538514,2
Isolation,17,1.07560000,9.21954446,2
Isolation,18,5.34200000,9.16227766,4
Isolation,19,0.47740000,8.60232527,2
Isolation,20,1.01940000,13.92838828,2
Isolation,21,0.44580000,12.80624847,2
Isolation,22,0.43980000,12.80624847,2
Isolation,23,0.47940000,12.80624847,2
Isolation,24,1.69120000,15.03329638,2
Isolation,25,1.07820000,14.86606875,2
Isolation,26,1.41840000,12.36931688,2
Isolation,27,0.94360000,14.31782106,2
Isolation,28,0.43100000,14.31782106,2
Isolation,29,1.98400000,11.71730141,4
Isolation,30,0.34160000,18.60107524,2
Isolation,31,0.60540000,16.15549442,2
Isolation,32,1.69940000,18.03630640,3
Isolation,33,0.49800000,19.79898987,2
Isolation,34,0.47140000,16.40121947,2
Isolation,35,0.49760000,18.43908891,2
Isolation,36,0.38240000,18.43908891,2
Isolation,37,0.55140000,18.43908891,2
Isolation,38,0.42120000,19.10497317,2
Isolation,39,0.40840000,16.76305461,2
Isolation,40,0.41320000,19.23538406,2
Isolation,41,2.55400000,21.91910877,5
Isolation,42,1.11340000,20.61552813,2
Isolation,43,0.45200000,18.78829423,2
Isolation,44,1.38000000,22.20360331,2
Isolation,45,0.40060000,20.00000000,2
Isolation,46,0.51480000,20.88061302,2
Isolation,47,0.75180000,21.54065923,2
Isolation,48,0.96200000,22.09072203,2
Isolation,49,1.64800000,18.68154169,2
Isolation,50,1.58380000,25.07987241,2
Isolation,51,0.47980000,24.18677324,2
Isolation,52,0.78980000,25.49509757,2
Isolation,53,0.95380000,25.31797780,2
Isolation,54,0.54680000,24.41311123,2
Isolation,55,0.50900000,23.32380758,2
Isolation,56,0.49580000,24.02082430,2
Isolation,57,2.89080000,25.25175205,5
Isolation,58,0.81900000,26.01922366,2
Isolation,59,0.69880000,24.33105012,2
Isolation,60,1.26000000,26.47640459,2
Isolation,61,0.52060000,27.45906044,2
Isolation,62,1.60660000,30.01666204,2
Isolation,63,1.17300000,28.86173938,2
Isolation,64,1.63680000,29.43900899,3
Isolation,65,1.85380000,27.75902541,4
Isolation,66,1.50940000,29.73213749,2
Isolation,67,0.54140000,28.07133770,2
Isolation,68,1.34060000,28.01785145,2
Isolation,69,0.75680000,28.60069929,2
Isolation,70,0.82340000,33.06055051,2
Isolation,71,1.58580000,31.95309062,2
Isolation,72,2.23160000,30.94287077,4
Isolation,73,0.72080000,31.30495168,2
Isolation,74,1.37240000,33.12099032,2
Isolation,75,0.79240000,32.64965543,2
Isolation,76,1.48460000,34.01470270,2
Isolation,77,0.55600000,32.24903099,2
Isolation,78,0.46540000,30.08321791,2
Isolation,79,0.40320000,32.01562119,2
Isolation,80,0.80420000,35.90264614,2
Isolation,81,0.66140000,37.12142239,2
Isolation,82,0.77360000,36.12478374,2
Isolation,83,0.51160000,35.51056181,2
Isolation,84,0.89680000,37.01351105,2
Isolation,85,0.64580000,35.73513677,2
Isolation,86,0.37680000,36.40054945,2
Isolation,87,2.19380000,36.42849636,3
