Map,Query Number,Time,Distance,Path Length
Legacy,0,1.33000000,5.65685425,2
Legacy,1,0.72860000,6.32455532,2
Legacy,2,0.86120000,5.09901951,2
Legacy,3,0.63040000,5.09901951,2
Legacy,4,0.78740000,4.12310563,2
Legacy,5,1.41600000,5.65685425,2
Legacy,6,0.60080000,4.12310563,2
Legacy,7,0.62020000,6.08276253,2
Legacy,8,0.99360000,5.38516481,2
Legacy,9,0.53760000,5.09901951,2
Legacy,10,0.60340000,11.31370850,2
Legacy,11,2.28940000,10.48227923,3
Legacy,12,1.33160000,9.43398113,2
Legacy,13,0.54680000,8.06225775,2
Legacy,14,0.73680000,11.00000000,2
Legacy,15,1.13000000,10.29563014,2
Legacy,16,0.58480000,10.77032961,2
Legacy,17,0.93200000,8.00000000,2
Legacy,18,0.47540000,8.00000000,2
Legacy,19,2.05500000,10.77032961,2
Legacy,20,0.65160000,14.76482306,2
Legacy,21,1.45820000,12.72792206,2
Legacy,22,1.16840000,12.80624847,2
Legacy,23,0.53720000,14.76482306,2
Legacy,24,1.62060000,12.72792206,2
Legacy,25,0.63560000,11.66190379,2
Legacy,26,0.71280000,14.42220510,2
Legacy,27,1.47580000,11.40175425,2
Legacy,28,1.50260000,14.31782106,2
Legacy,29,0.58160000,13.34166406,2
Legacy,30,0.51720000,15.29705854,2
Legacy,31,0.58320000,15.81138830,2
Legacy,32,1.20800000,15.62049935,2
Legacy,33,1.28940000,19.20937271,2
Legacy,34,0.74760000,18.24828759,2
Legacy,35,1.55640000,17.02938637,2
Legacy,36,0.88460000,15.81138830,2
Legacy,37,1.94600000,15.29705854,2
Legacy,38,3.04200000,18.09725436,4
Legacy,39,1.23460000,16.55294536,2
Legacy,40,0.67940000,22.20360331,2
Legacy,41,1.25300000,19.31320792,2
Legacy,42,1.47540000,20.88061302,2
Legacy,43,0.96260000,21.00000000,2
Legacy,44,2.55640000,20.91452350,5
Legacy,45,0.76000000,20.24845673,2
Legacy,46,1.05620000,21.18962010,2
Legacy,47,2.28960000,21.88854382,3
Legacy,48,1.71300000,21.47091055,2
Legacy,49,0.94260000,21.54065923,2
Legacy,50,0.51180000,23.85372088,2
Legacy,51,0.51040000,24.00000000,2
Legacy,52,1.44340000,26.91714587,3
Legacy,53,1.12600000,23.32380758,2
Legacy,54,0.48100000,27.01851217,2
Legacy,55,0.94440000,23.32380758,2
Legacy,56,0.87920000,25.96150997,2
Legacy,57,0.95920000,25.17935662,2
Legacy,58,0.63180000,26.17250466,2
