Map,Query Number,Time,Distance,Path Length
Medusa,0,1.11140000,6.08276253,2
Medusa,1,0.75360000,5.09901951,2
Medusa,2,0.92680000,7.07106781,2
Medusa,3,0.65440000,7.07106781,2
Medusa,4,5.10700000,5.83095189,2
Medusa,5,2.18300000,4.24264069,2
Medusa,6,0.65100000,7.07106781,2
Medusa,7,0.81360000,7.21110255,2
Medusa,8,0.82520000,5.83095189,2
Medusa,9,0.75400000,4.12310563,2
Medusa,10,0.63800000,10.81665383,2
Medusa,11,1.08220000,8.48528137,2
Medusa,12,0.56900000,10.44030651,2
Medusa,13,1.09660000,8.00000000,2
Medusa,14,0.71780000,10.04987562,2
Medusa,15,1.73820000,10.44030651,2
Medusa,16,0.61880000,11.04536102,2
Medusa,17,2.77080000,9.23606798,3
Medusa,18,0.56500000,7.81024968,2
Medusa,19,0.81080000,10.29563014,2
Medusa,20,0.46720000,15.03329638,2
Medusa,21,1.37720000,13.45362405,2
Medusa,22,0.96720000,14.03566885,2
Medusa,23,0.66960000,14.56021978,2
Medusa,24,1.40260000,13.15294644,2
Medusa,25,0.61480000,11.40175425,2
Medusa,26,1.32840000,12.16552506,2
Medusa,27,1.09900000,13.00000000,2
Medusa,28,0.54120000,14.31782106,2
Medusa,29,0.55240000,15.55634919,2
Medusa,30,1.47240000,17.49285568,2
Medusa,31,1.50320000,18.43908891,2
Medusa,32,0.71520000,14.86606875,2
Medusa,33,1.33040000,15.23154621,2
Medusa,34,0.63680000,16.27882060,2
Medusa,35,0.66300000,15.81138830,2
Medusa,36,0.87520000,16.03121954,2
Medusa,37,1.10460000,18.38477631,2
Medusa,38,0.83240000,16.12451550,2
Medusa,39,0.51920000,17.46424920,2
Medusa,40,0.88160000,19.92485885,2
Medusa,41,0.59280000,22.20360331,2
Medusa,42,1.05960000,20.24845673,2
Medusa,43,1.78680000,21.21320344,2
Medusa,44,2.52300000,21.42950236,3
Medusa,45,0.83220000,21.37755833,2
Medusa,46,1.24920000,23.02172887,2
Medusa,47,1.51960000,21.93171220,2
Medusa,48,0.64940000,20.02498439,2
Medusa,49,1.17500000,22.02271555,2
Medusa,50,0.41000000,24.83948470,2
Medusa,51,2.16060000,25.31797780,2
Medusa,52,0.72020000,25.29822128,2
Medusa,53,2.53860000,23.84744926,4
Medusa,54,1.34500000,24.33105012,2
Medusa,55,3.89760000,24.54098945,4
Medusa,56,0.63160000,25.00000000,2
Medusa,57,1.54900000,26.09975124,3
Medusa,58,1.72360000,26.00000000,2
Medusa,59,2.38820000,23.25940670,2
Medusa,60,2.09540000,28.79236010,2
Medusa,61,1.73160000,29.06888371,2
Medusa,62,1.85280000,29.54657341,2
Medusa,63,4.32320000,28.84441020,2
Medusa,64,0.54440000,29.12043956,2
Medusa,65,1.73980000,26.68332813,2
Medusa,66,1.01840000,27.73084925,2
Medusa,67,1.28460000,28.60069929,2
Medusa,68,1.83420000,28.01785145,2
Medusa,69,1.44800000,26.92582404,2
Medusa,70,6.34740000,33.01847042,6
Medusa,71,2.13760000,31.90611227,2
Medusa,72,1.14980000,31.95309062,2
Medusa,73,2.10760000,35.05709629,2
Medusa,74,2.14860000,33.24154028,2
Medusa,75,1.52880000,30.41381265,2
Medusa,76,2.00820000,30.23243292,2
Medusa,77,1.00260000,33.94112550,2
Medusa,78,2.11840000,29.96664813,2
Medusa,79,1.46560000,31.40063694,2
Medusa,80,0.75780000,36.35931793,2
Medusa,81,4.21460000,36.89173349,2
Medusa,82,4.06280000,35.04494886,5
Medusa,83,3.23400000,37.55370615,3
Medusa,84,1.03880000,35.90264614,2
Medusa,85,1.48280000,34.53983208,2
Medusa,86,1.80620000,35.51056181,2
Medusa,87,1.54640000,35.84689666,2
Medusa,88,0.68020000,35.77708764,2
Medusa,89,0.66080000,37.21558813,2
Medusa,90,5.95720000,39.99080202,4
Medusa,91,1.76940000,39.90691061,3
Medusa,92,3.37840000,41.00685341,5
Medusa,93,3.88200000,38.76469555,6
Medusa,94,1.56180000,37.73592453,2
Medusa,95,1.25620000,40.60788101,2
Medusa,96,1.38980000,43.04648650,2
Medusa,97,1.17860000,43.00000000,2
Medusa,98,1.80720000,42.42640687,2
Medusa,99,0.95280000,40.70626487,2
Medusa,100,2.22660000,44.72135955,2
Medusa,101,0.56280000,45.39823785,2
Medusa,102,3.06280000,43.87590534,3
Medusa,103,1.33500000,44.27188724,2
Medusa,104,0.52140000,42.42640687,2
Medusa,105,1.34480000,44.10215414,2
Medusa,106,2.01900000,41.18252056,2
Medusa,107,2.21780000,42.72001873,2
Medusa,108,2.10260000,42.48529157,2
Medusa,109,2.93240000,46.27355908,3
Medusa,110,3.51840000,47.04995856,4
Medusa,111,0.60400000,48.60041152,2
Medusa,112,0.47560000,47.50789408,2
Medusa,113,1.49300000,44.38468204,2
Medusa,114,2.45880000,46.23851209,2
Medusa,115,1.59760000,47.42362281,2
Medusa,116,3.20060000,48.26680178,4
Medusa,117,0.60320000,45.27692569,2
Medusa,118,1.73740000,50.00000000,2
Medusa,119,2.16180000,49.49747468,2
Medusa,120,2.23220000,50.78168354,4
Medusa,121,1.25060000,49.64876635,2
Medusa,122,2.27820000,48.46648326,2
Medusa,123,0.48620000,51.73973328,2
Medusa,124,3.52640000,50.81654775,6
Medusa,125,5.72060000,53.08647167,4
Medusa,126,1.44160000,51.97114584,2
Medusa,127,1.22060000,48.70318265,2
Medusa,128,0.49640000,49.24428901,2
Medusa,129,2.77920000,49.96236413,3
Medusa,130,6.79360000,56.27447393,5
Medusa,131,2.15680000,52.47856705,2
Medusa,132,1.83840000,54.57105460,2
Medusa,133,4.34920000,54.94554322,5
Medusa,134,1.06800000,53.15072906,2
Medusa,135,2.14440000,53.15072906,2
Medusa,136,1.67500000,53.82378656,2
Medusa,137,1.44460000,52.20153254,2
Medusa,138,1.46060000,58.03447251,2
Medusa,139,1.67240000,52.39274759,2
Medusa,140,3.42340000,60.14149982,2
Medusa,141,1.90300000,61.22091146,2
Medusa,142,2.70380000,58.82547448,3
Medusa,143,2.05700000,58.21511831,2
Medusa,144,0.66740000,57.69748695,2
Medusa,145,3.13060000,58.10405388,3
Medusa,146,1.79300000,59.84145720,2
Medusa,147,3.64840000,57.53845809,4
Medusa,148,2.99220000,60.21370671,3
Medusa,149,0.72140000,57.80138407,2
Medusa,150,1.66220000,62.51399843,2
Medusa,151,2.19540000,63.38769597,2
Medusa,152,2.49960000,65.20431394,3
Medusa,153,0.48320000,62.51399843,2
Medusa,154,4.61260000,62.99779890,4
Medusa,155,1.82860000,60.74537019,2
Medusa,156,1.70920000,60.41522987,2
Medusa,157,0.97500000,65.43699260,2
Medusa,158,2.48980000,64.49806199,2
Medusa,159,2.05040000,60.16643583,2
Medusa,160,4.05600000,65.82910624,5
Medusa,161,4.47120000,65.96237202,3
Medusa,162,3.17360000,66.96527190,3
Medusa,163,2.10420000,66.37017402,2
Medusa,164,5.04940000,67.01786501,5
Medusa,165,4.89820000,66.34513565,7
Medusa,166,3.80780000,66.83937706,5
Medusa,167,1.80920000,64.03124237,2
Medusa,168,1.26200000,64.84597135,2
Medusa,169,2.37040000,69.02897942,2
Medusa,170,4.16240000,72.90641533,7
Medusa,171,2.30540000,71.17583860,2
Medusa,172,1.75560000,68.70953355,2
Medusa,173,4.17520000,69.13073070,6
Medusa,174,4.47920000,70.90774037,3
Medusa,175,1.12940000,72.00000000,2
Medusa,176,2.14720000,70.21395873,2
Medusa,177,5.13620000,68.52504886,7
Medusa,178,2.41120000,69.86857386,3
Medusa,179,9.69260000,70.94315318,8
Medusa,180,3.30460000,72.47068373,2
Medusa,181,0.73260000,76.02631123,2
Medusa,182,9.04480000,74.74954795,6
Medusa,183,2.99340000,74.52376735,3
Medusa,184,1.35080000,71.56814934,2
Medusa,185,1.30160000,72.83543094,2
Medusa,186,1.29020000,77.89736838,2
Medusa,187,2.10460000,75.31268154,2
Medusa,188,5.03580000,73.82518807,5
Medusa,189,3.80240000,73.87827827,2
Medusa,190,3.99160000,78.34884593,3
Medusa,191,2.85220000,76.49165180,3
Medusa,192,7.32300000,78.66037525,8
Medusa,193,2.44600000,80.39900497,2
Medusa,194,2.87820000,75.96051606,2
Medusa,195,2.80080000,80.02499609,2
Medusa,196,1.90660000,77.02596965,2
Medusa,197,2.05800000,74.84650960,2
Medusa,198,8.44840000,76.67694309,9
Medusa,199,2.06980000,76.55063684,2
Medusa,200,2.44760000,82.20097323,2
Medusa,201,3.60620000,80.52896154,4
Medusa,202,5.37860000,79.37456310,4
Medusa,203,7.23360000,79.01469057,8
Medusa,204,1.32400000,84.29116205,2
Medusa,205,12.39700000,80.45672530,9
