Map,Query Number,Time,Distance,Path Length
Nightshade,0,1.13660000,5.00000000,2
Nightshade,1,2.52100000,7.82842712,3
Nightshade,2,0.66400000,4.12310563,2
Nightshade,3,0.96260000,5.38516481,2
Nightshade,4,3.61540000,4.12310563,2
Nightshade,5,0.72900000,7.21110255,2
Nightshade,6,0.64980000,7.07106781,2
Nightshade,7,0.58520000,4.47213595,2
Nightshade,8,0.63680000,6.70820393,2
Nightshade,9,2.08060000,7.21110255,2
Nightshade,10,1.64700000,7.61577311,2
Nightshade,11,0.72500000,11.31370850,2
Nightshade,12,0.63380000,10.29563014,2
Nightshade,13,2.01400000,10.23334547,3
Nightshade,14,0.65520000,8.54400375,2
Nightshade,15,1.38240000,10.29563014,2
Nightshade,16,0.55280000,10.00000000,2
Nightshade,17,1.30960000,8.94427191,2
Nightshade,18,0.55060000,8.06225775,2
Nightshade,19,0.41840000,10.00000000,2
Nightshade,20,0.95380000,11.70469991,2
Nightshade,21,0.69640000,14.31782106,2
Nightshade,22,0.59320000,12.80624847,2
Nightshade,23,0.72020000,14.14213562,2
Nightshade,24,0.71880000,14.14213562,2
Nightshade,25,1.01620000,14.76482306,2
Nightshade,26,0.70000000,12.04159458,2
Nightshade,27,0.57320000,11.40175425,2
Nightshade,28,1.03600000,14.86606875,2
Nightshade,29,1.09540000,13.60147051,2
Nightshade,30,0.73220000,14.86606875,2
Nightshade,31,1.08220000,19.10497317,2
Nightshade,32,0.66040000,18.60107524,2
Nightshade,33,0.59040000,18.38477631,2
Nightshade,34,1.15740000,19.20937271,2
Nightshade,35,0.72500000,16.12451550,2
Nightshade,36,2.35640000,19.20937271,2
Nightshade,37,0.77600000,16.76305461,2
Nightshade,38,2.59800000,16.27808703,6
Nightshade,39,0.59780000,17.46424920,2
Nightshade,40,2.06900000,19.23538406,2
Nightshade,41,1.34400000,22.62741700,2
Nightshade,42,1.49480000,22.02271555,2
Nightshade,43,1.14960000,20.59126028,2
Nightshade,44,2.99120000,21.50361886,4
Nightshade,45,0.60960000,21.26029163,2
Nightshade,46,1.26740000,21.63330765,2
Nightshade,47,3.32980000,19.72308292,2
Nightshade,48,0.96040000,18.68154169,2
Nightshade,49,1.05540000,20.24845673,2
Nightshade,50,2.10940000,24.59674775,2
Nightshade,51,0.90900000,23.34523506,2
Nightshade,52,3.23560000,26.50751272,3
Nightshade,53,1.85740000,25.55386468,2
Nightshade,54,0.94020000,25.29822128,2
Nightshade,55,1.19100000,26.07680962,2
Nightshade,56,2.18720000,25.96150997,2
Nightshade,57,1.12860000,24.16609195,2
Nightshade,58,4.08900000,26.30589288,2
Nightshade,59,1.88300000,24.08318916,2
Nightshade,60,1.56680000,29.00000000,2
Nightshade,61,1.71140000,28.40857263,3
Nightshade,62,2.50780000,29.06668940,5
Nightshade,63,0.96820000,28.01785145,2
Nightshade,64,0.65940000,29.06888371,2
Nightshade,65,0.81980000,26.00000000,2
Nightshade,66,1.89320000,29.01723626,2
Nightshade,67,1.22700000,28.63564213,2
Nightshade,68,0.57880000,28.79236010,2
Nightshade,69,1.28120000,26.68332813,2
Nightshade,70,1.25880000,30.80584360,2
Nightshade,71,0.84960000,29.96664813,2
Nightshade,72,2.11240000,31.30495168,3
Nightshade,73,1.53040000,30.08321791,2
Nightshade,74,1.69600000,31.78049716,2
Nightshade,75,2.00240000,33.61924345,3
Nightshade,76,1.72980000,32.28002478,2
Nightshade,77,0.58200000,30.80584360,2
Nightshade,78,1.59600000,33.83784863,2
Nightshade,79,0.58480000,33.24154028,2
Nightshade,80,1.07380000,35.90264614,2
Nightshade,81,0.99980000,38.11823711,2
Nightshade,82,6.25020000,36.78391564,6
Nightshade,83,2.54120000,35.62025057,3
Nightshade,84,1.56000000,34.82814953,2
Nightshade,85,0.88260000,35.46829570,2
Nightshade,86,1.35860000,35.60898763,2
Nightshade,87,1.33760000,35.17101079,2
Nightshade,88,0.62180000,37.44329045,2
Nightshade,89,0.96320000,36.06937759,2
Nightshade,90,1.12700000,38.07886553,2
Nightshade,91,0.61000000,40.52159918,2
Nightshade,92,1.02760000,43.01162634,2
Nightshade,93,2.05460000,38.47076812,2
Nightshade,94,1.17100000,42.44997055,2
Nightshade,95,1.42540000,42.01190308,2
Nightshade,96,1.33060000,41.43669871,2
Nightshade,97,1.59280000,37.33630941,2
Nightshade,98,1.28680000,40.70626487,2
Nightshade,99,2.36040000,40.36116632,3
Nightshade,100,2.34980000,42.05948169,2
Nightshade,101,0.98480000,42.20189569,2
Nightshade,102,0.55600000,44.10215414,2
Nightshade,103,0.45560000,45.04442252,2
Nightshade,104,2.79820000,44.02844931,4
Nightshade,105,1.44740000,45.27692569,2
Nightshade,106,1.64060000,45.54119015,2
Nightshade,107,0.62360000,41.62931659,2
Nightshade,108,0.56940000,42.63801121,2
Nightshade,109,1.38280000,47.04253395,2
Nightshade,110,1.29140000,50.24937811,2
Nightshade,111,1.16780000,49.20365840,2
Nightshade,112,1.31220000,48.79549160,2
Nightshade,113,1.71940000,50.00999900,2
Nightshade,114,1.66180000,48.50773134,2
Nightshade,115,1.66440000,45.54119015,2
Nightshade,116,1.03680000,49.67896939,2
Nightshade,117,0.56700000,49.25444142,2
Nightshade,118,1.02060000,44.59820624,2
Nightshade,119,1.39660000,47.01063709,2
Nightshade,120,2.22760000,51.15662225,2
Nightshade,121,0.45420000,49.64876635,2
Nightshade,122,2.20180000,48.65876942,5
Nightshade,123,1.57920000,51.24451190,2
Nightshade,124,3.66380000,50.70196579,6
Nightshade,125,1.26360000,53.07541804,2
Nightshade,126,1.11840000,52.17278984,2
Nightshade,127,0.80460000,53.00943312,2
Nightshade,128,1.41940000,51.00000000,2
Nightshade,129,0.50440000,51.08815910,2
Nightshade,130,2.78480000,55.47071299,2
