Map,Query Number,Time,Distance,Path Length
NovaStation,0,1.55780000,6.70820393,2
NovaStation,1,0.58620000,4.12310563,2
NovaStation,2,1.24940000,5.83095189,2
NovaStation,3,0.56960000,7.07106781,2
NovaStation,4,1.29740000,5.00000000,2
NovaStation,5,1.45480000,7.21110255,2
NovaStation,6,0.53940000,6.40312424,2
NovaStation,7,0.48340000,6.32455532,2
NovaStation,8,0.55380000,5.09901951,2
NovaStation,9,0.96400000,7.07106781,2
NovaStation,10,0.90900000,7.61577311,2
NovaStation,11,0.79080000,8.00000000,2
NovaStation,12,0.53980000,8.00000000,2
NovaStation,13,0.56200000,11.18033989,2
NovaStation,14,0.38480000,10.44030651,2
NovaStation,15,0.77100000,10.19803903,2
NovaStation,16,0.52520000,9.05538514,2
NovaStation,17,0.47220000,11.00000000,2
NovaStation,18,0.60480000,8.94427191,2
NovaStation,19,0.52340000,10.29563014,2
NovaStation,20,1.78620000,13.23407613,4
NovaStation,21,0.46980000,14.21267040,2
NovaStation,22,0.55840000,13.60147051,2
NovaStation,23,0.57940000,12.72792206,2
NovaStation,24,0.58480000,12.16552506,2
NovaStation,25,1.05600000,13.60147051,2
NovaStation,26,0.61480000,14.86606875,2
NovaStation,27,0.45220000,11.40175425,2
NovaStation,28,0.54540000,13.60147051,2
NovaStation,29,1.44560000,12.20655562,2
NovaStation,30,0.59060000,18.11077028,2
NovaStation,31,2.58180000,16.40121947,2
NovaStation,32,0.50240000,17.26267650,2
NovaStation,33,0.78520000,15.81138830,2
NovaStation,34,0.55120000,15.65247584,2
NovaStation,35,6.61160000,18.10995818,3
NovaStation,36,0.46180000,16.55294536,2
NovaStation,37,1.23280000,16.55294536,2
NovaStation,38,1.84360000,18.24828759,2
NovaStation,39,0.60900000,17.02938637,2
NovaStation,40,0.89520000,21.26029163,2
NovaStation,41,0.46220000,21.18962010,2
NovaStation,42,2.15320000,21.40121947,3
NovaStation,43,0.45440000,20.39607805,2
NovaStation,44,0.57060000,21.93171220,2
NovaStation,45,1.50360000,20.00000000,2
NovaStation,46,1.89080000,20.22374842,2
NovaStation,47,1.42420000,21.00000000,2
NovaStation,48,0.48440000,19.23538406,2
NovaStation,49,0.93540000,19.31320792,2
NovaStation,50,0.51940000,26.07680962,2
NovaStation,51,2.37460000,25.87457419,3
NovaStation,52,4.19520000,25.46962870,6
NovaStation,53,0.93720000,24.51530134,2
NovaStation,54,1.14480000,23.60084744,2
NovaStation,55,1.33380000,23.32380758,2
NovaStation,56,0.82700000,22.47220505,2
NovaStation,57,0.45240000,25.55386468,2
NovaStation,58,0.53180000,26.90724809,2
NovaStation,59,1.23520000,24.41311123,2
NovaStation,60,1.69300000,31.06444913,2
NovaStation,61,1.25360000,28.65309756,2
NovaStation,62,1.88320000,29.73213749,2
NovaStation,63,0.51500000,27.31300057,2
NovaStation,64,0.59400000,31.06444913,2
NovaStation,65,0.52160000,27.45906044,2
