Map,Query Number,Time,Distance,Path Length
RedCanyons,0,2.31940000,6.32455532,2
RedCanyons,1,0.88180000,7.28010989,2
RedCanyons,2,0.53900000,4.12310563,2
RedCanyons,3,0.47700000,6.08276253,2
RedCanyons,4,0.49160000,7.21110255,2
RedCanyons,5,0.57340000,5.38516481,2
RedCanyons,6,0.52680000,5.65685425,2
RedCanyons,7,2.42440000,5.88634952,4
RedCanyons,8,0.54180000,5.09901951,2
RedCanyons,9,0.84100000,6.70820393,2
RedCanyons,10,0.51780000,8.06225775,2
RedCanyons,11,0.57220000,10.63014581,2
RedCanyons,12,0.52880000,8.94427191,2
RedCanyons,13,0.75360000,9.21954446,2
RedCanyons,14,0.60540000,7.61577311,2
RedCanyons,15,0.36860000,9.05538514,2
RedCanyons,16,0.80620000,10.29563014,2
RedCanyons,17,0.45280000,8.48528137,2
RedCanyons,18,0.46620000,11.31370850,2
RedCanyons,19,0.54020000,9.89949494,2
RedCanyons,20,1.61740000,15.55634919,2
RedCanyons,21,0.47800000,12.04159458,2
RedCanyons,22,0.53720000,11.70469991,2
RedCanyons,23,0.49600000,11.66190379,2
RedCanyons,24,0.86080000,15.03329638,2
RedCanyons,25,0.51720000,13.15294644,2
RedCanyons,26,0.56940000,12.52996409,2
RedCanyons,27,0.85860000,14.03566885,2
RedCanyons,28,0.84300000,13.03840481,2
RedCanyons,29,0.34240000,14.00000000,2
RedCanyons,30,0.59340000,16.40121947,2
RedCanyons,31,0.45300000,18.43908891,2
RedCanyons,32,0.41900000,15.65247584,2
RedCanyons,33,0.44520000,16.27882060,2
RedCanyons,34,0.49940000,18.43908891,2
RedCanyons,35,1.76960000,17.04109753,3
RedCanyons,36,0.51920000,15.52417470,2
RedCanyons,37,1.11480000,17.26267650,2
RedCanyons,38,1.07620000,19.20937271,2
RedCanyons,39,1.86840000,14.35917360,5
RedCanyons,40,1.19820000,18.97366596,2
RedCanyons,41,0.47360000,22.00000000,2
RedCanyons,42,1.21540000,20.12461180,2
RedCanyons,43,1.26000000,19.69771560,2
RedCanyons,44,2.04300000,20.26382435,3
RedCanyons,45,2.03880000,21.09502311,2
RedCanyons,46,1.12980000,20.59126028,2
RedCanyons,47,0.97120000,22.47220505,2
RedCanyons,48,0.58360000,21.40093456,2
RedCanyons,49,0.54420000,21.58703314,2
RedCanyons,50,1.11020000,24.83948470,2
RedCanyons,51,1.67380000,25.49509757,2
RedCanyons,52,1.55160000,26.01922366,2
RedCanyons,53,0.52300000,24.73863375,2
RedCanyons,54,1.23480000,25.61249695,2
RedCanyons,55,1.68900000,22.82542442,2
RedCanyons,56,1.43680000,25.07987241,2
RedCanyons,57,1.21260000,23.19482701,2
RedCanyons,58,0.53740000,26.17250466,2
RedCanyons,59,0.54620000,24.41311123,2
RedCanyons,60,1.04640000,29.83286778,2
RedCanyons,61,0.52360000,27.20294102,2
RedCanyons,62,2.27260000,27.65863337,2
RedCanyons,63,1.27460000,28.60069929,2
RedCanyons,64,0.51940000,27.29468813,2
RedCanyons,65,0.39980000,26.92582404,2
RedCanyons,66,0.91080000,29.27456234,2
RedCanyons,67,2.02120000,29.19389923,3
RedCanyons,68,1.39800000,26.92582404,2
RedCanyons,69,1.58300000,26.92582404,2
RedCanyons,70,1.09580000,31.62277660,2
RedCanyons,71,1.07800000,34.20526275,2
RedCanyons,72,1.99780000,34.00000000,2
RedCanyons,73,1.83120000,30.25684512,3
RedCanyons,74,0.99980000,33.12099032,2
RedCanyons,75,0.44540000,32.20248438,2
RedCanyons,76,1.83440000,30.36445290,2
RedCanyons,77,1.22260000,31.78049716,2
RedCanyons,78,1.08560000,32.38826948,2
RedCanyons,79,1.53940000,31.40063694,2
RedCanyons,80,0.95020000,34.48187930,2
RedCanyons,81,1.83600000,34.43835072,2
RedCanyons,82,1.31880000,34.82814953,2
RedCanyons,83,1.12140000,35.80502758,2
RedCanyons,84,1.21880000,37.53664876,2
RedCanyons,85,1.44580000,36.49657518,2
RedCanyons,86,0.82020000,37.20215048,2
RedCanyons,87,1.07340000,36.05551275,2
RedCanyons,88,1.33060000,34.01470270,2
RedCanyons,89,1.33920000,34.53983208,2
RedCanyons,90,1.31720000,38.83297568,2
RedCanyons,91,1.29440000,38.07886553,2
RedCanyons,92,0.45720000,38.07886553,2
RedCanyons,93,0.45840000,38.83297568,2
RedCanyons,94,1.15900000,40.19950248,2
RedCanyons,95,0.53340000,40.24922359,2
RedCanyons,96,1.73880000,37.33630941,2
RedCanyons,97,1.38780000,37.16180835,2
RedCanyons,98,0.82420000,40.11234224,2
RedCanyons,99,1.61980000,39.91015292,3
RedCanyons,100,1.32760000,42.15447782,2
RedCanyons,101,2.26080000,42.95734185,3
RedCanyons,102,1.89200000,41.14608122,2
RedCanyons,103,1.33460000,46.75467891,2
RedCanyons,104,2.16120000,44.82186966,2
RedCanyons,105,2.05220000,42.80186912,2
RedCanyons,106,1.34860000,41.77319715,2
RedCanyons,107,1.26840000,44.40720662,2
RedCanyons,108,1.99820000,41.62931659,2
RedCanyons,109,1.09340000,47.00000000,2
RedCanyons,110,1.12060000,45.48626166,2
RedCanyons,111,0.51720000,49.81967483,2
RedCanyons,112,1.57380000,46.04345773,2
RedCanyons,113,1.30460000,45.65084884,2
RedCanyons,114,1.51140000,46.38965402,2
RedCanyons,115,2.25220000,50.24937811,2
RedCanyons,116,1.27220000,48.27007354,2
RedCanyons,117,0.45060000,46.69047012,2
RedCanyons,118,1.10740000,48.09365863,2
RedCanyons,119,1.84400000,44.94441011,2
RedCanyons,120,2.25160000,55.15432893,2
RedCanyons,121,1.59480000,52.39274759,2
RedCanyons,122,1.48500000,49.92995093,2
RedCanyons,123,0.54920000,51.97114584,2
RedCanyons,124,2.70000000,50.11985634,2
RedCanyons,125,1.82140000,49.77772574,3
RedCanyons,126,0.54600000,52.15361924,2
RedCanyons,127,1.93320000,50.21951812,2
RedCanyons,128,1.25020000,49.39635614,2
RedCanyons,129,1.36380000,51.97114584,2
RedCanyons,130,2.22580000,57.21887800,2
RedCanyons,131,2.02460000,54.70831747,2
RedCanyons,132,1.70800000,55.10898293,2
RedCanyons,133,1.50900000,54.34151268,2
