Map,Query Number,Time,Distance,Path Length
RiverLethe,0,1.13340000,4.47213595,2
RiverLethe,1,1.30520000,5.00000000,2
RiverLethe,2,0.66900000,4.24264069,2
RiverLethe,3,0.56440000,5.38516481,2
RiverLethe,4,0.67060000,7.07106781,2
RiverLethe,5,0.45260000,4.47213595,2
RiverLethe,6,0.65520000,5.00000000,2
RiverLethe,7,1.34640000,6.70820393,2
RiverLethe,8,0.45900000,5.00000000,2
RiverLethe,9,0.83940000,7.07106781,2
RiverLethe,10,0.69620000,10.19803903,2
RiverLethe,11,0.59800000,11.18033989,2
RiverLethe,12,0.61420000,8.06225775,2
RiverLethe,13,2.66900000,8.39834564,4
RiverLethe,14,2.10060000,7.49697609,3
RiverLethe,15,0.70380000,11.00000000,2
RiverLethe,16,0.58080000,9.21954446,2
RiverLethe,17,1.28460000,8.60232527,2
RiverLethe,18,0.48340000,11.04536102,2
RiverLethe,19,1.05560000,7.81024968,2
RiverLethe,20,1.60960000,13.34166406,2
RiverLethe,21,0.83800000,14.76482306,2
RiverLethe,22,1.51720000,15.00000000,2
RiverLethe,23,1.13780000,12.16552506,2
RiverLethe,24,0.56140000,13.60147051,2
RiverLethe,25,0.64140000,12.20655562,2
RiverLethe,26,1.05780000,14.14213562,2
RiverLethe,27,1.01020000,12.52996409,2
RiverLethe,28,1.12200000,13.41640786,2
RiverLethe,29,1.75660000,13.45362405,2
RiverLethe,30,2.06300000,17.20655562,3
RiverLethe,31,0.70000000,16.12451550,2
RiverLethe,32,1.75920000,17.47814892,3
RiverLethe,33,1.10720000,18.60107524,2
RiverLethe,34,0.52160000,17.69180601,2
RiverLethe,35,1.05400000,18.38477631,2
RiverLethe,36,1.12280000,17.02938637,2
RiverLethe,37,1.40240000,19.10497317,2
RiverLethe,38,1.50380000,17.02938637,2
RiverLethe,39,0.86360000,16.64331698,2
RiverLethe,40,1.72800000,18.86796226,2
RiverLethe,41,1.13920000,22.02271555,2
RiverLethe,42,0.65520000,21.63330765,2
RiverLethe,43,0.67180000,20.61552813,2
RiverLethe,44,1.04420000,22.80350850,2
RiverLethe,45,0.87780000,22.09072203,2
RiverLethe,46,0.69320000,18.97366596,2
RiverLethe,47,1.01800000,23.08679276,2
RiverLethe,48,1.21080000,20.00000000,2
RiverLethe,49,0.84540000,20.00000000,2
RiverLethe,50,0.58500000,25.49509757,2
RiverLethe,51,1.26400000,25.17935662,2
RiverLethe,52,2.27460000,25.55386468,2
RiverLethe,53,1.29200000,23.40939982,2
RiverLethe,54,1.27160000,24.83948470,2
RiverLethe,55,1.42100000,25.70992026,2
RiverLethe,56,1.17100000,26.24880950,2
RiverLethe,57,1.63880000,25.63201124,2
RiverLethe,58,1.43780000,23.34523506,2
RiverLethe,59,1.17100000,23.85372088,2
RiverLethe,60,0.47340000,27.78488798,2
RiverLethe,61,1.68620000,27.29468813,2
RiverLethe,62,1.06900000,28.23118843,2
RiverLethe,63,2.28080000,26.92335738,4
RiverLethe,64,1.79380000,27.31300057,2
RiverLethe,65,0.60540000,28.63564213,2
RiverLethe,66,1.75580000,30.26549190,2
RiverLethe,67,0.70920000,27.45906044,2
RiverLethe,68,1.10320000,28.30194340,2
RiverLethe,69,1.22120000,28.44292531,2
RiverLethe,70,0.85780000,29.73213749,2
RiverLethe,71,1.93460000,30.41381265,2
RiverLethe,72,1.95120000,31.82766093,2
RiverLethe,73,0.61160000,32.38826948,2
