Map,Query Number,Time,Distance,Path Length
Rosewood,0,1.89700000,5.65685425,2
Rosewood,1,0.66320000,5.09901951,2
Rosewood,2,0.69420000,7.07106781,2
Rosewood,3,1.01080000,6.40312424,2
Rosewood,4,0.62980000,6.32455532,2
Rosewood,5,2.24260000,6.08276253,2
Rosewood,6,0.49560000,4.24264069,2
Rosewood,7,0.54840000,5.83095189,2
Rosewood,8,1.00080000,5.00000000,2
Rosewood,9,1.32520000,4.47213595,2
Rosewood,10,0.58980000,8.48528137,2
Rosewood,11,0.38560000,10.19803903,2
Rosewood,12,0.53800000,11.04536102,2
Rosewood,13,1.07860000,10.63014581,2
Rosewood,14,0.51860000,11.31370850,2
Rosewood,15,0.52640000,10.77032961,2
Rosewood,16,1.06260000,8.94427191,2
Rosewood,17,0.46680000,9.21954446,2
Rosewood,18,0.41580000,8.06225775,2
Rosewood,19,0.45040000,8.00000000,2
Rosewood,20,0.40300000,15.13274595,2
Rosewood,21,1.22840000,13.03840481,2
Rosewood,22,1.17500000,13.00000000,2
Rosewood,23,0.92640000,14.31782106,2
Rosewood,24,0.87660000,13.92838828,2
Rosewood,25,0.57220000,11.18033989,2
Rosewood,26,0.57680000,12.52996409,2
Rosewood,27,1.52860000,11.70469991,2
Rosewood,28,1.23900000,12.20655562,2
Rosewood,29,1.00360000,14.00000000,2
Rosewood,30,1.42760000,14.86606875,2
Rosewood,31,0.91920000,17.08800749,2
Rosewood,32,0.62200000,18.38477631,2
Rosewood,33,0.62040000,15.81138830,2
Rosewood,34,0.51040000,15.81138830,2
Rosewood,35,0.55100000,15.62049935,2
Rosewood,36,0.49240000,16.40121947,2
Rosewood,37,0.46540000,15.81138830,2
Rosewood,38,1.13980000,15.23154621,2
Rosewood,39,0.42380000,15.26433752,2
Rosewood,40,1.14760000,23.02172887,2
Rosewood,41,0.61640000,18.97366596,2
Rosewood,42,1.44320000,21.40093456,2
Rosewood,43,1.68720000,19.10778653,4
Rosewood,44,2.29520000,21.13040903,3
Rosewood,45,0.92600000,21.93171220,2
