Map,Query Number,Time,Distance,Path Length
SapphireIsles,0,2.10300000,6.08276253,2
SapphireIsles,1,1.07980000,7.21110255,2
SapphireIsles,2,0.75920000,5.09901951,2
SapphireIsles,3,0.68360000,7.28010989,2
SapphireIsles,4,0.70980000,5.00000000,2
SapphireIsles,5,0.62460000,7.07106781,2
SapphireIsles,6,0.82500000,7.07106781,2
SapphireIsles,7,0.44060000,7.00000000,2
SapphireIsles,8,0.65300000,5.38516481,2
SapphireIsles,9,0.64740000,6.70820393,2
SapphireIsles,10,1.26580000,11.18033989,2
SapphireIsles,11,1.39480000,10.29563014,2
SapphireIsles,12,0.53440000,11.40175425,2
SapphireIsles,13,0.65800000,10.00000000,2
SapphireIsles,14,1.02280000,10.63014581,2
SapphireIsles,15,1.51420000,8.06225775,2
SapphireIsles,16,0.71220000,8.60232527,2
SapphireIsles,17,0.49720000,9.48683298,2
SapphireIsles,18,0.59720000,7.61577311,2
SapphireIsles,19,1.28680000,8.60232527,2
SapphireIsles,20,0.72700000,11.18033989,2
SapphireIsles,21,0.92680000,12.08304597,2
SapphireIsles,22,0.74240000,14.14213562,2
SapphireIsles,23,1.56080000,14.56021978,2
SapphireIsles,24,0.58240000,13.15294644,2
SapphireIsles,25,0.52100000,14.00000000,2
SapphireIsles,26,0.50960000,14.56021978,2
SapphireIsles,27,0.56340000,12.52996409,2
SapphireIsles,28,0.52420000,13.00000000,2
SapphireIsles,29,0.97280000,14.76482306,2
SapphireIsles,30,0.51300000,15.52417470,2
SapphireIsles,31,1.10060000,17.80449381,2
SapphireIsles,32,0.81780000,17.00000000,2
SapphireIsles,33,0.64160000,16.12451550,2
SapphireIsles,34,0.59940000,17.26267650,2
SapphireIsles,35,1.82100000,19.10497317,2
SapphireIsles,36,0.59300000,17.72004515,2
SapphireIsles,37,2.18400000,17.69180601,2
SapphireIsles,38,0.77180000,17.26267650,2
SapphireIsles,39,0.49440000,19.79898987,2
SapphireIsles,40,1.28260000,20.61552813,2
SapphireIsles,41,1.33220000,21.18962010,2
SapphireIsles,42,0.86360000,21.93171220,2
SapphireIsles,43,0.53680000,19.23538406,2
SapphireIsles,44,1.16980000,19.23538406,2
SapphireIsles,45,0.60720000,21.09502311,2
SapphireIsles,46,2.44760000,21.58703314,2
SapphireIsles,47,0.65140000,22.67156810,2
SapphireIsles,48,0.54380000,21.47091055,2
SapphireIsles,49,1.23440000,22.80350850,2
SapphireIsles,50,0.51840000,25.17935662,2
SapphireIsles,51,0.51000000,25.23885893,2
SapphireIsles,52,0.42040000,22.80350850,2
SapphireIsles,53,0.50940000,23.25940670,2
SapphireIsles,54,0.89700000,24.04163056,2
SapphireIsles,55,0.60820000,25.01999201,2
SapphireIsles,56,1.62960000,25.96150997,2
SapphireIsles,57,1.26880000,24.02082430,2
SapphireIsles,58,0.55060000,24.18677324,2
SapphireIsles,59,0.73040000,24.08318916,2
SapphireIsles,60,0.49360000,29.15475947,2
SapphireIsles,61,1.18660000,29.01723626,2
SapphireIsles,62,1.22640000,27.31300057,2
SapphireIsles,63,1.94600000,29.68164416,2
SapphireIsles,64,1.25100000,26.62705391,2
SapphireIsles,65,1.67340000,28.31300057,3
SapphireIsles,66,2.13680000,28.31960452,2
SapphireIsles,67,0.80760000,29.00000000,2
SapphireIsles,68,1.46380000,28.28427125,2
SapphireIsles,69,1.86080000,26.65158097,3
SapphireIsles,70,1.19880000,32.55764119,2
SapphireIsles,71,1.42840000,34.71310992,2
SapphireIsles,72,0.43280000,33.00000000,2
SapphireIsles,73,1.53860000,31.15475947,3
SapphireIsles,74,2.24740000,34.65544690,2
SapphireIsles,75,2.58320000,30.02216734,5
SapphireIsles,76,0.52440000,34.13209633,2
SapphireIsles,77,0.45860000,32.06243908,2
SapphireIsles,78,2.54360000,30.87171010,3
SapphireIsles,79,2.08180000,30.87069808,2
SapphireIsles,80,1.56720000,36.76955262,2
SapphireIsles,81,2.84960000,36.37717585,5
SapphireIsles,82,1.89160000,37.65634077,2
SapphireIsles,83,1.64020000,38.94868419,2
SapphireIsles,84,1.77000000,34.40930107,2
SapphireIsles,85,0.97460000,35.00000000,2
SapphireIsles,86,1.62300000,35.54101966,3
SapphireIsles,87,1.52420000,37.05401463,2
SapphireIsles,88,2.60220000,33.48309727,4
SapphireIsles,89,1.75860000,37.65634077,2
SapphireIsles,90,1.90080000,38.27531842,2
SapphireIsles,91,0.60480000,40.31128874,2
SapphireIsles,92,1.11480000,38.07886553,2
SapphireIsles,93,2.15260000,40.27171758,3
SapphireIsles,94,1.19040000,39.82461550,2
SapphireIsles,95,2.22380000,39.84971769,2
SapphireIsles,96,4.06680000,40.17437651,4
SapphireIsles,97,2.44200000,40.22437072,2
SapphireIsles,98,1.71160000,40.24922359,2
SapphireIsles,99,3.23000000,40.25167758,4
SapphireIsles,100,1.60900000,43.38202393,2
SapphireIsles,101,1.51140000,44.01136217,2
SapphireIsles,102,1.34540000,42.20189569,2
SapphireIsles,103,0.60760000,41.43669871,2
SapphireIsles,104,1.67880000,43.17406629,2
SapphireIsles,105,2.97760000,43.95840719,4
SapphireIsles,106,1.49540000,42.05948169,2
SapphireIsles,107,0.51080000,44.68780594,2
SapphireIsles,108,2.28900000,45.09988914,2
SapphireIsles,109,2.03920000,44.91102315,2
SapphireIsles,110,2.24000000,47.01063709,2
SapphireIsles,111,1.07380000,44.77722635,2
SapphireIsles,112,3.14660000,45.04559154,4
SapphireIsles,113,1.27600000,49.57822102,2
SapphireIsles,114,4.99640000,45.22279053,6
SapphireIsles,115,1.57820000,49.25444142,2
SapphireIsles,116,0.42900000,46.32493929,2
SapphireIsles,117,0.54080000,46.38965402,2
SapphireIsles,118,2.10760000,47.01094194,3
SapphireIsles,119,3.93580000,44.92514828,5
SapphireIsles,120,1.39920000,48.08326112,2
SapphireIsles,121,2.29900000,50.54278322,3
SapphireIsles,122,1.53080000,51.03920062,2
SapphireIsles,123,2.68160000,50.21951812,2
SapphireIsles,124,2.69600000,52.00000000,2
SapphireIsles,125,1.81880000,50.94527226,4
SapphireIsles,126,1.16280000,51.61395160,2
SapphireIsles,127,1.77120000,48.38388161,2
SapphireIsles,128,2.52960000,51.16636163,3
SapphireIsles,129,0.62300000,52.80151513,2
SapphireIsles,130,1.45820000,56.00000000,2
SapphireIsles,131,1.16280000,52.20153254,2
SapphireIsles,132,0.42160000,53.85164807,2
SapphireIsles,133,2.43700000,55.54117522,3
SapphireIsles,134,1.07080000,57.62811814,2
SapphireIsles,135,1.18100000,56.72741841,2
SapphireIsles,136,1.00580000,59.41380311,2
SapphireIsles,137,1.08740000,52.92447449,2
SapphireIsles,138,1.28420000,55.00909016,2
SapphireIsles,139,1.65100000,54.12947441,2
SapphireIsles,140,4.08140000,57.46525038,4
SapphireIsles,141,1.29480000,57.98275606,2
SapphireIsles,142,0.58980000,57.07013229,2
SapphireIsles,143,1.71660000,59.84145720,2
SapphireIsles,144,2.05500000,60.82762530,2
SapphireIsles,145,2.00680000,60.87692502,2
SapphireIsles,146,1.14140000,56.85947590,2
SapphireIsles,147,1.34060000,57.58472020,2
SapphireIsles,148,2.31260000,60.03264984,4
SapphireIsles,149,2.17340000,57.20139858,2
SapphireIsles,150,1.52120000,62.16912417,2
SapphireIsles,151,2.09120000,61.39218191,2
SapphireIsles,152,2.97860000,62.12889827,2
SapphireIsles,153,1.90100000,61.18823416,2
SapphireIsles,154,1.68260000,61.40032573,2
