Map,Query Number,Time,Distance,Path Length
ShroudPlatform,0,1.03680000,4.12310563,2
ShroudPlatform,1,0.67500000,4.47213595,2
ShroudPlatform,2,0.99760000,5.65685425,2
ShroudPlatform,3,1.92000000,5.09901951,2
ShroudPlatform,4,1.40500000,7.07106781,2
ShroudPlatform,5,1.03600000,5.09901951,2
ShroudPlatform,6,0.83360000,4.24264069,2
ShroudPlatform,7,0.62960000,5.83095189,2
ShroudPlatform,8,0.66320000,4.24264069,2
ShroudPlatform,9,0.59520000,5.83095189,2
ShroudPlatform,10,1.34000000,10.00000000,2
ShroudPlatform,11,0.70760000,11.04536102,2
ShroudPlatform,12,1.53820000,11.31370850,2
ShroudPlatform,13,2.27140000,8.00000000,2
ShroudPlatform,14,0.56240000,8.54400375,2
ShroudPlatform,15,0.54940000,10.04987562,2
ShroudPlatform,16,1.36760000,9.21954446,2
ShroudPlatform,17,1.57740000,10.29563014,2
ShroudPlatform,18,0.72920000,10.29563014,2
ShroudPlatform,19,0.77380000,10.00000000,2
ShroudPlatform,20,0.63760000,14.14213562,2
ShroudPlatform,21,0.72820000,15.03329638,2
ShroudPlatform,22,1.88380000,15.03329638,2
ShroudPlatform,23,0.84780000,14.03566885,2
ShroudPlatform,24,1.37660000,14.42220510,2
ShroudPlatform,25,0.96480000,15.03329638,2
ShroudPlatform,26,0.97780000,11.40175425,2
ShroudPlatform,27,1.37560000,13.60147051,2
ShroudPlatform,28,1.01680000,12.80624847,2
ShroudPlatform,29,0.59980000,12.20655562,2
ShroudPlatform,30,0.96440000,17.00000000,2
ShroudPlatform,31,2.37720000,16.55294536,2
ShroudPlatform,32,0.49580000,16.27882060,2
ShroudPlatform,33,1.97060000,18.43908891,2
ShroudPlatform,34,0.52380000,16.03121954,2
ShroudPlatform,35,1.71500000,16.49242250,2
ShroudPlatform,36,0.76780000,15.26433752,2
ShroudPlatform,37,0.91060000,16.12451550,2
ShroudPlatform,38,0.89320000,18.00000000,2
ShroudPlatform,39,1.99820000,16.55294536,2
ShroudPlatform,40,2.01000000,19.72308292,2
ShroudPlatform,41,2.30460000,23.02172887,2
ShroudPlatform,42,1.67460000,21.63330765,2
ShroudPlatform,43,0.65320000,21.02379604,2
ShroudPlatform,44,0.65480000,20.02498439,2
ShroudPlatform,45,2.04740000,20.61552813,2
