Map,Query Number,Time,Distance,Path Length
SpaceAtoll,0,1.71400000,6.70820393,2
SpaceAtoll,1,0.61220000,7.21110255,2
SpaceAtoll,2,3.32380000,5.09901951,2
SpaceAtoll,3,0.63100000,6.70820393,2
SpaceAtoll,4,0.48020000,5.00000000,2
SpaceAtoll,5,0.58560000,7.07106781,2
SpaceAtoll,6,1.71700000,4.47213595,2
SpaceAtoll,7,0.66060000,7.21110255,2
SpaceAtoll,8,0.58640000,7.28010989,2
SpaceAtoll,9,0.43760000,6.08276253,2
SpaceAtoll,10,1.18260000,10.77032961,2
SpaceAtoll,11,1.67160000,11.04536102,2
SpaceAtoll,12,0.68200000,10.81665383,2
SpaceAtoll,13,0.67960000,8.06225775,2
SpaceAtoll,14,1.56120000,9.21954446,2
SpaceAtoll,15,0.70420000,8.48528137,2
SpaceAtoll,16,0.45980000,8.94427191,2
SpaceAtoll,17,1.42480000,11.18033989,2
SpaceAtoll,18,0.50380000,7.61577311,2
SpaceAtoll,19,0.52860000,8.94427191,2
SpaceAtoll,20,0.93400000,13.45362405,2
SpaceAtoll,21,0.65340000,13.92838828,2
SpaceAtoll,22,0.85480000,13.00000000,2
SpaceAtoll,23,0.59760000,11.66190379,2
SpaceAtoll,24,1.04640000,14.76482306,2
SpaceAtoll,25,1.23220000,13.41640786,2
SpaceAtoll,26,0.73140000,12.04159458,2
SpaceAtoll,27,1.23100000,13.45362405,2
SpaceAtoll,28,0.69160000,13.89244399,2
SpaceAtoll,29,1.70540000,13.45362405,2
SpaceAtoll,30,0.68760000,19.02629759,2
SpaceAtoll,31,1.51220000,17.69180601,2
SpaceAtoll,32,1.23380000,18.38477631,2
SpaceAtoll,33,1.71900000,17.69180601,2
SpaceAtoll,34,0.91900000,15.65247584,2
SpaceAtoll,35,1.55120000,19.79898987,2
SpaceAtoll,36,0.48860000,16.55294536,2
SpaceAtoll,37,1.55640000,17.49285568,2
SpaceAtoll,38,0.63100000,15.81138830,2
SpaceAtoll,39,1.27580000,19.10497317,2
SpaceAtoll,40,0.58760000,21.93171220,2
SpaceAtoll,41,1.05740000,22.20360331,2
SpaceAtoll,42,1.18500000,22.09975124,3
SpaceAtoll,43,0.72040000,22.47220505,2
SpaceAtoll,44,4.48680000,21.00000000,2
SpaceAtoll,45,1.40720000,22.80350850,2
SpaceAtoll,46,1.04460000,20.61552813,2
SpaceAtoll,47,1.04540000,21.02379604,2
SpaceAtoll,48,1.91140000,22.36067977,2
SpaceAtoll,49,1.03100000,18.97366596,2
SpaceAtoll,50,1.30300000,23.76972865,2
SpaceAtoll,51,1.76160000,25.23885893,3
SpaceAtoll,52,0.51280000,25.45584412,2
SpaceAtoll,53,1.24600000,24.41311123,2
SpaceAtoll,54,1.12780000,24.69817807,2
SpaceAtoll,55,0.43140000,22.56102835,2
SpaceAtoll,56,0.91780000,23.60084744,2
SpaceAtoll,57,0.86040000,22.84731932,2
SpaceAtoll,58,4.46660000,22.36067977,2
SpaceAtoll,59,0.93300000,22.56102835,2
SpaceAtoll,60,1.34700000,30.00000000,2
SpaceAtoll,61,1.61960000,29.61418579,2
SpaceAtoll,62,0.76140000,29.42787794,2
SpaceAtoll,63,0.91600000,29.73213749,2
SpaceAtoll,64,1.36060000,29.73213749,2
SpaceAtoll,65,1.64740000,26.97782549,3
SpaceAtoll,66,1.81460000,28.16025568,2
SpaceAtoll,67,0.91240000,28.00000000,2
SpaceAtoll,68,0.98800000,31.11269837,2
SpaceAtoll,69,0.50380000,28.42534081,2
SpaceAtoll,70,1.50980000,33.12099032,2
SpaceAtoll,71,0.57740000,34.13209633,2
SpaceAtoll,72,0.49260000,33.24154028,2
SpaceAtoll,73,1.41220000,33.97057550,2
SpaceAtoll,74,0.51020000,30.46309242,2
SpaceAtoll,75,5.36760000,33.30165161,2
SpaceAtoll,76,1.31100000,30.23243292,2
SpaceAtoll,77,1.97420000,31.38470965,2
SpaceAtoll,78,1.19920000,32.06243908,2
SpaceAtoll,79,1.06800000,31.95309062,2
SpaceAtoll,80,3.93380000,35.48617920,6
SpaceAtoll,81,1.75960000,38.28837944,2
SpaceAtoll,82,0.86960000,35.80502758,2
SpaceAtoll,83,2.86240000,34.38394320,5
SpaceAtoll,84,1.61700000,36.76955262,2
SpaceAtoll,85,1.94580000,34.01470270,2
SpaceAtoll,86,3.17380000,34.17601498,2
SpaceAtoll,87,0.55520000,34.17601498,2
SpaceAtoll,88,1.40300000,36.23534186,2
SpaceAtoll,89,2.35600000,36.35931793,2
SpaceAtoll,90,0.56120000,43.84062043,2
SpaceAtoll,91,0.35760000,40.22437072,2
SpaceAtoll,92,1.16880000,38.07886553,2
SpaceAtoll,93,0.44880000,41.61730409,2
SpaceAtoll,94,10.00640000,39.74439444,8
SpaceAtoll,95,1.33160000,39.05124838,2
SpaceAtoll,96,2.09180000,38.27531842,2
SpaceAtoll,97,2.63000000,38.14420821,3
SpaceAtoll,98,1.34820000,39.29376541,2
SpaceAtoll,99,1.42200000,39.00000000,2
SpaceAtoll,100,0.58820000,41.43669871,2
SpaceAtoll,101,1.23340000,43.41658669,2
SpaceAtoll,102,1.88500000,45.00000000,2
SpaceAtoll,103,2.76500000,46.16783325,3
SpaceAtoll,104,6.34880000,44.12408117,4
SpaceAtoll,105,1.04120000,46.66904756,2
SpaceAtoll,106,1.67280000,45.45327271,2
SpaceAtoll,107,2.89180000,43.94523369,3
SpaceAtoll,108,0.91240000,44.72135955,2
SpaceAtoll,109,1.12340000,44.04543109,2
SpaceAtoll,110,1.05780000,48.37354649,2
SpaceAtoll,111,0.40520000,45.35416188,2
SpaceAtoll,112,1.87880000,46.87216658,2
SpaceAtoll,113,0.67440000,46.40043103,2
SpaceAtoll,114,2.92100000,46.14642239,3
SpaceAtoll,115,1.35600000,47.92702787,2
SpaceAtoll,116,1.90340000,47.43416490,2
SpaceAtoll,117,0.61460000,49.20365840,2
SpaceAtoll,118,5.22940000,49.67896939,2
SpaceAtoll,119,0.61180000,47.51841748,2
SpaceAtoll,120,0.93480000,48.46648326,2
SpaceAtoll,121,5.39800000,49.56553849,6
SpaceAtoll,122,2.44400000,52.80151513,2
SpaceAtoll,123,1.40420000,53.08483776,2
SpaceAtoll,124,0.43400000,52.17278984,2
SpaceAtoll,125,1.16960000,49.72926704,2
SpaceAtoll,126,2.05320000,50.56678752,2
SpaceAtoll,127,2.28360000,49.21954446,3
SpaceAtoll,128,2.92540000,53.26349594,2
SpaceAtoll,129,1.52520000,51.05735136,3
SpaceAtoll,130,2.58760000,52.77309921,2
SpaceAtoll,131,0.75940000,54.08326913,2
SpaceAtoll,132,0.56020000,56.03570290,2
SpaceAtoll,133,2.73500000,57.67450519,4
SpaceAtoll,134,0.56220000,54.23098745,2
SpaceAtoll,135,3.28040000,56.98817194,4
SpaceAtoll,136,1.98680000,56.61271942,2
SpaceAtoll,137,1.78280000,56.32051136,2
SpaceAtoll,138,5.80180000,54.12073833,5
SpaceAtoll,139,0.46200000,55.00000000,2
SpaceAtoll,140,1.16980000,57.68882041,2
SpaceAtoll,141,2.74900000,58.46366393,2
SpaceAtoll,142,14.16920000,57.10279306,11
SpaceAtoll,143,6.15120000,57.14374166,6
SpaceAtoll,144,5.92300000,55.86140054,10
SpaceAtoll,145,1.16520000,57.58472020,2
SpaceAtoll,146,2.88500000,56.82429058,2
SpaceAtoll,147,1.85240000,58.41232747,2
SpaceAtoll,148,3.89900000,56.44198417,4
SpaceAtoll,149,0.81540000,59.90826320,2
SpaceAtoll,150,2.52800000,67.00000000,2
SpaceAtoll,151,0.44900000,64.12487817,2
SpaceAtoll,152,2.51680000,63.41135545,2
SpaceAtoll,153,0.41820000,67.00746227,2
SpaceAtoll,154,7.12000000,62.92961695,5
SpaceAtoll,155,1.40420000,62.58594091,2
SpaceAtoll,156,0.51500000,64.03124237,2
SpaceAtoll,157,2.30000000,64.19501538,2
SpaceAtoll,158,0.49080000,62.64982043,2
SpaceAtoll,159,1.31100000,61.71709650,2
SpaceAtoll,160,4.43140000,68.97341312,4
SpaceAtoll,161,1.23340000,66.30987860,2
SpaceAtoll,162,9.83200000,65.81102159,5
SpaceAtoll,163,2.11480000,66.48308055,2
SpaceAtoll,164,2.00460000,66.64833081,2
SpaceAtoll,165,2.69380000,64.20971407,3
SpaceAtoll,166,2.25700000,65.92419890,2
SpaceAtoll,167,2.58980000,65.27705454,3
SpaceAtoll,168,0.58960000,66.70832032,2
SpaceAtoll,169,2.21340000,64.32728814,2
SpaceAtoll,170,7.82320000,67.78694873,8
SpaceAtoll,171,1.18880000,69.46221995,2
SpaceAtoll,172,3.17440000,70.07013229,5
SpaceAtoll,173,2.13240000,69.81403870,2
SpaceAtoll,174,0.97640000,67.60177512,2
SpaceAtoll,175,15.26720000,70.29667851,9
SpaceAtoll,176,0.66460000,69.87131028,2
SpaceAtoll,177,2.19580000,67.41661516,2
SpaceAtoll,178,2.63580000,69.65870551,5
SpaceAtoll,179,1.03100000,67.35725648,2
SpaceAtoll,180,4.01680000,72.99822018,4
SpaceAtoll,181,1.09680000,75.28612090,2
SpaceAtoll,182,1.75100000,75.32595834,2
SpaceAtoll,183,2.13160000,72.80109889,2
SpaceAtoll,184,1.49040000,72.89718787,2
SpaceAtoll,185,3.05460000,72.53277554,3
SpaceAtoll,186,3.00820000,72.71863585,2
SpaceAtoll,187,6.66560000,70.37552242,6
SpaceAtoll,188,6.10520000,75.10246212,4
SpaceAtoll,189,3.42920000,75.53806987,2
SpaceAtoll,190,3.57360000,77.01400260,5
SpaceAtoll,191,0.95060000,77.62087348,2
SpaceAtoll,192,5.88700000,77.88113024,5
SpaceAtoll,193,1.50960000,75.66372975,2
SpaceAtoll,194,5.46860000,81.83543094,4
SpaceAtoll,195,9.07200000,79.35018338,5
SpaceAtoll,196,3.14900000,75.59328966,4
SpaceAtoll,197,5.08900000,76.32056158,6
SpaceAtoll,198,2.93280000,79.63039621,2
SpaceAtoll,199,1.57060000,75.66372975,2
SpaceAtoll,200,4.28440000,79.10413497,5
SpaceAtoll,201,7.11460000,83.06440400,5
SpaceAtoll,202,1.70660000,78.00000000,2
SpaceAtoll,203,4.90280000,80.39564796,5
SpaceAtoll,204,2.71340000,78.77182237,2
SpaceAtoll,205,2.70740000,80.81510907,4
SpaceAtoll,206,8.92820000,80.46001655,7
SpaceAtoll,207,1.45460000,82.97590012,2
SpaceAtoll,208,1.49660000,80.52328856,2
SpaceAtoll,209,5.66860000,81.81824369,4
SpaceAtoll,210,3.04160000,85.57645944,4
SpaceAtoll,211,3.95320000,84.60038117,5
SpaceAtoll,212,2.80060000,84.10756786,3
SpaceAtoll,213,2.67600000,84.09518417,2
SpaceAtoll,214,1.83180000,84.72307832,2
SpaceAtoll,215,0.93000000,82.28000972,2
SpaceAtoll,216,2.43220000,88.00143642,3
SpaceAtoll,217,1.96140000,84.85281374,2
SpaceAtoll,218,0.72660000,85.79627032,2
SpaceAtoll,219,4.52580000,88.15535684,5
SpaceAtoll,220,2.47540000,89.49860334,2
SpaceAtoll,221,4.46680000,87.46094173,3
SpaceAtoll,222,2.86440000,88.77747211,4
SpaceAtoll,223,7.59320000,90.15893647,5
SpaceAtoll,224,2.52100000,92.13576938,2
SpaceAtoll,225,2.52940000,88.32296504,3
SpaceAtoll,226,6.38580000,87.79640764,7
SpaceAtoll,227,5.80700000,87.06354941,5
SpaceAtoll,228,2.78340000,86.75214568,3
SpaceAtoll,229,13.83960000,87.44961410,6
SpaceAtoll,230,2.34340000,89.96252504,3
SpaceAtoll,231,1.83820000,90.97137865,3
SpaceAtoll,232,8.49800000,91.52352992,8
SpaceAtoll,233,4.31180000,93.29775450,3
SpaceAtoll,234,1.79740000,96.33275663,2
SpaceAtoll,235,3.66920000,89.43765625,4
SpaceAtoll,236,2.26400000,98.02040604,2
SpaceAtoll,237,6.28820000,94.27400680,7
SpaceAtoll,238,17.55220000,90.10931867,9
SpaceAtoll,239,14.04660000,93.58430978,8
SpaceAtoll,240,6.03520000,92.80481191,6
SpaceAtoll,241,3.14920000,93.91485505,2
SpaceAtoll,242,2.11360000,97.18538985,2
SpaceAtoll,243,3.02340000,94.63171874,3
SpaceAtoll,244,7.99420000,97.73628619,5
SpaceAtoll,245,9.43000000,95.02818651,7
SpaceAtoll,246,1.86160000,94.55686120,2
SpaceAtoll,247,12.60560000,94.68363089,4
SpaceAtoll,248,4.66800000,95.65979025,4
SpaceAtoll,249,2.17780000,97.41663102,2
SpaceAtoll,250,10.49740000,101.03852709,3
SpaceAtoll,251,5.75660000,101.94330731,6
SpaceAtoll,252,5.98360000,101.49384218,2
SpaceAtoll,253,10.78560000,100.23875945,6
SpaceAtoll,254,2.04860000,99.86490875,2
