Map,Query Number,Time,Distance,Path Length
SteppingStones,0,0.66540000,6.40312424,2
SteppingStones,1,0.61040000,7.07106781,2
SteppingStones,2,0.51460000,6.32455532,2
SteppingStones,3,1.31940000,4.00000000,2
SteppingStones,4,1.08680000,5.38516481,2
SteppingStones,5,0.49320000,7.07106781,2
SteppingStones,6,0.44560000,5.38516481,2
SteppingStones,7,0.57320000,4.12310563,2
SteppingStones,8,0.99460000,4.00000000,2
SteppingStones,9,0.55560000,7.28010989,2
SteppingStones,10,0.76900000,10.77032961,2
SteppingStones,11,1.38720000,9.05538514,2
SteppingStones,12,0.58620000,10.44030651,2
SteppingStones,13,0.42780000,9.21954446,2
SteppingStones,14,1.36260000,9.84885780,2
SteppingStones,15,0.57280000,9.21954446,2
SteppingStones,16,0.45360000,8.48528137,2
SteppingStones,17,1.03140000,9.43398113,2
SteppingStones,18,0.52680000,8.06225775,2
SteppingStones,19,1.70720000,10.00000000,3
SteppingStones,20,0.44780000,13.45362405,2
SteppingStones,21,0.94080000,14.86606875,2
SteppingStones,22,0.49460000,15.00000000,2
SteppingStones,23,0.62940000,15.00000000,2
SteppingStones,24,6.99020000,12.28538329,4
SteppingStones,25,0.81780000,11.84885780,3
SteppingStones,26,0.67320000,12.36931688,2
SteppingStones,27,1.71600000,12.16552506,2
SteppingStones,28,0.97600000,14.42220510,2
SteppingStones,29,0.49920000,13.89244399,2
SteppingStones,30,1.74900000,16.12451550,2
SteppingStones,31,0.47620000,15.23154621,2
SteppingStones,32,1.45940000,16.40121947,2
SteppingStones,33,1.27180000,18.11077028,2
SteppingStones,34,0.45600000,15.23154621,2
SteppingStones,35,0.51500000,15.29705854,2
SteppingStones,36,0.36200000,15.62049935,2
SteppingStones,37,0.54000000,19.20937271,2
SteppingStones,38,1.06480000,16.27882060,2
SteppingStones,39,0.83180000,18.38477631,2
SteppingStones,40,1.31480000,23.08679276,2
SteppingStones,41,0.79820000,20.88061302,2
SteppingStones,42,0.38940000,20.88061302,2
SteppingStones,43,0.79200000,19.41648784,2
SteppingStones,44,0.53680000,21.47091055,2
SteppingStones,45,0.66760000,22.47220505,2
SteppingStones,46,0.46300000,20.61552813,2
SteppingStones,47,0.92520000,21.21320344,2
SteppingStones,48,0.54380000,23.08679276,2
SteppingStones,49,0.76320000,22.00000000,2
SteppingStones,50,1.10020000,26.30589288,2
SteppingStones,51,2.22180000,25.33014253,3
SteppingStones,52,2.31180000,25.05538514,3
SteppingStones,53,1.51500000,25.63201124,2
SteppingStones,54,5.51260000,23.67759703,5
SteppingStones,55,0.57920000,23.76972865,2
SteppingStones,56,1.10260000,24.18677324,2
SteppingStones,57,2.01100000,26.35931114,3
SteppingStones,58,0.99900000,23.43074903,2
SteppingStones,59,1.00860000,26.87005769,2
SteppingStones,60,0.60100000,30.06659276,2
SteppingStones,61,3.75920000,28.28427125,2
SteppingStones,62,1.26760000,29.42787794,2
SteppingStones,63,0.54380000,27.65863337,2
SteppingStones,64,1.26920000,30.06659276,2
SteppingStones,65,1.65800000,30.00000000,2
SteppingStones,66,1.05040000,29.83286778,2
SteppingStones,67,2.45340000,29.54657341,2
SteppingStones,68,1.13640000,31.14482300,2
SteppingStones,69,0.83420000,27.65863337,2
SteppingStones,70,1.01120000,34.05877273,2
SteppingStones,71,1.38340000,30.36445290,2
SteppingStones,72,1.03240000,32.75667871,2
SteppingStones,73,1.45680000,31.25699922,2
SteppingStones,74,0.47880000,29.96664813,2
SteppingStones,75,1.61180000,35.00000000,2
SteppingStones,76,1.47700000,32.55764119,2
SteppingStones,77,1.39860000,32.55764119,2
SteppingStones,78,1.25400000,34.23448554,2
SteppingStones,79,1.05760000,31.78049716,2
SteppingStones,80,0.74080000,36.34556369,2
SteppingStones,81,0.40740000,33.83784863,2
SteppingStones,82,0.60180000,39.59797975,2
SteppingStones,83,1.52880000,38.41874542,2
SteppingStones,84,1.36940000,35.34119409,2
SteppingStones,85,1.50980000,36.34556369,2
SteppingStones,86,1.12900000,37.01351105,2
SteppingStones,87,1.03800000,36.79673899,2
SteppingStones,88,1.70400000,37.44329045,2
SteppingStones,89,0.45760000,37.65634077,2
SteppingStones,90,0.90300000,41.03656906,2
SteppingStones,91,0.48780000,40.80441153,2
SteppingStones,92,0.41360000,43.01162634,2
SteppingStones,93,0.86580000,40.02499219,2
SteppingStones,94,1.54740000,41.86884283,2
SteppingStones,95,3.13320000,37.36862283,6
SteppingStones,96,1.61300000,38.91068831,3
SteppingStones,97,2.15740000,39.56008089,2
SteppingStones,98,2.95240000,38.48804524,3
SteppingStones,99,1.35960000,40.31128874,2
SteppingStones,100,1.28740000,45.00000000,2
SteppingStones,101,1.26760000,43.28972164,2
SteppingStones,102,2.49620000,42.95346319,2
SteppingStones,103,1.76920000,45.27692569,2
SteppingStones,104,0.83480000,44.72135955,2
SteppingStones,105,2.00960000,41.23105626,2
SteppingStones,106,1.40360000,46.09772229,2
SteppingStones,107,1.74620000,43.08131846,2
SteppingStones,108,0.42960000,43.26661531,2
SteppingStones,109,1.59340000,42.95346319,2
SteppingStones,110,1.87080000,45.91796774,3
SteppingStones,111,0.53800000,47.80167361,2
SteppingStones,112,0.94420000,48.54894438,2
SteppingStones,113,1.50420000,47.85394446,2
SteppingStones,114,1.46840000,46.87216658,2
SteppingStones,115,1.19960000,45.88027899,2
SteppingStones,116,0.49720000,44.59820624,2
SteppingStones,117,1.44960000,45.80392996,2
SteppingStones,118,1.37340000,45.60701700,2
SteppingStones,119,1.49980000,48.27007354,2
SteppingStones,120,1.61080000,48.30113870,2
SteppingStones,121,1.35920000,50.00999900,2
SteppingStones,122,1.40300000,54.56189146,2
SteppingStones,123,2.05560000,50.44799302,2
SteppingStones,124,1.31940000,52.00961450,2
SteppingStones,125,0.79280000,52.34500931,2
SteppingStones,126,3.74260000,52.74560069,3
SteppingStones,127,1.79300000,50.48762225,2
