Map,Query Number,Time,Distance,Path Length
TheFrozenSea,0,2.93300000,5.00000000,2
TheFrozenSea,1,2.52680000,5.83095189,2
TheFrozenSea,2,1.24840000,6.08276253,2
TheFrozenSea,3,1.26940000,4.12310563,2
TheFrozenSea,4,2.70660000,5.00000000,2
TheFrozenSea,5,1.29900000,4.00000000,2
TheFrozenSea,6,1.51860000,5.00000000,2
TheFrozenSea,7,1.44320000,4.47213595,2
TheFrozenSea,8,1.71600000,4.47213595,2
TheFrozenSea,9,1.79140000,5.83095189,2
TheFrozenSea,10,1.89200000,7.81024968,2
TheFrozenSea,11,1.82580000,11.04536102,2
TheFrozenSea,12,2.19620000,10.00000000,2
TheFrozenSea,13,1.07040000,7.81024968,2
TheFrozenSea,14,1.06960000,9.43398113,2
TheFrozenSea,15,1.91920000,9.84885780,2
TheFrozenSea,16,1.74320000,9.21954446,2
TheFrozenSea,17,1.53920000,7.81024968,2
TheFrozenSea,18,0.98340000,8.48528137,2
TheFrozenSea,19,1.77800000,10.00000000,2
TheFrozenSea,20,1.09720000,13.60147051,2
TheFrozenSea,21,1.24620000,12.52996409,2
TheFrozenSea,22,2.41500000,14.86606875,2
TheFrozenSea,23,1.82120000,13.60147051,2
TheFrozenSea,24,2.63220000,14.31782106,2
TheFrozenSea,25,1.14960000,14.31782106,2
TheFrozenSea,26,2.00060000,14.21267040,2
TheFrozenSea,27,1.41760000,13.00000000,2
TheFrozenSea,28,1.71120000,14.76482306,2
TheFrozenSea,29,2.08960000,12.64911064,2
TheFrozenSea,30,2.68820000,18.38681307,5
TheFrozenSea,31,1.53940000,17.69180601,2
TheFrozenSea,32,1.96260000,19.20937271,2
TheFrozenSea,33,1.27940000,17.02938637,2
TheFrozenSea,34,1.57060000,17.80449381,2
TheFrozenSea,35,1.00280000,15.81138830,2
TheFrozenSea,36,2.33020000,19.02629759,2
TheFrozenSea,37,1.86380000,18.24828759,2
TheFrozenSea,38,0.93540000,17.69180601,2
TheFrozenSea,39,0.82580000,17.72004515,2
TheFrozenSea,40,1.53760000,21.09502311,2
TheFrozenSea,41,1.64200000,18.86796226,2
TheFrozenSea,42,1.67760000,22.36067977,2
TheFrozenSea,43,1.46260000,22.36067977,2
TheFrozenSea,44,1.53000000,21.37755833,2
TheFrozenSea,45,1.88960000,22.13594362,2
TheFrozenSea,46,1.13360000,20.02498439,2
TheFrozenSea,47,1.50900000,22.20360331,2
TheFrozenSea,48,0.96480000,22.00000000,2
TheFrozenSea,49,1.43400000,21.47091055,2
TheFrozenSea,50,2.02540000,26.17250466,2
TheFrozenSea,51,1.60800000,25.31797780,2
TheFrozenSea,52,0.96820000,24.69817807,2
TheFrozenSea,53,3.27700000,25.61249695,2
TheFrozenSea,54,1.84300000,25.29822128,2
TheFrozenSea,55,2.53420000,24.16609195,2
TheFrozenSea,56,2.51900000,24.18677324,2
TheFrozenSea,57,1.28360000,26.00000000,2
TheFrozenSea,58,1.19680000,25.07987241,2
TheFrozenSea,59,2.83500000,27.06225775,4
TheFrozenSea,60,1.33840000,28.46049894,2
TheFrozenSea,61,2.59360000,29.40121947,4
TheFrozenSea,62,2.02940000,29.00000000,2
TheFrozenSea,63,1.92060000,31.00000000,2
TheFrozenSea,64,1.86360000,26.92582404,2
TheFrozenSea,65,1.83640000,29.41088234,2
TheFrozenSea,66,1.51040000,27.29468813,2
TheFrozenSea,67,1.29200000,27.65863337,2
TheFrozenSea,68,3.16540000,28.78009453,5
TheFrozenSea,69,0.82140000,26.47640459,2
TheFrozenSea,70,2.03560000,34.97057550,3
TheFrozenSea,71,4.07700000,34.14988878,5
