Map,Query Number,Time,Distance,Path Length
TheHighway,0,2.71640000,6.00000000,2
TheHighway,1,0.88320000,6.70820393,2
TheHighway,2,1.46800000,6.40312424,2
TheHighway,3,1.50380000,6.40312424,2
TheHighway,4,0.65820000,4.47213595,2
TheHighway,5,0.68880000,5.38516481,2
TheHighway,6,0.50000000,4.47213595,2
TheHighway,7,0.62160000,6.40312424,2
TheHighway,8,0.83840000,5.83095189,2
TheHighway,9,0.49200000,5.38516481,2
TheHighway,10,0.92120000,11.40175425,2
TheHighway,11,0.74940000,7.61577311,2
TheHighway,12,0.98540000,10.00000000,2
TheHighway,13,0.90820000,10.63014581,2
TheHighway,14,1.78740000,8.06225775,2
TheHighway,15,4.91980000,10.44030651,2
TheHighway,16,0.65260000,9.84885780,2
TheHighway,17,0.51980000,8.24621125,2
TheHighway,18,0.70720000,10.19803903,2
TheHighway,19,0.81260000,8.06225775,2
TheHighway,20,0.79140000,14.56021978,2
TheHighway,21,1.37840000,14.03566885,2
TheHighway,22,0.80720000,12.52996409,2
TheHighway,23,2.00320000,13.89244399,2
TheHighway,24,1.11280000,13.60147051,2
TheHighway,25,0.87940000,13.89244399,2
TheHighway,26,1.14720000,12.20655562,2
TheHighway,27,0.57620000,14.86606875,2
TheHighway,28,0.76660000,11.70469991,2
TheHighway,29,1.46560000,15.00000000,2
TheHighway,30,1.81960000,15.81138830,2
TheHighway,31,1.37560000,17.80449381,2
TheHighway,32,0.81800000,15.81138830,2
TheHighway,33,0.50280000,18.35755975,2
TheHighway,34,1.70380000,15.30230699,3
TheHighway,35,0.71340000,17.00000000,2
TheHighway,36,2.05440000,18.35755975,2
TheHighway,37,1.23600000,18.38477631,2
TheHighway,38,1.58200000,17.49285568,2
TheHighway,39,2.36560000,18.12435711,3
TheHighway,40,0.68420000,20.39607805,2
TheHighway,41,0.57940000,18.78829423,2
TheHighway,42,0.76060000,22.00000000,2
TheHighway,43,1.53760000,20.61552813,2
TheHighway,44,0.78540000,21.09502311,2
TheHighway,45,0.88200000,22.20360331,2
TheHighway,46,1.88200000,20.00000000,2
TheHighway,47,1.57200000,20.02498439,2
TheHighway,48,0.51440000,20.00000000,2
TheHighway,49,4.08620000,21.61671102,4
TheHighway,50,0.58900000,27.00000000,2
TheHighway,51,0.63020000,22.80350850,2
TheHighway,52,1.64020000,24.02082430,2
TheHighway,53,1.48360000,24.18677324,2
TheHighway,54,0.75180000,25.00000000,2
TheHighway,55,1.29820000,25.07987241,2
TheHighway,56,1.76780000,23.53720459,2
TheHighway,57,1.29580000,24.73863375,2
TheHighway,58,1.94780000,22.80350850,2
TheHighway,59,0.75340000,22.36067977,2
TheHighway,60,0.92400000,28.16025568,2
TheHighway,61,1.08420000,28.30194340,2
TheHighway,62,1.12220000,29.15475947,2
TheHighway,63,0.69640000,26.68332813,2
TheHighway,64,0.90220000,27.29468813,2
TheHighway,65,1.28280000,29.20616373,2
TheHighway,66,1.95540000,29.00000000,2
TheHighway,67,2.42880000,27.80287755,2
TheHighway,68,0.97680000,28.63564213,2
TheHighway,69,2.70860000,29.92366353,3
TheHighway,70,1.71320000,29.73213749,2
TheHighway,71,2.23620000,33.42154993,2
TheHighway,72,0.62840000,31.82766093,2
TheHighway,73,1.86440000,32.55764119,2
TheHighway,74,0.52440000,33.97057550,2
TheHighway,75,2.19620000,35.05709629,2
TheHighway,76,1.51340000,32.06243908,2
TheHighway,77,1.24980000,31.06444913,2
TheHighway,78,1.36540000,31.62277660,2
TheHighway,79,0.97340000,31.95309062,2
TheHighway,80,1.63580000,35.73513677,2
TheHighway,81,0.99800000,36.12478374,2
TheHighway,82,1.23780000,37.53664876,2
TheHighway,83,0.59480000,35.84689666,2
TheHighway,84,1.49260000,37.00000000,2
TheHighway,85,1.74120000,34.17601498,2
TheHighway,86,1.79800000,37.21558813,2
TheHighway,87,7.63580000,35.43398113,3
TheHighway,88,2.43140000,36.60638482,4
TheHighway,89,1.36820000,36.76955262,2
TheHighway,90,1.46800000,39.45883931,2
TheHighway,91,1.58760000,38.83297568,2
TheHighway,92,3.80680000,39.62322551,2
TheHighway,93,0.62200000,38.47076812,2
TheHighway,94,2.76340000,39.91960782,4
TheHighway,95,1.49360000,42.04759208,2
TheHighway,96,2.10900000,39.82461550,2
TheHighway,97,2.65860000,39.00736251,4
TheHighway,98,1.29640000,39.92492956,2
TheHighway,99,1.55280000,39.62322551,2
TheHighway,100,3.03860000,43.30511163,3
TheHighway,101,2.32680000,44.01136217,2
TheHighway,102,1.54280000,43.30511163,3
TheHighway,103,2.16360000,41.97618372,2
TheHighway,104,1.28040000,42.43819035,2
TheHighway,105,1.49240000,41.88078318,2
TheHighway,106,0.88500000,41.59326869,2
TheHighway,107,2.51140000,41.62613412,3
TheHighway,108,0.62840000,43.01162634,2
TheHighway,109,0.75220000,42.15447782,2
TheHighway,110,1.03360000,47.53945730,2
TheHighway,111,2.73120000,46.97551817,4
TheHighway,112,1.78040000,46.04345773,2
TheHighway,113,2.42680000,45.22167622,2
TheHighway,114,1.81440000,47.42362281,2
TheHighway,115,1.85440000,48.05205511,2
TheHighway,116,1.83300000,49.20365840,2
TheHighway,117,2.10780000,50.03998401,2
TheHighway,118,0.60040000,45.61797891,2
TheHighway,119,2.44320000,47.17358552,3
TheHighway,120,0.70480000,50.80354318,2
TheHighway,121,0.68340000,50.92150823,2
TheHighway,122,0.55740000,54.00925847,2
TheHighway,123,2.36440000,54.03702434,2
TheHighway,124,2.76100000,51.54609588,2
TheHighway,125,1.96240000,51.19570294,2
TheHighway,126,2.00480000,51.97114584,2
TheHighway,127,2.32800000,50.99019514,2
TheHighway,128,1.70660000,51.92301994,2
TheHighway,129,1.44020000,49.19349550,2
TheHighway,130,2.06560000,56.29387178,2
TheHighway,131,2.15100000,56.85068161,2
TheHighway,132,3.76020000,55.98237397,3
TheHighway,133,1.45580000,52.20153254,2
TheHighway,134,1.62360000,54.03702434,2
TheHighway,135,7.19100000,54.84709155,5
TheHighway,136,2.58560000,53.71219601,2
TheHighway,137,2.24160000,55.57877293,2
TheHighway,138,6.57200000,55.26635012,6
TheHighway,139,2.32260000,56.08029957,2
TheHighway,140,2.46200000,57.00877125,2
TheHighway,141,1.13060000,59.03388857,2
TheHighway,142,0.64860000,59.22837158,2
TheHighway,143,4.10040000,57.49277611,4
TheHighway,144,2.40700000,55.94640292,2
TheHighway,145,1.34200000,59.53990259,2
TheHighway,146,2.43940000,58.82176468,2
TheHighway,147,2.88200000,60.21511831,3
TheHighway,148,1.45700000,56.79788728,2
TheHighway,149,2.23520000,57.58541480,3
TheHighway,150,1.81820000,62.62587325,2
TheHighway,151,1.81980000,63.70243323,2
TheHighway,152,1.92140000,60.90155991,2
TheHighway,153,1.57300000,64.38422954,3
TheHighway,154,4.84620000,61.29437168,2
TheHighway,155,5.34540000,61.34033014,5
TheHighway,156,1.26020000,63.07138812,2
TheHighway,157,4.82680000,65.79513660,2
TheHighway,158,3.54200000,64.42851535,3
TheHighway,159,2.25200000,59.48108943,2
TheHighway,160,3.15200000,65.80273551,2
TheHighway,161,4.11820000,67.31525647,4
TheHighway,162,6.14860000,69.03228323,4
TheHighway,163,1.87120000,65.49045732,2
TheHighway,164,3.20520000,65.88288794,3
TheHighway,165,0.83160000,68.11754546,2
TheHighway,166,3.41940000,63.78871374,2
TheHighway,167,1.55940000,64.19501538,2
TheHighway,168,5.26720000,67.32692287,6
TheHighway,169,1.99880000,65.78753681,2
TheHighway,170,1.79180000,69.46221995,2
TheHighway,171,2.85140000,72.24956747,2
TheHighway,172,1.68620000,72.20110802,2
TheHighway,173,0.58440000,69.46221995,2
TheHighway,174,3.29680000,72.01874599,3
TheHighway,175,7.38160000,69.46546205,9
TheHighway,176,4.31580000,71.62039283,3
TheHighway,177,1.67760000,72.47068373,2
TheHighway,178,1.44460000,67.23094526,2
TheHighway,179,15.35420000,67.49034987,6
TheHighway,180,1.76340000,78.05767099,2
TheHighway,181,3.48840000,73.71003986,3
TheHighway,182,3.13340000,73.10593797,5
TheHighway,183,5.20860000,73.41355996,5
TheHighway,184,9.09360000,76.51155816,4
TheHighway,185,2.68360000,74.41102069,2
TheHighway,186,2.92480000,71.16881339,2
TheHighway,187,4.48040000,73.84417789,3
TheHighway,188,2.55280000,71.66787129,3
TheHighway,189,1.74960000,73.87827827,2
TheHighway,190,1.81840000,78.24321057,2
TheHighway,191,5.12820000,79.77212151,3
TheHighway,192,3.60620000,76.34423593,3
TheHighway,193,2.49300000,74.32361670,2
TheHighway,194,3.99560000,81.32035416,2
TheHighway,195,2.06960000,75.58763526,5
TheHighway,196,7.07440000,77.21396642,3
TheHighway,197,1.37120000,79.40403012,2
TheHighway,198,7.54600000,78.93531848,7
TheHighway,199,3.46000000,74.16419890,3
TheHighway,200,1.64840000,81.74350127,2
TheHighway,201,3.50380000,82.51959786,4
TheHighway,202,2.15420000,81.11242101,3
TheHighway,203,5.30500000,80.04566720,3
TheHighway,204,4.87680000,81.35416188,3
TheHighway,205,3.06140000,81.03952968,5
TheHighway,206,2.35900000,81.58431222,2
TheHighway,207,1.64460000,84.29116205,2
TheHighway,208,2.37220000,82.37718131,2
TheHighway,209,9.77820000,78.73902484,5
TheHighway,210,4.23020000,87.42009571,4
TheHighway,211,3.32040000,85.30809045,6
TheHighway,212,3.17380000,84.09612254,3
TheHighway,213,3.51780000,88.45903006,2
TheHighway,214,2.39120000,86.15733233,3
TheHighway,215,3.19800000,87.96590248,2
TheHighway,216,3.33920000,82.72349487,3
TheHighway,217,4.49720000,84.78566159,5
TheHighway,218,1.69980000,89.27485648,2
TheHighway,219,5.37220000,83.46160204,4
TheHighway,220,2.87820000,92.63368718,2
TheHighway,221,2.82720000,86.35919334,3
TheHighway,222,8.37740000,90.84973654,7
TheHighway,223,2.62100000,88.58893836,2
TheHighway,224,5.14520000,84.98161731,7
TheHighway,225,3.25600000,87.64134511,3
TheHighway,226,4.15760000,91.36758258,6
TheHighway,227,4.16940000,92.91099074,3
TheHighway,228,2.59480000,88.86386076,4
TheHighway,229,3.05940000,86.34813258,2
TheHighway,230,2.58820000,96.08329720,2
TheHighway,231,3.48660000,90.47098983,2
TheHighway,232,2.98360000,92.28217596,2
TheHighway,233,2.84920000,90.95603333,2
TheHighway,234,3.05120000,93.90420651,2
TheHighway,235,3.87840000,94.92351461,3
TheHighway,236,2.25400000,90.21086409,2
TheHighway,237,1.53240000,91.00549434,2
TheHighway,238,4.04100000,94.01868523,5
TheHighway,239,3.21280000,94.04786016,2
TheHighway,240,3.56560000,95.70788891,2
TheHighway,241,9.49100000,95.45702018,5
TheHighway,242,2.04780000,93.05912099,2
TheHighway,243,2.89700000,94.84724561,2
TheHighway,244,0.55400000,97.16480844,2
TheHighway,245,2.40280000,93.86160024,2
TheHighway,246,3.65400000,101.11874208,2
TheHighway,247,3.60420000,98.46091214,3
TheHighway,248,2.30560000,98.19544457,3
TheHighway,249,5.52820000,96.37150377,5
TheHighway,250,10.35560000,101.18068349,5
TheHighway,251,4.53060000,99.55348414,7
TheHighway,252,5.64700000,100.91884023,5
TheHighway,253,2.47540000,96.20810777,2
TheHighway,254,3.08840000,100.22474744,2
TheHighway,255,3.23560000,102.23734489,3
TheHighway,256,9.43200000,97.19582844,5
TheHighway,257,5.17560000,99.79460136,4
TheHighway,258,8.64740000,98.32545080,9
TheHighway,259,3.43900000,101.82828684,2
TheHighway,260,2.38300000,108.93117093,2
TheHighway,261,12.87460000,100.01148036,6
TheHighway,262,4.83880000,100.93824094,6
TheHighway,263,3.17820000,104.62313320,2
TheHighway,264,4.85900000,105.08833607,6
TheHighway,265,3.13920000,106.40488711,2
TheHighway,266,6.12800000,102.41904292,5
TheHighway,267,3.67000000,103.36802473,3
TheHighway,268,3.12360000,108.30050785,2
TheHighway,269,2.58560000,103.12128781,2
TheHighway,270,4.60320000,108.46658472,2
TheHighway,271,2.40060000,111.04053314,2
TheHighway,272,4.52060000,107.45750454,4
TheHighway,273,20.29560000,109.07456274,8
TheHighway,274,2.55800000,110.36756770,2
TheHighway,275,4.64000000,114.04274580,3
TheHighway,276,6.39060000,108.03620548,6
TheHighway,277,6.37240000,109.64365321,6
TheHighway,278,2.48340000,104.44880855,3
TheHighway,279,12.33300000,108.59181091,10
TheHighway,280,3.63240000,111.60645143,2
TheHighway,281,3.90940000,109.67810374,3
TheHighway,282,4.51920000,114.84106059,4
TheHighway,283,2.21380000,107.83784122,2
TheHighway,284,4.89020000,114.75169755,5
TheHighway,285,4.07180000,111.07598984,3
TheHighway,286,5.36260000,113.40317012,5
TheHighway,287,21.35080000,111.41013653,7
