Map,Query Number,Time,Distance,Path Length
TheatreofWar,0,0.81620000,4.47213595,2
TheatreofWar,1,0.88560000,7.07106781,2
TheatreofWar,2,0.64540000,6.08276253,2
TheatreofWar,3,1.38360000,7.07106781,2
TheatreofWar,4,0.66560000,7.28010989,2
TheatreofWar,5,0.58580000,5.09901951,2
TheatreofWar,6,0.53980000,4.12310563,2
TheatreofWar,7,0.52060000,6.32455532,2
TheatreofWar,8,1.22660000,6.32455532,2
TheatreofWar,9,1.32960000,4.47213595,2
TheatreofWar,10,1.79580000,9.24621125,3
TheatreofWar,11,0.52040000,9.43398113,2
TheatreofWar,12,2.07760000,10.81665383,2
TheatreofWar,13,1.39760000,11.04536102,2
TheatreofWar,14,0.47860000,10.00000000,2
TheatreofWar,15,0.58440000,10.77032961,2
TheatreofWar,16,0.35580000,9.21954446,2
TheatreofWar,17,0.48160000,10.00000000,2
TheatreofWar,18,1.37020000,7.61577311,2
TheatreofWar,19,1.25100000,8.06225775,2
TheatreofWar,20,0.42600000,14.31782106,2
TheatreofWar,21,1.36560000,13.00000000,2
TheatreofWar,22,1.20940000,14.14213562,2
TheatreofWar,23,1.30180000,12.52996409,2
TheatreofWar,24,1.60980000,13.00000000,2
TheatreofWar,25,0.43460000,12.36931688,2
TheatreofWar,26,0.48240000,14.86606875,2
TheatreofWar,27,1.24240000,14.00000000,2
TheatreofWar,28,0.71680000,13.60147051,2
TheatreofWar,29,0.58920000,11.66190379,2
TheatreofWar,30,0.47600000,17.00000000,2
TheatreofWar,31,0.49000000,19.10497317,2
TheatreofWar,32,0.41560000,18.35755975,2
TheatreofWar,33,1.45240000,15.52417470,2
TheatreofWar,34,1.32680000,16.27882060,2
TheatreofWar,35,1.25920000,15.81138830,2
TheatreofWar,36,1.00080000,19.10497317,2
TheatreofWar,37,0.57220000,17.11724277,2
TheatreofWar,38,0.48040000,16.12451550,2
TheatreofWar,39,0.40580000,17.46424920,2
TheatreofWar,40,0.45300000,19.92485885,2
TheatreofWar,41,1.42780000,21.63330765,2
TheatreofWar,42,0.51180000,22.13594362,2
TheatreofWar,43,1.88500000,22.47220505,2
TheatreofWar,44,0.47340000,19.23538406,2
TheatreofWar,45,0.63200000,21.47091055,2
TheatreofWar,46,1.19100000,21.95449840,2
TheatreofWar,47,0.47860000,20.24845673,2
TheatreofWar,48,1.34500000,22.67156810,2
TheatreofWar,49,1.40100000,22.00000000,2
TheatreofWar,50,1.03780000,26.07680962,2
TheatreofWar,51,0.50980000,24.83948470,2
TheatreofWar,52,0.45160000,22.84731932,2
TheatreofWar,53,0.63720000,25.80697580,2
TheatreofWar,54,1.11440000,23.60084744,2
TheatreofWar,55,1.62420000,24.69817807,2
TheatreofWar,56,1.42860000,25.49509757,2
TheatreofWar,57,0.56600000,24.51530134,2
TheatreofWar,58,0.50380000,25.94224354,2
TheatreofWar,59,0.78600000,23.70653918,2
TheatreofWar,60,1.20660000,29.41088234,2
TheatreofWar,61,1.99040000,30.47950131,2
TheatreofWar,62,1.34560000,27.01851217,2
TheatreofWar,63,0.86880000,26.83281573,2
TheatreofWar,64,1.11540000,27.80287755,2
TheatreofWar,65,1.15340000,27.29468813,2
TheatreofWar,66,0.50900000,29.06888371,2
TheatreofWar,67,1.07760000,29.41088234,2
TheatreofWar,68,1.35900000,28.07133770,2
TheatreofWar,69,0.83940000,28.17800561,2
TheatreofWar,70,0.85480000,33.54101966,2
TheatreofWar,71,1.50680000,35.35533906,2
TheatreofWar,72,3.74880000,31.40957849,5
TheatreofWar,73,0.62660000,35.05709629,2
TheatreofWar,74,0.53720000,33.13608305,2
TheatreofWar,75,1.72460000,32.14031736,2
TheatreofWar,76,0.47540000,29.96664813,2
TheatreofWar,77,0.92800000,32.06243908,2
TheatreofWar,78,2.38420000,33.06055051,2
TheatreofWar,79,0.71080000,33.94112550,2
TheatreofWar,80,0.45400000,38.20994635,2
TheatreofWar,81,1.10080000,38.41874542,2
TheatreofWar,82,0.89060000,34.92849839,2
TheatreofWar,83,0.61980000,36.05551275,2
TheatreofWar,84,1.49320000,36.12478374,2
TheatreofWar,85,1.68960000,34.50990185,3
