Map,Query Number,Time,Distance,Path Length
ThinIce,0,1.00700000,6.32455532,2
ThinIce,1,0.82280000,7.21110255,2
ThinIce,2,0.63740000,4.00000000,2
ThinIce,3,1.58040000,5.00000000,2
ThinIce,4,0.59460000,6.08276253,2
ThinIce,5,0.70260000,7.21110255,2
ThinIce,6,2.56880000,7.07106781,2
ThinIce,7,1.62940000,5.00000000,2
ThinIce,8,1.89880000,6.40312424,2
ThinIce,9,0.63980000,5.00000000,2
ThinIce,10,0.70860000,10.19803903,2
ThinIce,11,1.24380000,9.21954446,2
ThinIce,12,0.54140000,8.24621125,2
ThinIce,13,0.93680000,8.48528137,2
ThinIce,14,0.65660000,10.63014581,2
ThinIce,15,0.58860000,8.24621125,2
ThinIce,16,0.84600000,10.44030651,2
ThinIce,17,1.55300000,10.30713579,4
ThinIce,18,0.55520000,10.00000000,2
ThinIce,19,0.43940000,9.21954446,2
ThinIce,20,0.63200000,15.00000000,2
ThinIce,21,1.52060000,11.66190379,2
ThinIce,22,2.46900000,14.86783761,3
ThinIce,23,1.05720000,14.86606875,2
ThinIce,24,1.24940000,14.56021978,2
ThinIce,25,0.54480000,14.00000000,2
ThinIce,26,1.21120000,13.60147051,2
ThinIce,27,0.77400000,11.18033989,2
ThinIce,28,1.03400000,14.14213562,2
ThinIce,29,0.49140000,12.08304597,2
ThinIce,30,1.36460000,18.43908891,2
ThinIce,31,0.54700000,17.00000000,2
ThinIce,32,2.24720000,15.89580466,4
ThinIce,33,1.08300000,16.40121947,2
ThinIce,34,1.11840000,16.97056275,2
ThinIce,35,0.89240000,17.02938637,2
ThinIce,36,1.11740000,17.49285568,2
ThinIce,37,0.78980000,18.38477631,2
ThinIce,38,0.55200000,17.08800749,2
ThinIce,39,1.16700000,18.02775638,2
ThinIce,40,1.73160000,18.97366596,2
ThinIce,41,2.59220000,21.82844351,3
ThinIce,42,1.19800000,18.68154169,2
ThinIce,43,1.19400000,21.18962010,2
ThinIce,44,0.99820000,20.02498439,2
ThinIce,45,1.45240000,22.36067977,2
ThinIce,46,0.57100000,21.18962010,2
ThinIce,47,0.84340000,18.78829423,2
ThinIce,48,1.78380000,20.51828453,2
ThinIce,49,1.23300000,20.80865205,2
ThinIce,50,0.52020000,25.00000000,2
ThinIce,51,0.61140000,24.02082430,2
ThinIce,52,1.19280000,22.56102835,2
ThinIce,53,0.62500000,26.30589288,2
ThinIce,54,1.51000000,25.94224354,2
ThinIce,55,1.33520000,23.43074903,2
ThinIce,56,1.56740000,23.38477631,4
ThinIce,57,1.73780000,26.01922366,2
ThinIce,58,1.34200000,26.40075756,2
ThinIce,59,1.18020000,22.56102835,2
ThinIce,60,1.53300000,30.14962686,2
ThinIce,61,0.51240000,28.31960452,2
ThinIce,62,0.95000000,29.06888371,2
ThinIce,63,1.38900000,29.73213749,2
ThinIce,64,1.23620000,28.44292531,2
ThinIce,65,0.56960000,27.89265136,2
ThinIce,66,1.20980000,27.65863337,2
ThinIce,67,1.92960000,26.94008345,3
ThinIce,68,0.46120000,27.16615541,2
ThinIce,69,0.73240000,27.89265136,2
ThinIce,70,0.44020000,30.46309242,2
ThinIce,71,1.22880000,34.13209633,2
ThinIce,72,1.37820000,30.88689042,2
ThinIce,73,2.18020000,31.42663436,4
ThinIce,74,2.00620000,30.52867504,2
ThinIce,75,1.47240000,32.31098884,2
ThinIce,76,1.83200000,29.96664813,2
ThinIce,77,0.55440000,35.05709629,2
ThinIce,78,0.55600000,32.24903099,2
ThinIce,79,0.49460000,33.37663854,2
ThinIce,80,1.02060000,33.83784863,2
ThinIce,81,1.28740000,36.23534186,2
ThinIce,82,1.91820000,36.87817783,2
ThinIce,83,1.23560000,34.40930107,2
ThinIce,84,1.57840000,35.11409973,2
ThinIce,85,3.33240000,36.73420457,3
ThinIce,86,1.47880000,36.13862200,2
ThinIce,87,1.80420000,33.02172887,3
ThinIce,88,1.57220000,37.00000000,2
ThinIce,89,1.78220000,36.13359544,3
ThinIce,90,0.55620000,38.32753579,2
ThinIce,91,1.60260000,43.01162634,2
ThinIce,92,1.83120000,39.11521443,2
ThinIce,93,1.45520000,42.19004622,2
ThinIce,94,1.25680000,40.04996879,2
ThinIce,95,1.56620000,40.24922359,2
