Map,Query Number,Time,Distance,Path Length
Triskelion,0,0.84160000,7.21110255,2
Triskelion,1,0.73040000,5.00000000,2
Triskelion,2,1.06460000,7.28010989,2
Triskelion,3,0.60060000,7.00000000,2
Triskelion,4,0.50420000,4.47213595,2
Triskelion,5,0.47260000,7.07106781,2
Triskelion,6,1.70660000,6.95153275,3
Triskelion,7,0.60140000,5.83095189,2
Triskelion,8,0.56200000,5.00000000,2
Triskelion,9,1.57160000,4.12310563,2
Triskelion,10,0.59280000,7.81024968,2
Triskelion,11,0.87000000,10.77032961,2
Triskelion,12,0.46460000,8.06225775,2
Triskelion,13,1.67580000,9.84885780,2
Triskelion,14,0.50500000,9.48683298,2
Triskelion,15,0.48760000,10.00000000,2
Triskelion,16,0.47760000,10.29563014,2
Triskelion,17,0.42120000,8.00000000,2
Triskelion,18,0.51460000,10.77032961,2
Triskelion,19,1.69580000,7.47213595,4
Triskelion,20,0.56640000,12.04159458,2
Triskelion,21,0.45640000,12.52996409,2
Triskelion,22,0.42320000,13.03840481,2
Triskelion,23,1.80060000,15.03329638,2
Triskelion,24,0.50760000,12.52996409,2
Triskelion,25,0.99800000,11.40175425,2
Triskelion,26,1.00880000,13.41640786,2
Triskelion,27,0.39980000,12.72792206,2
Triskelion,28,0.93620000,13.45362405,2
Triskelion,29,0.91080000,12.80624847,2
Triskelion,30,0.43020000,18.43908891,2
Triskelion,31,0.38000000,18.02775638,2
Triskelion,32,0.53100000,15.23154621,2
Triskelion,33,0.45940000,18.02775638,2
Triskelion,34,0.48320000,16.12451550,2
Triskelion,35,0.68780000,17.00000000,2
Triskelion,36,2.03720000,18.81024968,3
Triskelion,37,1.05380000,17.49285568,2
Triskelion,38,0.83280000,16.12451550,2
Triskelion,39,0.58320000,18.24828759,2
Triskelion,40,1.99400000,18.43908891,2
Triskelion,41,0.48200000,21.58703314,2
Triskelion,42,0.88740000,20.24950736,3
Triskelion,43,1.86700000,18.86796226,2
Triskelion,44,0.55980000,21.21320344,2
Triskelion,45,1.15820000,18.68154169,2
Triskelion,46,1.93020000,19.31320792,2
Triskelion,47,1.11720000,20.39607805,2
Triskelion,48,0.95440000,21.02379604,2
Triskelion,49,0.50960000,21.93171220,2
Triskelion,50,1.23200000,23.60084744,2
Triskelion,51,0.98780000,26.87005769,2
Triskelion,52,0.85620000,25.55386468,2
Triskelion,53,0.53640000,23.76972865,2
Triskelion,54,0.61160000,23.53720459,2
Triskelion,55,0.53880000,23.34523506,2
Triskelion,56,1.25520000,23.08679276,2
Triskelion,57,1.40920000,24.20743687,2
Triskelion,58,0.46160000,25.94224354,2
Triskelion,59,0.52980000,24.51530134,2
Triskelion,60,1.91100000,28.31960452,2
Triskelion,61,1.77640000,30.43144982,3
Triskelion,62,0.52280000,28.42534081,2
Triskelion,63,0.46180000,28.60069929,2
Triskelion,64,1.86780000,25.49509757,2
Triskelion,65,2.18380000,27.45906044,2
Triskelion,66,1.69820000,29.41088234,2
Triskelion,67,1.29480000,29.42787794,2
Triskelion,68,0.53600000,31.14482300,2
Triskelion,69,1.72760000,28.42534081,2
Triskelion,70,1.17220000,31.40063694,2
Triskelion,71,0.45920000,33.54101966,2
Triskelion,72,1.28560000,32.55764119,2
Triskelion,73,0.42440000,34.05877273,2
Triskelion,74,2.19160000,31.78807634,3
Triskelion,75,1.24660000,33.13608305,2
Triskelion,76,1.40500000,32.38826948,2
Triskelion,77,0.99340000,33.12099032,2
Triskelion,78,0.95380000,33.54101966,2
Triskelion,79,1.79760000,32.64965543,2
Triskelion,80,0.51020000,34.53983208,2
Triskelion,81,2.12840000,35.46829570,2
Triskelion,82,0.48440000,37.12142239,2
Triskelion,83,1.08400000,38.20994635,2
Triskelion,84,0.37240000,37.12142239,2
Triskelion,85,2.22280000,35.93152354,5
