Map,Query Number,Time,Distance,Path Length
Turbo,0,1.34280000,6.40312424,2
Turbo,1,0.58080000,7.21110255,2
Turbo,2,0.70720000,6.32455532,2
Turbo,3,1.06280000,6.40312424,2
Turbo,4,0.50800000,5.09901951,2
Turbo,5,0.39660000,4.00000000,2
Turbo,6,0.83360000,5.83095189,2
Turbo,7,0.59140000,7.00000000,2
Turbo,8,0.58720000,6.70820393,2
Turbo,9,0.57720000,5.38516481,2
Turbo,10,0.57500000,11.40175425,2
Turbo,11,0.52240000,9.84885780,2
Turbo,12,0.50000000,8.06225775,2
Turbo,13,1.74000000,9.43398113,2
Turbo,14,0.60660000,8.48528137,2
Turbo,15,0.53460000,8.06225775,2
Turbo,16,0.61260000,8.06225775,2
Turbo,17,0.46440000,8.06225775,2
Turbo,18,2.49100000,8.06225775,2
Turbo,19,0.61620000,9.21954446,2
Turbo,20,0.55940000,13.60147051,2
Turbo,21,0.45720000,14.31782106,2
Turbo,22,0.58740000,14.42220510,2
Turbo,23,1.93260000,12.53169812,3
Turbo,24,1.81900000,12.64911064,2
Turbo,25,0.64100000,14.31782106,2
Turbo,26,0.57140000,14.56021978,2
Turbo,27,0.57180000,12.64911064,2
Turbo,28,1.17760000,13.60147051,2
Turbo,29,1.07260000,13.45362405,2
Turbo,30,0.56740000,17.02938637,2
Turbo,31,0.60260000,16.15549442,2
Turbo,32,1.81940000,17.11724277,2
Turbo,33,1.04020000,16.71127210,3
Turbo,34,0.51520000,15.62049935,2
Turbo,35,0.90200000,16.12451550,2
Turbo,36,0.64560000,19.20937271,2
Turbo,37,1.02200000,16.76305461,2
Turbo,38,1.25480000,17.08800749,2
Turbo,39,0.46640000,19.79898987,2
Turbo,40,0.74000000,21.63330765,2
Turbo,41,1.64260000,20.88061302,2
Turbo,42,0.55180000,21.40093456,2
Turbo,43,0.46400000,21.09502311,2
Turbo,44,1.17240000,22.47220505,2
Turbo,45,1.78400000,20.39607805,2
Turbo,46,1.06720000,21.37755833,2
Turbo,47,0.53500000,22.02271555,2
Turbo,48,0.49980000,22.20360331,2
Turbo,49,0.39300000,21.00000000,2
Turbo,50,0.64980000,26.90724809,2
Turbo,51,0.49440000,25.61249695,2
Turbo,52,1.36720000,26.01922366,2
