Map,Query Number,Time,Distance,Path Length
Typhoon,0,1.65960000,4.12310563,2
Typhoon,1,1.19800000,7.07106781,2
Typhoon,2,0.65720000,7.28010989,2
Typhoon,3,0.47940000,5.38516481,2
Typhoon,4,0.46020000,7.07106781,2
Typhoon,5,0.47720000,5.83095189,2
Typhoon,6,0.31820000,6.70820393,2
Typhoon,7,0.62940000,5.00000000,2
Typhoon,8,0.42120000,6.08276253,2
Typhoon,9,0.43160000,5.38516481,2
Typhoon,10,0.51020000,7.81024968,2
Typhoon,11,0.40500000,8.24621125,2
Typhoon,12,0.51020000,10.04987562,2
Typhoon,13,0.58340000,8.06225775,2
Typhoon,14,0.52180000,11.40175425,2
Typhoon,15,0.43260000,9.21954446,2
Typhoon,16,0.47740000,10.63014581,2
Typhoon,17,1.06980000,8.06225775,2
Typhoon,18,0.60120000,10.29563014,2
Typhoon,19,0.42100000,8.94427191,2
Typhoon,20,0.44320000,11.18033989,2
Typhoon,21,0.57840000,14.86606875,2
Typhoon,22,1.13160000,11.18033989,2
Typhoon,23,1.23480000,14.03566885,2
Typhoon,24,1.75380000,13.34166406,2
Typhoon,25,1.16700000,12.04159458,2
Typhoon,26,0.59960000,12.04159458,2
Typhoon,27,0.48080000,12.04159458,2
Typhoon,28,0.41060000,12.04159458,2
Typhoon,29,0.45640000,12.04159458,2
Typhoon,30,1.06680000,19.20937271,2
Typhoon,31,0.86920000,18.43908891,2
Typhoon,32,0.41900000,18.02775638,2
Typhoon,33,0.43760000,18.02775638,2
Typhoon,34,0.46060000,15.62049935,2
Typhoon,35,0.62560000,18.35755975,2
Typhoon,36,1.18660000,17.72004515,2
Typhoon,37,0.50340000,19.10497317,2
Typhoon,38,0.35560000,15.81138830,2
Typhoon,39,0.47940000,16.64331698,2
Typhoon,40,1.44160000,22.80350850,2
Typhoon,41,0.54960000,21.02379604,2
Typhoon,42,0.43700000,22.02271555,2
Typhoon,43,1.26020000,20.02498439,2
Typhoon,44,0.60600000,20.61552813,2
Typhoon,45,0.88320000,19.92485885,2
Typhoon,46,0.45840000,21.18962010,2
Typhoon,47,0.49740000,20.61552813,2
Typhoon,48,0.42960000,20.24845673,2
Typhoon,49,0.42300000,20.59126028,2
Typhoon,50,1.82380000,22.84731932,2
Typhoon,51,1.61860000,24.18677324,2
Typhoon,52,0.45920000,23.43074903,2
Typhoon,53,0.43260000,26.07680962,2
Typhoon,54,0.58400000,23.08679276,2
Typhoon,55,0.46920000,26.07680962,2
Typhoon,56,0.77420000,23.34523506,2
Typhoon,57,0.45040000,22.84731932,2
Typhoon,58,2.49100000,23.70653918,2
Typhoon,59,0.44600000,23.60084744,2
Typhoon,60,0.42540000,29.15475947,2
Typhoon,61,0.98420000,28.23118843,2
Typhoon,62,0.51980000,26.24880950,2
Typhoon,63,1.04320000,28.01785145,2
Typhoon,64,1.15680000,31.01612484,2
Typhoon,65,0.42400000,28.17800561,2
Typhoon,66,0.47700000,29.06888371,2
Typhoon,67,0.63300000,27.51363298,2
Typhoon,68,0.47280000,28.60069929,2
Typhoon,69,0.41000000,28.16025568,2
Typhoon,70,0.38860000,30.41381265,2
Typhoon,71,0.44300000,31.01612484,2
Typhoon,72,1.26320000,32.75667871,2
Typhoon,73,0.78500000,31.95309062,2
