Map,Query Number,Time,Distance,Path Length
ValleyofRe,0,0.89160000,7.07106781,2
ValleyofRe,1,1.36920000,6.70820393,2
ValleyofRe,2,1.01200000,7.00000000,2
ValleyofRe,3,0.81300000,5.00000000,2
ValleyofRe,4,0.60080000,5.83095189,2
ValleyofRe,5,0.99540000,5.83095189,2
ValleyofRe,6,0.51440000,4.00000000,2
ValleyofRe,7,0.64700000,7.07106781,2
ValleyofRe,8,0.57520000,4.47213595,2
ValleyofRe,9,0.67300000,4.24264069,2
ValleyofRe,10,1.15640000,8.94427191,2
ValleyofRe,11,0.60640000,9.43398113,2
ValleyofRe,12,0.47020000,10.81665383,2
ValleyofRe,13,0.56640000,10.00000000,2
ValleyofRe,14,0.67800000,10.00000000,2
ValleyofRe,15,1.54200000,8.60232527,2
ValleyofRe,16,0.93380000,9.05538514,2
ValleyofRe,17,1.86500000,10.63375802,3
ValleyofRe,18,1.50180000,8.54400375,2
ValleyofRe,19,1.22800000,7.61577311,2
ValleyofRe,20,0.58340000,11.70469991,2
ValleyofRe,21,1.34180000,15.00000000,2
ValleyofRe,22,0.68440000,14.76482306,2
ValleyofRe,23,0.85620000,15.13274595,2
ValleyofRe,24,1.90480000,14.87830275,4
ValleyofRe,25,1.16900000,12.64911064,2
ValleyofRe,26,0.46220000,14.03566885,2
ValleyofRe,27,1.48780000,13.41640786,2
ValleyofRe,28,0.96260000,12.20655562,2
ValleyofRe,29,0.86980000,14.03566885,2
ValleyofRe,30,0.41000000,15.65247584,2
ValleyofRe,31,0.55540000,19.02629759,2
ValleyofRe,32,0.42640000,18.00000000,2
ValleyofRe,33,0.56100000,18.38477631,2
ValleyofRe,34,0.59460000,19.02629759,2
ValleyofRe,35,0.61700000,15.23154621,2
ValleyofRe,36,0.62240000,17.02938637,2
ValleyofRe,37,0.49440000,17.80449381,2
ValleyofRe,38,1.62660000,18.11077028,2
ValleyofRe,39,0.73180000,18.43908891,2
ValleyofRe,40,0.55140000,22.20360331,2
ValleyofRe,41,0.54940000,22.02271555,2
ValleyofRe,42,1.29060000,21.21320344,2
ValleyofRe,43,0.45940000,18.78829423,2
ValleyofRe,44,0.47480000,21.63330765,2
ValleyofRe,45,1.12400000,23.00000000,2
ValleyofRe,46,3.71440000,20.80865205,2
ValleyofRe,47,1.63640000,21.95449840,2
ValleyofRe,48,1.07660000,19.41648784,2
ValleyofRe,49,1.26620000,19.92485885,2
ValleyofRe,50,0.82720000,25.94224354,2
ValleyofRe,51,1.33620000,24.69817807,2
ValleyofRe,52,0.61980000,24.20743687,2
ValleyofRe,53,2.41160000,25.55634919,3
ValleyofRe,54,0.61520000,25.01999201,2
ValleyofRe,55,1.74160000,24.59674775,2
ValleyofRe,56,0.45620000,23.02172887,2
ValleyofRe,57,0.49100000,24.08318916,2
ValleyofRe,58,0.69540000,25.63201124,2
ValleyofRe,59,0.49820000,26.07680962,2
ValleyofRe,60,1.44420000,27.65863337,2
ValleyofRe,61,5.07380000,27.46166984,6
ValleyofRe,62,2.49440000,30.36931688,3
ValleyofRe,63,1.94700000,29.41088234,2
ValleyofRe,64,3.53680000,29.09378995,4
ValleyofRe,65,1.45040000,29.42787794,2
ValleyofRe,66,0.53820000,28.01785145,2
ValleyofRe,67,1.08280000,29.83286778,2
ValleyofRe,68,1.68060000,27.73084925,2
ValleyofRe,69,2.16820000,28.34523506,3
ValleyofRe,70,1.48580000,32.14031736,2
ValleyofRe,71,1.82440000,33.73425559,2
ValleyofRe,72,0.67500000,32.20248438,2
ValleyofRe,73,2.20480000,31.57530681,2
ValleyofRe,74,1.60920000,31.57530681,2
ValleyofRe,75,0.61560000,32.55764119,2
ValleyofRe,76,0.45400000,31.38470965,2
ValleyofRe,77,3.47100000,33.48487747,5
ValleyofRe,78,1.64620000,31.78049716,2
ValleyofRe,79,1.91620000,31.01612484,2
ValleyofRe,80,1.96600000,38.41874542,2
ValleyofRe,81,1.01500000,37.01351105,2
ValleyofRe,82,1.36560000,38.20994635,2
ValleyofRe,83,1.28440000,33.61547263,2
ValleyofRe,84,1.81660000,34.10944330,3
ValleyofRe,85,0.96840000,34.82814953,2
ValleyofRe,86,1.55940000,36.23534186,2
ValleyofRe,87,1.49020000,36.67424164,2
ValleyofRe,88,1.24080000,34.78505426,2
ValleyofRe,89,0.93460000,34.00000000,2
ValleyofRe,90,0.51000000,38.01315562,2
ValleyofRe,91,1.42420000,39.56008089,2
ValleyofRe,92,2.20980000,38.07886553,2
ValleyofRe,93,0.51720000,38.83297568,2
ValleyofRe,94,2.50780000,38.86609406,3
ValleyofRe,95,1.67220000,37.64306045,2
ValleyofRe,96,0.45500000,40.49691346,2
ValleyofRe,97,2.47340000,40.47165757,4
ValleyofRe,98,1.81020000,41.59326869,2
ValleyofRe,99,1.06720000,41.72529209,2
ValleyofRe,100,1.03000000,43.10452412,2
ValleyofRe,101,1.56760000,43.60045871,2
ValleyofRe,102,1.73920000,44.40720662,2
ValleyofRe,103,0.59480000,45.45327271,2
ValleyofRe,104,1.62980000,44.28317965,2
ValleyofRe,105,4.26580000,40.41329539,6
ValleyofRe,106,1.35620000,44.18144407,2
ValleyofRe,107,1.37260000,42.05948169,2
ValleyofRe,108,2.31240000,43.89361325,3
ValleyofRe,109,2.15360000,43.68065934,2
ValleyofRe,110,2.59320000,49.16299421,2
ValleyofRe,111,1.33600000,45.88027899,2
ValleyofRe,112,1.03780000,50.32891813,2
ValleyofRe,113,1.63160000,46.86149806,2
ValleyofRe,114,0.93600000,47.85394446,2
ValleyofRe,115,1.99660000,45.48626166,2
ValleyofRe,116,0.54280000,48.01041554,2
ValleyofRe,117,0.87020000,46.69047012,2
ValleyofRe,118,1.07060000,49.04079934,2
ValleyofRe,119,1.83520000,45.22167622,2
ValleyofRe,120,2.73140000,51.32891813,3
ValleyofRe,121,2.77680000,54.32590181,3
ValleyofRe,122,1.36720000,48.33218389,2
ValleyofRe,123,2.52560000,50.00000000,2
ValleyofRe,124,1.57780000,50.35871325,2
ValleyofRe,125,1.72480000,53.33854141,2
ValleyofRe,126,1.36840000,49.64876635,2
ValleyofRe,127,4.15440000,50.08801110,4
ValleyofRe,128,2.95640000,51.43924345,3
ValleyofRe,129,6.24280000,50.80759393,9
ValleyofRe,130,2.02380000,54.08326913,2
ValleyofRe,131,1.95400000,52.81098371,2
ValleyofRe,132,0.81460000,54.74486277,2
ValleyofRe,133,2.04260000,52.69724851,2
ValleyofRe,134,2.27980000,56.00437769,3
ValleyofRe,135,1.49400000,55.57877293,2
ValleyofRe,136,1.14260000,53.33854141,2
ValleyofRe,137,0.89640000,52.47856705,2
ValleyofRe,138,2.08760000,54.34152551,3
ValleyofRe,139,2.20620000,54.58937626,2
ValleyofRe,140,1.33500000,59.66573556,2
ValleyofRe,141,0.87520000,57.24508713,2
ValleyofRe,142,0.98700000,56.92099788,2
ValleyofRe,143,2.86820000,60.20994635,3
ValleyofRe,144,1.81540000,62.96824597,2
ValleyofRe,145,0.64340000,57.77542730,2
ValleyofRe,146,1.48640000,56.75385449,2
ValleyofRe,147,1.92680000,56.75385449,2
ValleyofRe,148,2.94320000,59.92161784,3
ValleyofRe,149,2.66920000,58.69313660,3
ValleyofRe,150,2.52220000,67.02984410,2
ValleyofRe,151,1.24600000,60.74537019,2
ValleyofRe,152,1.34720000,61.91122677,2
ValleyofRe,153,2.36320000,60.52255749,4
ValleyofRe,154,3.29140000,62.97672058,8
ValleyofRe,155,2.31100000,59.53990259,2
ValleyofRe,156,1.50780000,66.00000000,2
ValleyofRe,157,1.75320000,62.42595614,2
ValleyofRe,158,2.60280000,62.94987380,4
ValleyofRe,159,6.40760000,61.22330750,3
ValleyofRe,160,2.91340000,64.93843238,2
ValleyofRe,161,2.95020000,66.84309987,2
ValleyofRe,162,2.10340000,64.28841264,2
ValleyofRe,163,1.80000000,63.32456080,2
ValleyofRe,164,1.94800000,63.78871374,2
ValleyofRe,165,1.62600000,67.42403132,2
ValleyofRe,166,4.82900000,65.51335742,2
ValleyofRe,167,2.53540000,64.51356447,2
ValleyofRe,168,1.55240000,63.24555320,2
ValleyofRe,169,1.72300000,64.28841264,2
ValleyofRe,170,1.79760000,69.64194139,2
ValleyofRe,171,2.81640000,71.40658977,3
ValleyofRe,172,1.82540000,69.64194139,2
ValleyofRe,173,4.12440000,66.70832032,2
ValleyofRe,174,5.84680000,69.82239719,7
ValleyofRe,175,4.41360000,71.38627319,2
ValleyofRe,176,3.44580000,69.14879312,7
ValleyofRe,177,1.94880000,71.13791936,3
ValleyofRe,178,2.59000000,68.96375860,2
ValleyofRe,179,1.45580000,67.23094526,2
ValleyofRe,180,2.06200000,72.40165744,2
ValleyofRe,181,2.98180000,73.92563831,2
ValleyofRe,182,4.49540000,69.75192642,6
ValleyofRe,183,2.61720000,76.41989270,2
ValleyofRe,184,2.58820000,72.94518490,2
ValleyofRe,185,3.58660000,71.58910532,2
ValleyofRe,186,7.48780000,75.47045087,5
ValleyofRe,187,2.14620000,73.24616031,2
ValleyofRe,188,1.60320000,78.10249676,2
ValleyofRe,189,6.25580000,76.11374443,3
ValleyofRe,190,3.11940000,79.72835990,4
ValleyofRe,191,5.36640000,81.47862919,3
ValleyofRe,192,0.59920000,83.00000000,2
ValleyofRe,193,2.33340000,75.18643495,2
ValleyofRe,194,5.01700000,78.48352457,4
ValleyofRe,195,1.23200000,75.96051606,2
ValleyofRe,196,6.10600000,79.07748105,5
ValleyofRe,197,3.76120000,78.26751572,4
ValleyofRe,198,1.40100000,78.49203781,2
ValleyofRe,199,4.75580000,77.06298667,7
ValleyofRe,200,5.75480000,79.64795275,9
ValleyofRe,201,3.59880000,80.74393741,4
ValleyofRe,202,2.10700000,86.00649323,3
ValleyofRe,203,1.70320000,81.74350127,2
ValleyofRe,204,8.65460000,79.74412384,10
ValleyofRe,205,0.51980000,77.62087348,2
ValleyofRe,206,1.68060000,83.09632964,2
ValleyofRe,207,2.94220000,83.81131939,4
ValleyofRe,208,7.35560000,81.82775132,6
ValleyofRe,209,2.32720000,82.54140053,3
ValleyofRe,210,1.38320000,84.34453154,2
ValleyofRe,211,4.93760000,85.87489146,4
ValleyofRe,212,1.38980000,81.70679286,2
ValleyofRe,213,5.41980000,88.35476253,3
ValleyofRe,214,7.60520000,84.10470605,4
ValleyofRe,215,2.65740000,83.35466394,2
ValleyofRe,216,2.33020000,88.23831367,2
ValleyofRe,217,2.69600000,84.21379877,3
ValleyofRe,218,1.67140000,84.59314393,2
ValleyofRe,219,4.81920000,82.79060660,4
ValleyofRe,220,0.78280000,93.00000000,2
ValleyofRe,221,3.02760000,93.19334740,2
ValleyofRe,222,4.46440000,86.47512218,6
ValleyofRe,223,2.16520000,89.06739022,2
ValleyofRe,224,3.14980000,87.93440554,3
ValleyofRe,225,2.16200000,85.77351374,4
ValleyofRe,226,3.02620000,88.53568915,4
ValleyofRe,227,1.84560000,87.66413178,2
ValleyofRe,228,3.33700000,85.35402236,4
ValleyofRe,229,2.53700000,91.93475948,2
ValleyofRe,230,9.05400000,93.98642578,5
ValleyofRe,231,4.17960000,93.78081113,5
ValleyofRe,232,3.10160000,93.54503432,3
ValleyofRe,233,3.51160000,91.21403401,2
ValleyofRe,234,3.39820000,91.92388155,2
ValleyofRe,235,3.18300000,92.45508885,3
ValleyofRe,236,4.04380000,93.29625952,5
ValleyofRe,237,4.11000000,92.51126051,3
ValleyofRe,238,1.61900000,95.58765611,2
ValleyofRe,239,2.87080000,95.01795709,3
ValleyofRe,240,2.12940000,95.21029356,2
ValleyofRe,241,3.03960000,96.56707754,4
ValleyofRe,242,2.44180000,94.33981132,2
ValleyofRe,243,3.50520000,99.48869282,2
ValleyofRe,244,2.28500000,102.57179202,3
ValleyofRe,245,2.40600000,95.13713630,4
ValleyofRe,246,3.52340000,101.04079934,3
ValleyofRe,247,4.65780000,96.63476143,4
ValleyofRe,248,2.79900000,99.32270637,2
ValleyofRe,249,5.05680000,93.63429277,3
ValleyofRe,250,3.27280000,100.58573447,4
ValleyofRe,251,8.58180000,104.31661148,9
ValleyofRe,252,1.68380000,99.92497185,2
ValleyofRe,253,12.90280000,97.81124556,6
ValleyofRe,254,1.47320000,104.30723848,2
ValleyofRe,255,1.01400000,105.17128886,2
ValleyofRe,256,4.41000000,97.92057932,4
ValleyofRe,257,0.74640000,105.11898021,2
ValleyofRe,258,8.87480000,98.02619870,7
ValleyofRe,259,6.79380000,98.25453330,3
ValleyofRe,260,3.50780000,102.95226541,4
ValleyofRe,261,3.20780000,101.65136497,2
ValleyofRe,262,3.73280000,103.09219175,2
ValleyofRe,263,2.49200000,108.89444430,2
ValleyofRe,264,3.18600000,100.73607979,3
ValleyofRe,265,6.27360000,100.97476481,7
ValleyofRe,266,3.49740000,103.38537617,4
ValleyofRe,267,11.01600000,104.63981424,8
ValleyofRe,268,1.20800000,104.47966309,2
ValleyofRe,269,3.31320000,110.34491379,2
ValleyofRe,270,5.77900000,111.30433730,4
ValleyofRe,271,3.33280000,107.04204781,2
ValleyofRe,272,9.05500000,110.33778011,8
ValleyofRe,273,3.63180000,105.23098745,3
ValleyofRe,274,5.91500000,104.20947050,5
ValleyofRe,275,4.16880000,107.88310361,3
ValleyofRe,276,1.99600000,103.62281574,3
ValleyofRe,277,3.50080000,106.88779163,2
ValleyofRe,278,3.46000000,109.30271792,4
ValleyofRe,279,1.70920000,110.76551810,2
ValleyofRe,280,1.95560000,116.03878662,2
ValleyofRe,281,1.96080000,110.13627922,2
ValleyofRe,282,3.63160000,107.54068997,2
ValleyofRe,283,6.73760000,111.07255613,7
ValleyofRe,284,0.48380000,114.43775601,2
ValleyofRe,285,7.98620000,110.31821881,5
ValleyofRe,286,2.61360000,110.80935073,3
ValleyofRe,287,1.77040000,109.11003620,2
ValleyofRe,288,13.36220000,110.44410372,8
ValleyofRe,289,2.54420000,111.19802157,2
ValleyofRe,290,1.50160000,118.71394189,2
ValleyofRe,291,1.35120000,113.54734695,2
ValleyofRe,292,7.31960000,117.56568994,7
ValleyofRe,293,6.54060000,111.17372182,5
ValleyofRe,294,2.92160000,116.80439360,4
ValleyofRe,295,3.11200000,114.40564612,4
ValleyofRe,296,4.41440000,114.23659659,2
ValleyofRe,297,6.23980000,115.45274641,5
ValleyofRe,298,4.99100000,114.53226553,4
ValleyofRe,299,3.70880000,117.72000680,2
ValleyofRe,300,2.06720000,115.97413505,2
ValleyofRe,301,2.81480000,118.84864324,2
ValleyofRe,302,3.03060000,121.92659350,3
ValleyofRe,303,2.39660000,121.69634341,2
ValleyofRe,304,6.69940000,118.45389245,6
ValleyofRe,305,6.26220000,115.26450483,6
ValleyofRe,306,8.22880000,118.97686123,5
ValleyofRe,307,5.68460000,118.34199085,4
ValleyofRe,308,4.87000000,120.22025353,5
ValleyofRe,309,3.96080000,122.28793661,4
ValleyofRe,310,7.48800000,123.03718553,5
ValleyofRe,311,13.18160000,123.16267727,8
ValleyofRe,312,8.11040000,126.63948243,5
ValleyofRe,313,4.76720000,119.00211180,4
ValleyofRe,314,7.37440000,126.98429273,7
ValleyofRe,315,6.75200000,121.18323691,4
ValleyofRe,316,2.54540000,121.43310916,2
ValleyofRe,317,11.03580000,121.54772292,6
ValleyofRe,318,2.52000000,127.56566936,2
ValleyofRe,319,2.86800000,123.48682839,3
ValleyofRe,320,9.79200000,123.80478746,10
ValleyofRe,321,5.56920000,126.58438850,3
ValleyofRe,322,3.33280000,124.35433245,2
ValleyofRe,323,4.61480000,125.46790656,5
ValleyofRe,324,2.42920000,125.70600622,2
ValleyofRe,325,6.72280000,125.35678143,6
ValleyofRe,326,0.92180000,123.97580409,2
ValleyofRe,327,10.87780000,127.54456000,7
ValleyofRe,328,16.50860000,125.36179751,9
ValleyofRe,329,3.47240000,127.67205177,3
ValleyofRe,330,9.97940000,126.77385460,8
ValleyofRe,331,3.26840000,129.04387719,3
ValleyofRe,332,6.39280000,136.03388857,3
ValleyofRe,333,4.39060000,128.31990080,6
ValleyofRe,334,2.26340000,126.23326167,3
ValleyofRe,335,10.31880000,131.68141808,5
ValleyofRe,336,4.76840000,131.70693062,4
