Map,Query Number,Time,Distance,Path Length
WarpGates,0,0.84580000,7.21110255,2
WarpGates,1,0.66740000,5.83095189,2
WarpGates,2,0.54880000,6.08276253,2
WarpGates,3,0.47420000,5.09901951,2
WarpGates,4,0.50740000,7.07106781,2
WarpGates,5,1.65920000,2.00000000,2
WarpGates,6,0.49340000,5.00000000,2
WarpGates,7,0.49600000,4.47213595,2
WarpGates,8,0.52480000,5.09901951,2
WarpGates,9,0.50480000,6.70820393,2
WarpGates,10,1.11500000,9.05538514,2
WarpGates,11,0.48100000,9.21954446,2
WarpGates,12,0.54420000,7.81024968,2
WarpGates,13,0.40420000,9.84885780,2
WarpGates,14,0.72140000,9.21954446,2
WarpGates,15,0.55860000,7.81024968,2
WarpGates,16,0.67540000,8.06225775,2
WarpGates,17,1.38160000,10.81665383,2
WarpGates,18,0.58380000,8.06225775,2
WarpGates,19,0.38020000,8.06225775,2
WarpGates,20,1.23420000,13.03840481,2
WarpGates,21,0.90540000,12.64911064,2
WarpGates,22,0.89620000,13.60147051,2
WarpGates,23,0.86400000,14.00000000,2
WarpGates,24,0.82400000,13.92838828,2
WarpGates,25,0.71480000,12.52996409,2
WarpGates,26,1.15100000,14.03566885,2
WarpGates,27,0.45700000,14.56021978,2
WarpGates,28,1.06200000,11.66190379,2
WarpGates,29,0.48260000,14.76482306,2
WarpGates,30,0.47840000,16.27882060,2
WarpGates,31,0.84480000,15.23154621,2
WarpGates,32,1.30760000,18.11077028,2
WarpGates,33,1.27740000,19.10497317,2
WarpGates,34,0.47940000,17.11724277,2
WarpGates,35,1.03540000,17.69180601,2
WarpGates,36,0.48760000,19.20937271,2
WarpGates,37,1.06100000,17.80449381,2
WarpGates,38,0.44580000,17.26267650,2
WarpGates,39,0.46660000,16.15549442,2
WarpGates,40,0.62000000,20.80865205,2
WarpGates,41,0.81080000,20.61552813,2
WarpGates,42,0.43880000,20.24845673,2
WarpGates,43,0.86380000,19.41648784,2
WarpGates,44,0.81280000,22.02271555,2
WarpGates,45,1.63020000,21.58703314,2
WarpGates,46,1.01540000,21.02379604,2
WarpGates,47,0.78840000,19.72308292,2
WarpGates,48,0.41800000,22.20360331,2
WarpGates,49,1.24420000,20.09975124,2
WarpGates,50,0.49460000,24.08318916,2
WarpGates,51,0.48140000,25.61249695,2
WarpGates,52,1.02180000,23.53720459,2
WarpGates,53,0.50880000,27.58622845,2
WarpGates,54,0.43280000,22.80350850,2
WarpGates,55,0.68980000,24.08318916,2
WarpGates,56,1.08340000,27.00000000,2
WarpGates,57,0.73740000,24.16609195,2
WarpGates,58,0.48720000,24.69817807,2
WarpGates,59,1.54320000,24.20743687,2
WarpGates,60,0.48820000,26.62705391,2
WarpGates,61,1.46380000,28.86173938,2
WarpGates,62,1.16040000,27.29468813,2
WarpGates,63,0.80440000,29.01723626,2
WarpGates,64,1.41980000,29.00000000,2
WarpGates,65,0.39220000,27.45906044,2
WarpGates,66,0.36940000,29.15475947,2
WarpGates,67,1.85200000,31.01612484,2
WarpGates,68,0.43220000,30.14962686,2
WarpGates,69,0.38860000,29.00000000,2
WarpGates,70,2.03020000,32.57299495,2
WarpGates,71,2.15200000,31.39559985,4
WarpGates,72,0.82420000,31.90611227,2
WarpGates,73,1.17240000,33.06055051,2
WarpGates,74,1.24560000,31.40063694,2
WarpGates,75,1.28440000,31.78049716,2
