Map,Query Number,Time,Distance,Path Length
WatersEdge,0,0.64560000,5.38516481,2
WatersEdge,1,1.13960000,7.21110255,2
WatersEdge,2,0.69900000,7.28010989,2
WatersEdge,3,0.59220000,6.00000000,2
WatersEdge,4,0.55200000,4.00000000,2
WatersEdge,5,0.88000000,5.00000000,2
WatersEdge,6,0.58440000,5.38516481,2
WatersEdge,7,0.43820000,6.00000000,2
WatersEdge,8,0.50740000,7.28010989,2
WatersEdge,9,0.41140000,4.47213595,2
WatersEdge,10,0.51500000,10.19803903,2
WatersEdge,11,0.48120000,7.81024968,2
WatersEdge,12,0.84500000,8.54400375,2
WatersEdge,13,0.53000000,9.43398113,2
WatersEdge,14,0.44960000,7.81024968,2
WatersEdge,15,0.55500000,9.89949494,2
WatersEdge,16,0.42420000,8.06225775,2
WatersEdge,17,1.67840000,11.40175425,2
WatersEdge,18,0.47840000,7.61577311,2
WatersEdge,19,0.38760000,8.54400375,2
WatersEdge,20,0.43900000,13.60147051,2
WatersEdge,21,0.71740000,14.31782106,2
WatersEdge,22,1.29260000,13.00000000,2
WatersEdge,23,0.90920000,13.03840481,2
WatersEdge,24,1.27340000,12.36931688,2
WatersEdge,25,0.44560000,13.45362405,2
WatersEdge,26,0.45760000,14.21267040,2
WatersEdge,27,0.42260000,13.00000000,2
WatersEdge,28,0.45880000,11.40175425,2
WatersEdge,29,0.73280000,14.21267040,2
WatersEdge,30,0.58380000,16.27882060,2
WatersEdge,31,0.46040000,16.76305461,2
WatersEdge,32,0.30580000,14.86606875,2
WatersEdge,33,0.48080000,17.02938637,2
WatersEdge,34,0.41820000,17.00000000,2
WatersEdge,35,1.47220000,15.81138830,2
WatersEdge,36,0.49820000,17.26267650,2
WatersEdge,37,1.12180000,16.00000000,2
WatersEdge,38,1.79820000,18.07248664,4
WatersEdge,39,0.48260000,17.69180601,2
WatersEdge,40,2.47920000,18.09083265,5
WatersEdge,41,1.28820000,19.23538406,2
WatersEdge,42,1.06000000,20.24845673,2
WatersEdge,43,1.40360000,21.95449840,2
WatersEdge,44,0.42120000,21.54065923,2
WatersEdge,45,0.34280000,20.24845673,2
WatersEdge,46,0.47220000,20.61552813,2
WatersEdge,47,0.39280000,20.09975124,2
WatersEdge,48,1.40780000,20.39607805,2
WatersEdge,49,0.36620000,22.02271555,2
WatersEdge,50,0.49820000,24.83948470,2
WatersEdge,51,0.35580000,22.56102835,2
WatersEdge,52,0.68460000,24.33105012,2
WatersEdge,53,1.02040000,23.76972865,2
WatersEdge,54,0.39480000,24.73863375,2
WatersEdge,55,0.58560000,25.94224354,2
WatersEdge,56,0.89180000,26.17250466,2
WatersEdge,57,1.01380000,24.04163056,2
WatersEdge,58,1.71040000,25.07987241,2
WatersEdge,59,0.49360000,25.63201124,2
WatersEdge,60,0.38160000,28.79236010,2
WatersEdge,61,1.62740000,27.33442142,5
WatersEdge,62,0.91120000,26.68332813,2
WatersEdge,63,0.56820000,29.61418579,2
WatersEdge,64,1.25240000,29.83286778,2
WatersEdge,65,0.61580000,27.16615541,2
WatersEdge,66,1.63000000,28.17800561,2
WatersEdge,67,0.57300000,28.84441020,2
WatersEdge,68,0.47600000,28.16025568,2
WatersEdge,69,0.42480000,28.60069929,2
WatersEdge,70,1.00260000,33.60059523,2
WatersEdge,71,0.33160000,29.96664813,2
WatersEdge,72,0.82460000,33.24154028,2
WatersEdge,73,2.49540000,33.30424399,3
WatersEdge,74,1.19280000,31.95309062,2
WatersEdge,75,1.39400000,33.24154028,2
WatersEdge,76,1.84880000,34.65544690,2
WatersEdge,77,0.40700000,35.01428280,2
WatersEdge,78,1.00100000,30.01666204,2
WatersEdge,79,0.88420000,32.75667871,2
WatersEdge,80,1.14120000,34.52535300,2
WatersEdge,81,0.84600000,35.44009029,2
WatersEdge,82,1.37560000,35.53983208,3
WatersEdge,83,0.77320000,36.24913792,2
WatersEdge,84,0.92460000,37.33630941,2
WatersEdge,85,0.44540000,35.35533906,2
WatersEdge,86,1.45080000,38.20994635,2
WatersEdge,87,1.57300000,35.44009029,2
WatersEdge,88,1.09540000,33.52610923,2
WatersEdge,89,1.06800000,34.48187930,2
WatersEdge,90,2.60200000,41.94053342,6
WatersEdge,91,1.38560000,41.04875150,2
WatersEdge,92,0.41280000,40.49691346,2
WatersEdge,93,1.31940000,41.40048309,2
WatersEdge,94,0.47920000,39.20459157,2
WatersEdge,95,0.49700000,39.56008089,2
WatersEdge,96,1.71560000,40.40229026,3
WatersEdge,97,1.62160000,39.96248241,2
WatersEdge,98,1.20100000,40.80441153,2
WatersEdge,99,1.19840000,39.00000000,2
WatersEdge,100,1.00580000,42.05948169,2
WatersEdge,101,0.48620000,42.37924020,2
WatersEdge,102,0.84860000,42.95346319,2
WatersEdge,103,1.01720000,43.68065934,2
WatersEdge,104,1.44560000,43.41658669,2
WatersEdge,105,1.14460000,43.04648650,2
WatersEdge,106,0.46640000,46.09772229,2
WatersEdge,107,2.60700000,44.57465277,5
WatersEdge,108,0.44060000,45.17742799,2
WatersEdge,109,1.98740000,42.95346319,2
WatersEdge,110,2.38320000,51.03920062,2
WatersEdge,111,1.78060000,47.43416490,2
WatersEdge,112,0.62740000,50.00000000,2
WatersEdge,113,1.28300000,50.00999900,2
WatersEdge,114,1.07240000,47.20169488,2
WatersEdge,115,1.10160000,47.09564736,2
WatersEdge,116,1.41860000,49.51767361,2
WatersEdge,117,0.47420000,45.88027899,2
WatersEdge,118,0.93900000,50.32891813,2
WatersEdge,119,3.59260000,47.37956720,4
WatersEdge,120,2.84220000,52.34500931,2
