Map,Query Number,Time,Distance,Path Length
WheelofWar,0,0.83420000,5.00000000,2
WheelofWar,1,1.70280000,7.07106781,2
WheelofWar,2,0.52660000,7.28010989,2
WheelofWar,3,0.54500000,5.09901951,2
WheelofWar,4,0.65720000,4.47213595,2
WheelofWar,5,1.14700000,5.00000000,2
WheelofWar,6,0.62800000,5.00000000,2
WheelofWar,7,0.69500000,5.09901951,2
WheelofWar,8,1.19060000,5.38516481,2
WheelofWar,9,1.49560000,5.38516481,2
WheelofWar,10,0.64620000,10.77032961,2
WheelofWar,11,1.22820000,9.84885780,2
WheelofWar,12,1.04160000,11.00000000,2
WheelofWar,13,0.61220000,8.54400375,2
WheelofWar,14,0.96560000,8.24621125,2
WheelofWar,15,0.51080000,8.54400375,2
WheelofWar,16,0.58780000,10.04987562,2
WheelofWar,17,0.56120000,9.43398113,2
WheelofWar,18,0.68160000,10.44030651,2
WheelofWar,19,1.43980000,7.81024968,2
WheelofWar,20,1.30840000,13.92838828,2
WheelofWar,21,0.69360000,14.31782106,2
WheelofWar,22,0.94240000,13.60147051,2
WheelofWar,23,0.48820000,15.00000000,2
WheelofWar,24,0.63260000,15.55634919,2
WheelofWar,25,0.51340000,13.03840481,2
WheelofWar,26,0.84780000,14.56021978,2
WheelofWar,27,1.06520000,12.16552506,2
WheelofWar,28,0.68400000,12.08304597,2
WheelofWar,29,0.46460000,14.31782106,2
WheelofWar,30,0.67300000,16.76305461,2
WheelofWar,31,0.50620000,19.10497317,2
WheelofWar,32,0.58780000,15.62049935,2
WheelofWar,33,0.92840000,16.27882060,2
WheelofWar,34,1.53380000,17.02938637,2
WheelofWar,35,2.04400000,17.49285568,2
WheelofWar,36,0.97280000,15.23154621,2
WheelofWar,37,0.55900000,18.60107524,2
WheelofWar,38,0.64720000,15.29705854,2
WheelofWar,39,0.51000000,18.02775638,2
WheelofWar,40,2.04140000,21.93171220,2
WheelofWar,41,0.47600000,20.24845673,2
WheelofWar,42,0.61540000,20.12461180,2
WheelofWar,43,1.07880000,21.02379604,2
WheelofWar,44,0.41580000,18.86796226,2
WheelofWar,45,1.38600000,19.41648784,2
WheelofWar,46,0.85220000,22.80350850,2
WheelofWar,47,0.65620000,22.09072203,2
WheelofWar,48,1.81060000,21.93171220,2
WheelofWar,49,2.29840000,19.23538406,2
WheelofWar,50,1.47740000,24.18677324,2
WheelofWar,51,0.81540000,25.45584412,2
WheelofWar,52,1.09740000,26.07680962,2
WheelofWar,53,0.61600000,25.94224354,2
WheelofWar,54,0.48620000,23.32380758,2
WheelofWar,55,1.34440000,26.17250466,2
WheelofWar,56,0.57940000,23.85372088,2
WheelofWar,57,2.15300000,21.96041161,3
WheelofWar,58,0.69240000,24.02082430,2
