Map,Query Number,Time,Distance,Path Length
WinterConquest,0,0.82280000,6.00000000,2
WinterConquest,1,0.56880000,6.32455532,2
WinterConquest,2,1.13460000,7.28010989,2
WinterConquest,3,0.75540000,6.70820393,2
WinterConquest,4,0.43420000,4.47213595,2
WinterConquest,5,0.49260000,7.07106781,2
WinterConquest,6,0.44100000,7.07106781,2
WinterConquest,7,0.45340000,5.09901951,2
WinterConquest,8,0.50660000,7.07106781,2
WinterConquest,9,0.47960000,5.09901951,2
WinterConquest,10,0.54820000,11.00000000,2
WinterConquest,11,0.49260000,10.63014581,2
WinterConquest,12,0.76700000,9.21954446,2
WinterConquest,13,1.31900000,10.19803903,2
WinterConquest,14,0.63220000,8.54400375,2
WinterConquest,15,1.08660000,8.60232527,2
WinterConquest,16,1.19940000,8.06225775,2
WinterConquest,17,0.52360000,9.21954446,2
WinterConquest,18,0.51520000,10.29563014,2
WinterConquest,19,1.23060000,10.04987562,2
WinterConquest,20,0.44380000,12.00000000,2
WinterConquest,21,1.91680000,12.52996409,2
WinterConquest,22,0.94760000,13.41640786,2
WinterConquest,23,0.98160000,13.92838828,2
WinterConquest,24,1.32640000,13.34166406,2
WinterConquest,25,0.44440000,12.36931688,2
WinterConquest,26,0.60100000,13.60147051,2
WinterConquest,27,0.45580000,11.40175425,2
WinterConquest,28,0.53300000,13.15294644,2
WinterConquest,29,1.40560000,14.86606875,2
WinterConquest,30,0.45220000,16.03121954,2
WinterConquest,31,1.18620000,14.86606875,2
WinterConquest,32,0.50760000,16.76305461,2
WinterConquest,33,1.39940000,18.02775638,2
WinterConquest,34,0.39660000,18.43908891,2
WinterConquest,35,1.34080000,17.02938637,2
WinterConquest,36,1.58100000,16.49242250,2
WinterConquest,37,0.53380000,19.00000000,2
WinterConquest,38,1.07000000,17.11724277,2
WinterConquest,39,0.57440000,16.27882060,2
WinterConquest,40,1.16480000,22.67156810,2
WinterConquest,41,0.51420000,21.63330765,2
WinterConquest,42,1.21300000,19.92485885,2
WinterConquest,43,0.42680000,20.59126028,2
WinterConquest,44,1.69140000,21.09502311,2
WinterConquest,45,1.02500000,19.64688270,2
WinterConquest,46,0.79780000,22.20360331,2
WinterConquest,47,0.48260000,19.84943324,2
WinterConquest,48,0.60480000,22.20360331,2
WinterConquest,49,0.43540000,19.69771560,2
WinterConquest,50,0.98160000,26.00000000,2
WinterConquest,51,1.00400000,23.19482701,2
WinterConquest,52,1.40700000,24.73863375,2
WinterConquest,53,1.18420000,25.61249695,2
WinterConquest,54,1.37720000,25.94224354,2
WinterConquest,55,0.82540000,24.08318916,2
WinterConquest,56,1.06660000,25.00000000,2
WinterConquest,57,1.21360000,24.04163056,2
WinterConquest,58,2.03580000,26.40075756,2
WinterConquest,59,1.36120000,26.30589288,2
WinterConquest,60,0.89060000,27.45906044,2
WinterConquest,61,0.96500000,27.65863337,2
WinterConquest,62,1.78140000,29.06888371,2
WinterConquest,63,0.99560000,27.16615541,2
WinterConquest,64,1.14180000,31.14482300,2
WinterConquest,65,1.68920000,29.27456234,2
WinterConquest,66,0.90120000,27.45906044,2
WinterConquest,67,0.93900000,29.15475947,2
WinterConquest,68,1.11000000,31.01612484,2
WinterConquest,69,0.81220000,28.01785145,2
WinterConquest,70,0.57940000,32.31098884,2
WinterConquest,71,1.12880000,31.06444913,2
WinterConquest,72,1.15020000,32.24903099,2
WinterConquest,73,1.50020000,30.46309242,2
WinterConquest,74,1.85860000,33.37663854,2
WinterConquest,75,2.10540000,32.23875795,4
WinterConquest,76,0.59760000,33.54101966,2
WinterConquest,77,3.01280000,31.49740272,4
WinterConquest,78,1.59480000,32.98484500,2
WinterConquest,79,1.84060000,33.54101966,2
WinterConquest,80,0.58400000,38.94868419,2
WinterConquest,81,0.45520000,35.51056181,2
WinterConquest,82,1.54460000,35.51056181,2
WinterConquest,83,0.95580000,36.67424164,2
WinterConquest,84,1.06540000,38.05259518,2
WinterConquest,85,1.64620000,33.83784863,2
WinterConquest,86,1.34120000,36.23534186,2
WinterConquest,87,4.20660000,34.82682250,6
WinterConquest,88,0.48100000,34.48187930,2
WinterConquest,89,1.07720000,34.66987165,2
WinterConquest,90,0.89140000,42.01190308,2
